Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.7	tdMnYZW	e si robare el pueblo | e desfiziere la comunidat solamente | que el pueda allegar riquezas e dineros .	si opprimat viduas , et pupillos , | si depraedetur populum et Rem publicam , | dum tamen possit pecuniam congregare ,	wx50wt8
1.2.10	cJ2jra6	e en los partires . | Ca alas vezes algunos trabaian mas por la comunidat | e resçiben menos ante esta iustiçia	Rursus contingit inaequalitas in distributionibus , | quia aliquando aliqui plus laborantes pro Republica , | minus accipiunt : | quia aliquando aliqui plus laborantes pro Republica , | minus accipiunt : | immo haec Iustitia quodammodo deprauata est ,	i5NZT7e, xRYHH4t
1.2.11	dBAfqyd	La segunda manera para prouar esto mismo se toma de parte del regno . | Ca el regno e toda comunidat es vna orden e vn prinçipado . | ¶ pues que assi es como la orden	ex parte ipsius regni . | Regnum enim et omnis politia est quidam ordo , | et quidam principatus . | Regnum enim et omnis politia est quidam ordo , | et quidam principatus . | Cum igitur ordo ,	pckQmfl, crNOogR
1.2.11	e9JwxGc	Et pues que assi es non se guardaria dende adelante | en ellos comunidat | ni seria dende adelante regno .	nec ad Principem . | Non ergo ulterius reseruaretur in eis politia , | nec esset ulterius regnum .	rLUOTe7
1.2.11	hsINVCW	Ca cada vno de los regnos | e canda vna comunidat semeia avn cuerpo natural . | Ca assi commo veemos	Quodlibet enim regnum , | et quaelibet congregatio assimilatur cuidam corpori naturali . | Sicut enim videmus corpus animalis constare	ksQ0fOF
1.2.11	y4oUpOc	assi cada vno dellos regnos | e cada vna delas comunidades es conpuesta de de pattidas personas ayuntadas e ordenadas a vna cosa . | Et por ende pues nos conuiene de fablar	sic quodlibet regnum , | et quaelibet congregatio constat | ex diuersis personis connexis , | et quaelibet congregatio constat | ex diuersis personis connexis , | et ordinatis ad unum aliquid .	ziwcBMJ, sIOHump
1.2.11	sAfWu6i	Bien assi cada vna mengua de iustiçia | non corronpe del todo el regno e la comunidat . | Enpero que por qual quier menguade iustiçia	sic non quaelibet Iniustitia | corrumpit totaliter regnum , et politiam , | tamen per quamlibet Iniustitiam regnum ,	bJt5isO
1.2.11	fJvdn67	es enfermo el regno | e la comunidat apareiada acorruy conn¶ | pues que assi es paresçe	et politia infirmatur , | et disponitur ad corruptionem . | Patet igitur quod prout ciues habent ordinem ad se inuicem ,	zqJeH2A
1.2.19	iTCLqGw	si | ouiereconplidamente las riquezas fazer espenssas conuenibles en toda la comunidat | por que los bienes comunes lon en alguna manera diuinales	( si adsit facultas ) | facere decentes sumptus | circa totam communitatem . | facere decentes sumptus | circa totam communitatem . | Nam ipsa bona communia	eF2sRaW, oWzLMeM
1.2.19	m4fOlws	resplandesçe mas fermosa . | mente en toda la comunidat | ¶	valde debiliter repraesentatur | in una persona singulari : sed in tota communitate pulchrius elucescit diuinum bonum . | Tertio magnificus se decenter habere debet	v6Hebhk
