Localisation	Id. source	Segment source	Segment cible	Id. cible
1.3.3	hQ962eZ	Sic etiam antiquitus <b> si perspeximus ciuitatem aliquam dominari et tenere monarchiam : </b> hoc erat , quia ciues pro Republica non dubitabant	Et en essa misma manera avn si cataremos al tp̃o <b> quando alguna çibdat auie señorio e tenie sennorio sobre las otras esto era </b> por que los çibdadanos non duda una de se poner ala muerte	kXFRgxV
1.3.3	nOKzIBW	Dilectatio enim quam habebant Romani <b> ad Rempublicam fecit Romam esse principantem et monarcham . </b> Hoc ergo modo quoslibet homines decet esse amatiuos ,	Ca el amor que auian los romanos al bien comun <b> e publicofizo a Roma ser sennora | e auer sennorio en todo el mundo . </b> Pues que assi es que esto conuiene a todos los omes de ser amadores	huRUGMO, lnEwefg
3.2.3	vUzQKNA	eo quod magis ad unitatem accedat : <b> optima est autem monarchia siue gubernatio unius Regis , </b> eo quod ibi perfectior unitas reseruetur .	e a vna uoluntad los pocos que los muchos . <b> Mas la monarchia o el gouernamiento de vn Rey es muy bueno </b> por que yes fallada mas acabada vnidat ¶	t3z0E6m
3.2.4	ubeJGza	Sed de hoc infra dicetur : <b> ostendetur enim quod sicut monarchia regia est optima ; </b> ita quia maiori bono maius malum opponitur ,	mas desto diremos ayuso mas conplidamente <b> ca mostraremos que assi commo la monarchia | e el prinçipado real es muy bueno </b> assi por que al mayor bien es contrario el mayor mal	zsAy1yu, pD9OaF5
3.2.4	z5RTm0Q	ita quia maiori bono maius malum opponitur , <b> monarchia tyrannica est pessima . </b> Dominari autem plures dominio recto ,	assi por que al mayor bien es contrario el mayor mal <b> por ende el prinçipado thiranico es muy malo | por que es contrario al prinçipado del regno </b> que es muy bueno .	r736BlE, xFRr9uL
3.2.4	nfHZl6T	inquantum tenent locum unius : <b> dominari unum et facere monarchiam , </b> si debito modo fiat ,	en quanto ellos tienen logar de vno <b> el sennorio de vno es meior | e fazer tal monarchia de vno </b> si se faze en manera	mhHvrx2, eMsuPMk
3.2.4	t8g9gEf	sicut forte faceret unus solus : <b> ideo si fiat monarchia </b> et dominetur unus Princeps vel unus Rex in toto principatu vel in toto regno ,	commo por auentra a se arredraria vno solo . <b> Por ende si fuere la monarchia </b> e el sennorio do fuere sen nor vn prinçipe	m7reOTM
3.2.4	kaSYoyW	Non ergo dici poterit <b> talem unum monarchiam non cognoscere multa ; </b> quia quantum spectat	Et pues que assi es non se puede dezer <b> que vn tal monarchia | o tal prinçipe assi fech̃ de muchos que non conogca </b> e non sepa muchͣs cosas .	euPwdLZ, oechMdC
3.2.6	c8ZPn15	decens est tales excessus <b> in ipsa monarchia perfectius reperiri . </b> Decet enim ipsum regem volentem recte regere	que tases aun ataias <b> e tales condiçions buenas sean falladas en el rey mas conplidamente despues que fuere puesto en el prinçipado | que ante ca conuiene </b> que el Rey	sJQ52yb, gUzsEcx
3.2.7	qIRcsEB	vel est pessima : <b> nam si monarchia habet intentionem rectam , </b> tunc est Rex et est optimus principatus :	buencoo es muy malo . <b> ca si el sennor ha la entençion derecha </b> estonçe es Rey	wunadYB
3.2.7	kfuhfov	multa bona efficere : <b> si vero monarchia habet intentionem peruersam , </b> tunc est tyrannus et est pessimus ,	puede fazer muchͣs bueans cosas . <b> Et si por auentura el prinçipe ha la entençion tuerta </b> estonçe es tirano	rXws7HB
