Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.2	qDDCHJx	sirue lascin a quell manyconomica <b> que quiere dezjr gouernamjento de conpanans de casa ¶ al terçero libro sirue la politica </b> que es sçiençia de gouernamjento delas çibdades e del rreyno	ø	ø
1.1.4	tu6fvQk	Enpero del an vida politica e ordenada la qual los theologos llaman vida actiua <b> que quiere dezir vida de bien obrar </b> Et dela vida contenplatian e intellectual	quam Theologi vocant vitam actiuam , <b> et de vita contemplatiua </b> non usquequaque vera senserunt :	neO4RH3
1.1.5	h5YFdQT	que en olimpiedes <b> que quiere dezer en aquellas faziendas </b> o es aquellas batallas	quod in Olimpidiadibus , <b> idest in illis bellis </b> et agonibus	e9CpXwX
1.1.7	wc8FO5X	en el capitulo dela maganimidat <b> que quiere dezir grandeza de coraçon </b> Ca en la opinion del auariento	4 Ethicorum cap’ de Magnanimitate ) <b> quia in opinione auari , </b> et in opinione ponentis	sA35SES
1.1.7	x0Z3XaI	Ca aquel que bien entiende <b> que quiere dezir e quanto lieua este nonbre fin </b> e bien andança non se le puede esconder	qui enim bene intelligit , <b> quid importatur nomine finis , </b> non potest eum latere quemlibet ,	r26C7CE
1.1.10	fd8IGjw	que ensennorear despotice <b> que quiere dezir enssennorear . </b> seruilmente e sobre los sieruos ¶	quam principari despotice , <b> idest dominaliter . </b> Quarto non est ponenda felicitas	tHEnJwQ
1.2.3	eunLGyU	La otra es eutropolia <b> que quiere dezir buena conuerssaçion o buena manera de beuir . </b> Mas la uerdat assi conma aqui fablamos de uerdat	videlicet , Veritas , Affabilitas , et Eutrapelia , <b> quae potest dici bona versio . </b> Est autem Veritas	e0k3Pa2
1.2.3	sPKcelB	mas es bien fablante e curial¶ <b> Mas entropolia que quiere dezir buena conpanma </b> o buena manera de beuir en conpanna es	sed est affabilis , et curialis . <b> Eutrapelia vero siue bona versio , </b> est , quando aliquis sic se habet in ludis ,	fy5nn9v
1.2.6	vuH34x4	en el sexto libro delas ethicas . <b> Eubullia que quiere dezer uirtud para bien coseiar . </b> la otra es por la qual	quam Philosophus Ethic’ 6 appellat eubuliam , <b> idest bene consiliatiua . </b> Alia vero per quam bene iudicamus de inuentis ,	u8uy3xt
1.2.6	j6bI5Fz	la qual llama el philosofo sinesis . <b> que quiere dezir uirtud de bien iudgar </b> ¶ la terçera es uirtud	quam Philosophus appellat synesin , <b> idest bene iudicatiuam . </b> Tertia , per quam praecipiamus	bVoz4QA
1.2.8	hiPldLa	Et enssennable ¶ Espierto ¶ <b> Et prouado ¶ Cauto que quiere dezir conosçedor </b> e escogendor delo meior .	ø	ø
1.2.12	uM9YFTI	por nonbre comunal <b> que quiere dezir cosa clara e cosa apuesta . </b> Et esta estrella algunas vezes nasçe ante del sol	et venustatem communi nomine <b> appellatur Venus . </b> Haec autem stella aliquando praecedit solem ,	k5RB00d
1.2.17	tBYv3Rx	en el quarto libro delas ethicas llama a estos tales non liberales <b> que quiere dezir non francos </b> assi commo son los logreros e los garçons	et non accipiens ea sicut debet , <b> nimis videtur auidus pecuniae . Propter quod Philosophus 4 Ethic’ usurarios , lenones , </b> idest viuentes de meretricio ,	khXsKv6
1.2.19	ixlo6UA	la qual laman magnifiçençia <b> que quiere dezir grandeza en despender . </b> Mas commo en cada cosa	Aliam , quae respicit sumptus magnos , <b> quam magnificentiam nominant . </b> Sed cum magis ,	x64m16k
1.2.19	zXnAvjG	Et estos son llamados pariuficos <b> que quiere dezer omes de poca fazienda </b> e que espienden poco .	ø	ø
1.2.19	gKpTwei	llama los han asos <b> que quiere dezir fuegos e fornos </b> por que estos tałs	Philosophus vero vocat eos chaunos <b> idest ignes et fornaces , </b> quia tales sicut fornax omnia consumunt .	laTRpdE
1.2.21	o31QPPK	e non da delectablemente sin detenimiento <b> aquello que ha de dar non es dicho magnifico mas pariufico que quiere dezir de pequena fazienda . </b> Et por ende dize el philosofo .	et prompte largitur <b> quae largiti debet , | non est magnificus , sed paruificus . </b> Ideo dicitur 4 Ethic’	wjBqZaw, mH80ouG
1.2.22	mAPiiIw	Et estos son dichos magnanimos <b> que quiere dezir omes de grand coraçon ca nos ueemos algunos </b> que dessi son aptos e apareiados	ut magnanimi . <b> Videmus enim aliquos de se aptos ad magna , </b> potentes magna et ardua exercere :	hocehAU
1.2.22	axTabPW	Et estos tałs ̃ llama el philosofo caymos <b> que quiere dezir fumosos e ventosos </b> mas nos podemos los llamar prasunptuosos	quos Philosophus vocat chaunos , <b> idest fimosos et ventosos . </b> Nos autem eos praesumptuosos vocare possumus .	hYbdZl6
1.2.26	kI35bee	que dizen latun meses sobuios e alabadores de ssi <b> que quiere dezir alabadores </b> que se alaban	Lacedaemones scilicet , <b> iactatores et superbos appellat : </b> quia ultra quam eorum status requireret ,	on1aNyH
1.2.28	ucjC9g4	e resçibiendo los <b> assi commo deuemos somos amigables e afabiles que quiere dezir amigos bien fablantes . </b> Pues que assi es non es otra cosa	et recipiendo ipsos <b> ut debemus , | sumus amicabiles , et affabiles . </b> Nihil est ergo aliud amicabilitas , siue affabilitas ,	j6nkJJP, uHVMdrE
1.2.28	o5uA0wl	la qual el philosofo llama heutropeliam <b> que quiere dezir buena conpanina . </b> Et pues que assi es si quisieremos bien couerssar partiçipando con los otros	et debita iocunditas , <b> quam eutrapeliam vocat . </b> Communicando igitur cum aliis ,	ha7bAlh
1.2.29	eXPY6ET	Et estos llama el philosofo yrones <b> que quiere dezir escarnidores e despreçiadores dessi mismos . </b> Et pues que assi es conuiene de dar alguna uirtud medianera	quos Philosophus vocat irones , <b> idest irrisores , et despectores . </b> Oportet ergo dare aliquam virtutem mediam ,	hSVZwah
1.2.32	sjttJ4a	es llamada del philosofo eroyca <b> que quiere dezir prinçipante e sennor ante </b> por que es señora delas otras uirtudes	appellatur a Philosopho heroica <b> idest principans , et dominatiuat . </b> Ex hoc ergo manifeste patet ,	sfJ15Jf
1.3.1	tj46CLJ	partese en apetito iraçibile <b> que quiere dezir enssannador e concupiçible </b> que quiere dezir desseador .	Sensitiuus autem appetitus <b> ( ut supra diffusius diximus ) diuiditur in irascibilem , et concupiscibilem . </b> Praedictae ergo passiones sic distinguuntur ,	jQfT5Yi
1.3.1	wh5r30a	que quiere dezir enssannador e concupiçible <b> que quiere dezir desseador . </b> Et por ende las sobredichas passiones	Sensitiuus autem appetitus <b> ( ut supra diffusius diximus ) diuiditur in irascibilem , et concupiscibilem . </b> Praedictae ergo passiones sic distinguuntur ,	jQfT5Yi
