Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.10	umHPCB1	ad se inuicem , <b> et ad rempublicam , </b> et ad legislatores seu ad ipsum Regem ,	Pues que assi es en quanto los çibdadanos han orden assi mismos <b> e al bien comun e al fazedor dela ley . </b> al Rey en tanto ha de seer en ellos estas dos iustiçias legal e ygual .	uO4YOcD
1.2.10	i5NZT7e	Rursus contingit inaequalitas in distributionibus , <b> quia aliquando aliqui plus laborantes pro Republica , </b> minus accipiunt :	e en los partires . <b> Ca alas vezes algunos trabaian mas por la comunidat </b> e resçiben menos ante esta iustiçia	cJ2jra6
1.2.21	hZO9dq1	erga cultum diuinum , <b> et erga rempublicam , </b> et circa personas dignas ,	assi commo quando alguno granadamente sea en la honrra de dios <b> e en el bien comun </b> e en las personas dignas de honrra .	hRH68zb
1.2.27	cGLVizX	vel propter amorem Reipublicae <b> quia sine ea Respublica durare non posset . </b> Quare si quis in tantum esset mitis ,	o por amor de la comunidat <b> por que sin ella la comunidat non podrie durar . | por la qual cosa si el Rey o el prinçipe </b> o otro qual si quieren tanto quisiesse ser mansso	pm8sGRF, nfYHOTd
1.3.3	sCpiWZU	si perspeximus ciuitatem aliquam dominari et tenere monarchiam : <b> hoc erat , quia ciues pro Republica non dubitabant </b> se morti exponere .	quando alguna çibdat auie señorio e tenie sennorio sobre las otras esto era <b> por que los çibdadanos non duda una de se poner ala muerte </b> por el bien comun de todos .	zNVaU4T
2.2.17	vKkU2sy	oporteat aliquando sustinere fortes labores <b> pro defensione reipublicae : </b> omnes volentes viuere tali vita	conuiene les de sofrir alguas uegadas fuertes trabaios <b> por defendemiento dela tierra . </b> Et por ende desde los xiiij̊ annos adelante deuen se acostunbrar a fuertes trabaios	lk9wTzZ
2.2.17	lJNh8KQ	quod si aduenerit tempus et congruitas <b> quod respublica defensione indigeat , </b> habeant corpus sic dispositum ,	assi que si viniere tienpo <b> en que la tierra aya meester defendimiento ayan el cuerpo o bien ordenado </b> por que puedan tomar trabaios	aCG3xBd
2.2.17	vyAnHK0	ut possint tales subire labores , <b> ut per eos respublica possit defendi . </b> Qui autem magis et qui minus sunt assuescendi ad tales labores ,	por que puedan tomar trabaios <b> e pueda defender la tierra . </b> Mas quales son de acostunbrar	aZTqhxs
2.2.20	gsF1mCf	et non vacant ciuilibus operibus , <b> nec regiminibus reipublicae ; </b> si mens humana	çerca <b> quales si quier obras | nin c̃ca los gouernamientos dela comunidat nin dela çibdat </b> Si la uoluntad del omne	cO0AVZS, tDsuaPW
3.2.17	rIfeQMW	ait , quod fidum et altum erat <b> secretum consistorium reipublicae , </b> silentique salubritate munitum :	e muy alto era conssisto <b> no secreto dela comunidat de roma </b> alos quel guardananca era guaruido de grant fialdat .	j6Jxh0r
