Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.10	d68EAwv	tomadaquello que tal prinçipado <b> e tal sennorio non dura mucho ¶ </b> La segunda daquello que tal prinçipado	ex eo quod talis principatus <b> non multum durat . </b> Secunda , ex eo quod esse potest	zsmy14M
1.1.10	vcDoXc0	La segunda daquello que tal prinçipado <b> e tal sennorio puede seer </b> sin bondat deuida ¶	Secunda , ex eo quod esse potest <b> sine bonitate vitae . </b> Tertia vero , ex quod est indignus .	eOdts12
1.1.10	yqe5QOM	e non alos mayores <b> ¶La quinta daquello por que tal sennorio </b> en la mayor parte faze gerat danno¶	ad minora bona . <b> Quinta vero , ex eo quod tale dominium </b> ut plurimum infert nocumentum .	beYd7gY
1.1.10	drLbjEY	et la bien andança non es de poner en este poderio çiuil . <b> Por que este sennorio non es muy bueno nin muy digno . </b> Ca si la feliçidat	non est ponenda felicitas , <b> quia huiusmodi Principatus non est optimus , | nec est dignus . </b> Si enim felicitas	eiYaPeL, aUoInGx
1.1.10	cbfjrVw	Ca si la feliçidat <b> e la bien andança deue ser puesta en algun sennorio deue seer puesta en sennorio . </b> muy bueno e muy digno .	Si enim felicitas <b> in aliquo Principatu poni debet , </b> ponenda est in Principatu optimo , et digno .	yt0kgj5
1.1.10	pRFWZ2B	e non alos libres que han libertad . <b> Ca tal señorio es sennorio </b> por costrinimiento e por fuerça¶	non liberis : <b> nam talis Principatus est </b> per coactionem , et violentiam .	dNqkeRI
1.1.10	k0I9Uic	pues que assi es commo los prinçipados <b> e los sennorios se estiendan </b> segunt aquellos a quien	per coactionem , et violentiam . <b> Cum ergo Principatus se extendant adinuicem , </b> secundum eos quibus aliquis principatus ,	sPLiO9z
1.1.10	s3TKVYs	poner la su bien andança en el poderio çiuiles <b> por que este sennorio faze grant danno en las mas cosas . </b> Ca commo la feliçidat	quia huiusmodi principatus infert <b> ut plurimum nocumentum . </b> Nam cum felicitas sit finis omnium operatorum ,	jmhaCoq
1.2.7	lhIiDWZ	que el su prinçipadgo <b> e el su sennorio non se torne en tirania </b> que es señorio malo e desigual	Secundo studere debet , <b> ne suus principatus in tyrannidem conuertatur . </b> Tertio studere debet ,	tZb1HzW
1.2.7	kNozQcJ	pues que assi es do quier que ay mengua de sabiduria ay naturalmente seruidunbre . <b> Et do quier que ay sabiduria ha naturalmente sennorio . </b> Por ende sienpre el prinçipe deue auer sabiduria .	Ubicunque igitur hoc naturaliter seruit , <b> et illud natureliter dominatur , </b> semper principans pollet prudentia , a qua deficit	a4NVU72
1.2.12	xkuvsKQ	fasta que son puestos en alguna dignidat <b> o en algun prinçipado de sennorio . Ca quando algun omne non ha de gouernar </b> si non assi mismo non paresçe bien	nisi constituantur in aliquo principatu . <b> Nam quandiu aliquis non habet regere | nisi seipsum , </b> non plene apparet qualis sit ,	eALPSjK, ddvGqfu
1.2.12	h720WeG	quales nin es conostida la su bondat acabadamente ¶ <b> Mas quando es puesto en algun prinçipado o en algun sennorio </b> por que la su bondat se ha de estender a otros	nec perfecte cognoscitur bonitas eius . <b> Sed quando constituitur | in principatu aliquorum , </b> quia oportet ,	pthIAJi, kl6WzrC
1.3.3	kXFRgxV	Et en essa misma manera avn si cataremos al tp̃o <b> quando alguna çibdat auie señorio e tenie sennorio sobre las otras esto era </b> por que los çibdadanos non duda una de se poner ala muerte	Sic etiam antiquitus <b> si perspeximus ciuitatem aliquam dominari et tenere monarchiam : </b> hoc erat , quia ciues pro Republica non dubitabant	hQ962eZ
