Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.2	omfZcKP	et quomodo esse habent in intellectu et <b> Ostenso , </b> quod nec in potentiis naturalibus ,	que en estos tales sean puestas las uirtudes morales <b> ues ya es mostrado </b> que las uirtudes ¶ morales non son en los poderios naturales	alfsllD
1.2.19	bESBasG	circa personas dignas , <b> et circa seipsum . Ostenso quid est magnificentia , </b> et circa quae habet esse :	fechas cerca las personas dignas <b> e çerca la su persona miłma ¶ | Mostrado que cosa es la magnificençia </b> e cerca quales cosas ha de ser ligeramente	gvMgIuf, zMv72Rx
1.2.22	cFErsiD	et parum bene fortunatum extolli . <b> Ostenso quid est magnanimitas , </b> et circa quae habet esse .	e en poto bien auenturado se leunata en vana eglesia <b> ¶Mostrado que cosa es la magnan midat </b> e cerca quales cosas ha de ser sinca de demostrar	ry4bbXx
1.2.29	svwWSJ9	propter onerosas esse superabundantias . <b> Ostenso quid est veritas </b> de qua loquimur ,	por la sobrepuiança de carga . <b> ¶ Visto que cosa es la uerdat </b> dela qual aqui fablamos	qUWoc4N
1.3.3	wQL8XRj	esse debet quid amandum . <b> Ostenso ergo quomodo Reges et Principes </b> quodam speciali modo prae aliis debent	que cosa ha de amar <b> Et por ende mostrado | que los Reyes et los prinçipes </b> por alguna manera especial sobre todos los otros deuen amar el bien diuinal	xpL4HQs, fIebZo4
2.1.20	jCocsL2	uxorem propriam honorifice pertractare . <b> Ostenso , quomodo decet viros suis uxoribus moderate et discrete </b> uti ,	segunt su estado de tractar muy honrradamente a su muger . <b> ¶ Mostrado en qual manera conuiene alos maridos usen de sus mugers </b> sabiamente e tenprada mente .	vNZzUlD
2.2.10	bfGxjUY	quod ab infantia assueuit . <b> Ostenso , quomodo instruendi sunt </b> iuuenes quantum ad loquelam , et visionem :	en que es acostunbrado de su moçedat . <b> ¶ Mostrado en qual manera son de enssennar los moços </b> e los mançebos quento ala fabla	bATDPSh
2.2.13	jwLpIxT	supra , cum egimus de regimine coniugali , diffusius diximus . <b> Ostenso , </b> quomodo iuuenes debent esse abstinentes in cibo ,	quando dixiemos del gouernamiento del casamiento <b> ostrado en qual manera los as . moços deuen ser guardados enla vianda </b> e mesurados enel beuer	kf8YZcN
2.2.17	uQ5Ft9w	vel usu propriae coniugis sint contenti . <b> Ostenso , quomodo in iuuenibus a quartodecimo anno ultra est bene disponendum corpus , </b> et rectificandus appetitus :	e sean continentes e pagados de sus mugers propraas ¶ <b> Mostrado en qual manera es de ordenar bien el cuerpo </b> e enderescar el appetito en los mançebos de los xiiij̊	yTRXV2N
2.2.21	vcXLeTW	circa quae opera deceat foeminas esse intentas . <b> Ostenso , </b> quod non decet puellas esse vagabundas ,	que las mugers fuesen acuçiosas . <b> ostrado que non conuiene alas moças de andar uagarosas a quande e allende </b> nin les conuiene de beuir ociosas	oHNT480
2.3.19	d2u4bPV	sed ne regia dignitas contemnatur . <b> Ostenso qualiter ministris sunt officia committenda , </b> et quomodo sunt erga eos solicitandi ,	por que non sea despreçiada la dignidat real <b> mostrado en qual manera se deuen dar los ofiçios a los seruientes </b> e en qual manera deuen ser acuçiosos çerca ellos	iEFjSJL
