Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.5	ksEAKmz	et agonibus <b> non coronantur fortissimi , </b> sed agonizantes :	o es aquellas batallas <b> non son coronados los muy fuertes </b> mas los bien lidiantes	hPA8dW8
1.1.5	bSUrZ3B	sed agonizantes : <b> qui enim fortissimi sunt , </b> potentes agonixare ,	mas los bien lidiantes <b> ca los que son muy fuertes pueden lidiar . </b> Enpero si non lidiaren de fech̃o non les es deuida corona ¶	oQX64e9
1.1.10	sDL3UyJ	( secundum eundem Vegetium ) <b> hoc esse debet principalissimum in intentione Principis , </b> quod abundet in ciuili potentia ,	e todas las gentes . <b> ¶ Por la qual cosa segunt este philosofo vegeçio esto deue ser la cosa mas prinçipal | en la entençion del prinçipe </b> que abonde en poderio ciuil que es poderio de çibdat e de regno	pkxmUt9, vhMdJAt
1.2.2	sgyKhpR	et difficilis : <b> nam arduitas , et difficultas potissime sunt repugnantia , et prohibentia , </b> ne possimus consequi bonum ,	Ca la fortaleza e la graueza son cosas <b> que nos enbargan mucho | e nos retienen </b> por que non podamos seguir el bien	sDahFsY, efCiI3M
1.2.12	lp04bbD	Unde 5 Ethic’ dicitur , <b> quod praeclarissima virtutum videtur esse Iustitia : </b> et neque Hesperus ,	Et por ende dize el philosofo <b> en el quinto libro de las ethicas que paresçe que la iustiçia es muy mayor | e mas respladeciente entre todas . </b> las uirtudes .	z10q2hK, ghh3PVH
1.2.12	jTHblyK	Si ergo decet Reges et Principes <b> habere clarissimas virtutes </b> ex parte ipsius Iustitiae ,	Et pues que assi es si conuiene alos Reyes <b> e alos prinçipes de auer | muy claras </b> uirtudes paresçe de parte dela iustiçia	lAm6gtW, kYySd6k
1.2.12	rgdVw3g	ex parte ipsius Iustitiae , <b> quae est quaedam clarissima virtus , probari potest , </b> quod decet eos obseruare Iustitiam .	uirtudes paresçe de parte dela iustiçia <b> que es muy clara uirtud | que se puede prouar </b> que conuiene alos Reyes	ksoC3fG, tu8xJam
1.2.14	jXWUBtP	unde ait Philosophus , <b> quod secundum hanc Fortitudinem fortissimi videntur esse </b> apud illas gentes ,	Onde dize el philosofo <b> que segunt esta manera de fortaleza | aquellos son dichos muy fuertes </b> que quieren gauar honrra entre aquellas gentes .	bGowOhs, gvEkivy
1.2.16	uCWwA97	maxime prouocant alios contra se . <b> Et quia potissime timendum est Regibus et Principibus , </b> ne furor populi incitetur contra eos ,	Por ende mucho mueuen alos pueblos en sanna contra si . <b> Et por que mucho han de temer los Reyes | e los prinçipes </b> que el pueblo non se leuate en sanna contra ellos	hoyu7QU, wPBNVWv
1.2.18	qjhyJvg	quia per eam homines communicant sua bona , <b> per quam communicationem ab aliis potissime diliguntur : </b> nam liberales sunt potissime amabiles .	por que por ellas los omes parten los sus bienes <b> por la qual participaçion se departen estri̊madamente de los otros . </b> Ca los liberales son estrimadamente amables e de amar	r2HomME
1.2.18	vPlVlf8	per quam communicationem ab aliis potissime diliguntur : <b> nam liberales sunt potissime amabiles . </b> Quare si maxime decet Reges et Principes ,	por la qual participaçion se departen estri̊madamente de los otros . <b> Ca los liberales son estrimadamente amables e de amar </b> por la qual razon si mucho conuiene alos Reyes	nuwPOf2
1.2.19	tWCqMwX	ut circa personas honore dignas . <b> Nam in hoc potissime apparet magnificentia , </b> quando quis magna facit	que son dignas de honrra . <b> Ca en esto paresçe mayormente la magnificençia </b> quando alguno faze grandes bienes	lBqfkit
1.2.21	cWtZmex	opus optimum , <b> et decentissimum , </b> quam qualiter ,	en qual manera faga obra muy buena <b> e muy conuenible que entender en qual manera </b> e quanta despenssa fara en aquella obra .	tYwZ7TP
1.2.27	yNqsBbi	Quidam autem sunt irascibiles , <b> omnem iniuriam dissimulantes . </b> Quorum neutrum bonum est .	Et otros son que en la sanna encubren mucho <b> e asconden la miuria delas quales dos cosas ninguna non es buena </b> por que enssannar se de qual se quier cosa	iqPVsNw
1.2.31	nbIB6t4	secundum suam facultatem sunt vere , <b> et perfecte liberales propinquissimum est , </b> ut sint magnifici :	Empero si los pobres segunt su poder son uerdaderamente <b> e acabadamente liberales muy cercanos son para ser magnificos </b> por que si abondassen en los bienes de fuera	tDxz3VJ
1.3.3	xDl0c4L	Erit magnificus ; <b> quia secundum Philosophum 4 Ethic’ magnificentia potissime habet </b> esse circa diuina , et communia .	et ahun sera magnifico . <b> Ca segunt el philosofo | en el quarto libro delas ethicas </b> la magnificençia	dfJF4qH, r6zTHN8
1.3.3	kOW5x4k	ex amore sumit originem ; <b> potissimum ergo in intentione cuiuslibet </b> esse debet quid amandum .	e nasçençia del amor <b> Et pues que assi es la prinçipal entençion de cada vno deue ser </b> que cosa ha de amar	vu6nJ68
