Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.5	ksEAKmz	et agonibus <b> non coronantur fortissimi , </b> sed agonizantes :	o es aquellas batallas <b> non son coronados los muy fuertes </b> mas los bien lidiantes	hPA8dW8
1.1.5	bSUrZ3B	sed agonizantes : <b> qui enim fortissimi sunt , </b> potentes agonixare ,	mas los bien lidiantes <b> ca los que son muy fuertes pueden lidiar . </b> Enpero si non lidiaren de fech̃o non les es deuida corona ¶	oQX64e9
1.2.12	lp04bbD	Unde 5 Ethic’ dicitur , <b> quod praeclarissima virtutum videtur esse Iustitia : </b> et neque Hesperus ,	Et por ende dize el philosofo <b> en el quinto libro de las ethicas que paresçe que la iustiçia es muy mayor | e mas respladeciente entre todas . </b> las uirtudes .	z10q2hK, ghh3PVH
1.2.12	jTHblyK	Si ergo decet Reges et Principes <b> habere clarissimas virtutes </b> ex parte ipsius Iustitiae ,	Et pues que assi es si conuiene alos Reyes <b> e alos prinçipes de auer | muy claras </b> uirtudes paresçe de parte dela iustiçia	lAm6gtW, kYySd6k
1.2.12	rgdVw3g	ex parte ipsius Iustitiae , <b> quae est quaedam clarissima virtus , probari potest , </b> quod decet eos obseruare Iustitiam .	uirtudes paresçe de parte dela iustiçia <b> que es muy clara uirtud | que se puede prouar </b> que conuiene alos Reyes	ksoC3fG, tu8xJam
1.2.14	jXWUBtP	unde ait Philosophus , <b> quod secundum hanc Fortitudinem fortissimi videntur esse </b> apud illas gentes ,	Onde dize el philosofo <b> que segunt esta manera de fortaleza | aquellos son dichos muy fuertes </b> que quieren gauar honrra entre aquellas gentes .	bGowOhs, gvEkivy
1.2.21	cWtZmex	opus optimum , <b> et decentissimum , </b> quam qualiter ,	en qual manera faga obra muy buena <b> e muy conuenible que entender en qual manera </b> e quanta despenssa fara en aquella obra .	tYwZ7TP
1.2.31	nbIB6t4	secundum suam facultatem sunt vere , <b> et perfecte liberales propinquissimum est , </b> ut sint magnifici :	Empero si los pobres segunt su poder son uerdaderamente <b> e acabadamente liberales muy cercanos son para ser magnificos </b> por que si abondassen en los bienes de fuera	tDxz3VJ
2.1.15	zCMh6Yn	et dirigitur <b> a sapientissimos artifice </b> ut a Deo , nihil agit superfluum ,	por que es mouida <b> e gada de maestro muy sabio </b> assi commo de dios	nPceaat
2.1.15	yLtRCfv	et quicquid natura praeparatur , <b> oportet ordinatissimum esse : </b> quia ille naturam dirigit ,	por la natura <b> conuiene que sea muy ordenado . </b> Ca aquel gnia la natura de que viene todo ordenamiento	rvuHMy7
2.2.21	azIKJ6y	in locutionem incautam , <b> haec videtur esse potissima , </b> ut nullum sermonem proferat ,	para fablar la cosa <b> que non ha penssada esta paresçe muy grande </b> que ninguno non diga	uarKxHc
3.1.2	uUXCixJ	et aliud virtuose viuere . <b> Nam esse latissimum est , </b> ut dicitur in libro de Causis :	e otra cosa es beuir uirtuosamente <b> por que el seres cosa muy general | e muy ancha </b> assi commo es dicho en el libro de causis	wVtCj80, aKSAJRK
3.1.7	ixXGpqS	arguitur esse summe bonus . <b> Videtur ergo ciuitas esse potissime bona , </b> si sit potissime una ;	que dios es muy bueno <b> e por ende paresçe que la çibdat es muy | buenasi fuere muy vna . </b> Et pues que assi es quanto mas se allega a vnidat	hAZQg1y, xdOtvYI
3.2.4	jKwF9LN	cum ipse pluries dicat in eisdem politicis , <b> regnum esse dignissimum principatum : </b> inter principatus enim rectos ,	en esse mismo libro delas politicas <b> que el regno es prinçipado muy digno </b> por que entre los prinçipados derechs el prinçipado de vno	r53kD1G
3.2.4	qC1Rsat	Censendum est igitur , <b> regnum esse dignissimum principatum , </b> et secundum rectum dominium melius est dominari unum ,	Et pues̃ que assi es deuemos otorgar <b> que el regno es prinçipado muy digno </b> e segut derech	jYjpOgW
3.2.7	iQMXBMx	Secunda , ex eo quod est maxime innaturale . <b> Tertia , ex eo quod est efficacissimum ad nocendum . </b> Quarta , ex eo quod impedire habet	muchodes natural ¶ <b> La terçera se toma | por razon que tal prinçipado es muy afincado por enpesçer . </b> la quarta por razon que tal prinçipado ha de enbargar	dXOtBYn, fA3wtNG
3.2.7	atrUY8F	quod sicut Regnum est optima <b> et dignissima politia , </b> sic tyrannis est pessima :	Et esta razon tanne el philosofo çerca el comienço del quarto libro delas politicas . <b> do dize que assi conmo el regno es muy buena et muy digna poliçia . </b> assi la tirania es muy mala	psn6zSi
3.2.7	as2lWyI	ex eo quod talis principatus <b> est efficacissimus ad nocendum . </b> Nam sicut principatus Regis	¶La terçera razon se toma <b> por que tal prinçipado es muy afincado para enpeesçer . </b> casi commo el prinçipado del Rey	zeDaLpb
