Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.6	vJLkXFY	escodrinnar maneras e sotilezas <b> por que podamos tomar aquel castiello ¶ </b> Lo segundo deuemos iudgar de aquellas carreras e maneras que fablamos	et cogitandi essent modi , <b> per quos castrum istud capi posset . </b> Secundo iudicandum esset	ggxCn7P
1.3.6	lbmwCQb	temen <b> luego fuyen alos castiellos e alas torres . </b> En essa misma manera	in campis timent , <b> statim confugiunt ad castrum , vel ad arcem : </b> sic cum quis timet ,	vuK8HWK
3.1.6	gZVhHTT	assi commo sy muchͣs çibdades <b> o muchs castiellos se ayuntassen en vno </b> por amistança	fieri constitutio regni , <b> ut si multae ciuitates et castra simul confoederarentur et concordarent , </b> ut sub uno rege existerent ,	xjjS1ss
3.2.9	cQeJHFd	Lo septimo conuiene al uerdadero Rey de conponer <b> e guarnesçer las çibdades e los castiellos que son en el su regno </b> assi que parezca mas ser procurador del bien comun	Septimo decet verum Regem ornare <b> et munire ciuitates | et castra existentia in regno , </b> ut appareat magis esse procurator communis boni ,	tw60v2Y, uQbrDSK
3.3.8	yHcCwgS	que estando la hueste sin carcauas <b> e sin castiellos o otros defendimientos non cuydando </b> que sus enemigos estan çerca vienen a desora los	Contingit autem pluries diuino et nocturno tempore , <b> quod , exercitu absque fossis et castris existente , </b> et non credentes hostes esse propinquos ,	yE1N9fg
3.3.8	s9tBJVN	que lieuan consigo assi commo vna çibdat guarnida . <b> Visto commo es cosa prouechable a la hueste fazer carcauas e costruir guarniçiones e castiellos . </b> finca de demostrar en qual manera las tales guarniciones	Viso utile esse <b> circa exercitum facere fossas | et construere castra : </b> restat ostendere ,	d5GR05A, s72dmkO
3.3.8	yf6acN0	finca de demostrar en qual manera las tales guarniciones <b> et los tales castiellos se deuen fazer . </b> Ca si los enemigos non estudieren cerca de ligero pueden fazer carcauas çerca de la hueste	quomodo huiusmodi monitiones <b> et castra sunt construenda . </b> Nam si hostes sunt absentes	opWb33O
3.3.8	t3taH4T	e leuantar <b> guarnicoñes e fazer castiellos . </b> Mas si los enemigos fueren cerca	facile est fossas circa exercitum fodere , <b> munitiones erigere et castra construere . </b> Sed si aduersarii praesentes adsint ,	hSlQvdx
3.3.8	fVFS0VG	graue cosa es de guarnescer la hueste <b> e de fazer castiellos . </b> Ca en tal caso commo este dos cosas son menester .	Sed si aduersarii praesentes adsint , <b> difficilius est castra munire . </b> Sunt enim in tali casu duo necessaria ,	yM8dtMG
3.3.8	zSVhbkc	Lo primero estar e lidiar contra los enemigos <b> Lo segundo fazer los castiellos . </b> Pues que assi es en tal auenemiento conmo este	videlicet hostibus resistere , <b> et castra construere . </b> In tali ergo euentu	wRx6qqf
3.3.8	jRlXQf4	e manden a cada vno qual cosa deua fazer . <b> Mostrado que prouechosa cosa es de fazer los castiellos . </b> avn en qual manera los enemigos presentes son de fazer los castiellos	quod ipsum oporteat facere . <b> Ostenso utile esse castra construere , </b> et qualiter etiam praesentibus hostibus construenda sint castra :	awsSk6z
3.3.8	jCiB5jn	quales cosas son de penssar <b> en el fazimiento de los castiellos . </b> Por que en el fazimiento de las carcauas	quae sunt attendenda <b> in constructione castrorum . </b> In faciendis enim fossis ,	c0fTQ4k
3.3.8	s1Bmq36	quales cosas deuen ser <b> penssadas çerca de los assentamientos de los castiellos . </b> Conuiene de declarar	Declarato ergo quae sunt attendenda <b> circa situm castrorum : </b> declarandum est ,	sET5pho
3.3.8	uRnKRC9	por do ha de salir la hueste . <b> Avn deuen se poner en los castiellos pendones algunos o algunas senales </b> para espantar los enemigos	vel circa quam protectus est exercitus . <b> Sunt etiam in castris ponenda insignia ad terrendum hostes : </b> et etiam ad hoc ,	bhpGpTv
3.3.8	k8ZCX8n	para espantar los enemigos <b> e avn si contesçiere que algunos se ayan de alongar de la hueste de los castiellos . </b> vistas aquellas señales	et etiam ad hoc , <b> ut si contingat aliquos | de exercitu elongare a castris , </b> visis insignis melius sciant ad castra redire .	rGIFwgN, jHvIxaU
3.3.8	xGt6znY	vistas aquellas señales <b> sepan meior tornar a la hueste o a los castiellos . </b> Et estas cosas assi dichas finca de uer	de exercitu elongare a castris , <b> visis insignis melius sciant ad castra redire . </b> His itaque pertractatis superest videre	w5CiA87
3.3.8	jrxKA6v	en qual manera de guarnimiento es de catar <b> en el fazer de los castiellos . </b> Ca si la hueste mucho ouiere de morar	quis munitionis modus attendendus sit <b> in constructione castrorum . </b> Nam si exercitus diu	jsAdqUD
3.3.8	eg9Bzcp	Et pues que assi es si assi fueren fechas las carcauas <b> e los castiellos podra la hueste estar segura . </b> a assi commo paresçe par las cosas ya dichas	sic fossis factis , <b> poterit exercitus morari securus . </b> Ut patet per habita ,	rKL2Ld1
3.3.16	vmde4Fp	e de las çibdades <b> e de los castiellos a lidiar al canpo . </b> Mas ellos acometen aquellas villas	quod hostes de munitionibus exeuntes vadant <b> bellare ad campum , </b> sed ipsi munitiones inuadunt	gUCtowC
3.3.16	dUe0NKr	Mas ellos acometen aquellas villas <b> e aquellos castiellos e çercanlos . </b> e tal manera de batalla	sed ipsi munitiones inuadunt <b> et obsident illas . </b> Tale genus pugnae communi nomine	xGi7orE
3.3.16	lI0EP2H	Mas ellos acometen las villas <b> e los castiellos o las fortalezas e los çercan . </b> assi contesçe que alguno lidiadores son tan pocos et tan flacos	ut non expectant hostes exire ad campum , <b> sed ipsas munitiones obsideant et inuadant : </b> sic contingit aliquos esse adeo paucos et tam debiles ,	gOxzkZS
3.3.16	wMCmLuJ	Ca si en toda batalla es algun acometemiento en alguna manera . <b> Enpero quando alguno o algunos çercan villas o castiellos o fortallezas </b> mas dezimos que aquellos acometen que se defienden .	Nam etsi in omni pugna est aliquo modo inuasio et defensio : <b> attamen cum quis obsedit munitiones , et castra , </b> magis dicitur alios inuadere	w36osqL
3.3.16	fjXlWG6	mas es acometemiento que defendimiento . <b> Mas en la batalla en que se los omnes defienden en villas o en castiellos o en las fortalezas . </b> mas es ay defendemiento que acometemiento .	In bello vero <b> quo quis se tuetur | in munitionibus et castris , </b> magis est ibi defensio ,	z07ZP5g, toMbcVu
3.3.16	hqkZhPS	Ca algunas uezes acometen batalla canpal e en el canpo . <b> Et algunas vezes çerca villas o castiellos o fortalezas . </b> Et avn algunas vezes contesçe que algunos otros çercan sus villas o sus castiellos .	Nam aliquando committunt campestre bellum . <b> Aliquando vero obsident munitiones et castra . </b> Contingit etiam aliquando aliquos	twbgeyG
3.3.16	mWFQlDF	Et algunas vezes çerca villas o castiellos o fortalezas . <b> Et avn algunas vezes contesçe que algunos otros çercan sus villas o sus castiellos . </b> Por la qual cosa les conuiene de vsar de batalla defenssiua para se defender .	Aliquando vero obsident munitiones et castra . <b> Contingit etiam aliquando aliquos | inuadere aliquas munitiones eorum ; </b> propter quod eos oportet	jydc2kl, n6SXBXc
3.3.16	nkxuEyp	contesçe tomar e vençer las villas <b> e los castiellos e fortalezas . </b> fincanos de dezir	cum per huiusmodi pugnam <b> contingat obtineri et deuinci munitiones et urbanitates : </b> restat dicere quot modis talia deuinci possunt .	jxrIvXe
3.3.16	zxJwNSI	Et conuiene de saber <b> que son tres maneras de ganar las fortalezas e los castiellos . </b> Conuiene saber .	restat dicere quot modis talia deuinci possunt . <b> Est autem triplex modus obtinendi | munitiones et castra , </b> videlicet , per sitim , famem , et pugnam .	cycVSiR, jZBAEZm
3.3.16	r0olaWN	las fortalezas cerradas <b> finca de demostrar en que tienpo es meior de çercar las çibdades e las castiellos . </b> Et por ende conuiene de saber	restat ostendere , <b> quo tempore melius est | obsidere ciuitates et castra . </b> Sciendum itaque quod tempore aestiuo	sWjLQS9, q0qfoeW
3.3.17	amlQjFq	deuen fincar las tiendas <b> e el real alueñe de la çibdat o del castiello cercado </b> quanto podrie lançar la vallesta o el dardo	longe a munitione obsessa saltem <b> per ictum teli </b> vel iaculi debent castrametari ,	rdRx47r
3.3.17	jIWuD3h	e a los mas fuertes adarues del <b> castielloo de la çibdat çercada . </b> Et por cueuas deuen venir	ad maiores munitiones <b> et ad maiora moenia castri , vel ciuitatis obsessae , </b> et per similes vias subterraneas est similiter faciendum circa ea ,	kfn9H24
3.3.17	aSObmYM	por las cueuas soterrañas <b> assi que por ellas puedan entrar a la çibdat o al castiello . </b> Et estas cosas todas deuense fazer muy encubiertamente	diuertendo vias subterraneas , <b> ut per eas possit | haberi ingressus ad ciuitatem et castrum : </b> quae omnia latenter fieri possunt	yDvNWDA, e8hEHZ5
3.3.17	vxFHdSb	Et por aquellas cosas soterrañas <b> ayan entrada al castiello o a la çibdat </b> e por la entrada que se faze	et munitiones suffossae : <b> et per vias subterraneas fiat ingressus ad castrum , vel ad ciuitatem : </b> et per aditum factum ex muris cadentibus reliqui obsidentes ingrediantur castrum ,	pSYOFYL
3.3.17	y4nP32b	en la çibdato <b> en el castiello çercado </b> e assi podran ganar aquellas fortalezas .	et per aditum factum ex muris cadentibus reliqui obsidentes ingrediantur castrum , <b> vel ciuitatem obsessam : </b> et sic poterunt obtinere illam .	ynfvi7m
3.3.18	eYHLD7o	que lançan piedras <b> o por castiellos que se pueden enpuxar </b> fasta las menas del castiello o de la çibdat cercada .	sicut per machinas lapidarias , <b> vel per aedificia propulsa usque ad moenia castri , </b> vel ciuitatis obsessae ,	pvYfjkO
3.3.18	c2wFy6B	o por castiellos que se pueden enpuxar <b> fasta las menas del castiello o de la çibdat cercada . </b> Conuiene de vsar de tales armadijas o de tales armamientos	vel per aedificia propulsa usque ad moenia castri , <b> vel ciuitatis obsessae , </b> oportet talibus uti argumentis	kl8UKI1
3.3.18	hJl2LoO	Et pues que assi es aquel <b> que çerca algun castiello o alguna çibdat </b> si la quiere tomar	Illae igitur <b> qui obsidet castrum aut ciuitatem aliquam , </b> si vult eam impugnare	mrb9QkL
3.3.18	oJ66qLX	o en todas aquellas maneras de lançar <b> que dichas son o en algunas o en alguna dellas podra acomter el castiello o la çibdat cercada . </b> Ca si conplidamente sopiere todas estas maneras de engennios	vel omnibus praefatis modis proiiciendi , <b> vel aliquibus | sine aliqua praedictarum machinarum , castrum , vel ciuitatem obsessam poterit impugnare . </b> Si enim plena notitia habeatur de machinis ,	cmfLmpm, aSytkzK
3.3.19	rQZLxLo	por los artifiçios de madera enpuxados <b> e allegados a los muros del castiello o de la çibdat . </b> Et estos artifiçios pueden se adozir a quatro maneras .	per aedificia impulsa ad muros , <b> vel ad moenia castri , | vel ciuitatis obsessae . </b> Huiusmodi autem aedificia	elXdzgB, gqhHW3h
3.3.19	tSdyrUO	que y estan cauan los muros de la fortaleza <b> e en castiella a estos artifiçios llaman gatas . </b> Et es este artifizo muy prouechoso	et impellendum usque ad muros munitionis obsessae ; <b> sub quo homines existentes fodiunt muros illos . </b> Est autem hoc aedificium utile ,	smwBLpu
3.3.19	q5bF3gf	commo este . <b> la terçera manerar de artificio es torres o castiellos . </b> Ca si las fortalezas cercadas non se pueden tomar par los carneros	tale aedificium impelli . <b> Tertium genus aedificiorum sunt turres vel castra . </b> Nam si nec per arietes ,	cA0NjIz
3.3.19	iV7J3qB	e segunt aquella mesma o avn segunt mas asta medida son de fazer las torres <b> o los castiellos de madera </b> los quales castiellos deuen ser cubiertos de cueros crudos	et secundum huiusmodi mensuram , <b> vel etiam secundum altiorem construendae sunt ligneae turres vel castra , </b> quae tegenda sunt crudis coriis ,	hJwlHNx
3.3.19	ipExOoq	o los castiellos de madera <b> los quales castiellos deuen ser cubiertos de cueros crudos </b> por que non gelos quemen con fuego .	vel etiam secundum altiorem construendae sunt ligneae turres vel castra , <b> quae tegenda sunt crudis coriis , </b> ne succendantur ab igne .	chPoa3P
3.3.19	wSq9eWu	por que non gelos quemen con fuego . <b> Et con estos castiellos de madera </b> en dos maneras conbaten las fortalezas cercadas .	ne succendantur ab igne . <b> Cum his quidem ligneis castris </b> dupliciter impugnantur munitiones obsessae .	wIABgw7
3.3.19	batcdVe	e assy los puede entrar <b> Otrossi en estos castielos se ordenan puentes </b> que echan sobre los muros	qui sunt in basso , vel in terra . <b> Rursus in huiusmodi castris </b> ordinantur pontes cadentes ,	u6xCZcV
3.3.19	eURwgmM	so los quales se encubren los omnes <b> que traen o enpuxan los castiellos de madera </b> fasta los muros de la fortaleza cercada	sub quibus teguntur homines trahentes , <b> vel impellentes castra </b> usque ad moenia munitionis obsessae .	uvXKjNQ
3.3.19	gzWzLtV	en tres maneras puede acometer la fortaleza . <b> ca que el castiello assi fecho </b> para conbatir la fortaleza	tripliciter impugnanda est munitio . <b> Nam in castro sic aedificato </b> ad munitionem impugnandam ,	szDAl1F
3.3.19	oa2irLc	so los quales estan los omnes <b> que traen o enpuxan los castiellos de madera . </b> Et quando aquel castiello o castiellos se llegaren	a quibus sunt homines trahentes , <b> vel impellentes castrum . </b> Cum ergo castrum illud appropinquauit	nlOHm7e
