Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.6	ptreOPy	Verbigera . ¶ <b> Si nos quesieremos tomar algun castiello </b> segunt manera de guerra . Pmeramente deuemos buscar carreras	secundum inuenta et iudicata : <b> ut si vellemus </b> secundum opera bellica castrum aliquod capere .	ltfKYTd
1.2.6	vJLkXFY	escodrinnar maneras e sotilezas <b> por que podamos tomar aquel castiello ¶ </b> Lo segundo deuemos iudgar de aquellas carreras e maneras que fablamos	et cogitandi essent modi , <b> per quos castrum istud capi posset . </b> Secundo iudicandum esset	ggxCn7P
3.3.16	gfBnJ5O	si por auentura fueren çercados de los enemigos . <b> Et tal manera de batalla en la qual defiende cada vno su villa o su castiello </b> es dicha batalla defenssiua .	si contingat eas ab hostibus impugnari . <b> Tale genus pugnae | quo quis defendit munitiones et castra , </b> dicitur defensiuum .	vwkyxcj, dfSnuF9
3.3.16	aEMBx31	Otrossi si por fanbre se ha de tomar la çibdat cercada <b> o el castiello </b> meior es de cercar la en el tienpo del estiuo	Rursus si per famen est castrum , <b> vel ciuitas obsessa obtinenda , </b> melius est obsessionem facere aestiuo tempore ,	dxc3VAF
3.3.17	amlQjFq	deuen fincar las tiendas <b> e el real alueñe de la çibdat o del castiello cercado </b> quanto podrie lançar la vallesta o el dardo	longe a munitione obsessa saltem <b> per ictum teli </b> vel iaculi debent castrametari ,	rdRx47r
3.3.17	aSObmYM	por las cueuas soterrañas <b> assi que por ellas puedan entrar a la çibdat o al castiello . </b> Et estas cosas todas deuense fazer muy encubiertamente	diuertendo vias subterraneas , <b> ut per eas possit | haberi ingressus ad ciuitatem et castrum : </b> quae omnia latenter fieri possunt	yDvNWDA, e8hEHZ5
3.3.17	vxFHdSb	Et por aquellas cosas soterrañas <b> ayan entrada al castiello o a la çibdat </b> e por la entrada que se faze	et munitiones suffossae : <b> et per vias subterraneas fiat ingressus ad castrum , vel ad ciuitatem : </b> et per aditum factum ex muris cadentibus reliqui obsidentes ingrediantur castrum ,	pSYOFYL
3.3.17	y4nP32b	en la çibdato <b> en el castiello çercado </b> e assi podran ganar aquellas fortalezas .	et per aditum factum ex muris cadentibus reliqui obsidentes ingrediantur castrum , <b> vel ciuitatem obsessam : </b> et sic poterunt obtinere illam .	ynfvi7m
3.3.18	c2wFy6B	o por castiellos que se pueden enpuxar <b> fasta las menas del castiello o de la çibdat cercada . </b> Conuiene de vsar de tales armadijas o de tales armamientos	vel per aedificia propulsa usque ad moenia castri , <b> vel ciuitatis obsessae , </b> oportet talibus uti argumentis	kl8UKI1
3.3.18	hJl2LoO	Et pues que assi es aquel <b> que çerca algun castiello o alguna çibdat </b> si la quiere tomar	Illae igitur <b> qui obsidet castrum aut ciuitatem aliquam , </b> si vult eam impugnare	mrb9QkL
3.3.18	oJ66qLX	o en todas aquellas maneras de lançar <b> que dichas son o en algunas o en alguna dellas podra acomter el castiello o la çibdat cercada . </b> Ca si conplidamente sopiere todas estas maneras de engennios	vel omnibus praefatis modis proiiciendi , <b> vel aliquibus | sine aliqua praedictarum machinarum , castrum , vel ciuitatem obsessam poterit impugnare . </b> Si enim plena notitia habeatur de machinis ,	cmfLmpm, aSytkzK
3.3.19	rQZLxLo	por los artifiçios de madera enpuxados <b> e allegados a los muros del castiello o de la çibdat . </b> Et estos artifiçios pueden se adozir a quatro maneras .	per aedificia impulsa ad muros , <b> vel ad moenia castri , | vel ciuitatis obsessae . </b> Huiusmodi autem aedificia	elXdzgB, gqhHW3h
3.3.19	gzWzLtV	en tres maneras puede acometer la fortaleza . <b> ca que el castiello assi fecho </b> para conbatir la fortaleza	tripliciter impugnanda est munitio . <b> Nam in castro sic aedificato </b> ad munitionem impugnandam ,	szDAl1F
3.3.19	qeXC4jp	deuemos penssar tres cosas <b> Conuiene de saber la parte del castiello </b> mas alta que los muros	est tria considerare , <b> videlicet partem superiorum excedentem muros ; </b> et curriculas munitionis capiendae partem quasi mediam ,	a69LNHl
3.3.19	aORPVB7	que traen o enpuxan los castiellos de madera . <b> Et quando aquel castiello o castiellos se llegaren </b> quanto deuen a los muros de la fortaleza los cercados	vel impellentes castrum . <b> Cum ergo castrum illud appropinquauit </b> quantum debuit	eE7WK7C
3.3.21	nao7TV8	osi se pueden traer <b> e non son muy prouechosas al castiello </b> o a la çibdat cercada	( vel si deferretur <b> non multum esset utile castro </b> vel ciuitati obsessae )	cHF2Wxl
