Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.1	qW66hxp	asi commo dize el philosofo <b> en el septimo libr̊ dela metafisica , </b> ¶E por ende si del gouernamjento delos prinçipes	et non magis neque minus , <b> ut vult Philosophus 7 Metaph’ . </b> Si ergo de regimine Principum ,	qh4xrYZ
1.1.1	imjzOLW	asi commo dize el philosopho <b> en el terçero libro de la rethorica </b> que quanto mayor es el pueblo tendo menores	sed pauci sunt vigentes acumine intellectus , <b> propter quod dicitur 3 Rhetoricorum , </b> quod quanto maior est populus ,	st68D72
1.1.2	r5HNPFw	a asi commo dize el philosopho <b> en el primer libro delos posteriores toda doctrina </b> e toda disçiplina desçiende	esse grossum et figuralem . <b> Cum omnis doctrina </b> et omnis disciplina ex praeexistenti fiat cognitione ,	uHEvw7P
1.1.2	xQzOh3I	mesmos¶ Onde dize el philosopho <b> en el octauo libro delas ethicas </b> que las cosas amigables e buenas	ex iis quae sunt ad nos ipsos . <b> Unde 9 Ethic’ scribitur , </b> quod amicabilia quae sunt ad amicos ,	qmppCWk
1.1.2	zUMWxk3	pues que asy es en el primo libro <b> en el qual tractaremos del gouerna mjeto del omne . </b> En sy mesmo son quatro cosas de declarar e de demostrͣ	secundo scire suam familiam gubernare , <b> tertio scire regere regnum , et ciuitatem . In primo autem libro in quo agetur de regimine sui , </b> sunt quatuor declaranda .	cBjHo9Y
1.1.2	vauW0wW	aquello que dize el philosofo <b> en el segundo libro delas ethicas </b> que prouechosa cosa es en la scian moral	quae diuersificant mores et actiones . <b> Inde est ergo , quod vult Philosophus 2 Ethic’ </b> proficuum esse morali negocio ,	d2FqgFD
1.1.2	syfb8oB	Ca segunt que dize el philosofo <b> en el segundo libro delas ethicas señal dela </b> disponiconno delascina engendoͣda	Rursus quia <b> ( ut dicitur 2 Ethicorum ) signum generati habitus , </b> est delectationem ,	f5s5vEk
1.1.2	scxz0NM	disponiconno delascina engendoͣda <b> en el alma es auer </b> en la obra deleta çion o tristeza	( ut dicitur 2 Ethicorum ) signum generati habitus , <b> est delectationem , </b> et tristitiam fieri in opere ,	f3hnaq0
1.1.2	miAKCC3	Ca asy commo dize el philosofo <b> en el terçero libro delas ethicas </b> quales cada vno	praestituimus nobis alios et alios fines . <b> Nam ( ut dicitur 3 Ethic’ ) </b> qualis unusquisque est ,	o2HMMRV
1.1.3	p9c4oBf	asy commo dize el philosofo tan bien <b> en el libro de los granpes morals </b> commo en las ethicre¶ Ca algunos bienes son deletables ¶	ut patet per Philosophum <b> tam in Magnis moralibus , </b> quam etiam in Ethicis ,	ugZnzV8
