Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.8	fkYRaIS	Et desto auemos <b> enxienplo en vn fijo de vn prinçipe Romano </b> que dizien torcato	Exemplum huiusmodi habemus <b> de filio cuiusdam Romani Principis nomine Torquati , </b> qui nimii honoris auidus ,	fx0xrxc
1.1.8	xkvdMoG	porque los otros tomasen exienplo dello <b> e que non fuesen cobdiçon sos de honrra mato a su fijo presunptuoso </b> e soƀuio commo quier	ne alii ex hoc exemplum assumerent , <b> et ne essent nimii honoris auidi , | filium sic praesumptuosum occidit , </b> non obstante quod dictus filius	w93KwZl, qczwuUA
1.1.8	qfwlxRU	e soƀuio commo quier <b> que aquel su fijo ouiese auido uictoria de los sus enemigos ¶ </b> Pues que assi es el prinçipe	non obstante quod dictus filius <b> victoriam obtinuerat ab hoste . </b> Ne ergo Princeps se praecipitet , et ne nimis praesumat ,	enqK39Y
1.2.32	m72gasa	Ca quando alguno quaria conbidar a <b> otrossi el su fiio non era en casa tomaua prestado el fijo de otro su vezino </b> e aprestaual para fazer el conbit	Cum enim qui alios conuiuare volebat , <b> si filius suus domi non erat , | a vicino suo mutuabat filium , </b> et ipsum parabat in conuiuium ,	foB0ban, lFJRzJA
1.2.32	rYANaRO	por la qual cosa non le paresçia <b> que era fijo de padre </b> e de varon meral	quod erat valde bonus : <b> propter quod non videbatur existere puer , </b> viri moralis , sed Dei .	hcOSRhC
1.2.32	pw1PuDM	e bien acostunbrado <b> mas que era fijo de dios </b> Mas aquella uirtud por la qual alguno es dich̃o bueno	ø	ø
2.1.6	tl4Fsbr	y la terçera comunidat <b> que es de padre e de fijo . </b> Ca ueemos en las cosas naturales	oportet ibi dare communitatem tertiam , <b> scilicet patris et filii . </b> Videmus enim in naturalibus rebus	zO0xcjj
2.1.6	cADDaQt	por la qual cosa <b> commo la comunidat del padre al fijo tome nasçençia e comienço de aquello que el padre e la madre </b> engendran su semeiança esta tal comunidat non es dicha de razon dela primera casa	nisi sit iam perfectus . <b> Quare cum communitas patris ad filium sumat originem | ex eo quod parentes sibi simile produxerunt : </b> huiusmodi communitas non dicitur	fVIPktI, en88PmU
2.1.6	y2ry9c4	que ala casa acabada parte nesçe la terçera cemuidat <b> que es del padre e del fijo . </b> Mas que ala perfectiuo dela	quod ad domum perfectam requiritur communitas tertia , <b> videlicet patris et filii . </b> Quod autem ad perfectionem domus requiratur haec tertia communitas ,	nrC1rKs
2.1.6	vnGuX4H	que es del padͤ <b> e del fijo pertenescan a conplimiento dela casa podemos lo prouar . </b> ¶Lo primero de parte dela generaçion	quae est patris et filii , <b> primo possumus probare </b> ex parte generationis et fructificationis naturalis .	odkbhy8
2.1.6	rNWvkpE	ay ayuntamiento de omne e de muger <b> e non sea y generaçion de fijo o de fija </b> siguese que es nengua de parte del uaron	coniunctio maris et foeminae ; <b> et tamen non est procreatio prolis , </b> vel mas est imperfectum actiuum ,	h2rqjbd
2.1.6	oqfvIwR	por suçession e generaçion de los fiios el padre <b> engendrando el fuo el fijo otro fijo </b> e assi biue por sienpre	sed quodammodo perpetuatur humana vita <b> per successionem filiorum : </b> domus ubi est carentia prolis ,	vdMz78I
2.1.6	q8rBYhI	Mas en la comunidat del padre <b> e del fijo el padre deua sienpre mandar </b> e el fij̉o ser obediente .	in communitate vero patris et filii , <b> pater debet esse imperans , </b> et filius obtemperans ;	jDMKhuB
2.1.6	w49tvO0	¶ <b> La quarta el fijo . </b> ¶	ibi vir , <b> secunda uxor , tertia pater , quarta filius , </b> quinta dominus , sexta seruus .	eF5qKFg
2.1.11	xq6bSL6	Et cosa desconueinente <b> si e que la madre fuesse subiecta al fijo . </b> ¶ Et pues que assi es non conuiene alas fijas de casar con su padre nin alos fijos con su madre	inconueniens esset <b> sic matrem filio esse subiectam . </b> Non licet ergo filiis contrahere cum parentibus	tegUiuU
2.1.14	ik9KRDM	lons quales el vno es paternal <b> que es del padre al fijo . </b> Et el otro mater moianl	secundum Philosophum in Polit’ <b> assimilantur </b> duo regimina domus , paternale , et coniugale .	gR1c7g4
2.1.14	vXECLhY	pues que assi es el aruernamiento matermonial soes <b> assi natil commo el del padre al fijo . </b> Ca en ninguna manera los fijos non escogen assi su padre ¶	Coniugale ergo regimen non est sic naturale , <b> ut paternum : </b> quia filii nullo modo eligunt sibi patrem .	bHvGDvv
2.1.19	xpUuT55	que van e demuestran desonestad . <b> Ca non abasta que el fijo ageno non he de la h̃edat </b> de aquel que non es su padre .	quae videntur inhonestatem protendere : <b> non enim sufficit </b> ut alius filius non succedat in haereditatem ,	qSzy8PV
2.1.19	mW9Mwuz	Mas conuiene que el <b> padresea çierto de su fijo . </b> Et pues que assi es por que las señales desonestas	sed requiritur <b> ut pater sit certus de sua prole . </b> Cum ergo signa inhonesta ,	fgKJOkI
2.2.1	e6FPqAf	e la conpannia del uaron e dela muger e del sennor e del sieruo part enescan ala casa primera <b> Mas la comunindat del padre e del fijo parte nesçan ala casa ya acabada en su ser </b> por que la casa primera es ante que la	ad domum primam : <b> communitas vero patris , | et filii pertineat </b> ad domum iam inesse perfectam :	hWFmMHs, pt0CgON
2.2.1	eEfHBaj	por la qual cosa commo entre el padre <b> e el fijo sea amor natraal </b> assi commo se praeua en el viij delas . ethicas .	quilibet enim solicitatur circa dilectum : <b> quare cum inter patrem et filium sit amor naturalis , </b> ut probatur 8 Ethicorum ,	l8HpyXL
2.2.3	xoWedVP	Por la qual cosa si el gonernamiento del padre desto tora a comienco <b> por que el fijo naturalmente es vria semerança que desçende del cadre . </b> Canmo segunr nacsta	ex hoc sumit originem , <b> quia filius naturaliter est | quaedam similitudo procedens a patre : </b> cum secundum naturam ad huiusmodi similia fit dilectio ,	khcoqKs, x0qhfT6
2.2.4	fZ0bvzI	assi como vn aꝑte de los padres . <b> Ca el fijo es vna part entaiada del padre . </b> Mas la parte mas es ayuntada al su todo	quasi quaedam pars parentum : <b> Nam filii est quaedam pars | a parentibus abscisa . </b> Pars autem magis unitur toti ,	gfDDulA, spePPBP
2.2.5	emKfkNQ	que es vn dios poderoso todo criador de todas las cosas <b> e que es padre e fijo e spunsanto </b> e que adam primero padre peco	quod unus est Deus omnipotens creator omnium , <b> qui est pater et filius et spiritus sanctus . </b> Quod Adam primo parente nostro peccante ,	ze1dXOA
2.2.5	hRjzBql	e que el humanal linage fue ensuziado por el pecadodt <b> Et por ende el fijo de dios </b> por que nos redimiesse tomo carne en la bien auentraada santamͣ	et humano genere per peccatum eius infecto , <b> Dei filius , </b> ut nos redimeret ,	mtJ19Oq
2.2.5	bdO11Y3	por que nos redimiesse tomo carne en la bien auentraada santamͣ <b> e nasçio della . Et que esse mismo fijo de dios padesçio </b> e fue muerto e soterrado	assumpsit carnem in beata Virgine , <b> et est natus ex ipsa . | Quod ipse Dei filius </b> propter peccata nostra fuit passus , mortuus , et sepultus .	mSq6hsM, twActkf
3.1.7	pId1aDN	mas cuydarian de cada vno moço <b> que era su fijo propreo </b> por que paresçia a socrates e a platon	reputarent <b> quemlibet puerorum esse filium proprium . </b> Videbatur enim Socrati et Platoni totam dissensionem ciuium consurgere	eNGJQTO
3.1.9	geP4K4f	e cada vno de los çibdadanos apropriaria <b> assi por fijo a aquel que viesse </b> que lo semeiaua .	quilibet ciuis appropriaret sibi in filium , <b> quem videret sibi esse similem . </b> Unde et Philosophus narrat 2 Politicor’	wQIUw95
3.1.10	vKgt9pR	que mucho plasa muchos non es cosa ligera <b> por la qual cosa si cada vno de los çibdadanos cuydasse que cada vno de los moços era su fijo propreo </b> por que el amor del se partia en tanta muchedunbre de fijos	non est facile . <b> Quare si quilibet ciuis crederet </b> quemlibet puerorum esse proprium filium , quia partiretur eius amor in tantam multitudinem ,	mGxONcR
3.2.5	irwYCUT	por suçession <b> e si algun fallesçemiento ouiere en el fijo del Rey </b> a quien parte nesçe	filium succedere in regimine patris : <b> et si aliquis defectus esset in filio regio , </b> ad quem deberet regia cura peruenire ,	nrt19Ny
3.2.36	hnBmhtJ	e el iusto non perdona a ninguno por iustiçia . <b> Ca nin por fijo nin por amigo </b> nin por otro ninguon non deue dexar de fazer iustiçia	quia nec pro patre , <b> nec pro filio , | nec pro amico , </b> nec pro aliquo alio	xe96fRm, lnIVn4H
