Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.11	fWZ0Rt2	o ouiere buena proporçion de los huessos e de los neruios <b> e si fuere fuerte en el cuerpo . </b> Mas si ouiere las potençias	vel habeat proportionem ossium et neruorum , <b> et sit robustus corporaliter . </b> Sed si habeat aequatas potentias ,	le6NCGr
1.1.11	a4JWRjV	e al entendemiento <b> Et fuere sano e fuerte en la uoluntad </b> Et si estas potençias del alma fueren conpuestas	ut quod inferiores potentiae subsint rationi ; <b> et sit sanus , | et fortis mente : </b> et si huiusmodi potentias habeat	fQXSS2J, obDhmep
1.2.2	rbp7m8g	e por el mal <b> en quanto han razon de cosa guaue e fuerte . </b> Ca commo el bien	irascibilis vero respicit bonum , <b> et malum inquantum habent rationem difficilis , et ardui . </b> Nam cum bonum secundum se dicat prosequendum ,	vNAOgtc
1.2.5	xY3s83y	e iusta mente . <b> fuerte mente . e tenprada mente . </b> Et por ende estas quatro uirtudes son dichas	si virtuosus esse debet , <b> oportet quod fiat prudenter , iuste , fortiter , et temperate : </b> ideo hae quatuor uirtutes ,	dnp7TrS
1.2.10	qAr82yX	Ca commo quier que el iusto legal faga essas mismas obras <b> que faze el fuerte e el tenprado . </b> Enpero non las faze segunt aquella enteçion	nam licet eadem opera agat Iustus legalis , <b> quae agit fortis , et temperatus : </b> non tamen aget ea	mUT213u
1.2.10	g7WxnPu	Ca aquel que faze las obras fuertes <b> en quanto se delecta en ellas es dicho fuerte . </b> Et el que faze las obras tenpradas	Nam qui agit opera fortia , <b> quia delectatur in talibus , | fortis est , </b> et agens temperata ,	jMdgqon, y7fPqYN
1.2.10	qJeyGNa	En quanto todas aquellas obras son mandadas e ordenadas por la ley . <b> Mas el fuerte e el tenprado </b> e el acabado	a lege praecepta . <b> Fortis autem , et temperatus , </b> vel perfectus	zifXyq1
1.2.10	bbCqiRB	por las quales es honrrado¶ <b> Mas si el fuerte e el tenprado se deleytan en conplimiento de la ley </b> esto es	quibus ornatur . <b> Si autem delectatur in impletione legis , </b> hoc est ex consequenti ,	uGX5fcx
1.2.10	eoIkY49	Et desta diferenços se sigue la segunda . <b> Ca commo el fuerte e el tenprado se deleite </b> segunt	Ex ista autem differentia sequitur secunda : <b> nam cum fortis , | et temperatus delectetur </b> in operibus talium virtutum ,	rqRlCf0, dIPm3Bc
1.2.13	yplwkyL	mas es loco e landio . <b> Et pues que assi es al fuerte pertenesçe temer las cosas </b> que ha de temer	non est Fortis , sed insanus . <b> Spectat igitur ad fortem timere timenda , </b> et audere audenda .	yBgyLaK
1.2.13	jk2WfEU	sea çerca algun bien <b> e cerca alguna cosa fuerte e graue </b> por que los periglos de las batallas son mas fuertes	circa bonum , <b> et difficile ( quia difficiliora , </b> et terribiliora sunt pericula bellica ,	pNYFOFU
1.2.13	cu36ZKw	Et ahun por que en los periglos delas batallas <b> mas fuerte cosa es de repremer los temores </b> que de restenar las osadias .	et etiam quia in periculis bellicis <b> difficilius est reprimere timores , </b> quam moderare audacias :	pu2O64L
1.2.13	rc2HnRP	Otrosi por que en auiendo osadia <b> non es tan fuerte nin tan graue cosa acometer la batalla </b> e la pellea commo sofrir	rursus quia in audendo <b> non tam difficile est aggredi pugnam , </b> sicut tolerare ,	irVbEvQ
1.2.13	p4kkVzn	Mas ahun en la mar e enlas enfermedades . <b> aquel es fuerte que non es temeroso . </b> Et por ende al fuerte parte nesçe non temer qual si quier periglo que la razon o el entendimiento iudga sinplemente	Sed adhuc et in mari , <b> et in aegritudinibus intimidus est , </b> qui est fortis .	gYEHoP3
1.2.13	sdXEVsp	aquel es fuerte que non es temeroso . <b> Et por ende al fuerte parte nesçe non temer qual si quier periglo que la razon o el entendimiento iudga sinplemente </b> que non son de temer .	Sed adhuc et in mari , <b> et in aegritudinibus intimidus est , </b> qui est fortis .	gYEHoP3
1.2.13	j4g0pcO	assi commo todos dizen comunal mente esto podemos prouar por tres razones ¶ <b> La primera por que acometer parte nesçe al mas fuerte . </b> Mas sufrir parte nesçe al mas fiaco	triplici via venari potest . <b> Primo , quia aggrediendum , | est fortioris : </b> sustinere autem ,	u86VaUQ, ijZQihp
1.2.14	nqTrYSO	e quariendo ganar honrra <b> acomete alguna cosa fuerte e espantable . </b> Onde dize el philosofo	et volens honorem adipisci , <b> aggreditur aliquod terribile , </b> unde ait Philosophus ,	iRdoN67
1.2.14	siBjyPb	assi conmo dize el philosofo alli do pone tal <b> enxienplo que ector era fuerte en esta manera </b> que temie ser denostado de polimas .	( ut idem Philosophus ait ) <b> Hector fortis erat , </b> qui timens increpationes Polydamantis ,	eABM5lG
1.2.14	d44btaC	acometie cosas espatables <b> e estaua fuerte enla fazienda </b> por que dezie si el	qui timens increpationes Polydamantis , <b> aggrediebatur terribilia . </b> Dicebat enim quod si fugeret ,	e8HwXek
1.2.14	qKSN0OC	para le dezir muchos denuestos . <b> Et por ende temiendo qual denostaria su contrario era fuerte . </b> Et ahun pone otro	qui erat ex parte aduersa , <b> primum sibi increpationes imponeret . </b> Sic etiam	aFeQIvC
1.2.14	nIId4hk	e dize que di omnedes <b> enesta manera de fortaleza era fuerte . </b> Ca dize que si non lidiase reziamente su contrario ector	Diomedes , <b> hoc modo fortis erat . </b> Dicebat enim quod	aOrYnOT
1.2.15	nAxzaqC	nin aquel que es osado en todas las cosas <b> otrosi non es fuerte . </b> Mas aquel es fuerte que teme	non est fortis , <b> nec qui omnia audet : </b> sed qui timet timenda ,	gS1NOwU
1.2.15	wthzVcn	otrosi non es fuerte . <b> Mas aquel es fuerte que teme </b> lo que deue temer	nec qui omnia audet : <b> sed qui timet timenda , </b> et audet audenda .	rk2diy3
1.2.17	lI8U4uH	Ca guardar omne lo suyo propio <b> non es cosa fuerte por si . </b> Ca cada hun omne es naturalmente inclinado a amar asi mismo	Nam custodire propria <b> secundum se non est difficile : </b> quia unusquisque naturaliter inclinatur	jRbbePt
1.2.22	buWnCCW	Et despues desto es çerca los otros periglas <b> en tal manera que avn el fuerte se ha conueniblemente en los otros periglos . </b> En essa misma manera la magranimidat	ex consequenti autem erat circa pericula alia , <b> quod fortis etiam in aliis periculis decenter se habeat . </b> Sic magnanimitas principaliter est circa honores ,	bp0ejvQ
1.2.24	d9EAnUX	si esto faze por que se delecta en tales obras <b> este es dicho fuerte . </b> Mas si esto faze por que tal sobras son dignas de grant honrra	quia delectatur in talibus actibus , <b> fortis est . </b> Si vero hoc agit ,	vlQUH6q
1.2.29	fXAHheA	Et desto pongamos enxenplo . <b> Ca si alguno en tanto fuese fuerte e estremado sobre los otros en fortaleza en tal manera que los otros fuesen çiertos </b> que pudiessen lidiar contra çiento	non in hoc appareret verax , sed derisor . <b> Ut si aliquis adeo esset fortis et strenuus , | quod constaret aliis </b> quod contra centum bellare posset :	sZiHoiV, nRc3jCd
1.2.31	n4gHf2y	acebadamente te prado <b> empero non sera fuerte mas temeroso </b> nin sera largo nin liberal	Erit ergo ille perfecte temperatus , <b> non tamen erit fortis , sed timidus : </b> nec erit largus , sed auarus .	eM6wsXz
1.3.3	wpdpPEK	prinçipalmente ha de ser çerca los bienes diuinales e comunes . <b> Otrosi sera fuerte por que ante pone el bien comunal bien propreo </b> e avn non dubdara de poner la persona a muerte siuiere	esse circa diuina , et communia . <b> Erit fortis ; quia cum bonum cumune proponat bono priuato , </b> non dubitabit etiam personam exponere ,	z9J4SHS
2.1.4	n78FZqQ	e de cada dia <b> mas non es cosa fuerte de veer </b> que la casa sea establesçida de muchas perssonas .	propter opera diurnalia et quotidiana . <b> Quod autem oporteat domum | ex pluribus constare personis , videre non est difficile . </b> Nam cum domus	h8eiAkC, dqkEUOE
2.2.4	fwCwWPL	que de los fijos alos padres <b> e es mas fuerte e mas afincado¶ </b> La segunda razon para puar esto mismo se toma dela c̀tidunbre de los fueros	quam econuerso : <b> quare fortior et vehementior . </b> Secunda via ad inuestigandum hoc idem ,	kGdweQc
2.2.17	aT78YRv	tal qual demanda el su ofiçio <b> la qual cosa non puede ser sin fuerte trabaio de su cuerpo . </b> ¶ Et pues que assi es commo todos aquellos	quale requirit officium militare . <b> Quod sine forti exercitatione corporis | esse non potest . </b> Cum ergo omnes volentes viuere vita politica ,	yCJaTBR, uCzSzLk
2.3.15	gFG0BOl	Ca paresçe que cosa digna es <b> que las partes que son mas çeranas dela fuerte mas abonden </b> e eche agua que las otras .	Dignum est enim <b> ut partes propinquiores fonti plus profundantur aqua : </b> quare si omnis amor	akkkTGj
3.1.19	rOajwa4	e toda ferida <b> quanto mas fuerte es tanto </b> mas destruyel dela sustançia .	quia talia ad mortem ordinantur , <b> eo quod omnis passio magis facta </b> abiiciat a substantia .	fCjURDp
3.2.3	hMFuChA	ca quanto la uirtud es mas ayuntada <b> e vna en ssi tanto es mas fuerte en ssi que si fuesse esꝑzida </b> assi commo se declara	Nam quanto virtus est magis unita , <b> fortior est seipsa dispersa , </b> ut declarari habet in libro de Causis ,	cuxfdKE
3.2.3	nEwmYPH	que es en muchs prinçipantes <b> fuesse ayuntado en vn prinçipante e vn sennor mas fuerte seria . </b> Et aquel prinçipe por ma .	quae est in pluribus principantibus , <b> congregaretur in uno Principe , | efficacior esset ; </b> et ille principans	pKnwQCj, uGT46bw
3.3.1	ydi5hpJ	podemos dezir <b> que assi commo el fuerte pertenesçe prinçipalmente de saber bien en obras de batallas . </b> Et de si a esse mismo pertenesçe	quod sicut <b> ad fortem principaliter spectat | bene se habere in opere bellico , </b> ex consequenti vero spectat	h82I3DJ, xUtz95X
3.3.4	jxvvhlV	a periglos de muerte en la batalla <b> nunca ninguno es fuerte de coraçon </b> nin buen lidiador	Nam cum tota operatio bellica exposita sit periculis mortis , <b> nunquam quis est fortis animo </b> et bonus bellator ,	tqB6Roo
3.3.4	cSTu4Ri	que sin miedo en los periglos de la muerte . <b> Ca pertenesçe al fuerte e al buen lidiador </b> assi commo dize el philosofo	nisi aliquo modo sit impauidus circa pericula mortis . <b> Spectat enim ad fortem | et ad bonum bellatorem , </b> ut innuit Philosophus 3 Ethic’	ctg5W1a, grFMqim
3.3.8	fTLcaEn	la carcaua deue ser muy ancha de nueue pies e alta de siete . <b> Mas si la fuerça de los enemigos paresciere mas fuerte conuiene de fazer las carcauas mas anchas et mas fondas </b> si han uagar para las fazer	fossa debet esse lata pedes nouem , alta septem . <b> Sed si aduersariorum vis acrior imminet , | contingit fossam ampliorem </b> et altiorem facere ita ,	nj2QF1U, l7oe0mA
3.3.10	pd5nAyk	aquella parte es la meior para lidiar . <b> s sienpre la uirtud ayuntada e ordenada es mas fuerte que quando esta desparzida e desordenada . </b> Mas contesçe algunas vezen	est pars potior ad bellandum . <b> Semper virtus unita fortior est | seipsa dispersa et confusa . </b> Contingit autem aliquando commisso bello ordines	dji2hfv, dkhwNLW
3.3.10	nbnkVL2	Et pues que assi es con grant sabiduria es de escoger el alferez <b> assi que sea fuerte de cuerpo </b> e firme de coraçon	Cum magna igitur diligentia est vexillifer eligendus , <b> ut sit corpore fortis , </b> animo constans , fidelis principi ,	kap8hOU
3.3.10	usa0kDA	en la batalla <b> deue ser fuerte en el cuerpo . </b> grande en su estado e sabidor en lançar lanças e dardos	qui in pugna pedicibus praeponitur <b> esse fortis viribus , </b> procer statura ,	tqprdHu
3.3.10	wlAFRn9	en las armas ligero de cuerpo <b> e fuerte en los mienbros </b> aquel que deue ser ante puesto a los caualleros .	et procer corpore , <b> et fortis viribus </b> qui est equitibus praeponendus :	b5JAMlT
3.3.15	yomWdMj	Assi que la parte derecha en las animalias <b> es mas fuerte en mouer </b> e mas apareiada a mouimiento .	quod pars dextra <b> in animalibus fortior est in mouendo , </b> et aptior ad motum :	fcr4MRj
3.3.15	mlek7au	el qual esgrimido mueue el ayre mas reziamente <b> e faz mas fuerte colpe . </b> Enpero maguer que podamos folgar tan bien sobre la parte derecha	quo vibrato vehementius mouet aerem , <b> et fortius ferit . </b> Licet enim	syALk4C
3.3.19	y7KTTde	que ponen y . <b> ha muy fuerte et muy . </b> dura fruente para ferir	ideo appellatur aries , <b> quia ratione ferri ibi appositi durissimam habet </b> frontem ad percutiendum .	rid1BEh
3.3.19	zFTNs2x	carnero se tira atras . <b> Et despues da muy fuerte colpe en los muros de la fortaleza çercada </b> assi que los ronpen et los quebrantan .	et ad modum arietis se subtrahit : <b> et postea fortiter muros munitionis obsessae percutit et disrumpit . </b> Cum enim per huiusmodi trabem sic ferratam	bR2eZRV
3.3.20	sSLSXFX	que sean bien feridas e bien tapiadas <b> e fazen la fortaleza mas fuerte . </b> Por la qual cosa mucho cunple fazer tales muros	si bene condensetur : <b> propter quod non est inconueniens </b> construere huiusmodi muros	m0M0XEF
3.3.22	ssoTvmY	Et esta saeta enuiada <b> por muy fuerte ballesta al . engeñio muchas vegadas le quema . </b> La quarta manera para destroyr los engeñios	per ballistam fortem emissa <b> usque ad machinam , | multotiens succendit ipsam . </b> Quarto etiam modo resistitur machinis lapidariis ,	pcXO8IW, cG9CZbZ
3.3.23	lZwENdC	Et lançandolos assi en las naues quebrantan se los cantaros <b> e aquel fuego fuerte ençiende </b> e quema la naue .	Ex qua proiectione vas frangitur , <b> et illud incendiarium comburitur </b> et succendit nauem .	dpV89SC
3.3.23	cjMcC3L	por que de muchas partes se pueda quemar la naue . <b> Et entonçe deuen acometer muy fuerte batalla contra los enemigos </b> por que se non puedan acorrer	et cum proiiciuntur talia , <b> tunc est contra nautas | committendum durum bellum , </b> ne possint currere ad extinguendum ignem .	hvHjhAW, fut7zkE
