Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.2	tPsJUvm	nisi quis se det bonis actibus , et bonis operibus regulatis ordine rationis : <b> volens tractare de regimine sui , </b> oportet ipsum notitiam tradere de omnibus his quae diuersificant mores et actiones .	sy non que se de el omne abunos fechos e abunas obras rregladas por orden de Razon <b> el que quiere tractar del gouernaiento </b> e fablarde sy mesmo conujene de tractar e de dar conosçimiento de todas aquellas cosas	vP6jbhQ
1.1.5	hAMCaYj	non laudamur nec vituperamur : unde in eodem 3 dicitur , <b> quod nullus est beatus nisi volens . </b> Sed quae non agimus ex electione , non agimus volentes :	Ca asy lo dize el philosofo en el terçero libro de las ethicas <b> que njguon non es bien auer turado | si non obra de voluntad </b> Mas aquellas cosas que nos non fazemos por electiuo non las fazemos de uoluntad ¶	yf3jHLJ, hoikGi8
1.1.5	nGGzc9q	sed à fortuna . Unde Philosophus 1 Ethicor’ <b> volens ostendere </b> necessariam esse praecognitionem finis , ait , quod cognitio finis	esto non es por uoluntad mas es por auentra <b> a¶ Onde el philosofo quariendo mostrar en el primero libro delas ethicas </b> que es neçesario de connosçer ante la fin dize	nsSIcYm
1.2.8	xWZArta	Ratione igitur huiusmodi cognoscendi , qui est inditus hominibus , <b> volens alios dirigere , </b> oportet quod sit intelligens , cognoscendo principia ,	Et pues que assi es por razon desta manera de conos çer que es enxerida naturalmente alos omes . <b> El que quiere alos otros guiar </b> conuiene le que sea entendido conosciendo los prinçipios e las razones .	vis50db
1.2.14	qlwUDAo	Fortitudo enim ciuilis est , quando aliquis timens verecundiam , <b> et volens honorem adipisci , </b> aggreditur aliquod terribile , unde ait Philosophus ,	¶La fortaleza çeuiles quando alguno temiendo uerguença <b> e quariendo ganar honrra </b> acomete alguna cosa fuerte e espantable . Onde dize el philosofo	iTpKUkN
1.2.16	pc7SIQZ	quod , cum quidam Dux exercitus diu ei seruiuisset , et fideliter , <b> Rex ille volens complacere illi Duci , </b> praecepit quod duceretur ad ipsum . Dux autem ille assuetus rebus bellicis ,	lo que auian de fazer Et acaesçio que vn prinçipe mucho su priuado que grant t p̃o le auia seruido e fiel mente . <b> Et el Rey que tiendo fazer plazer a aquel </b> prinçipe mando qual pusiessen dentro ante si . Mas aquel prinçipe por que era acostunbrado delas batallas	v29ZpLa
2.2.5	cmSGWVs	etiam ab ipsa infantia . Unde et Philosophus 2 Meta’ <b> volens probare </b> consuetudinem esse magnae efficaciae , ait , quantam vero vim habeat	Por ende tales cosas nos deuen anos dezir e demostrar en tienpo dela moçedat . Onde el philosofo en el segundo libro dela <b> methafisica quariendo prouar </b> que la costunbre es de grand fuerça dize assi . Tu puedes ver	wDP2Npj
2.2.9	y5zJ6OB	Debet enim esse memor , recolendo praeterita . <b> Nam sicut volens rectificare virgam , </b> nunquam eam rectificare posset nisi cognosceret	enlo que ha de fazer ¶ Ca primero deue ser menbrado e acordado delas colas passadas . <b> Ca assi commo aquel que quiere enderesçar la pierte </b> ga nunca la puede enderesçar si non conosçiere de qual parte esta tuerta . En essa misma manera aquel que quiere enderesçar los otros	nsSWeMR
2.2.9	lOvbENJ	nisi cognosceret ex qua parte esset obliquata : <b> sic volens alios rectificare </b> nunquam eos congrue rectificare posset nisi haberet praeteritorum notitiam ,	Ca assi commo aquel que quiere enderesçar la pierte ga nunca la puede enderesçar <b> si non conosçiere de qual parte esta tuerta . En essa misma manera aquel que quiere enderesçar los otros </b> nunca los podria enderesçar si non ouiesse conosçimiento delas cosas passadas	xHIuWKk
2.3.1	tWAQBgq	et aliis instrumentis fabrilibus ; et spectat ad fabrum talia instrumenta cognoscere . <b> Sic volens tradere notitiam de arte textoria , </b> debet determinare de pectinibus , et aliis organis illius artis ,	Et al ferero pertenesçe de cognosçertales estrumentos . <b> Et dessa misma manera | el que quiere dar conosçimiento del arte del texer </b> deue determinar de los peinnes e de los otros estrumentos de aquella arte	ubjQPSx, hnqcYHG
