Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.13	xinQUas	nisi imaginetur sibi periculum imminere : <b> nec omnis dicitur audax , </b> nisi aggrediatur aliquod terribile , et periculosum .	si non quando emagina algunan cosa en que puede auer peligro . <b> nin ninguno non es dicho osado </b> si non quando acomete alguna cosa espantable e peligrosa .	bWH5mOR
1.2.14	kbqGinK	ut cum aliquis ignorans fortitudinem aduersarii , bellatur . <b> Ut puta si habitantes in septentrione sunt fortes , et audaces , </b> in meridiano vero sunt debiles ,	nin conosçiendo la fortaleza del su contrario . <b> Enxient lo desto . | assi commo si algunos morasen en setenturon </b> e fuesen fuertes e osados .	tNVH1Ka, oJrjXLL
1.2.15	kwy4YCH	et si volumus esse fortes , <b> debemus magis esse audaces , </b> quam timidi :	Et si nos quisieremos fazer nos fuertes <b> mas auemos aser osados e temerosos . </b> assi en essa misma manera la tenpranca mas conuiene con el non sentimiento	lSQoyNO
1.3.6	nspOyRp	Oportet ergo videre <b> quo modo eos esse deceat timidos , et audaces . </b> Timor autem si moderatus sit ,	Et pues que assi es conuiene deuer <b> en qual manera conuiene alos Reyes de sertemosos | e de ser osados </b> por que el temor si fuere tenprado es conuenible alos Reyes e alos prinçipes .	lTolPhj, iWRg5FZ
1.4.4	pt4Rgjz	ubi est timendum ; <b> et audaces , </b> ubi est audendum .	Et por ende son temerosos do lo han de ser <b> e osados do lo han de ser . </b> ¶ En essa misma manera ahun por que non son del todo	lEHCyaz
2.3.20	fu38TO6	eloquia multiplicare , <b> et homines abundantes vino quasi calefacti et audaces , </b> libenter in verba prorumpunt ,	por que paresçe que el vino acresçienta las fablas <b> e los omes que han beuido vino | assi commo escalentados </b> fazense osados	rq84RPn, vkCDRpd
3.1.7	lxh9q2w	nam si consideramus aues ipsas viuentes ex raptu , <b> maiores corpore et audaciores corde </b> et praestantiores viribus sunt foeminae quam masculi :	que los mallos calicuydaremos en las aues <b> que biuen de rapina mayores son de cuerpo | e mas osadas de coraçon </b> e mas apareiadas en fuerça son las tenbras	vMW1XTJ, myagTZs
3.2.13	rC2Ip5d	quod nimis fugans timidum , <b> vi compellit esse audacem . </b> Sic etiam et alia animalia	que quien muncho faze foyr al temeroso <b> por fuerça lo costrange desee oscido en essa misma manera </b> avn en las otras ainalias	eCp1D9E
3.3.2	a2fRrmB	quod in qualibet arte sint <b> aliqui bellicosi et audaces ; </b> aliqui vero timidi et pusillanimes .	Enpero puede contesçer <b> que en cada vna destas artes son algunos buenos lidiadores e atreuidos </b> e ay otros temerosos e de flacos coraçones .	kQ5pQCF
3.3.3	xbydNfv	ex quibus signis cognosci habeant homines bellicosi . <b> Sciendum igitur viros audaces et cordatos </b> utiliores esse ad bellum ,	finca de ver por quales señales se han de conosçer los buenos lidiadores . <b> Et para esto conuiene de saber | que los omnes osados eatreuidos </b> e de grandes coraçones son mas prouechosos para la batalla	z2F2IPl, eK8Zo9Z
3.3.5	vCxdKq5	( ut ait Philosophus 3 Ethic’ ) <b> quod Hectorem fecit audacem . </b> Dicebat enim Hector ,	que dize el philosofo en el tercero libro de las . <b> Lo que fizo a ector atreuido en las armas e buen lidiador . </b> Ca dizia ector	jB3bRp4
3.3.9	vhM0MIq	tanto citius victoriam obtinent . Sexto , attendenda est virilitas et audacia mentis , <b> quia audaciores et magis cordati </b> ut plurimum in pugna victoriam obtinent .	et la osadia del coraçon . <b> Ca los mas osados | e de mayores coraçons </b> por la mayor parte alcançan en la batalla la victoria .	kgxNUE2, bYDspXl
3.3.9	tl9qo5U	et sagaciores mente . <b> Sexto , qui sunt audaciores , </b> et viriliores corde .	e mas arteros para lidiar . <b> Lo sexto quales son mas osados </b> e mas fuertes de coracon .	l4BkGaQ
3.3.12	vPMMJCM	Tertio , ut extra quamlibet aciem <b> reseruentur aliqui milites strenui et audaces , </b> qui possint succurrere ad partem illam ,	lo tercero que fuera de cada vna de las azes <b> sean guardados algunos estremados caualleros </b> e osados que puedan acorrer a aquella parte	oD04dze
3.3.15	enWkmjS	quod non pateat aliquis aditus fugiendi : <b> quia desperantes quasi necessitate compulsi efficiuntur audaces , </b> videntes enim se necessario moriendos ,	finque algun logar para foyr . <b> Ca estonçe con desesperamiento | assi commo costreñidos por fuerça fazen se mas osados </b> veyendo que non les finca si non la muerte .	eAFOmVP, eHLNI3h
