Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.2	jjEV5Ju	mas ligeramente se podra auer <b> Pues que asi es conuiene de saber </b> que todo este libro entendemos partir	intellectus dicendorum facilius capietur . <b> Sciendum ergo , </b> quod hunc totalem librum intendimus	rcs1pWP
1.1.2	nQ1Hhg8	el que quiere tractar del gouernaiento <b> e fablarde sy mesmo conujene de tractar </b> e de dar conosçimiento de todas aquellas cosas	volens tractare de regimine sui , <b> oportet ipsum notitiam tradere de omnibus his </b> quae diuersificant mores et actiones .	dubgW54
1.1.3	v2sl5FU	njn guardar <b> syn la gera de dios conviene de cada vn omne </b> e mayormente prinçipe o Rey	absque diuina gratia obseruari non possunt , <b> decet quemlibet hominem , </b> et maxime regiam maiestatem	yuRP8k1
1.1.4	zmUV1Mx	departidanmente establescan e orden en asy mesmos a departidas fines <b> por ende conujene de contar las maneras de beujr </b> e mostrͣemos commo enllas es de poner la bien andança	diuersi diuersimode sibi finem praestituant , <b> narrandi sunt modi viuendi , </b> et ostendendum est ,	dq5gSTJ
1.1.4	jpptrxD	por el primero libro delas ethicas ¶ <b> Conuien de saber ujda delectosa et plazentera ¶ </b> vida politica e çiuil¶	( ut patet ex 1 Ethic’ ) <b> triplicem vitam , </b> videlicet , voluptuosam , politicam , et contemplatiuam .	kxw87Jf
1.1.5	g2CHCxM	e cuenta <b> as conuiene de notar e de saber acuçiosamente </b> que asy commo la materia	Quod maxime expedit regiae maiestati <b> Est autem diligenter notandum , </b> quod sicut materia	aCZNHfP
1.1.8	wBF1ei9	non presuma <b> nin se ensoƀuezca mucho nol conuiene de poner su bien andança en las honrras ¶ </b> Lo terçero se demuestra	non expedit ei <b> suam felicitatem in honoribus ponere . </b> Tertio hoc est indicens ei ,	v9HDS5j
1.1.11	oNs8irg	por que non sea menospreçiada la Real magestad . <b> Et por ende le conuiene de auer poderio çeuil . </b> Ca por el	est Rex dignus honore , <b> et expedit ei habere ciuilem potentiam : </b> nam propter paruipensionem Principis ,	pY9RzHC
1.2.3	mYMoPxN	de poner meatado ygualdat o derechura . <b> Et estos son tres conuiene de saber quales . </b> Ca son razones derechas	vel aequalitatem , siue rectitudinem : <b> huiusmodi autem , | tria sunt , </b> scilicet , rationes , passiones , et operationes exteriores :	lxV8lLq, pH3l8ZU
1.2.3	i0Sh5v4	departidas me <b> atadespues que assi es por que nos conuenga de passar </b> por figurança	et aliud medium reperitur . <b> Ut ergo liceat typo , </b> et superficialiter pertransire ,	wcrO5rO
1.2.3	invIqxL	qua nasçendel bien . <b> Entonçe conuiene de departir del bien . </b> Ca ay vn bien del omne en si .	quae oriuntur ex bono , <b> tunc distinguendum est de bono ; </b> quia quoddam est bonum hominis in se ,	fGXd8o8
1.2.5	vl9bSWV	Ca commo contesca de razonar derechamente <b> e non derechamente conuiene de dar alguna uirtud </b> que sea razon derecha .	ratiocinari recte et non recte , <b> oportet dare virtutem aliquam , </b> quae sit recta ratio ,	d9JuSEL
1.2.5	kAOhq4C	nin inclinar a aquelo que uieda la razon ¶ <b> Et otrosi nos conuiene de dar otra uirtud </b> por la qual las passiones non nos pueden arredrar	ad id quod ratio vetat : <b> et oportet dare virtutem aliam , </b> ne passiones retrahant nos ab eo ,	zXWLQjj
1.2.8	pDoq2zu	conuieney de penssar . <b> Conuiene de saber los bienes </b> aque guia la pradençia¶	Quatuor ergo est ibi considerare , <b> videlicet , bona , </b> ad quae dirigit :	u6PjYXJ
