Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.1	w26STq8	e la su bien andança . <b> Et que non los conuiene poner la su fin en riquezas </b> nin en poderio çiuil	suam felicitatem debeant ponere , <b> quia non decet | eos suum finem ponere in diuitiis , </b> nec in ciuili potentia ,	qBYaESG, qFbMCPZ
1.2.18	fUsv3S2	los que son en el su regno <b> mucho les conuiene de ser liberales e francos </b> Mas par tenesce al libal e alstan ço de catar tres cosas ¶	qui sunt in Regno , <b> maxime decet eos liberales esse . </b> Spectat autem ad liberalem primo	kKC0VN9
1.2.18	g2g9zoO	a quien non conuiene de dar . <b> por que aquestos tales mas les conuiene de ser pobres </b> que non ser ricos .	quibus non oportet dare : <b> quia magis deceret | eos esse pauperes , </b> quam diuites .	bQ9vHKw, x9VLR3u
1.2.24	iOHoUUO	e alos prinçipes de seer magnificos e liberales <b> assi en essa misma manera les conuiene de seer magranimos </b> e amado res de honrra .	et Principes esse magnificos , et liberales : <b> sic decet eos esse magnanimos , </b> et honoris amatiuos . Reges enim et Principes decet honores diligere modo quo dictum est ;	pxms5Tw
1.3.5	oCJ8NpS	e alos prinçipes de entender en el bien <b> Mas avn les conuiene de entender </b> en bien alto e grande e guaue de fazer De mas desto	et Principes tendere in bonum , <b> sed etiam decet eos tendere in bonum arduum . </b> Amplius quanto maior est communitas ,	j82VF1v
1.4.4	hnM89ho	e confonden el entendemiento . <b> Otrosy les conuiene de ser misconiosos non por fallesçimiento nin por llaqueza de </b> coraçon quales en los vieios .	rationem percutiunt . <b> Decet etiam eos esse miseratiuos , | non propter defectum , </b> vel propter imbecillitatem :	pHWL3D3, u61YGDu
1.4.5	hs5AqkV	e escodrinnadores sotilmente de todo aquello <b> que les conuiene de fazer </b> por que las sus obras	subtiliter inuestigantes <b> quid decet eos facere , </b> ne opera eorum ,	pvc2Aa1
2.1.10	eTPJIBH	por que en el casamiento <b> dellos conuiene de guardar la orden natural mas que en otro ninguno . </b> ¶ Lo segundo esso mismo pue de ser mostrada	coniuges Regum et Principum , <b> quia in eorum coniugio magis quam in alio decet | naturalem ordinem conseruare . </b> Secundo hoc idem inuestigari potest	rro2zVm, u20scPx
2.1.19	saRkvl7	e then a sus maridos a mayor amor . <b> Et por ende les conuiene de ser calladas </b> e en essa misma manera avn les conuiene de ser estables e firmes	et ad maiorem amorem viros inducunt : <b> decet ergo eas esse taciturnas . </b> Sic etiam decet esse stabiles :	zgXJc4U
2.1.19	hNIobp4	Et por ende les conuiene de ser calladas <b> e en essa misma manera avn les conuiene de ser estables e firmes </b> que quanto la mug̃res mas firme e mas estable	decet ergo eas esse taciturnas . <b> Sic etiam decet esse stabiles : </b> quia quanto uxor est magis constans ,	bqliKov
2.2.2	jIyiEPS	en quel conuiene gouernar los otros <b> mucho les conuiene de ser sabios e buenos . </b> Mas commo los fijos bengan a mayor bondat e a mayor sabiduria	in quo oportet eos alios gubernare ; <b> maxime decet eos esse prudentes et bonos . </b> Et cum filii perueniunt	m5yMGwU
2.2.7	wizULj1	e en las sçiençias liberales <b> quanto mas les conuiene de ser mas entendudos </b> e mas sabios que los otros	insudare literalibus disciplinis , <b> quanto decet eos intelligentiores et prudentiores esse , </b> ut possint naturaliter dominari .	xi9fpDM
2.2.10	k3xzltn	¶ La primera quanto alas cosas uisibles <b> que assi commo non les conuiene de fablar cosas torpes </b> Et la razon desto pone el philosofo en łvij̊ libro delas ethicas	Quantum ad visibilia quidem , <b> quia sicut non decet | eos turpia sequi : </b> sic indecens est eos turpia videre .	uyIgneL, sRYjsrs
2.2.12	ntAzdA7	non solamente que se non fagan gollosos por el comͣ <b> mas avn les conuiene de ser mesurados </b> que non se fagan beodos	ex sumptione cibi : <b> sed etiam decet eos esse sobrios , </b> ut non efficiantur ebrii	rC7y7j2
2.2.18	oplgHyZ	nin por otra uentra a qual si quier non osen tomar armas . <b> Enpero por que mas conuiene de ser sabios </b> que lidiadores alos fijos de los Reyes	nec pro alio casu audeant arma assumere ; <b> attamen quia decet | eos esse magis prudentes quam bellatores , </b> filii Regum et Principum	oo9rkIS, dRVP8Up
2.2.20	hYdWcG9	si non nos delectaremos en alguas cosas <b> conuiene de tomar alguas obras conuenibles e honestas </b> çerca las quales entendamos	nisi in aliquibus delectemur : <b> decet nos assumere | aliqua opera licita et honesta , </b> circa quae vacantes ,	yE1N2M6, fjDoSZQ
2.3.3	ki0f4zO	que anings de los otros nobles <b> ca ellos conuiene de ser nobles prinçipalmente </b> e magnificos en todas sus cosas .	qui debent esse nobiles et praeclari , <b> potissime decet esse magnificos . </b> Alii enim moderatas possessiones habentes ,	vCp7BDx
2.3.18	iz2TfFX	e de los no nobles omes alos <b> que les conuienne de ser dadores </b> e cobidadores	sed quia volunt retinere mores curiae et nobilium , <b> quos decet datiuos esse ; </b> propter quod tales curiales dici debent .	h2DO9gY
2.3.19	qhhtxGj	e los prinçipes <b> alos quales conuiene de ser magn animos </b> deuen se mostrar	Reges ergo et Principes , <b> quos decet esse magnanimos </b> ad proprios ministros ,	hG7a5Fd
2.3.20	jY5FJcA	Et pues que assi es los Reyes <b> e los prinçipeᷤ alos quales conuiene ser muy tenprados </b> e guardar la orden natural en toda	Reges ergo et Principes , <b> quos decet maxime temperatos esse , </b> et obseruare ordinem naturalem	gzM6GsW
3.2.17	hWDYufe	por la quel cosa commo muchs mas cosas ayan prouadas <b> que vno solo conuiene de llamar otros </b> para los negoçios . por que por el conseio dellos pueda ser escogida la meior carrera	Quare cum plures plura experti sint , <b> quam unus solus : | decet ad huiusmodi negocia alios aduocare , </b> ut per eorum consilium possit	cNbj4Df, n7HHRff
