Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.2	nQ1Hhg8	el que quiere tractar del gouernaiento <b> e fablarde sy mesmo conujene de tractar </b> e de dar conosçimiento de todas aquellas cosas	volens tractare de regimine sui , <b> oportet ipsum notitiam tradere de omnibus his </b> quae diuersificant mores et actiones .	dubgW54
1.1.3	v2sl5FU	njn guardar <b> syn la gera de dios conviene de cada vn omne </b> e mayormente prinçipe o Rey	absque diuina gratia obseruari non possunt , <b> decet quemlibet hominem , </b> et maxime regiam maiestatem	yuRP8k1
1.1.9	oxd7DIZ	e muestre algua bondat de fuera <b> por la qual cosa commo al Rey conuenga ser todo diuinal e semeiante a dios </b> si non es cosa conuenible	quod exterius bona praetendat . <b> Quare cum Regem deceat </b> esse totum diuinum ,	j18mKXK
1.2.1	w26STq8	e la su bien andança . <b> Et que non los conuiene poner la su fin en riquezas </b> nin en poderio çiuil	suam felicitatem debeant ponere , <b> quia non decet | eos suum finem ponere in diuitiis , </b> nec in ciuili potentia ,	qBYaESG, qFbMCPZ
1.2.10	rJ8JB6k	assi conmosi quisiere auer mas de aquellos bienes <b> de quanto le conuiene auer </b> por esta razon viene danno alos otros çibdadanos	ut quod velit habere plus de iis , <b> quam eum deceat : </b> ex hoc infertur nocumentum aliis ciuibus :	xrTiQGf
1.2.18	fuHe4mY	que menos dan de quanto les conuiene ᷤ dar <b> Et menos fazen de quanto les conuiene de fazer . </b> Et desto puede bien paresçer	Semper ergo cogitare debent , <b> quod minora faciunt , | quam deceat . </b> Ex hoc autem apparere potest	mx6Sb5G, nrdr8tB
1.2.18	fUsv3S2	los que son en el su regno <b> mucho les conuiene de ser liberales e francos </b> Mas par tenesce al libal e alstan ço de catar tres cosas ¶	qui sunt in Regno , <b> maxime decet eos liberales esse . </b> Spectat autem ad liberalem primo	kKC0VN9
1.2.18	xGRKpuc	que si espendiere <b> do non le conuiene espender </b> Mas los Reyes e los prinçipes de suranse	ubi oportet , <b> quam si expendat | ubi non oportet . </b> Deuiant autem a liberalitate Reges ,	dKm0FUJ, hWkzqc3
1.2.25	arbKvQA	e nos allega a aquello que la razon manda o uieda . <b> Conuiene de dar en aquella cosa dos uirtudes ¶ La vna que nos allegue . </b> Et la otra qua nos arriedre dello .	si unum et idem aliter et aliter acceptum nos retrahit et impellit , <b> oportebit circa illud dare duas virtutes , | unam impellentem , </b> et aliam retrahentem .	tPFMHsO, x4OBlkU
1.3.1	ozj8hhl	e los prinçipes poner su fin e su bien andança . <b> Et otrosi mostrado es en commo les conuiene de ser uirtuosos </b> ¶ Agora finca de dezir dela tercera parte deste libro	in quo Reges et Principes suum finem ponere debeant , <b> et quomodo oportet | eos virtuosos esse . </b> Restat exequi de tertia parte huius primi libri ,	rlKFgEQ, g4cXc8V
1.3.6	oimWZTO	por ende en este primero libro <b> conuiene de tractar delas costunbres de lons Reyes </b> uniuersalmente	ut dicitur 1 Physicorum , <b> deo in hoc primo de moribus Regum oportet </b> pertransire uniuersaliter typo :	ug9oiO3
1.3.7	oKouBM5	Ca nos podemos natanlmente querer mal a todos los ladrones . <b> pero non conuiene de temer quetsteza se aconpanne a esta mal querençia . </b> ¶ La septima diferençia es	uniuersaliter omnes fures : <b> non tamen oportet , | quod tristitia committetur huiusmodi odium . </b> Septima differentia est :	nL6p9v1, eCSjDL8
1.4.4	hnM89ho	e confonden el entendemiento . <b> Otrosy les conuiene de ser misconiosos non por fallesçimiento nin por llaqueza de </b> coraçon quales en los vieios .	rationem percutiunt . <b> Decet etiam eos esse miseratiuos , | non propter defectum , </b> vel propter imbecillitatem :	pHWL3D3, u61YGDu
1.4.5	mYCboA6	Onde el philosofo dize en el quarto libro de la rectorica <b> que conuiene de ser los nobles magranimos </b> e de grandes coraçones e magnificos	Unde Philos’ 4 Eth’ ait , <b> quod magnanimos et magnificos decet </b> esse nobiles et gloriosos .	mJb1FOb
2.1.4	y3LjE5x	todas las cosas neçessarias ala uida <b> conuiene de dar comunidat ala çibdat </b> sobre la comunidat deluarrio .	omnia necessaria ad vitam , <b> praeter communitatem vici | oportuit </b> dare communitatem ciuitatis .	aX0VO3u, cflSPyj
2.1.10	eTPJIBH	por que en el casamiento <b> dellos conuiene de guardar la orden natural mas que en otro ninguno . </b> ¶ Lo segundo esso mismo pue de ser mostrada	coniuges Regum et Principum , <b> quia in eorum coniugio magis quam in alio decet | naturalem ordinem conseruare . </b> Secundo hoc idem inuestigari potest	rro2zVm, u20scPx
2.1.16	hSQ3C6j	e en qual manera de una vsar del . <b> Et pues que assi es conuiene de desçender </b> mas en particular	et quomodo utendum sit eo . <b> Oportet ergo magis in particulari descendere , </b> qualiter omnes ciues	vOXQ3Ep
2.1.19	saRkvl7	e then a sus maridos a mayor amor . <b> Et por ende les conuiene de ser calladas </b> e en essa misma manera avn les conuiene de ser estables e firmes	et ad maiorem amorem viros inducunt : <b> decet ergo eas esse taciturnas . </b> Sic etiam decet esse stabiles :	zgXJc4U
2.2.2	h1q7blt	e en algun sennorio <b> en quel conuiene gouernar los otros </b> mucho les conuiene de ser sabios e buenos .	et in aliquo dominio , <b> in quo oportet eos alios gubernare ; </b> maxime decet eos esse prudentes et bonos .	gbtoUWJ
