Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.2	nQ1Hhg8	el que quiere tractar del gouernaiento <b> e fablarde sy mesmo conujene de tractar </b> e de dar conosçimiento de todas aquellas cosas	volens tractare de regimine sui , <b> oportet ipsum notitiam tradere de omnibus his </b> quae diuersificant mores et actiones .	dubgW54
1.2.1	w26STq8	e la su bien andança . <b> Et que non los conuiene poner la su fin en riquezas </b> nin en poderio çiuil	suam felicitatem debeant ponere , <b> quia non decet | eos suum finem ponere in diuitiis , </b> nec in ciuili potentia ,	qBYaESG, qFbMCPZ
1.2.5	vl9bSWV	Ca commo contesca de razonar derechamente <b> e non derechamente conuiene de dar alguna uirtud </b> que sea razon derecha .	ratiocinari recte et non recte , <b> oportet dare virtutem aliquam , </b> quae sit recta ratio ,	d9JuSEL
1.2.5	vkDV8KB	assi commo son las passiones dela saña . <b> Conuiene dar alguna uirtud en las passiones </b> por la qual las passiones non nos pueden mouer	ut passiones irascibiles : <b> circa passiones oportet | dare virtutem aliquam , </b> ne passiones nos impellant	rA3Avx7, e0hw29D
1.2.5	kAOhq4C	nin inclinar a aquelo que uieda la razon ¶ <b> Et otrosi nos conuiene de dar otra uirtud </b> por la qual las passiones non nos pueden arredrar	ad id quod ratio vetat : <b> et oportet dare virtutem aliam , </b> ne passiones retrahant nos ab eo ,	zXWLQjj
1.2.8	pVID2RV	aque ha de guiar el Rey su pueblo <b> le conuiene de ser acordable e prouisor . </b> Assi por razon de la manera	ad quae dirigit , <b> oportet Regem esse memorem , | et prouidum : </b> sic ratione modi per quem dirigit ,	iOFDdur, sWdT7iT
1.2.8	hghZ3gA	por la qual ha de guiar el pueblo <b> le conuiene de ser entendido e razonable . </b> Mas por razon dela su persona propia	sic ratione modi per quem dirigit , <b> oportet ipsum esse intelligentem , et rationalem . </b> Sed ratione propriae personae	wNVW4mo
1.2.13	uvhXSsD	e pecar en obrando . <b> Conuiene de dar e de ponetur algua uirtud </b> por la qual seamos reglados en las obras	et bene agere , <b> oportet dare virtutem aliquam , </b> per quam regulentur in agendo .	cQiW5AH
1.2.17	h6dhrzY	escontra regla derecha de razon e de entendimiento . <b> Conuiene de dar alguna uirtud medianera </b> entre la auariçia e el gastamiento .	contra rectam regulam rationis , <b> oportet dare virtutem aliquam mediam </b> inter auaritiam , et prodigalitatem :	mWTn264
1.2.18	fUsv3S2	los que son en el su regno <b> mucho les conuiene de ser liberales e francos </b> Mas par tenesce al libal e alstan ço de catar tres cosas ¶	qui sunt in Regno , <b> maxime decet eos liberales esse . </b> Spectat autem ad liberalem primo	kKC0VN9
