Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.13	tLPp7hm	Et commo el amor sienpre sean los semeiables e acordables con el . <b> Conuiene que aquel que es para de ser </b> gualardonado de dios	cum semper amor sit ad similes , et conformes , <b> oportet esse similem , </b> et conformem Deo ,	oHN9Sip
1.2.6	cNgjFzB	en las cosas singulares . <b> Conuiene que la pradençia sea cerca las cosas singulares </b> e particulares	et agibilia sint singularia , <b> oportet prudentiam esse circa particularia , </b> applicando uniuersales regulas	d7eh1Y0
1.2.31	r3QLoYm	commo los p̃h̃osacuerdan en esta sentençia <b> que conuiene que todas las uirtudes sean ayinntadas la vna con la vna con la otra . </b> Ca dixieron que aquel que ha vna uirtud	in hanc sententiam conuenerunt , <b> quod oportet virtutes connexas esse . </b> Dixerunt enim	rd2hYMU
1.4.7	uDu6PKE	li dellos contamos algunas malas costunbres <b> ca non conuiene que todos seantales . </b> Mas abasta que aquellas costunbres sean falladas en muchos por que non	aliquos malos mores : <b> quia non oportet omnes esse tales , </b> sed sufficit reperiri illud in pluribus :	yizC3vY
2.1.2	euM1PQj	e por si vale a conplimiento dela uida . <b> Conuiene que la comunidat dela casa sea mas neçessaria </b> Et pues que assi es los Reyes e los prinçipes	ad per se sufficientiam vitae , <b> oportet communitatem domus necessariam esse . </b> Reges ergo et Principes ,	juMZtcg
2.1.6	b0yZ5DK	luego que es fecha fazer otra semeiante <b> assi mas conuiene que ella primeramente sea acabada </b> enssi	potest sibi simile producere , <b> sed oportet prius ipsam esse perfectam . </b> statim enim ,	jgujmao
2.1.6	lakYQr4	luego otro su semeinante <b> mas conuiene que primeramente el sea acabado . </b> Et pues que assi es engendrar su semeiante non pertenesçe a cosa natural tomada en qual quier manera mas pertenesçe a cosa natural en quanto ella es acabada .	nec statim potest sibi simile producere , <b> sed oportet prius ipsum esse perfectum : | producere ergo sibi similem , </b> non est de ratione rei naturalis	jChMCJb, d2RIqeq
2.1.6	kITR8xJ	Et por ende paresçe que para que la casa sea acabada <b> que conuiene que sean enlla tres comuundades . </b> ¶ La vna del uaron e dela muger ¶	Patet ergo quod ad hoc quod domus habeat esse perfectum , <b> oportet ibi esse tres communitates : </b> unam viri et uxoris , aliam domini et serui ,	csbFq1I
2.1.6	arl82RD	Ca commo en la casa acabada sean tres gouernamientos . <b> Ca conuiene que este libro sea partido en tres partes . </b> ¶ En la primera delas quales tractaremos del gouernamiento mater moianl .	Nam cum in domo perfecta sint tria regimina , <b> oportet hunc librum tres habere partes ; </b> in quarum prima tractetur primo de regimine coniugali :	teVZt9b
2.1.15	rvuHMy7	por la natura <b> conuiene que sea muy ordenado . </b> Ca aquel gnia la natura de que viene todo ordenamiento	et quicquid natura praeparatur , <b> oportet ordinatissimum esse : </b> quia ille naturam dirigit ,	yLtRCfv
