Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.5	r960JDt	en el segundo libro delas ethicas <b> que conuiene que las obras </b> por las quales nos alcançamos la fin	ut dicitur 2 Ethic . ) <b> oportet operationes , </b> per quas finem consequimur ,	nq2J0Ds
1.1.6	dQvfXqU	Pues si la bien auentraança es bien acabado e conplido . <b> Conuiene que sea bien segunt el en tedimiento </b> e segunt Razon	si felicitas ponitur <b> esse perfectum bonum , oportet quod sit bonum </b> secundum intellectum , et rationem :	efFhow9
1.1.6	f4YebSH	e segunt Razon <b> O conuiene que sea tal bien qual iudga la razon derecha </b> que nos auemos de segnir	secundum intellectum , et rationem : <b> vel ( quod idem est ) | oportet quod sit tale bonum , </b> quale recta ratio prosequendi iudicet .	mScPtWV, cSFQukz
1.1.8	iRPLvXf	si conplida mente quiere demostrar le que significa <b> conuiene que sea conosçida cosa e magnifiesta . </b> Mas las cosas que son de dentro del alma	si plene manifestare vult ipsum signatum , <b> oportet quod sit | quid notum et manifestum : </b> intrinseca autem non sunt nobis nota ,	iXYtbxX, uk00yON
1.1.12	f8sRNN0	e de gouernar prinçipalmente e acabadamente . <b> Conuiene que qual se quier </b> prinçipeo Rey	et perfecte solus Deus , <b> oportet quod quicunque principatur , </b> siue regnat ,	fItEIWh
1.1.13	tLPp7hm	Et commo el amor sienpre sean los semeiables e acordables con el . <b> Conuiene que aquel que es para de ser </b> gualardonado de dios	cum semper amor sit ad similes , et conformes , <b> oportet esse similem , </b> et conformem Deo ,	oHN9Sip
1.2.2	xHNzEDL	Et el otro es para cobdiçiar <b> ¶ Conuiene que toda uirtud moral </b> o sea en el entendimiento o en la uoluntad o en el appetito enssannador	irascibilis scilicet , et concupiscibilis : <b> oportet omnem virtutem moralem , </b> vel esse in intellectu ,	s8gVXLC
1.2.6	cNgjFzB	en las cosas singulares . <b> Conuiene que la pradençia sea cerca las cosas singulares </b> e particulares	et agibilia sint singularia , <b> oportet prudentiam esse circa particularia , </b> applicando uniuersales regulas	d7eh1Y0
1.2.8	gmh0bI9	e la su conpanna a alguons bienes . <b> Conuiene que aya memoria de las cosas passadas . </b> Et que aya prouision delas cosas passadas	gentem aliquam ad bonum dirigere , <b> oportet quod habeat memoriam praeteritorum , </b> et prouidentiam futurorum .	vL0pA51
1.2.8	sQKd4YF	Ca la manera por que el Rey guia el su pueblo <b> Conuiene que sea manera de omne . </b> Ca el Rey omne es	quo Rex suum populum dirigit , <b> oportet quod sit humanus , </b> quia Rex ipse homo est .	o9le6X8
1.2.31	r3QLoYm	commo los p̃h̃osacuerdan en esta sentençia <b> que conuiene que todas las uirtudes sean ayinntadas la vna con la vna con la otra . </b> Ca dixieron que aquel que ha vna uirtud	in hanc sententiam conuenerunt , <b> quod oportet virtutes connexas esse . </b> Dixerunt enim	rd2hYMU
1.3.9	hW0iaUr	terca la qual es el dolor e la tristeza . <b> Conuiene que la delectaçion e la tristeza </b> sean prinçipales passiones	circa quod est dolor et tristitia <b> oportet delectationem et tristitiam </b> esse principales passiones respectu concupiscibilis .	h7s8LCh
1.4.7	uDu6PKE	li dellos contamos algunas malas costunbres <b> ca non conuiene que todos seantales . </b> Mas abasta que aquellas costunbres sean falladas en muchos por que non	aliquos malos mores : <b> quia non oportet omnes esse tales , </b> sed sufficit reperiri illud in pluribus :	yizC3vY
2.1.2	euM1PQj	e por si vale a conplimiento dela uida . <b> Conuiene que la comunidat dela casa sea mas neçessaria </b> Et pues que assi es los Reyes e los prinçipes	ad per se sufficientiam vitae , <b> oportet communitatem domus necessariam esse . </b> Reges ergo et Principes ,	juMZtcg
2.1.3	vhyQTZS	e antepuesta non puede ser propreamente cosa artifiçial <b> mas conuiene que aquello en quanto es tal sea cosa natural </b> Por la qual cosa si el omne es naturalmente	non proprie quid artificiale erit , <b> sed oportet illud | ( secundum quod huiusmodi est ) naturale esse . </b> Quare si homo est	qrFZcW9, zrwpaIL
2.1.4	b5JyjJQ	nin conpannia de vno <b> assi commo si queremos saluar la comuidat dela casa conuiene que ella sea establesçida de muchͣs perssonas </b> mas assi commo adelanţe paresçra	cum non sit proprie communitas nec societas ad seipsum , <b> si in domo communitatem saluare volumus , | oportet eam </b> ex pluribus constare personis ;	qLXosA4, lyWSM2t
