Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.5	r960JDt	en el segundo libro delas ethicas <b> que conuiene que las obras </b> por las quales nos alcançamos la fin	ut dicitur 2 Ethic . ) <b> oportet operationes , </b> per quas finem consequimur ,	nq2J0Ds
1.1.6	dQvfXqU	Pues si la bien auentraança es bien acabado e conplido . <b> Conuiene que sea bien segunt el en tedimiento </b> e segunt Razon	si felicitas ponitur <b> esse perfectum bonum , oportet quod sit bonum </b> secundum intellectum , et rationem :	efFhow9
1.1.6	f4YebSH	e segunt Razon <b> O conuiene que sea tal bien qual iudga la razon derecha </b> que nos auemos de segnir	secundum intellectum , et rationem : <b> vel ( quod idem est ) | oportet quod sit tale bonum , </b> quale recta ratio prosequendi iudicet .	mScPtWV, cSFQukz
1.1.8	iRPLvXf	si conplida mente quiere demostrar le que significa <b> conuiene que sea conosçida cosa e magnifiesta . </b> Mas las cosas que son de dentro del alma	si plene manifestare vult ipsum signatum , <b> oportet quod sit | quid notum et manifestum : </b> intrinseca autem non sunt nobis nota ,	iXYtbxX, uk00yON
1.1.12	f8sRNN0	e de gouernar prinçipalmente e acabadamente . <b> Conuiene que qual se quier </b> prinçipeo Rey	et perfecte solus Deus , <b> oportet quod quicunque principatur , </b> siue regnat ,	fItEIWh
1.2.2	xHNzEDL	Et el otro es para cobdiçiar <b> ¶ Conuiene que toda uirtud moral </b> o sea en el entendimiento o en la uoluntad o en el appetito enssannador	irascibilis scilicet , et concupiscibilis : <b> oportet omnem virtutem moralem , </b> vel esse in intellectu ,	s8gVXLC
1.2.5	p60rNjY	Ca toda obra si deue ser uirtuosa . <b> conuiene que se faga sabiamente </b> e iusta mente .	Nam omnis actus , <b> si virtuosus esse debet , </b> oportet quod fiat prudenter , iuste , fortiter , et temperate :	fc8Bodz
1.2.7	tj20bNu	e los mançebos <b> conuiene que naturalmente sean subiectos de los mas antigos </b> por que non son espiertos	Hoc etiam modo iuuenes naturaliter decet <b> antiquioribus esse subiectos , </b> quia inexperti agibilium	izwcMvF
1.2.7	c6F49Od	por que naturalmente sea sennor <b> conuiene que florescaen sabiduria e en entendimiento </b> or que nunca conplidamente se pueda auer el todo	Ut igitur Rex naturaliter dominetur oportet <b> quod polleat prudentia , et intellectu . </b> Quot , et quae oporteat habere Regem ,	o4VLuBw
1.2.8	gmh0bI9	e la su conpanna a alguons bienes . <b> Conuiene que aya memoria de las cosas passadas . </b> Et que aya prouision delas cosas passadas	gentem aliquam ad bonum dirigere , <b> oportet quod habeat memoriam praeteritorum , </b> et prouidentiam futurorum .	vL0pA51
1.2.8	sQKd4YF	Ca la manera por que el Rey guia el su pueblo <b> Conuiene que sea manera de omne . </b> Ca el Rey omne es	quo Rex suum populum dirigit , <b> oportet quod sit humanus , </b> quia Rex ipse homo est .	o9le6X8
1.3.4	yN4HEcm	Por la qual cosa si el desseo deue tomar mesura del amor <b> Conuiene que los Reyes e los prinçipes desse en prinçipalmente el buen estado del regno </b> assi que todos quantos son en el regno	mensuram sumere <b> ex amore , | principaliter Reges et Principes debent desiderare bonum statum regni : </b> ut quod qui in regno sunt ,	kYnn02E, yue8F6m
1.3.9	hW0iaUr	terca la qual es el dolor e la tristeza . <b> Conuiene que la delectaçion e la tristeza </b> sean prinçipales passiones	circa quod est dolor et tristitia <b> oportet delectationem et tristitiam </b> esse principales passiones respectu concupiscibilis .	h7s8LCh
1.4.7	ptL8OzT	e non sepa sotrir la buena uentra a <b> conuiene que con las riquezas sea aconpanada la nobleza </b> porque el rico e el noble de antiguedat	et nesciat fortunas ferre , <b> expedit ut diuitias concomitetur nobilitas . </b> Diues enim nobilis et ab antiquo ,	a1yOCz5
2.1.3	vhyQTZS	e antepuesta non puede ser propreamente cosa artifiçial <b> mas conuiene que aquello en quanto es tal sea cosa natural </b> Por la qual cosa si el omne es naturalmente	non proprie quid artificiale erit , <b> sed oportet illud | ( secundum quod huiusmodi est ) naturale esse . </b> Quare si homo est	qrFZcW9, zrwpaIL
