Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.5	r960JDt	en el segundo libro delas ethicas <b> que conuiene que las obras </b> por las quales nos alcançamos la fin	ut dicitur 2 Ethic . ) <b> oportet operationes , </b> per quas finem consequimur ,	nq2J0Ds
1.1.13	tLPp7hm	Et commo el amor sienpre sean los semeiables e acordables con el . <b> Conuiene que aquel que es para de ser </b> gualardonado de dios	cum semper amor sit ad similes , et conformes , <b> oportet esse similem , </b> et conformem Deo ,	oHN9Sip
1.2.2	xHNzEDL	Et el otro es para cobdiçiar <b> ¶ Conuiene que toda uirtud moral </b> o sea en el entendimiento o en la uoluntad o en el appetito enssannador	irascibilis scilicet , et concupiscibilis : <b> oportet omnem virtutem moralem , </b> vel esse in intellectu ,	s8gVXLC
1.2.5	p60rNjY	Ca toda obra si deue ser uirtuosa . <b> conuiene que se faga sabiamente </b> e iusta mente .	Nam omnis actus , <b> si virtuosus esse debet , </b> oportet quod fiat prudenter , iuste , fortiter , et temperate :	fc8Bodz
1.2.6	cNgjFzB	en las cosas singulares . <b> Conuiene que la pradençia sea cerca las cosas singulares </b> e particulares	et agibilia sint singularia , <b> oportet prudentiam esse circa particularia , </b> applicando uniuersales regulas	d7eh1Y0
1.2.7	tj20bNu	e los mançebos <b> conuiene que naturalmente sean subiectos de los mas antigos </b> por que non son espiertos	Hoc etiam modo iuuenes naturaliter decet <b> antiquioribus esse subiectos , </b> quia inexperti agibilium	izwcMvF
1.2.7	c6F49Od	por que naturalmente sea sennor <b> conuiene que florescaen sabiduria e en entendimiento </b> or que nunca conplidamente se pueda auer el todo	Ut igitur Rex naturaliter dominetur oportet <b> quod polleat prudentia , et intellectu . </b> Quot , et quae oporteat habere Regem ,	o4VLuBw
1.2.31	r3QLoYm	commo los p̃h̃osacuerdan en esta sentençia <b> que conuiene que todas las uirtudes sean ayinntadas la vna con la vna con la otra . </b> Ca dixieron que aquel que ha vna uirtud	in hanc sententiam conuenerunt , <b> quod oportet virtutes connexas esse . </b> Dixerunt enim	rd2hYMU
1.3.4	yN4HEcm	Por la qual cosa si el desseo deue tomar mesura del amor <b> Conuiene que los Reyes e los prinçipes desse en prinçipalmente el buen estado del regno </b> assi que todos quantos son en el regno	mensuram sumere <b> ex amore , | principaliter Reges et Principes debent desiderare bonum statum regni : </b> ut quod qui in regno sunt ,	kYnn02E, yue8F6m
1.3.9	hW0iaUr	terca la qual es el dolor e la tristeza . <b> Conuiene que la delectaçion e la tristeza </b> sean prinçipales passiones	circa quod est dolor et tristitia <b> oportet delectationem et tristitiam </b> esse principales passiones respectu concupiscibilis .	h7s8LCh
1.4.7	ptL8OzT	e non sepa sotrir la buena uentra a <b> conuiene que con las riquezas sea aconpanada la nobleza </b> porque el rico e el noble de antiguedat	et nesciat fortunas ferre , <b> expedit ut diuitias concomitetur nobilitas . </b> Diues enim nobilis et ab antiquo ,	a1yOCz5
