Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.7	bUeogyA	tum quia sunt diuitiae <b> ex institutione Hominum , tum quia cum sint corporalia , </b> ipsi indigentiae corporali	Lo segundo que por que estas Riquezas son riquezas <b> por ordenamiento e estableçemiento | delons omes </b> e non en otra gnisa¶	gfrSJC2, jvnuYdX
1.1.8	zT2QcxX	Honor ergo habet rationem boni extrinseci , <b> cum sit reuerentia exhibita </b> per quaedam exteriora signa .	que esta de fuera <b> por que es reuerençia fecha </b> por señales mostradas de fuera¶	a2EmlK2
1.1.8	udWWfav	Nam si Princeps suam felicitatem in honoribus ponat , <b> cum sufficiat ad hoc </b> quod quis honoretur ,	si pusiere la su bien andança en honrras <b> conmoabaste acanda vno </b> para que sea honrrado	dO6FXe1
1.1.10	rxZtHIq	quia tale dominium <b> cum sit violentum , </b> et contra naturam ,	Mas es de poner en aquello <b> que sienpre ha de durar ¶ </b> La segunda razon se declara	aZsOanX
1.1.13	sfpB9KP	si non transgrediantur , <b> cum possint transgredi , </b> maioris meriti esse videntur .	si non trispassaren los mandamientos de dios <b> conmolos podiessen </b> trispassar son de mayor meresçimiento .	oEF1Quo
1.2.5	lfik46q	per quam de ipsis agibilibus rectas rationes faciamus . <b> Rursus cum contingat operari recte et non recte , </b> sic ut est dare virtutem ,	que fazemos fagamos razones derechas ¶ <b> Otrosi commo contesca de obrar derechamente | e non derechamente </b> assi commo auemos a dar uirtud .	eGbxP24, lOVmXT7
1.2.5	dPwNaGp	principalior omnibus aliis , <b> cum sit directiua omnium aliarum , </b> et iustitia sit principalior	¶Otrosi por que la prudençia es mas prinçipal que todas las otras <b> por que es endereçadora e regladora de todas las otras ¶ </b> Et la iustiçia en pos ella es mas prinçipal que la fortaleza e la tenperança .	db5sx6T
1.2.15	eA6rCrx	nomine Phyloxenus , <b> qui , cum esset pultiuorax , orauit , </b> ut guttur eius longius quam gruis fieret .	e tomaua muy grant delectaçion en ellas g̃rago a dios <b> quel feziese la garganta </b> mas luenga que garganta de grulla	wny7Vl2
1.2.16	emZjCzA	in Rege Sardanapallo , <b> qui cum esset totus muliebris , </b> et deditus intemperantiae ( ut recitat Iustinus Historicus , libro 1 abbreuiationis Trogi Pompeii )	enxienplo en el Rey sardan <b> apalo que por que era todo mugeril | e dado a mugers </b> e era muy	sY3eqF5, zvLKTht
1.2.18	yusjx1a	de leui <b> quis cum sit prodigus , </b> fieri poterit liberalis .	desbien commo el libal non lo es de ligero se puede fazer <b> qual quier gastador liberal e franco ¶ </b> pues que assi es si es conueinble al Rey	rkM8GTW
