Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.1	quV9Wlh	tangere Philosophus 1 Ethicorum , <b> cum ait , </b> quod dicetur sufficienter de morali negocio ,	eL segundo libro delas ethicas quando <b> dizeque conplidamente se dize dela </b> moralph̃ia si fuer fecha manifestaçion	uuXlYzW
1.1.7	bUeogyA	tum quia sunt diuitiae <b> ex institutione Hominum , tum quia cum sint corporalia , </b> ipsi indigentiae corporali	Lo segundo que por que estas Riquezas son riquezas <b> por ordenamiento e estableçemiento | delons omes </b> e non en otra gnisa¶	gfrSJC2, jvnuYdX
1.1.7	iNfvARm	ut patebit in 3 lib’ <b> cum determinabitur de regimine Regni . </b> Nam Rex proprie est ,	ca ay grant diferençia entre el Rey e tirano <b> assy commo demostrͣemos enl terçero libro quando determinaremos del gouernamiento del regno </b> Ca el Rey es aquel que propiamente parara mientes al bien del regno e al bien comun¶	vkLI53A
1.1.8	zT2QcxX	Honor ergo habet rationem boni extrinseci , <b> cum sit reuerentia exhibita </b> per quaedam exteriora signa .	que esta de fuera <b> por que es reuerençia fecha </b> por señales mostradas de fuera¶	a2EmlK2
1.1.8	udWWfav	Nam si Princeps suam felicitatem in honoribus ponat , <b> cum sufficiat ad hoc </b> quod quis honoretur ,	si pusiere la su bien andança en honrras <b> conmoabaste acanda vno </b> para que sea honrrado	dO6FXe1
1.1.10	iqZEXof	naturaliter agit , <b> cum calefacit : </b> sic homo , qui est naturaliter liber arbitrio ,	que es naturalmente caliente <b> e sienpre escalienta assi el omne </b> por que es natraalmente franco	yJc6xmx
1.1.10	rxZtHIq	quia tale dominium <b> cum sit violentum , </b> et contra naturam ,	Mas es de poner en aquello <b> que sienpre ha de durar ¶ </b> La segunda razon se declara	aZsOanX
1.1.10	svzZ0cA	ait , turpe esse , <b> cum bellamus , participare bonis , </b> cum vero vacamus et sumus in pace , fieri vitiosus .	Et dize assi que torpe cosa es <b> que nos quando lidiamos o estamos en la batalla seamos bueons </b> Et despues quando fueremos en paz	z2sLXxR
1.1.10	j13DoNp	cum bellamus , participare bonis , <b> cum vero vacamus et sumus in pace , fieri vitiosus . </b> Quare si inconueniens est	que nos quando lidiamos o estamos en la batalla seamos bueons <b> Et despues quando fueremos en paz | que seamos uiçiosos e malos . </b> por las quales cosas ya dichas	aStGsda, cJoobzS
1.1.11	klLKy52	Aequatio enim humorum , <b> cum subsunt motui supercoelestium corporum , </b> variationi aeris ,	e se puerden perder de ligero . <b> Ca la egualança de los humores | en que esta la salut </b> commo sea subiecta al	gnR4Kxk, n2drXv1
1.1.13	sfpB9KP	si non transgrediantur , <b> cum possint transgredi , </b> maioris meriti esse videntur .	si non trispassaren los mandamientos de dios <b> conmolos podiessen </b> trispassar son de mayor meresçimiento .	oEF1Quo
1.2.2	ik05n8J	remanet indiuisus . <b> Nam cum intellectus uniuersaliori modo </b> respiciat suum obiectum quam sensus ,	que es dich̃o uoluntad non es departido en ningunas partes . <b> Ca commo el entendimiento sea mas general que el seso . </b> Mas generalmente cata aquello en que ha de obrar que el seso .	brxfy1w
1.2.3	fNK5WGi	Numerus autem earum sic potest accipi . <b> Nam cum subiectum virtutis sit , </b> vel intellectus , vel voluntas ,	assi se puede tomar . <b> Ca commo el subiecto delas uirtudes sea o el entendimiento o la uoluntad o el appetito senssitiuo . </b> toda uirtud moral o es en el entendimiento	hBrSpes
1.2.3	xa2kwOF	sunt in concupiscibili . <b> Patet ergo quod cum quatuor potentiae animae sint </b> susceptibiles virtutum de quibus loquimur ,	guaue son en el appetito desseador ¶ <b> Pues que assi es paresçe | que commo sean quatro poderios del alma </b> que pueden resçebir las uirtudes	vZfOWUW, fSGRmYd
1.2.5	lfik46q	per quam de ipsis agibilibus rectas rationes faciamus . <b> Rursus cum contingat operari recte et non recte , </b> sic ut est dare virtutem ,	que fazemos fagamos razones derechas ¶ <b> Otrosi commo contesca de obrar derechamente | e non derechamente </b> assi commo auemos a dar uirtud .	eGbxP24, lOVmXT7
1.2.5	dPwNaGp	principalior omnibus aliis , <b> cum sit directiua omnium aliarum , </b> et iustitia sit principalior	¶Otrosi por que la prudençia es mas prinçipal que todas las otras <b> por que es endereçadora e regladora de todas las otras ¶ </b> Et la iustiçia en pos ella es mas prinçipal que la fortaleza e la tenperança .	db5sx6T
1.2.6	zSo7mgF	sed per prudentiam <b> ( cum habemus ) </b> dirigimur in fines illos .	Mas por la pradençia somos reglados <b> en qual manera pondemos alcançar aquellas fines . </b> Mas la pradençia toma aquellas fines delas uirtudes morałs	uLXcd2h
1.2.7	on2eMGl	vel plumbeus positus in computo mercatorum , <b> Mercatores enim cum ratiocinando computant , </b> aliquando unum denarium aeneum	puesto en el cuento delos mercadores . <b> Ca los mercandores su mando | e razoñado cuentan algunas vezes </b> vn dinero de cobre de plomo	psrdKJk, oJ2Isvv
1.2.12	yse87lH	et ut obseruent Iustitiam : <b> cum sine ea ciuitates , </b> et regna durare non possint .	e que guarden iustiçia <b> sin la qual las çibdades e los regnos non pueden durar </b> Empero por que el coraçon del noble ome	e68YvfL
1.2.12	tTrioH9	quod unumquodque perfectum est , <b> cum potest sibi simile producere , </b> et cum actio sua ad alios se extendit :	que cada vna cosa es acabada <b> enssi quando puede fazer otra tal commo si . </b> Et quando la su obra se estiende alos otros	oLaGxT4
1.2.13	qqarU5s	aggrediuntur bellorum pericula : <b> sed , cum aggressi sunt ea , </b> si inuenerint resistentiam ,	Ca alguonsligeramente acomneten los periglos delas faziendas e delas batallas . <b> Mas quando los han acometidos </b> si fallan fortaleza	idbP1ix
1.2.13	e6266d6	Quidam autem non de leui aggrediuntur bellum , <b> sed cum aggressi fuerint , </b> sustinent ,	Et otrosi hay otros que non deligero acometen la fazienda e la batalla . <b> mas quando la han acometida estan </b> e susten los periglos dela batalla e dela fazienda .	mayoGit
1.2.13	oQw5uC9	Non enim sic aperte apprehendimus mortem , <b> cum aegrotamur : </b> quia aegritudines intrinsecus latent ;	manifiestamente la muerte quando enfermamos <b> por que las enfermedades yazen ascondidamente de dentro nin sentimos . | los periglos dela mar </b> commo sentimos delas batallas	wMqiltE, ara56w0
1.2.15	jR2w4Mi	cum cibus aut potus attingit guttur , <b> quam cum coniungitur linguae . </b> Credendum est enim in talibus iudicio gulosorum .	e el beuer llega ala garganta <b> que quando llega ala lengua . </b> Et estas cosas deuemos creer al iuizio de los golosos .	tl7sr5N
1.2.15	eA6rCrx	nomine Phyloxenus , <b> qui , cum esset pultiuorax , orauit , </b> ut guttur eius longius quam gruis fieret .	e tomaua muy grant delectaçion en ellas g̃rago a dios <b> quel feziese la garganta </b> mas luenga que garganta de grulla	wny7Vl2
1.2.16	emZjCzA	in Rege Sardanapallo , <b> qui cum esset totus muliebris , </b> et deditus intemperantiae ( ut recitat Iustinus Historicus , libro 1 abbreuiationis Trogi Pompeii )	enxienplo en el Rey sardan <b> apalo que por que era todo mugeril | e dado a mugers </b> e era muy	sY3eqF5, zvLKTht
1.2.18	ipPNPHd	( quia senes auariores sunt iuuenibus ) <b> cum veniunt ad senectutem , </b> ut plurimum curatur eorum prodigalitas ,	Et por ende son mas auarientos <b> que quando eran mançebos </b> e assi los mas dellos	tQiP1Mw
1.2.18	yusjx1a	de leui <b> quis cum sit prodigus , </b> fieri poterit liberalis .	desbien commo el libal non lo es de ligero se puede fazer <b> qual quier gastador liberal e franco ¶ </b> pues que assi es si es conueinble al Rey	rkM8GTW
1.2.23	jHauast	ut esse veridicos ; <b> cum sint regula aliorum , </b> quae obliquari ,	de seer manifiestos e claros e seer uerdaderos <b> por que son regla de los otros </b> La qual regla non se deue torcer nin falssar	kjcTGOd
1.2.26	b9lmK08	ut supra diffusius dicebatur . <b> Quare cum distincta sit virtus haec ab illa , </b> videndum est	assi commo dicho es de ssuso mas conplidamente <b> por la qual cosa commo esta uirtud | que es dicha humildança sea apartada dela magnanimidat </b> conuienenos de veer	neT1KFG, ycLSRHI
1.2.26	xvv7bBj	Est enim hoc notabiliter attendendum , <b> quod cum virtus magis sit retrahens quam impellens , </b> principaliter opponitur superabundantiae ,	que quando la uirtud . <b> mas nos trahe e tira | que nos allega e esfuerca . </b> Estonçe prinçipalmente	zqx1nk5, zoXuwaQ
