Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.1	wBKYqtX	Amen . FINIS <b> Oportet ut latitudo sermonis </b> in unaquaque re sit	por que puedan vençer sus enemigos . <b> onuiene que la largueza delos sermones </b> e delas palabras en cada	jhKinJn
1.1.3	yuRP8k1	absque diuina gratia obseruari non possunt , <b> decet quemlibet hominem , </b> et maxime regiam maiestatem	njn guardar <b> syn la gera de dios conviene de cada vn omne </b> e mayormente prinçipe o Rey	v2sl5FU
1.1.4	g7Mx6vK	His peractis , dicamus , <b> quod decet regiam maiestatem </b> hos modos viuendi cognoscere ,	pues que asy es estas cosas acabadas digamos <b> que conujene ala rreal magestad </b> e a todo rrey saber	dz9AVbH
1.1.5	nq2J0Ds	ut dicitur 2 Ethic . ) <b> oportet operationes , </b> per quas finem consequimur ,	en el segundo libro delas ethicas <b> que conuiene que las obras </b> por las quales nos alcançamos la fin	r960JDt
1.1.5	lhim4Tr	Tertio agere <b> oportet delectabiliter : </b> nam quanto quis in aliquo opere magis delectatur ,	Lo terçero conuiene <b> que no sobremos con delectaçion e con plazer </b> por que qua quanto cada vno mas se delecta en la obra	ydIsViS
1.1.5	x75qOMt	tamen quia non faciunt ea bene et delectabiliter , <b> non oportet per huiusmodi opera </b> eos	fazen bien njn <b> delectosamente non les conuiene </b> que por aquellas obras alcançen buena fin	wmxsGxX
1.1.5	x4W1ek6	Ut ergo agamus , <b> oportet nobis </b> praestituere aliquem finem :	ø	ø
1.1.6	efFhow9	si felicitas ponitur <b> esse perfectum bonum , oportet quod sit bonum </b> secundum intellectum , et rationem :	Pues si la bien auentraança es bien acabado e conplido . <b> Conuiene que sea bien segunt el en tedimiento </b> e segunt Razon	dQvfXqU
1.1.6	cSFQukz	vel ( quod idem est ) <b> oportet quod sit tale bonum , </b> quale recta ratio prosequendi iudicet .	e segunt Razon <b> O conuiene que sea tal bien qual iudga la razon derecha </b> que nos auemos de segnir	f4YebSH
1.1.6	ay98BSl	Ad praesens autem scire sufficiat , <b> quod non decet aliquem hominem </b> suam felicitatem ponere	Mas quanto a esto presente cunple de saber <b> qua non conuiene a ningun omne </b> de poner la feliçidat suia	ok7bbNX
1.1.8	iXYtbxX	si plene manifestare vult ipsum signatum , <b> oportet quod sit </b> quid notum et manifestum :	si conplida mente quiere demostrar le que significa <b> conuiene que sea conosçida cosa e magnifiesta . </b> Mas las cosas que son de dentro del alma	iRPLvXf
1.1.8	fFpzdnh	secundum dignitatem personarum , <b> ut plura bona decet dignis , et sapientibus , quam indignis , et Histrionibus . </b> Sed si Princeps suam felicitatem in honoribus ponat ,	segunt las dignidades delas personas ¶ <b> assi que de mayores bienes alos que son dignos e sabios | que non alos que non son dignos </b> nin alos iuglares ¶	cuOVlL7, siVDn9Y
1.1.8	ggXSb1V	secundum personarum dignitatem . <b> Quod non decet regiam maiestatem , </b> suam ponere felicitatem in gloria ,	ø	ø
1.1.9	br5bLHy	sed hoc pro tanto dictum est , <b> qua decet Reges , </b> et Principes esse magnificos , et magnanimos .	mas por tanto dixo esto el philosofo <b> por que conuiene alos Reys alos prinçipes </b> de ser manificos e grandes e magnanimos e de grandes coraçones .	nDmlqfO
1.1.9	w4Gtng2	nam ex hoc efficerentur populi praedatores . <b> Quod non decet regiam maiestatem suam </b> Vegetius in libro De re militari ,	non serie buen prinçipe mas serie tirano ¶ <b> Et por ende serie dicho Robador del pueblo . </b> ize vegeçio enł primero libro	oniZUrD
1.1.10	nxhXMkB	quam aliquod bonum singulare , <b> non decet principem </b> suam felicitatem ponere in ciuili potentia .	que el bien singular et personal . <b> Non conuiene alos prinçipes </b> poner su bien andança en el poderio	nEPVqYw
1.1.10	s1Fqp2Z	suam felicitatem ponere in ciuili potentia . <b> Quinto hoc non decet ipsum , </b> quia huiusmodi principatus infert	çiuil¶ <b> La quinta razon por que non conuiene al prinçipe </b> poner la su bien andança en el poderio çiuiles	uEgklIv
1.1.10	zhQT83t	si possit sibi subiicere nationes multas . <b> Quod non deceat Regiam maiestatem </b> suam felicitatem ponere in robore corporali ,	quando pudiere subiugar <b> assi las naçiones . </b> et las gentes .	pbyzvMk
1.1.11	tMpnx7V	et pulchritudo . <b> Non decet ergo Regem , </b> nec aliquem hominem in talibus	en que es guardada la color e la fermosura ¶ <b> Et pues que assi es non conuiene al rey </b> nin a ningun omnen poner la su feliçidat	cpt5YQ1
1.1.11	ntabqTL	Dicamus ergo ad intelligentiam omnium dictorum , <b> quod non decet </b> Principem felicitatem ponere	Pues que assi es para entender todas las cosas sobredichas digamos <b> que non conuiene al Rey </b> nin al prinçipe poner su feliçidat	nHYUadE
1.1.12	sCj7VDT	Tamen , ut appareat , <b> quomodo deceat regiam maiestatem </b> ponere suam felicitatem	Enpero por que paresca lo primero <b> en qual manera conuenga ala Real magestad </b> de poner la primera feliçidat	jU1178K
1.1.12	rbXivsa	in actu prudentiae , <b> sciendum quod decet Regem maxime </b> suam felicitatem	en las obras de pradençia . <b> ¶ Et la segunda commo le conuiene </b> de poner er la su bien andança solamente en dios .	kXKB968
1.1.12	nyANKhD	sed bonum rationis sit bonum uniuersale , et intelligibile , <b> decet Regiam maiestatem </b> eo ipso quod homo est ,	e delan razon es bien comun e entelligible <b> Conuiene ala Real magestad </b> en quanto es omne	r4qFwDW
1.1.12	fItEIWh	et perfecte solus Deus , <b> oportet quod quicunque principatur , </b> siue regnat ,	e de gouernar prinçipalmente e acabadamente . <b> Conuiene que qual se quier </b> prinçipeo Rey	f8sRNN0
1.1.12	fG8n9eC	et debet eam expectare ab ipso , <b> decet Regem , </b> qui est Dei minister ,	e deuen la esparar del . <b> Conuiene al Rey </b> que es ofiçial de dios	zXMFqzz
1.2.1	tjYESQN	Virtutes autem quaedam sunt quidam ornatus , <b> et quaedam perfectiones animae . Oportet ergo prius ostendere , </b> quot sunt potentiae animae ,	Ca las uirtudes son vnos hornamentos e conponimientos e hunas perfectiones <b> que fazen acabada el alma . | Pues que assi es conuiene </b> mostrͣ primero quantos son los poderios del alma	xpQpYsE, sb8hFBL
1.2.1	nDhH3od	quae sit unaquaeque illarum virtutum , <b> et quomodo decet Reges , </b> et Principes tales virtutes habere .	qual es cada vna de estas uirtudes . <b> Et en qual manera conuiene alos Reyes </b> e alos prinçipes de auer estas uirtudes ¶	aFpWTZd
1.2.1	jwNUTFQ	et appetitus intellectiuus , et sensitiuus , <b> oportet esse in talibus virtutes morales . </b> Quomodo distinguuntur virtutes :	que es la uoluntad Et el appetito sen setiuo <b> que sigue al seso conuiene </b> por fuerça	vbz3L7W
1.2.2	kyUNoBP	virtutem esse aliquid secundum rationem : <b> oportet ergo esse rationalem potentiam , </b> in qua potest esse virtus .	segunt razon <b> e por ende conuiene | que sea poderio razonable </b> aquel en que esta la uirtud ¶	e0FPTs7, fsFVDsK
1.2.2	s8gVXLC	irascibilis scilicet , et concupiscibilis : <b> oportet omnem virtutem moralem , </b> vel esse in intellectu ,	Et el otro es para cobdiçiar <b> ¶ Conuiene que toda uirtud moral </b> o sea en el entendimiento o en la uoluntad o en el appetito enssannador	xHNzEDL
