Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.1	etYmWS8	Immo quia ( secundum Philosophum in Politicis ) <b> quae oportet dominum scire praecipere , </b> haec oportet subditum scire facere :	Ca Segund dize el philosopho enlas politicas <b> que aquellas cosas | que conujene al Senonr </b> de saber mandar essas mesmas	pXwE9OX, oWHJQrX
1.1.5	jsRPhVA	non debetur eis corona . <b> Oportet igitur actu bene agere , </b> ut per opera nostra mereamur	Enpero si non lidiaren de fech̃o non les es deuida corona ¶ <b> pues que asi es conviene bien fazer de fecho </b> por que por las nr̃as obras merescamos de auer buena fino buena ventura	pJisXhT
1.1.6	afgIYC8	Dictum est enim <b> quod decet Principem esse supra Hominem , </b> et totaliter diuinum .	Ca dicho n auemos ya desuso <b> que conuiene al Rei | e al prinçipe sier </b> mas que omne e ser del todo diuinal .	kawdtcq, pLcHhrV
1.1.9	hSIuxiM	honor tamen eos consequitur , <b> et decet eos acceptare honorem sibi exhibitum , </b> non habentibus Hominibus aliquid maius ,	enpero la honrra les parte nesçe a ellos . <b> Et conuiene les alos Reys de resçebir la honrra | que les fazenn los omes </b> por que los omes non les pueden dar mayor cosa que honrra	sbJ7vc2, p2r04mw
1.1.13	oHN9Sip	cum semper amor sit ad similes , et conformes , <b> oportet esse similem , </b> et conformem Deo ,	Et commo el amor sienpre sean los semeiables e acordables con el . <b> Conuiene que aquel que es para de ser </b> gualardonado de dios	tLPp7hm
1.2.1	tjYESQN	Virtutes autem quaedam sunt quidam ornatus , <b> et quaedam perfectiones animae . Oportet ergo prius ostendere , </b> quot sunt potentiae animae ,	Ca las uirtudes son vnos hornamentos e conponimientos e hunas perfectiones <b> que fazen acabada el alma . | Pues que assi es conuiene </b> mostrͣ primero quantos son los poderios del alma	xpQpYsE, sb8hFBL
1.2.1	jwNUTFQ	et appetitus intellectiuus , et sensitiuus , <b> oportet esse in talibus virtutes morales . </b> Quomodo distinguuntur virtutes :	que es la uoluntad Et el appetito sen setiuo <b> que sigue al seso conuiene </b> por fuerça	vbz3L7W
1.2.2	kyUNoBP	virtutem esse aliquid secundum rationem : <b> oportet ergo esse rationalem potentiam , </b> in qua potest esse virtus .	segunt razon <b> e por ende conuiene | que sea poderio razonable </b> aquel en que esta la uirtud ¶	e0FPTs7, fsFVDsK
1.2.3	w7syDvP	de quibus omnibus quid sunt , <b> et quomodo decet eas Reges habere , </b> et quas partes habent ,	con estas dichas diez <b> son doze las uirtudes morales delas quales todas que cosas son e en qual manera . | Conuiene a los Reyes </b> e alos prinçipes delos auer	xFsdsGn, sbYQQKR
1.2.6	d7eh1Y0	et agibilia sint singularia , <b> oportet prudentiam esse circa particularia , </b> applicando uniuersales regulas	en las cosas singulares . <b> Conuiene que la pradençia sea cerca las cosas singulares | e particulares </b> allegando las reglas generales alos negoçios singulares	cNgjFzB, muEOtwW
