Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.1	tjYESQN	Virtutes autem quaedam sunt quidam ornatus , <b> et quaedam perfectiones animae . Oportet ergo prius ostendere , </b> quot sunt potentiae animae ,	Ca las uirtudes son vnos hornamentos e conponimientos e hunas perfectiones <b> que fazen acabada el alma . | Pues que assi es conuiene </b> mostrͣ primero quantos son los poderios del alma	xpQpYsE, sb8hFBL
1.2.1	jwNUTFQ	et appetitus intellectiuus , et sensitiuus , <b> oportet esse in talibus virtutes morales . </b> Quomodo distinguuntur virtutes :	que es la uoluntad Et el appetito sen setiuo <b> que sigue al seso conuiene </b> por fuerça	vbz3L7W
1.2.2	kyUNoBP	virtutem esse aliquid secundum rationem : <b> oportet ergo esse rationalem potentiam , </b> in qua potest esse virtus .	segunt razon <b> e por ende conuiene | que sea poderio razonable </b> aquel en que esta la uirtud ¶	e0FPTs7, fsFVDsK
1.2.3	w7syDvP	de quibus omnibus quid sunt , <b> et quomodo decet eas Reges habere , </b> et quas partes habent ,	con estas dichas diez <b> son doze las uirtudes morales delas quales todas que cosas son e en qual manera . | Conuiene a los Reyes </b> e alos prinçipes delos auer	xFsdsGn, sbYQQKR
1.2.3	ofYYM0O	nisi circa ea quae sunt in potestate nostra , <b> in quibus decet nos ponere medietatem , </b> vel aequalitatem , siue rectitudinem :	que son en nuestro poder . <b> En las quales cosas nos conuiene </b> de poner meatado ygualdat o derechura .	smGhjNb
1.2.6	d7eh1Y0	et agibilia sint singularia , <b> oportet prudentiam esse circa particularia , </b> applicando uniuersales regulas	en las cosas singulares . <b> Conuiene que la pradençia sea cerca las cosas singulares | e particulares </b> allegando las reglas generales alos negoçios singulares	cNgjFzB, muEOtwW
1.2.7	hxqxo3s	quod polleat prudentia , et intellectu . <b> Quot , et quae oporteat habere Regem , </b> si	ø	ø
1.2.8	leRnZQC	ut possit eam melius in debitum finem dirigere . <b> Ultimo oportet ipsum esse cautum . </b> Nam sicut in speculabilibus falsa aliquando admiscentur veris ,	e traher los ala fin que deue¶ <b> Lo postrimero conuiene al Rey | que sea muy aꝑçebido . </b> Ca assi commo en las sçiençias especulatuias algunas cosas falsas	pLQ6w1H, uVj3lID
1.2.8	cB8Epxa	sed apparent bona . <b> Oportet igitur Regem esse cautum , </b> respuendo apparenter bona ,	maguera que lo non sean . <b> commo quier que paresçan buenas Et pues que assi es conuiene al Rey sea aꝑcebido </b> para desechar e despreçiar aquellas cosas	yHUMG9X
1.2.9	cnxr6oe	quae superius diximus , <b> oportet ipsos esse bonos , </b> et non habere voluntatem deprauatam :	que dixiemos de suso <b> conuieneles | que sean buenos </b> e que non ayan uoluntad mala nin desordenada	wCQET5A, qLNc0GA
