Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.8	fkYRaIS	Et desto auemos <b> enxienplo en vn fijo de vn prinçipe Romano </b> que dizien torcato	Exemplum huiusmodi habemus <b> de filio cuiusdam Romani Principis nomine Torquati , </b> qui nimii honoris auidus ,	fx0xrxc
1.1.8	xkvdMoG	porque los otros tomasen exienplo dello <b> e que non fuesen cobdiçon sos de honrra mato a su fijo presunptuoso </b> e soƀuio commo quier	ne alii ex hoc exemplum assumerent , <b> et ne essent nimii honoris auidi , | filium sic praesumptuosum occidit , </b> non obstante quod dictus filius	w93KwZl, qczwuUA
1.1.8	qfwlxRU	e soƀuio commo quier <b> que aquel su fijo ouiese auido uictoria de los sus enemigos ¶ </b> Pues que assi es el prinçipe	non obstante quod dictus filius <b> victoriam obtinuerat ab hoste . </b> Ne ergo Princeps se praecipitet , et ne nimis praesumat ,	enqK39Y
1.1.11	mRbJn1Y	e por guarda del su linage <b> o por engendrar fijos . </b> Ca por fallesçimiento de los fijos	propter conseruationem speciei , <b> siue propter procreationem prolis : </b> nam ex defectu filiorum multa regna	fgSQ7i9
1.1.11	bJppgtp	muchos regnos ouieron grand departimiento e grandes escandalos . <b> Ca muriendo los Reys sin fijos legitimos </b> muchos se le una tan para seer señores	passa sunt diuisionem , et scandala : <b> decedentibus enim Principibus absque liberis , </b> plures insurgunt ,	bOMk9yc
1.2.20	m9BHOHU	que son ayuntadas a el assi commo es la muger <b> e los fijos auiendo moradas honrradas </b> e faziendo bodas conuenibles e honrradas	ut erga uxorem et filios , <b> habendo habitationes honorabiles , </b> faciendo nuptias decentes ,	d3oMQLN
1.2.32	tgOm8VS	Et otra cosa que es peor desta <b> que presta un a los sus fiios en los conbites a sus vezinos que los comiessen . </b> Ca quando alguno quaria conbidar a	et ( quod peius est ) <b> praestabant sibi filios inconuiuiis . </b> Cum enim qui alios conuiuare volebat ,	pUDXD1W
1.2.32	m72gasa	Ca quando alguno quaria conbidar a <b> otrossi el su fiio non era en casa tomaua prestado el fijo de otro su vezino </b> e aprestaual para fazer el conbit	Cum enim qui alios conuiuare volebat , <b> si filius suus domi non erat , | a vicino suo mutuabat filium , </b> et ipsum parabat in conuiuium ,	foB0ban, lFJRzJA
1.2.32	rYANaRO	por la qual cosa non le paresçia <b> que era fijo de padre </b> e de varon meral	quod erat valde bonus : <b> propter quod non videbatur existere puer , </b> viri moralis , sed Dei .	hcOSRhC
1.2.32	pw1PuDM	e bien acostunbrado <b> mas que era fijo de dios </b> Mas aquella uirtud por la qual alguno es dich̃o bueno	ø	ø
1.4.1	r5zlirf	Et pues que assi es commo las muger <b> ssienpre amonestan asus fijos a honestad </b> e a honrrata honestades	Cum ergo matres semper moneant <b> suos filios ad honesta ; </b> quia honestum idem est	clADlm9
1.4.5	qJ0Qbsb	que sienpre la fechura quiera semeiar a su fazedor <b> por que los fijos son fechuras de los padron natural cosa es que los fuos semeien alos paradres . </b> Et por ende los nobles teniendo mientes	cum filii sint <b> quidam effectus parentum , | naturale est filios imitari parentes . </b> Nobiles ergo aduertentes	vf4ODur, v6ttkIX
1.4.5	sySC86c	otrascondiconnes son eguales <b> sienpre los fijos son mas nobles que los padres . </b> Ca assi commo dich̃es la nobleza	Nam caeteris paribus <b> semper filii sunt nobiliores parentibus . </b> Nam ( ut dictum est ) nobilitas idem est	pTtPxPg
1.4.5	jl4Emxh	e sienpra son mas <b> antiguadas las riquezas en los fijos que en los padres . </b> Por la qual razon commo la nobleza	et semper sunt magis antiquatae diuitiae <b> in filiis quam in parentibus : </b> quare cum nobilitas semper inclinet animum nobilium	mgnRriy
1.4.5	oinfIcx	que los nobles han de ser magnificos <b> e ahun mas los fijos que los padres </b> por que en alguna manera son mas nobles que elos .	sequitur nobiles esse magnificos , <b> etiam magis quam parentes : </b> quia quodammodo sunt nobiliores illis .	r6J369d
2.1.2	gloobEh	Ca primeramente fue fecha vna casa <b> e despues cresçiendo los fijos e las fijas </b> e por que non podieron por muchedunbre dellos morar todos en vna cala	quia primo facta fuit una aliqua domus : <b> sed crescentibus filiis et filiabus , </b> et non valentibus praemultitudine habitare in domo illa ,	fmV1hjr
2.1.2	h2CmFnd	que el uarrio es vezindat de casas <b> las quales llaman algunos nietos e fijos e fijos de fijos . </b> Et pues que assi es natural fazimiento	quod vicus est vicinia domorum , <b> quos vocant quidam collectaneos | et pueros puerorum . </b> Naturalis ergo origo vici ,	hS38MIF, dF1fFXh
2.1.2	tpdTj1B	las quales se fizieron <b> de muchedunbre de mietos e de fijos . </b> Ca assi commo dicho es de suso cresçiendo los nietos e los fijos de los fijos	quas construxit multitudo collectaneorum , <b> et puerorum , siue filiorum . | Nam , ut tangebatur , </b> crescentibus collectaneis	olDs8tw, h1QJ04j
2.1.2	r1xjwcz	de muchedunbre de mietos e de fijos . <b> Ca assi commo dicho es de suso cresçiendo los nietos e los fijos de los fijos </b> por que non podien todos morar en vna casa	Nam , ut tangebatur , <b> crescentibus collectaneis | idest nepotibus , et filiis , et filiorum filiis : </b> et non valentibus habitare in una domo ,	qazUG1J, fVb4WNJ
2.1.6	tl4Fsbr	y la terçera comunidat <b> que es de padre e de fijo . </b> Ca ueemos en las cosas naturales	oportet ibi dare communitatem tertiam , <b> scilicet patris et filii . </b> Videmus enim in naturalibus rebus	zO0xcjj
2.1.6	cADDaQt	por la qual cosa <b> commo la comunidat del padre al fijo tome nasçençia e comienço de aquello que el padre e la madre </b> engendran su semeiança esta tal comunidat non es dicha de razon dela primera casa	nisi sit iam perfectus . <b> Quare cum communitas patris ad filium sumat originem | ex eo quod parentes sibi simile produxerunt : </b> huiusmodi communitas non dicitur	fVIPktI, en88PmU
2.1.6	y2ry9c4	que ala casa acabada parte nesçe la terçera cemuidat <b> que es del padre e del fijo . </b> Mas que ala perfectiuo dela	quod ad domum perfectam requiritur communitas tertia , <b> videlicet patris et filii . </b> Quod autem ad perfectionem domus requiratur haec tertia communitas ,	nrC1rKs
2.1.6	vnGuX4H	que es del padͤ <b> e del fijo pertenescan a conplimiento dela casa podemos lo prouar . </b> ¶Lo primero de parte dela generaçion	quae est patris et filii , <b> primo possumus probare </b> ex parte generationis et fructificationis naturalis .	odkbhy8
2.1.6	rNWvkpE	ay ayuntamiento de omne e de muger <b> e non sea y generaçion de fijo o de fija </b> siguese que es nengua de parte del uaron	coniunctio maris et foeminae ; <b> et tamen non est procreatio prolis , </b> vel mas est imperfectum actiuum ,	h2rqjbd
2.1.6	r6nZW83	es dicha ser menguada <b> en que non ay engendraçion de fijos . </b> ¶ La segunda razon para prouar esto mesmo se toma de acabamiento de comunindat natural duradera por sienpre .	tota illa domus dicitur imperfecta , <b> ubi non est pollulatio filiorum . </b> Secunda via ad inuestigandum hoc idem ,	xK4Xmay
2.1.6	oGzZZWR	mas en alguna manera la uida del omne es duradera para sienpre <b> por suçession e generaçion de los fiios el padre </b> engendrando el fuo el fijo otro fijo	sed quodammodo perpetuatur humana vita <b> per successionem filiorum : </b> domus ubi est carentia prolis ,	vdMz78I
2.1.6	oqfvIwR	por suçession e generaçion de los fiios el padre <b> engendrando el fuo el fijo otro fijo </b> e assi biue por sienpre	sed quodammodo perpetuatur humana vita <b> per successionem filiorum : </b> domus ubi est carentia prolis ,	vdMz78I
2.1.6	xGUZj2o	en vna manera es natural <b> assi commos por generaçion de fijos aquella casa sea continuadamente morada </b> en otra manera es	uno modo est naturalis , <b> ut si per creationem filiorum domus | ista continue habitetur . </b> Alio modo est quasi casualis ,	fnwyCZl, qgf7wTI
2.1.6	lX0kQR6	si non quando por generaçion <b> que es obra de natura fuere enlla cresçençia e multiplicaçion de fiios . </b> mas si la casa duradera	nisi per generationem , <b> quae est opus naturae , </b> et nisi sit ibi excrescentia filiorum .	ft6TvRh
2.1.6	pKjpbNM	de parte dela bien andança <b> ca los fijos e el poderio çiuil e las otras </b> cosastales commo quier que non sean essençiales ala bien andança .	ex parte ipsius felicitatis . <b> Nam filii , et ciuilis potentia , | et cetera talia , </b> licet non sint essentialia felicitati :	tFs2OvT, mpx7NtM
2.1.6	y3lZ0Ii	e non es noble <b> e es seneriego e sin fijos en ninguna manera non puede ser bien andante . </b> Ca tal commo este en toda manera es dicho mal andante	et sine filiis , <b> omnino felix esse non potest ; </b> dicitur enim talis non esse omnino felix ,	yfz9fQJ
2.1.6	q8rBYhI	Mas en la comunidat del padre <b> e del fijo el padre deua sienpre mandar </b> e el fij̉o ser obediente .	in communitate vero patris et filii , <b> pater debet esse imperans , </b> et filius obtemperans ;	jDMKhuB
2.1.6	w49tvO0	¶ <b> La quarta el fijo . </b> ¶	ibi vir , <b> secunda uxor , tertia pater , quarta filius , </b> quinta dominus , sexta seruus .	eF5qKFg
2.1.7	twJx3J2	la primera razon se toma de parte dela conpannia humanal¶ <b> La segunda de parte dela generaçion de los fijos ¶ </b> La terçera de parte de obras	ex parte societatis humanae . <b> Secunda ex parte procreationis prolis . </b> Tertia ex parte operum .	wZF69Im
2.1.7	uRSDlqw	aianl coniuigable <b> de parte dela generaçion de los fijos . </b> Ca aquella	Secundo homo est naturaliter animal coniugale <b> ex parte procreationis prolis . </b> Nam illud maxime videtur naturale ,	xvip4Ew
2.1.8	k7iBBZc	La segunda razon para prouar esto <b> mesmo se toma de parte dela generaçion de los fijos . </b> Ca commo quier que el casamiento sea mannero	Secunda via ad inuestigandum <b> hoc idem sumitur | ex parte prolis . </b> Nam licet coniugium ,	lH4x8HC, szLzAIE
2.1.8	xELjGaL	Empero si fuere y el bien de los fijos <b> por que los fijos es vn bien comun </b> en el qual se ay unta el marido e la muger .	attamen si adsit ibi bonum prolis , <b> quia proles est | quoddam commune bonum </b> in quo coniungitur vir et uxor ,	izfkfKp, sCx7CzZ
2.1.8	xRuIBv4	por que es bien comunal dellos <b> assi los fijos ayuntan </b> e tienen los padres e las madres	quoddam commune bonum ipsorum : <b> sic filii coniungunt </b> et continent ipsos parentes ,	viOY17p
2.1.8	loEEmLs	que alos otros <b> ca non auer cuydado de los fijos del Rey </b> mas puede fazer danno a todo el regno	prae omnibus aliis <b> debent diligentiorem habere curam . | Incuria enim regiae prolis </b> plus potest	jyobvnB, ui4mDGx
2.1.8	reso5wv	quanto mayor es de tomar la cura <b> e el acuçia de los fijos de los Reyes </b> que de los fiios de los otros tanto	quanto maior cura et diligentia adhibenda est <b> circa prolem regiam </b> quam circa alias ,	aIotATL
2.1.8	z41LvUa	e el acuçia de los fijos de los Reyes <b> que de los fiios de los otros tanto </b> mas conuiene alos Reyes	circa prolem regiam <b> quam circa alias , </b> tanto magis decet Reges , et Principes ,	fPsxBP4
2.1.9	uvlaznO	La segunda departe dela mugr¶ <b> la terçera de parte de los fijos ¶ </b> La primera se prueua assi .	Secunda ex parte ipsius uxoris . <b> Tertia est ex parte prolis . </b> Prima via sic patet .	firZktL
2.1.9	lTHLN9K	¶ La terçera razon para prouar esto mesmo se toma de parte dela <b> cerazon delos fijos . </b> Ca commo el matermonio sea cosa natural	Tertia via ad inuestigandum hoc idem , <b> sumitur ex nutritione filiorum . </b> Nam cum coniugium sit quid naturale :	eqanOmn
2.1.9	mhXy5s5	que en algunas ainalias vna sola fenbra <b> abasta para cança de muchos fijos . </b> assi commo paresçe en los canes e en las gallinas	sola foemella sufficit <b> ad nutritionem filiorum , </b> ut patet in canibus , in gallinis ,	prErAg7
2.1.9	b7fcKQR	Por la qual cola commo la conuiction <b> e el ayuntamiento del mallo e dela fenbra sea ordenado en todas las ainalias abien delos fiios . </b> Et en aquellas aianlias	et in pluribus aliis animalibus . <b> Quare cum coniunctio maris , et foeminae in omnibus animalibus ordinetur </b> ad bonum prolis ,	r7qMry7
2.1.9	li7xjqn	en las quales vna fenbra sola non abasta <b> para dar conuenible nudͣmiento alos fijos vn </b> mas lo non se ayunta	non sufficit <b> ad praestandum filiis debitum nutrimentum , </b> unus masculus non adhaeret	gSav1Ye
2.1.9	o1Nj9Ov	mientra dura el tienpo del parto <b> por el creamiento de los fijos . </b> assi conmo paresçe en las palomas	et quam diu durat tempus partus , <b> propter nutritionem filiorum </b> ( ut patet in columbis	zgUcy5L
2.1.9	wlPpGXB	e alas uegadas el otro <b> e dela carga de los fijos parten sufren las fenbras </b> e parte los mas los .	quae alternatim oua fouent ) <b> et onerum filiorum partem portat foemella , </b> et partem masculus .	gYjPqmI
2.1.9	fsI0Jxd	abastarian <b> para dar conuenible nudermiento alos fijos . </b> Empero por que non es iudgar la cosa natural	quia facultatibus abundant sufficerent <b> ad praestandum filiis debitum nutrimentum , </b> quia tamen naturale non est iudicandum illud quod est in paucioribus ,	mxWvCD7
2.1.9	qXuIXPE	que tan bien el mas o commo la fenbra <b> sufran las cargas de los fijos . </b> Mas commo en las otras aianlias	quid naturale , <b> ut tam mas quam foemina supportent onera filiorum . </b> Sed cum in aliis animalibus ,	qGXi6Q9
2.1.9	pBKtKaX	sufren las carguas de los fijos <b> e mientra los fijos han mester ayuda del padre </b> e dela madre sea cosa natural	in quibus tam mas quam foemina supportant onera filiorum , <b> quam diu filii indigent parentibus , </b> naturale sit	fvKFrdo
2.1.9	hwkP3dQ	que en los omes le acola natural <b> que mientra que los fijos han menester ayuda del padre </b> e dela madre en todo esse tienpo vn	sequitur in hominibus esse quid naturale , <b> ut quam diu filii indigent parentibus , </b> tam diu unus masculus uni foeminae	eaB58zw
2.1.9	hxTS6MU	mas lo se deue ayuntar a vna fenbra por matrimoino . <b> Mas commo los fijos mientra biuen ayan </b> menester ayuda del padre	per coniugium copuletur . <b> Sed filii quam diu viuunt </b> indigent ope parentum ,	vWJNWzW
2.1.9	rvsI3FZ	commo las aues <b> que sufren las cargas de los fijos auegadas </b> commo sean las aues	sicut in auibus alternatim supportantibus <b> onera filiorum </b> se habent masculus et foemina tempore partus .	cXanc58
2.1.10	eqoyDhR	e aguarda dela orden natural <b> e apaz conueinble mas avn es ordenado a generacion de los fijos . </b> ¶ Lo quarto	ad conseruationem ordinis naturalis , <b> et ad debitam pacem , | sed etiam ordinatur ad procreationem filiorum . </b> Quarto , sicut ordinatur coniugium	nPtoJqv, zdTFWfc
2.1.10	zD2yxZ6	nin seria y conuenible generaçion de los fijos <b> nin les seria dado alos fijos conuenible nudermiento </b> Et que por esto se tire la orden natural	non erit debita ibi procreatio filiorum , <b> non tribuetur filiis debitum nutrimentum . </b> Quod autem ex hoc tollatur naturalis ordo ,	a0znPMy
2.1.10	mLSBVhf	son mas maneras que las otras mugers . <b> Et por ende departe dela generaçion de lons fijos es </b> cosadesconuenible en qua vna fenbra aya muchos maridos	quam alias mulieres . <b> Igitur ex parte procreationis filiorum omnino indecens est </b> unam foeminam plures habere uiros .	pB6es6x
2.1.10	cIgm56P	por que creen firmemente <b> que ellos son sus fiios . </b> Et pues que assi es	Nam ex hoc parentes solicitantur circa pueros , <b> quia firmiter credunt eos esse eorum filios : </b> quicquid ergo impedit certitudinem filiorum ,	h0RVKaF
2.1.10	dulDQRx	Et pues que assi es <b> qual si quier cosa que enbarga la çertidunbre de los fijos enbarga alos padres </b> que non los prouean diligentemente en la hedat	quia firmiter credunt eos esse eorum filios : <b> quicquid ergo impedit certitudinem filiorum , </b> impedit ne patres diligenter	njB7Vok
2.1.10	m4XW78X	Mas si vna fenbra casare con muchos uarones <b> los padres non podrian ser çiertos de sus fijos . </b> Et por ende non aurian tan grand cuydado	Sed si una foemina pluribus nubat viris , <b> patres de suis filiis certi esse non poterunt , </b> quare non adhibebunt illam diligentiam	v76WRAg
2.1.10	xImDUr1	que vna muger aya muchos maridos <b> ca por esto se enbargaria mas la çertidunbre de los fijos . </b> Por la qual cosa sy conuiene a todos los çibdadanos	sed detestabilius est unam uxorem plures habere viros , <b> quia per hoc magis impeditur certitudo filiorum . </b> Quare si decet omnes ciues certos esse de suis filiis ,	ha4kCrE
2.1.10	hhKni39	en quanto es mas periglo mayor <b> de non auer cuydado de los fijos de los Reyes </b> et de los prinçipes	in quantum incuria <b> circa eorum filios periculosior est , </b> quam incuria aliorum .	wr5gtPB
2.1.10	h2KOdd0	et de los prinçipes <b> que de los fijos delons otros . </b> ¶	circa eorum filios periculosior est , <b> quam incuria aliorum . </b> Crederet forte aliquis	jCoKWWA
2.1.11	xq6bSL6	Et cosa desconueinente <b> si e que la madre fuesse subiecta al fijo . </b> ¶ Et pues que assi es non conuiene alas fijas de casar con su padre nin alos fijos con su madre	inconueniens esset <b> sic matrem filio esse subiectam . </b> Non licet ergo filiis contrahere cum parentibus	tegUiuU
2.1.11	hkbT8W8	si e que la madre fuesse subiecta al fijo . <b> ¶ Et pues que assi es non conuiene alas fijas de casar con su padre nin alos fijos con su madre </b> por la grand reuerençia	sic matrem filio esse subiectam . <b> Non licet ergo filiis contrahere cum parentibus </b> propter mutuam reuerentiam ,	erXKvby
2.1.11	zO7BxHw	Ca por el casamiento <b> non solamente viene el bien de los fijos . </b> Mas ahun escusase el destenp̃miento	Per coniugium enim <b> non solum producitur bonum prolis , </b> sed etiam vitatur intemperantiae malum :	hj5UTjb
2.1.13	bmpLkJI	La qual fialdat guardando escusan la fornicaçion <b> e avn el bien dela generaçion de los fijos . </b> Mas paresçe parte nesçer derechamente al casamiento	quam seruando fornicationem vitant ) <b> et bonum prolis magis directe pertinere videntur ad coniugium , </b> quam ea quae in praecedenti capitulo diximus .	dZlQR1K
2.1.13	uM9lPgc	e para guardar la fialdat del casamiento <b> e para engendrar conueniblemente los fijos deuen ser demandadas enla muger . </b> Ca beemos que la grandeza del cuerpo faze al bien dela generaçion de los fijos .	ad fidem coniugum conseruandam , <b> et ad prolem debite producendam , </b> in coniuge quaeri debent . Videmus autem quod magnitudo corporis facit ad bonum prolis .	qySZdcQ
2.1.13	cJUoDg3	e para engendrar conueniblemente los fijos deuen ser demandadas enla muger . <b> Ca beemos que la grandeza del cuerpo faze al bien dela generaçion de los fijos . </b> Por que los fijos enla quantidat del cuerpo	et ad prolem debite producendam , <b> in coniuge quaeri debent . Videmus autem quod magnitudo corporis facit ad bonum prolis . </b> Nam filii in quantitate corporis	ki22Map
