Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.5	pnVc74F	e fin postrima <b> que mouiese lanr̃a uoluntad ninguon otro bien non la podria mouer </b> por que qual quier cosa	ut bonum ultimatum <b> quod voluntatem moueret , | nullum aliud bonum voluntatem mouere posset ; </b> quicquid enim vult voluntas ,	bTHsiwS, mev8DHN
1.1.7	vRvfxQs	las riquezas son grant cosa e grant bien . <b> Et por ende non puede ser ninguon tal magnanimo </b> nin de alto coraçon .	diuitiae sunt quid magnum , <b> impossibile est talem esse Magnanimum . </b> Si ergo Magnificentia ,	e2QMBJ0
1.1.8	eGX2Ole	muy mas desconueinble cosaes ael <b> que otro ninguon de poner su bienandança en las honrras </b> por que non paresca infinto e superfiçial ¶	maxime indecens est <b> ipsum ponere felicitatem in honoribus , </b> ne sit fictus , et superficialis .	f33pHv5
1.1.13	y8EsaaB	Et assi el rey es mas conformado a . dios . <b> que otro ninguon Et por ende en conparaçon de dios de quien es para </b> gualardon grande es el su	Rex maxime conformatur ei : <b> ergo respectu Dei , | a quo praemium expectatur , </b> est magna merces Regis ,	mVVUSlh, ut9PJWg
1.2.18	vsLZnMJ	si fueren auarientos <b> que lo seria ninguon otro . </b> Ca praeua el philosofo en el quarto libro delas ethicas	ø	ø
1.2.32	zdwN7eZ	e porque ella non podia parir quaria <b> que ninguon dende adelante non pariesse ¶ </b> Er essa misma manera	quia ergo ipsa parere non poterat , <b> volebat ut nulla de caetero parturiret . </b> Sic etiam ( ut ait )	ujqixly
1.3.8	qmHfVER	Ca segunt el philosofo <b> ninguon non puede beuir </b> sin alguna delectaçon	quia ( secundum Philosoph’ ) <b> absque delectatione aliqua nullus viuere potest . </b> Si ergo negans loquelam ,	lX53iWu
2.1.1	mZ7xcjH	sin otro <b> apereiat iunto ninguon de cozina . </b> Mas el omne por que ha conplission mas apurada	prout sunt praeparata a natura <b> absque alia artificiali decoctione </b> vel praeparatione homo vero ,	tTgAjCV
2.1.10	wdWFLvt	en essas mismas obras <b> ninguon non puede ser subiecto egualmente </b> por si ados o a muchos .	Rursus secundum ordinem naturalem <b> in eisdem operibus nullus aeque per se duobus </b> vel pluribus potest esse subiectus :	zMnza6a
2.2.5	coirUBr	Enpero non es esto sin razon . <b> Ca ninguon non deue dudar </b> que la sabiduria de dios	non tamen hoc inconuenienter fit , <b> quia nulli dubium esse debet </b> diuinam prudentiam et eius auctoritatem ,	pU0dCup
2.2.7	eCTBLlS	que muy pocas vezes <b> e apenas puede ninguon pronunçiar con </b> ueinblemente	Nam videmus in idiomatibus vulgaribus , <b> quod raro potest </b> quis debite et distincte	jXzIDUA
2.2.9	pt74kV2	que non tan solamente sea fallador delas cosas <b> mas que sea entendido e sotil . Ca assi commo ninguon non puede abastar </b> asi en la uida bien	decet igitur ipsum esse inuentiuum . <b> Secundo decet ipsum esse intelligentem et perspicacem . | Nam sicut nullus bene et perfecte </b> sibi sufficit in vita sed	dYb5A9V, n0ZC24O
2.2.9	zGO5VgD	mas assi commo paresçe por el pho en el segundo dela <b> methafisica ninguon non abasta assi en estudiando enlas sçiençias speculatians </b> mas sienpre los philosofos postmos ouieron ayudas	sic et forte multo magis , <b> ut patet per Philosophum 2 Metaphysicae , nullus sibi sufficit in speculando , </b> sed semper posteriores Philosophi	wGVTCIs
