Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.11	wRM1GRg	ex parte ipsius regni . <b> Regnum enim et omnis politia est quidam ordo , </b> et quidam principatus .	La segunda manera para prouar esto mismo se toma de parte del regno . <b> Ca el regno e toda comunidat es vna orden e vn prinçipado . </b> ¶ pues que assi es como la orden	dypmoMz
1.2.11	qBZXfRn	nec ad Principem . <b> Non ergo ulterius reseruaretur in eis politia , </b> nec esset ulterius regnum .	nin alas leyes nin al prinçipe . <b> Et pues que assi es non se guardaria dende adelante | en ellos comunidat </b> ni seria dende adelante regno .	zVCfxyc, qxLXQBV
1.2.11	eCbgWlj	sic non quaelibet Iniustitia <b> corrumpit totaliter regnum , et politiam , </b> tamen per quamlibet Iniustitiam regnum ,	Bien assi cada vna mengua de iustiçia <b> non corronpe del todo el regno e la comunidat . </b> Enpero que por qual quier menguade iustiçia	vvHVFyF
1.2.11	xKFfzy1	tamen per quamlibet Iniustitiam regnum , <b> et politia infirmatur , </b> et disponitur ad corruptionem .	Enpero que por qual quier menguade iustiçia <b> es enfermo el regno </b> e la comunidat apareiada acorruy conn¶	hwd3haa
1.2.27	vHHWZxW	homines fierent iniuriatores aliorum , <b> et politia durare non posset . </b> Nullus igitur debet irasci per odium ,	los omes serian fechos jniuriadores e forçadores de los otros . <b> Et la paliçia | que es ordenança dela çibdat non podria durar </b> ¶	faGKs0f, ohUcFlW
2.1.3	agcOAiF	ut ordinantur ad communitatem , <b> et ad politiam ciuium . </b> Intendimus ergo ostendere de domo ,	en quanto estas cosas son ordenadas ala comunidat <b> e ala polliçia e ordenamiento de los çibdadanos . </b> Et pues que assi es nos entendemos de determinar dela casa	cnnJQeY
2.1.14	hLfJyvy	ab ipso regnante et principante , <b> sed magis ab ipsa politia et ab ipsis ciuibus . </b> Dicitur ergo tale regimen politicum vel ciuile .	nin del prinçipante . <b> Mas deue se nonbrar dela çibdat | e de los lus çibdadanos </b> e es dicho tal gouernamiento politico e çiuil .	nVLtpAU, k29coo8
2.3.13	vvFhtLG	ut superius diffusius probabatur , <b> numquam ex pluribus hominibus fieret naturaliter una societas vel una politia , </b> nisi naturale esset	assi commo es prouado de suso <b> mas conplidamente nunca de mucho omes se faria naturalmente | vna conpannia o vna poliçia </b> si naturalmente non fuesse a ellos conuenible que algunos fuessen sennores	rndep2K, xhQQzCM
2.3.13	yqQXKCO	et corpus obedit : <b> sic in politia bene ordinata sapientes debent dominari , </b> et insipientes obedire :	e el cuerpo obedesçe assi en la poliçia <b> e enla çibdat bien ordenadlos sabios deuen enssennorear </b> e los non si bios deuen obedesçer	qldn45a
3.1.6	pb5BNBK	Secundo ostendetur , <b> quae sit optima politia siue optimum regnum , </b> et quibus cautelis uti debeant principantes ,	en qual manera de una gouernar las çibdades e los regnos ¶ <b> Lo segundo mostraremos qual es la muy buean politica o çibdat o muy vuen regno </b> e de quales cautelas deuen usar los prinçipes e los . Reyes	fCrdBkz
3.1.9	nm9tIPZ	ne circa ipsa contingat error . <b> Quare cum in regimine ciuitatis primo sit politia ordinanda , </b> diu inuestigandum est ,	escodrinnar por que çerca ellos non contezca yerro . <b> por la qual cosa commo en el gouernamiento dela çibdat | primeramente se ha de ordenar la poliçia </b> muy luengamente es de buscar	lcJaLK6, qmlpLpT
3.1.16	ttTLB2L	quod inter caetera quae debet <b> intendere legislator et rector politiae , </b> est ,	que entre todas las cosas <b> aque deue parar mientes el fazedor della es </b> en qual manera los çibdadanos de una auer las possesipnes igualadas	trLJfXD
3.1.16	ckG7uin	ex his quae videbat in ciuitatibus aliis : <b> nam in multis politiis bene ordinatis </b> magna cura fuit legislatoribus de possessionibus ciuium :	que el veya enlas otras çibdades <b> ca veya en muchͣs çibdades bien ordenadas </b> que auyan grant cura los fazedores dela ley delas possessiones delos çibdadanos .	xJdzgBQ
3.1.16	hGgT4SU	ideo Phalas forte motus <b> ex his quae videbat in politiis aliis , </b> statuit potissime curandum esse de possessionibus ciuium ,	Et por ende felleas por auentura fue mouido por estas cosas <b> que veya en las otrå sçibdades . </b> Et por ende establesçio	e5YzKz0
3.1.19	mCtVz2h	diuersa genera personarum . <b> Hippodamus autem statuens suam politiam , </b> primo intromisit se de multitudine	que tannian alguons linages de personas dezimos <b> que y podo mio | establesciendo su poliçia </b> primero se entremetio dela muchedunbre	w0mMTNi, aCQCYcS
3.1.20	vRRTpTp	hoc posito artifices , <b> et agricolae non haberent partem in politia ; </b> et bellatores non permitterent eos participare	Puesto que el dizie siguese que los menestrales <b> e los labradores non los </b> dexanien auer parte en la elecçion del prinçipe .	btw8RP5
3.1.20	xTfWn0w	Unde et Philosophus innuit , <b> quod in quibusdam bonis politiis econtrario statuitur </b> quam ordinauerit Hippodamus :	Onde el phoda a entender <b> que en algunos buenos ordenamientos de çibdat | el contra no es establesçido </b> delo que ordeno ypodomio	ondgZvU, aiF02aT
3.2.1	oVXSqy4	praemittendo quaedam praeambula ad propositum , <b> et recitando opinionem diuersorum Philosophorum instituentium politiam , </b> et tradentium artem	ante pomiendo alguons preanbulos al nuestro proponimiento <b> e rezando opiniones de departidos philosofos | que establesçieron poliçias </b> e dieron arte del gouernamiento dela çibdar	rCfAWwj, nyBYplX
3.2.2	dwidos5	vocat eum Philosophus nomine communi , <b> et dicit ipsum esse Politiam . </b> Politia enim quasi idem est ,	llamalle el philosofo nonbre comun <b> e diz el poliçia </b> por que poliçia es	k5wa4JF
3.2.2	zAoXtl6	eo quod non habeat commune nomen , <b> Politia dicitur . </b> Nos autem talem principatum appellare possumus gubernationem populi ,	Enpero el prinçipado del pueblo si derecho es <b> por que non ha nonbre comun es dich poliçia </b> e nos podemos llamar atal prinçipado gouernamiento del pueblo	sfgQTGD
3.2.3	vjqKbHZ	Quia intendimus ostendere <b> quae sit optima politia , </b> et quis sit optimus principatus .	ir que entendemos mostrar <b> qual es la muy buena poliçia </b> e que cosa es el muy buen prinçipado	q8uyXnp
3.2.3	hE2Dc0e	propter abundantiorem potentiam <b> melius posset politiam gubernare . </b> Tertia via sumitur	Et aquel prinçipe por ma . <b> yor cunplimiento de poderio meior podria gouernar la çibdat </b> que muchos ¶	yXYX3ZA
3.2.14	svmaCly	ut corrumpatur principatus ille . <b> Politia ergo quanto de se magis a iustitia recedit , </b> tanto ex se habet	por que sea corrun pido el su sennorio <b> pues que assi es quanto el gouernamiento | mas se arriedra dela iustiçia </b> tanto ha dessi	dbpWhWu, zZYoWgR
3.2.15	sXdlsoh	iis <b> qui sunt in politia : </b> nam corruptiones longe secundum rem ,	La terçera cosa que guarda al gouernamiento del regno es meter mie <b> do aquellos que son enla çibdat </b> e en el regno	jZgjEgV
3.2.15	iuQ3P6O	et antecessores sui obtinuerunt huiusmodi principatum , tanta cautela non magnam utilitatem habere videtur . <b> Quartum autem quod politiam saluare videtur , </b> est cauere seditiones et contentiones nobilium ;	que dichͣes non paresçe <b> que puede ser muy prouechosa la quarta cosa | que salua la poliçia </b> es escusar las discordias	pUf0FqD, vpHPptu
3.2.15	cDbaRQ6	Nihil enim adeo regnum conseruat <b> et politiam saluat , </b> sicut praeficere homines bonos et virtuosos ,	ca ninguna cosa non salua tanto el regno <b> e la poliçia </b> commo poner los bueons e los uirtuosos en las dignidades	ayLXUGo
3.2.15	mRQ0D19	et conferre eis dominia et principatus . <b> Quare maxime saluatiuum politiae est , </b> regiam maiestatem considerare diligenter	e dar les los señorios e los prinçipados . <b> por la qual | cosalo que mucho salua la poliçia </b> es que el Rey piensse con grant acuçia	y7xlE3a, wdxe4c1
3.2.15	jeCAcnD	et amorem ad bonum regni , <b> et ad politiam , </b> in qua principatur .	aya grant amor al bien del regno <b> e al bien dela çibdat </b> en quien	ciwnZzu
3.2.15	tsjKZLi	et periculis imminentibus obuiare . <b> Octauum saluans regnum et politiam , </b> est habere ciuilem potentiam .	e pueda contradezir alos peligros <b> que pueden acaesçer¶ La . viijn . | cosa que salua el regno </b> e la poliçia es auer poderio	ezgYmH4, jDlO2ve
3.2.15	voEKZOt	sic eos bonitate superet : <b> hoc enim maxime saluabit regnum et politiam , </b> si Rex sit bonus et virtuosus ,	assi lieue aun ataia en bondat <b> e esto es lo que much salua el regno | e la poliçia </b> si el Rey fuere bueno e uirtuoso	vrT0MWS, cv3rkWh
3.2.19	jdAof87	quod esset bonus virtuosus <b> et politiam diligeret , </b> existentes in regno promoueret et honoraret :	tal que sea bueno e uirtuoso <b> e ame la comunidat </b> et ꝓmueua los q̃ son eñl su regno e los hõ rre .	xTRhtnE
3.2.26	tR9vi1j	quod non oportet <b> adaptare politias legibus , </b> sed leges politiae ,	que non conuiene de apropar las comunidades <b> delas çibdades alas leyes . </b> Mas las leyes alas comunidades	hmwlnU7
3.2.26	vWkdwVj	adaptare politias legibus , <b> sed leges politiae , </b> quas leges oportet diuersas esse	delas çibdades alas leyes . <b> Mas las leyes alas comunidades </b> de las çibdades las quales leyes conuiene de ser departidas	trmndjY
3.2.26	eAdTPzD	quas leges oportet diuersas esse <b> secundum diuersitatem politiarum . </b> Volens ergo leges ferre ,	de las çibdades las quales leyes conuiene de ser departidas <b> segunt el departimiento delas comunidades . </b> Et pues que assi es el que quisiere poner leyes	htsr07m
3.2.29	ysUnaRO	Adducit autem rationes duas , <b> quod melius sit politiam regni Regi optima lege , </b> quam optimo Rege .	Mas para esto prouar aduze dos razones <b> que meior es de ser gouernado el regno | por muy buena ley </b> que por muy buen Rey ¶	p9J1dcR, hX6a175
3.2.33	nPLETkx	ex quibus sumi possunt quatuor viae , <b> ostendentes meliorem esse politiam , </b> vel melius esse regnum et ciuitatem ,	delas quales se pueden tomar quatro razonnes <b> que muestran que meior es la poliçia </b> o meior es el regno o la çibdat	kYuax9D
3.2.35	vo2qCNn	et ad obseruandum <b> ea quae requirit politia , </b> vel regimen regni ,	e aguardar aquellas cosas <b> que demanda la poliçia </b> o el gouernamiento del regno	yFWon4O
3.2.36	rVRijew	timentur Reges et Principes ; <b> si in eos qui ultra modum regnum et politiam per turbant , </b> inexquisitas crudelitates exerceant .	e los prinçipes <b> si mostraren grandescrueldades </b> e dieren grandes penas	obhA3W7
