Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.19	hFf2hbO	et militiae . Decet enim magnificum <b> ( ut dicitur 4 Ethicor’ ) habitationem praeparare decenter , </b> et magis debet intendere quomodo facere debeat admirabiles ,	assi commo dize aristotiles <b> en el quarto libro delas ethicas | de apareiar muy conueniblemente las sus moradas </b> e mas deue entender en qual manera deue fazer muuy marauillosas	y4RBF0D, ecDxXKZ
1.4.3	eA2qPfE	etiam timidi : <b> quia ( ut dicitur 2 Rhetoricorum . ) Infrigidatio praeparat viam formidini . </b> Nam secundum Philosophum ,	e ahun los uieios son temerosos . <b> Ca segunt que dize el philosofo en el segundo libro de la rectorica | el en triamiento dela sangre </b> e de los humores apareia la carrera	dFqynfC, gmVtyHT
2.1.1	vU0l4MI	inter omnia animalia indiget cibo diligenter , <b> et artificialiter praeparato . Natura enim animalibus aliis quasi sufficienter ministrat cibum : </b> ut animalibus non viuent bus ex rapina ,	Et por ende entre todas las ainalias ha mester meior uianda e meior apareiada . <b> Ca la natura a todas las otrasaian las da conplidamente su uianda . | assi commo alas aina lias </b> que non bauen de robo quales son oueias e bueyes	rXL322Q, aV6jdmX
2.1.1	aVV4tww	quae naturaliter producuntur . <b> Quodammodo ergo omnibus aliis animalibus natura sufficienter praeparat nutrimentum . </b> Nam quia non habent complexionem ita puram ,	e las o tristales dales gouernamiento delas otrasaian lias que naturalmen te son engendradas . <b> Et pues que assi es la natura en alguna manera aparcia vianda conplidamente a todas las otras ainalas . </b> Ca por que non han la conplission tan pura las oinanlias	oQ7JZeE
2.1.1	tqB3XqD	Quare cibaria aliorum animalium sufficiunt eis <b> ad vitam , prout sunt praeparata a natura absque alia artificiali decoctione vel praeparatione homo vero , </b> quia magis habet complexionem puram	encanto les cunple <b> para suuidien quamo son apareiadas dela natura | sin otro apereiat iunto ninguon de cozina . </b> Mas el omne	mL9BxKl, fVzOuWO
2.1.1	hxkJUpu	et redactam ad medium , <b> indiget alimento praeparato et depurato . </b> Frumentum ergo ,	e mas aducha atenpramiento medianero <b> por esso ha mester vianda mas apareiada e mas apurada </b> Et por ende el trigo	l7xOnBb
2.1.1	tes6wc8	homini autem non est sufficiens cibus , <b> nisi praeparetur et depuretur ; ideo molitur , </b> et depuratum fit inde panis , et coquitur ,	enpero non es sufiçiente uianda al omne <b> si non fuere apareiado e apurado . | Et por ende lo muelen e lo çiernen </b> e fazen ende pan	o8dlNhK, c46b1nG
2.1.15	h83iPCV	quicquid ergo natura agit , <b> et quicquid natura praeparatur , </b> oportet ordinatissimum esse :	Pues que assi es todo lo que faze la natura <b> e lo que es apareiado </b> por la natura conuiene que sea muy ordenado .	zcIt77d
2.3.5	rjzdiUS	nam si in prima generatione natura non deficit animalibus , <b> sed naturaliter praeparat eis debitum nutrimentum ; congruum est </b> ut non deficiat eis iam perfectis .	que non son acabadas <b> mas naturalmente apareia el nudmiento conuenible a ellas | mas conueible cosa es </b> que les non fallesca	w6a8QkE, urSBnoS
2.3.5	qo4zmiJ	Si enim digniora sunt perfecta imperfectis , <b> et ipsis imperfectis animalibus praeparatur debitum alimentum a natura , </b> multo magis hoc praeparabitur eis iam inesse perfectis .	que las non acabadas <b> e la natra a apareia alas aianlas non acabadas | nud̀miento conuenible . </b> mucho mas deue apareiar alas ainalias ya acabadas	pvhFdwA, eqmUa3E
2.3.5	ikF9JHu	et ipsis imperfectis animalibus praeparatur debitum alimentum a natura , <b> multo magis hoc praeparabitur eis iam inesse perfectis . </b> Animalium autem quaedam ouificant ,	nud̀miento conuenible . <b> mucho mas deue apareiar alas ainalias ya acabadas | mas delas aian lias alguas son </b> que ouifican e ponen hueuos .	oxxoUx3, mNrpDYC
2.3.5	u6SiAQF	statim solicita est inducere lac in mamillis matris , ut ex eo animalia genita nutriri possint . <b> Quare si animalibus imperfectis natura praeparat nutrimentum </b> et necessaria vitae ,	assi que de aquella lech̃e las aian las enrendradas se pueden cerar <b> por la qual cofa | si la natura engendrada anudmiento </b> e cosas neçessarias ala uida alas aianlias non acabadas	wCMUJDS, g1KFhnF
3.1.12	k6vUlp3	nam <b> ( ut dicebatur supra ) frigiditas viam timori praeparat ; frigidi enim est costringere </b> et retrahere ; animosi vero et virilis est ad alia se extendere ,	commo dela frialdat dela conplission <b> ca assi commo es dicho de suso la frialdat apareia carrera al temor | por que el frio a restrennir e apretar </b> mas los aionsos e de grant coraçon e los esforçados han se de estendera muchos cosas .	mW7mWVQ, jfVarVf
3.2.14	xIugNKN	Quare cum a iustitia receditur , <b> praeparatur via </b> ut corrumpatur principatus ille . Politia ergo quanto de se magis a iustitia recedit ,	por que sea corrun pido el su sennorio <b> pues que assi es </b> quanto el gouernamiento	ivhaI2D
3.3.21	q4R2idN	propter ballistas , et arcus , <b> et alia praeparanda , </b> quod si nerui deficiant ,	para las ballestas e para los arcos <b> e para las otras cosas </b> que fazen menester	j3nI47A
