Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.4	z1yAqI4	¶ Enpero del an vida politica e ordenada la qual los theologos llaman vida actiua <b> que quiere dezir vida de bien obrar </b> Et dela vida contenplatian e intellectual non sintieron la uerdat conplidamente	de vita tamen politica , quam Theologi vocant vitam actiuam , <b> et de vita contemplatiua </b> non usquequaque vera senserunt : crediderunt enim ,	ze87Ged
1.1.5	tjQiZr9	Onde dize el philosofo en el primero libro delas ethicas que en olimpiedes <b> que quiere dezer en aquellas faziendas </b> o es aquellas batallas non son coronados los muy fuertes	Unde Philosophus 1 Ethic’ ait , quod in Olimpidiadibus , <b> idest in illis bellis </b> et agonibus non coronantur fortissimi ,	hp1s2tG
1.1.7	nN3lXqE	en el quarto libro delas ethicas en el capitulo dela maganimidat <b> que quiere dezir grandeza de coraçon </b> Ca en la opinion del auariento e en la opinion de aquel	ut vult Philosophus 4 Ethicorum cap’ de Magnanimitate ) <b> quia in opinione auari , </b> et in opinione ponentis suam felicitatem in diuitiis ,	yTRyNgQ
1.1.7	p5yxLHd	que el pueda allegar riquezas e dineros . Ca aquel que bien entiende <b> que quiere dezir e quanto lieua este nonbre fin </b> e bien andança non se le puede esconder por ninguna manera	dum tamen possit pecuniam congregare , qui enim bene intelligit , <b> quid importatur nomine finis , </b> non potest eum latere quemlibet , omni via qua potest ,	fQLotoS
1.1.10	rwgCkcw	que es con uirtud es muy meior que ensennorear despotice <b> que quiere dezir enssennorear . </b> seruilmente e sobre los sieruos ¶ La quarta razon es	est melior , quam principari despotice , <b> idest dominaliter . </b> Quarto non est ponenda felicitas in ciuili potentia :	hd69EMV
1.2.3	xseIG9U	la otra es bien fablança . La otra es eutropolia <b> que quiere dezir buena conuerssaçion o buena manera de beuir . </b> Mas la uerdat assi conma aqui fablamos de uerdat non en quanto es uirtud	Erit ergo triplex virtus ; videlicet , Veritas , Affabilitas , et Eutrapelia , <b> quae potest dici bona versio . </b> Est autem Veritas ( ut hic de ea loquimur ,	lHT6ZVK
1.2.3	bkV9eTu	nin del conpuesto en sus palauras . mas es bien fablante e curial¶ <b> Mas entropolia que quiere dezir buena conpanma </b> o buena manera de beuir en conpanna es quando alguno se sabe bien auer en los trebeios	non est discolus , sed est affabilis , et curialis . <b> Eutrapelia vero siue bona versio , </b> est , quando aliquis sic se habet in ludis , ut non sit histrio ,	jSbZ3PH
1.2.6	mqzCYVq	ala qual uirtud llama el philosofo en el sexto libro delas ethicas . <b> Eubullia que quiere dezer uirtud para bien coseiar . </b> la otra es por la qual iudgamos bien delas cosas falladas .	et bene confiliemur , quam Philosophus Ethic’ 6 appellat eubuliam , <b> idest bene consiliatiua . </b> Alia vero per quam bene iudicamus de inuentis , quam Philosophus appellat synesin ,	aTtz1pX
1.2.6	bNOcvaU	iudgamos bien delas cosas falladas . la qual llama el philosofo sinesis . <b> que quiere dezir uirtud de bien iudgar </b> ¶ la terçera es uirtud por la qual mandamos que se fagan las obras todas segunt las cosas falladas e iudgadas	Alia vero per quam bene iudicamus de inuentis , quam Philosophus appellat synesin , <b> idest bene iudicatiuam . </b> Tertia , per quam praecipiamus ut fiant opera	dImxkeT
1.2.12	j3WXL3z	e por la su claridat es llamada renꝮ por nonbre comunal <b> que quiere dezir cosa clara e cosa apuesta . </b> Et esta estrella algunas vezes nasçe ante del sol e estonçe paresçe en la mananna	et propter sui pulchritudinem , et venustatem communi nomine <b> appellatur Venus . </b> Haec autem stella aliquando praecedit solem , et tunc apparet in mane ,	hQDCQFP
