Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.5	tjQiZr9	que en olimpiedes <b> que quiere dezer en aquellas faziendas </b> o es aquellas batallas	quod in Olimpidiadibus , <b> idest in illis bellis </b> et agonibus	hp1s2tG
1.2.6	mqzCYVq	en el sexto libro delas ethicas . <b> Eubullia que quiere dezer uirtud para bien coseiar . </b> la otra es por la qual	quam Philosophus Ethic’ 6 appellat eubuliam , <b> idest bene consiliatiua . </b> Alia vero per quam bene iudicamus de inuentis ,	aTtz1pX
2.3.10	veWNUUd	Et canssoria de canbio . <b> Obolostica que quiere dezer maunera </b> de tornar los dineros en pasta .	quatuor species pecuniatiuae : <b> videlicet naturalem , campsoriam , obolostaticam , </b> et tacos siue usuram :	o0XaerH
2.3.10	u92H9If	¶La terçera manera del arte pecuniatiua de dineros es obolostica <b> que quiere dezer arte de peso sobrepuiante que por auentura fue fallada assi . </b> Ca assi commo la massa del metal es partida en los dineros	Tertia species pecuniatiuae est obolostatica , <b> vel ponderis excessiua : | quae forte sic inuenta fuit . </b> Nam sicut massa metalli	w6yiVWm, lgS3el5
2.3.12	hcOAmJw	que acresçientan las riquezas es fazer monopolia <b> que quiere dezer vendiconn de vno solo . </b> Ca quando vno solo uende taxa el preçio	est facere monopoliam , <b> idest facere vendationem unius : | nam quia unus solus vendit , </b> taxat precium	npegtOW, hqlWvcp
3.2.2	hh0M38z	ca el regno e la aristo carçia <b> que quiere dezer sennorio de buenos </b> e la poliçia	et tres sunt mali . <b> Nam regnum aristocratia , </b> et politia sunt principatus boni :	cjTneV9
3.2.2	zfrdodg	e la poliçia <b> que quiere dezer pueblo bien </b> enssenoreante son bueons prinçipados .	Nam regnum aristocratia , <b> et politia sunt principatus boni : </b> tyrannides , oligarchia , et democratia sunt mali .	aYkhCK9
3.2.2	eaNJ6Tr	enssenoreante son bueons prinçipados . <b> La thirama que quiere dezer sennorio malo </b> e la obligaçia que quiere dezer sennorio duro .	et politia sunt principatus boni : <b> tyrannides , oligarchia , et democratia sunt mali . </b> Docet enim idem ibidem	odW41fT
3.2.2	t1CoDCL	La thirama que quiere dezer sennorio malo <b> e la obligaçia que quiere dezer sennorio duro . </b> Et la democraçia	tyrannides , oligarchia , et democratia sunt mali . <b> Docet enim idem ibidem </b> discernere	h3vc1J8
3.2.2	eScKVsf	e tal prinçipado es dicħa ristrocaçia <b> que quiere dezer prinçipado de buenos omes </b> e uir̉tuosos e dende vienen	dicitur Aristocratia , <b> quod idem est | quod principatus bonorum et virtuosorum . </b> Inde autem venit	lIu3Ngz, aSi0So7
3.2.7	alKAM7S	do dize que la tirnia es la postrimera obligarçia <b> que quiere dezer muy mala obligacion </b> por que es muy enpesçedera alos subditos ¶	tyrannidem esse oligarchiam <b> extremam idest pessimam : </b> quia est maxime nociua subditis .	pojKJui
3.2.12	vScLOf5	e es llamado anstrocraçia <b> que quiere dezer señorio de buenos . </b> Mas si enssennorear en pocos non	et vocatur aristocratia <b> siue principatus bonorum . </b> Si vero dominentur non quia boni ,	mvT3sYv
3.2.12	yUKTiyK	mas por que son ricos es llamado obligarçia <b> que quiere dezer señorio tuerto . </b> Mas quando enssennore a todo el pueblo	sed quia diuites , <b> est peruersus | et vocatur oligarchia . </b> Sed si dominatur totus populus	unfZu9t, pfbifti
3.2.27	nHzT05N	Lo segundo que sean bien guardadas <b> que quiere dezer tanto commo </b> que atales leyes	secundo , ut bene custodiantur , <b> vel ( quod idem est ) </b> ut legibus sic institutis bene obediatur .	dX4LIEM
