Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.1	cVaUaVL	et obseruentur , <b> quae in hoc opere sunt dicenda , </b> totus ergo populus auditor	e non guardare todas aquellas cosas <b> que sean de dezjr en este libro , </b> ¶ E pues que asi es todo el pueblo deue seer Oydor en alguna manera Deste libro	yzHluvE
1.1.3	vA2RwRH	et malis : <b> huiusmodi sunt industria mentis , </b> ingenium naturale ,	e ño paresçen los quales pueden ser comunales alos buenos e alos malos <b> Et estos son sotileza del entendemiento </b> e engennjo natural	hqyZNDe
1.1.4	w1AtZd7	restat dicere seriatim <b> quae in hoc opere sunt dicenda . </b> Verum quia finis est	que auemos de dezer fincanos de dezer ordenadamente <b> que cosas son de dezir en esta obra | e en este libro ¶ </b> Mas por que la fin es comjenço mas prinçipal de todas las obras	vJfivW1, yaCU8rB
1.1.4	xhO3fLt	et ostendendum est , <b> quomodo in eis felicitas est ponenda . </b> Distinxerunt autem Philosophi	e mostrͣemos commo enllas es de poner la bien andança <b> que es la fin de los buenos ¶ </b> Mas los philosofos departieron tres uidas asy como paresçe	hKv9CYx
1.1.4	wwbqw7g	quod in vita voluptuosa <b> non est quaerenda felicitas , </b> ut infra clarius ostendetur :	Ca mager que dissiese nudat <b> que en la vida seliçonsa non es de poner bien andança </b> asy como adelante lo mostraremos mas claramente	pOtVqaW
1.1.5	w3zh8Sg	Nam qui casu vel fortuitu bene agit , <b> ex hoc non est laudandus , </b> nec debetur ei	Ca aqual <b> que faze bien acaso e auentura por esto non es de alabar </b> njn por esto non le es deujda buean fin njn buena ventura .	p5QexYq
1.1.6	zwi7Yuy	quod insatiabilis est delectabilis appetitus . <b> Secundo in talibus non est ponenda felicitas , </b> quia non sunt bona secundum rationem ,	non se puede fartar delas delectaçones <b> ¶ La segunda Razon es esta | que en estas delecta con nes </b> non es de poner feliçidat nin bien andança	cxRno4g, lQ6TAa8
1.1.6	eEGqvzN	cognitionem idest rationem percutiunt . <b> Tertio non est ponenda felicitas </b> in voluptatibus sensibilibus ,	e nol dexan entender lo que . <b> cunple ¶ | La terçera razon por que non es de poner la feliçidat </b> o la bien andança	xjVNqEw, x5YPQfG
1.1.7	uc6E7RM	In neutris autem diuitiis <b> est ponenda felicitas . </b> Tangit enim 1 Politicor’ tria ,	enpero son riquezas artifiçiales <b> Mas en njngunas destas riquezas non es de poner la bien andança </b> Ca el philosofo tanne tres razones	xj5ghIX
1.1.7	fUhcGf0	in artificialibus diuitiis <b> felicitatem non esse ponendam . </b> Primo , quia artificiales diuitiae	por las quales nos pondemos prouar <b> que la feliçidat e la bien andança non es de poner en les riquezas artifiçiales ¶ </b> La primera razon es por que las riquezas artifiçiales son orderandas alas riquezas natraales ¶la segunda	dDy102E
1.1.7	lamLoVS	rationem felicitatis habere non possunt . <b> Secundo in talibus non est ponenda felicitas , </b> quia non habent	por razon que son ordenadas alas riquezas natra a les non pueden auer razon nin manera e bien andanças <b> la segunda razon por que non auemos de estableçer | nin de poner lanr̃a feliçidat ni </b> lanr̃abine andança en las riquezas artifiçiales	g51Msbr, g6YzhEP
1.1.7	jGbuCnB	et dispositio utentium eis . <b> Tertio in talibus non est ponenda felicitas , </b> quia aurum , et argentum ,	La terçera Razon <b> por que en las riquezas artifiçiales | non es de poner la feliçidat e la bien andança es esta </b> Ca el oro e la plata	bnLBr3g, bHnJKIH
1.1.7	uffc5Ck	per se non sufficiunt , <b> in eis non est ponenda felicitas . </b> Quod autem in naturalibus diuitiis ,	nin conplir <b> por si alas menguas corporales . | Et por ende non es de poner la bien andança enellas . </b> Otrosy que nos non auemos de poner la nuestra feliçidat	k13AcuU, hk4bbUX
1.1.7	ejnODsB	et ea quae per se indigentiae corporali satisfaciunt , <b> non sit ponenda felicitas </b> de leui patet .	Et ahun aquellas que abondan e cunplen por si las menguas corporales <b> esto ligeramente lo podemos prouar . </b> ¶ Por que commo la feliçidat	zAdJAYp
1.1.8	t48NVeJ	quare si honor est bonum ordinatum ad virtutem , <b> in honore non est ponenda felicitas , </b> sed potius in ipsis virtutibus , vel in actibus earum .	que es ordenado a uirtud . <b> la bien andança non es de poner en la honrra </b> mas es de poner enlas uirtudes	b0drZml
1.1.8	gVRXc6c	vel in ipso beatificato , <b> in honoribus non est ponenda felicitas . </b> Indecens est ergo cuilibet homini	que es mas en el bien andante <b> que non en otro ninguno non es de poner en las honrras | ¶ </b> Pues que assi es muy sin Razon	g7v5hgJ, fRIioHg
1.1.8	uTs679E	si ab hominibus honoratur . <b> Maxime tamen hoc est indecens regiae maiestati : </b> quod etiam triplici via venari potest .	si los omes le honrran <b> Et muy mas sin razones | que la real magestad </b> ponga la su bien andança en las honrras .	vazSgFG, gm1B23n
