Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.5	vjkbqVY	consequi suum finem , <b> vel suam felicitatem , </b> habere praecognitionem ipsius finis .	que quiera alcançar e auer su fin <b> e la su bien andança de auer </b> ante algun conosçimjento dela su fin e dela su bien andança .	snyTCRo
1.1.5	qqYVsUm	duplici via venari possumus , <b> quod expedit regi suum finem cognoscere . </b> Prima est ,	e cobrar prouar <b> que conujene al rrey | en toda manera de conosçer la su fin ¶ </b> La primera rrazon es en quanto el rrey	xpB3ED0, dTJ4Puj
1.1.5	gWIAkVd	Prima est , <b> inquantum per sua opera cooperatur , </b> ut sit finis consecutiuus .	La primera rrazon es en quanto el rrey <b> por las sus obras ayuda asy mesmo </b> por que aya e alçen la su fin	lsn1k4d
1.1.5	o1OEv1i	quod maxime decet regiam maiestatem <b> cognoscere suam felicitatem , </b> ut opera communia ,	que muy mas conuiene al Reio al prinçipe conosçer la su fin <b> e la su bien andança | que a otro ninguno . </b> por que pueda fazer buenas obras e comunes	baTZWQF, tXBUsIN
1.1.6	rRLQjm9	quod non decet aliquem hominem <b> suam felicitatem ponere </b> in delectationibus sensibilibus .	qua non conuiene a ningun omne <b> de poner la feliçidat suia | e la su bien andança </b> enlas delectaçiones sensibles e dela carne ¶	y5fzkkw, xziT9ba
1.1.7	aAAiLN5	Cum ergo finis maxime diligatur , <b> ponens suam felicitatem in numismate , </b> principaliter intendit reseruare sibi ,	a aquel que pone las un feliçidat <b> e la su bien andança en las riquezas | e en los aueres </b> prinçipalmente entiende de thesaurizar e fazer thesoro e llegar muchos dineros	sAyDC08, iR5l5IR
1.1.7	xrM82WF	omni via qua potest , <b> velle consequi suum finem . </b> Est igitur Rex Tyrannus ,	por ninguna manera <b> que non pueda querer seguir la su fin | ante se trabaia dela alcançar quanto puede ¶ </b> Pues que assi es el Rei es tirano	aciNqjd, kXZXfj0
1.1.8	s1o2tCf	erit praesumptuosus , et erit iniustus , et inaequale . <b> Nam si Princeps suam felicitatem in honoribus ponat , </b> cum sufficiat ad hoc	¶Lo primero se muestra assi . <b> Ca el prinçipe | si pusiere la su bien andança en honrras </b> conmoabaste acanda vno	ni5V5Ro, tibmYLW
1.1.8	jsaRN6G	nam cum finis maxime diligatur , <b> si Princeps suam felicitatem in honoribus ponat , </b> ut possit honorem consequi ,	Ca commo cada vn omne mucho ame la su fin <b> en que pone la su bien andança | si el prinçipe pusiere la su bien andança enlas honrras </b> por que pueda delo que feziere honrra alcançar	mtL5VUB, naMZeSc
1.1.8	pm6PdYa	quo plus honoris consequi possit . <b> Si ergo Rex suam felicitatem in honoribus ponat , </b> erit malus in se ,	Et por ende ençerrado todo lo <b> que dicho es en este capitulo | si el Rei pusiere la su feliçidat </b> e la su bienandança en las honrras sera malo en si mesmo	xipSPhU, kZFZxOw
1.1.9	jznSArX	Videtur ergo quod maxime Princeps <b> in hoc suam felicitatem ponere debeat , </b> dicente Philosopho 5 Ethic’	que los prinçipes deuen poner mayormente la su feliçidat <b> e la su bien andança en la eglesia | e en la </b> honrra¶por que dize el philosofo	uvMPtix, qMgQO1T
