Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.3	oSNCH63	nam quilibet attente audit , <b> si sperat se utilia auditurum . Ex dicendis autem , </b> si	por que cada vno acuçiosamente oye <b> sy es para quel diran cosas prouechosas . </b> ¶ pues que asy es delas cosas	r1D8W9A
1.1.3	vNUuhQX	quam etiam in Ethicis , <b> quia quaedam sunt delectabilia , quaedam utilia , quaedam honesta . Bona autem honesta , sunt bona per excellentiam : </b> nam in his bonis	Et algunos bienes son prouechosos ¶ <b> Et algunos bienes son honestos | Mas los bienes honestos son bienes de grant aunataja </b> Ca enestos bienes honestos	lF5Oxco, m4ijHTG
1.1.3	mwoAN37	( <b> secundum ipsum ) includuntur bona delectabilia , et utilia . Bona enim , </b> si honesta sint ,	Ca enestos bienes honestos <b> segunt el philosofo se ençierran los bienes deletables | e los bines prouechosos . </b> Ca los bienes sy son honestos	jzf8UK1, weaZKtR
1.1.3	mT2yu2Z	habent in se magnam delectationem , <b> et includunt bonitatem utilium bonorum . </b> Cum ergo in hoc libro intendatur ,	e an en sy grant deletaçion <b> e ençierran en sy bondat de tondos los bienes prouechosos ¶ </b> Pues que asy es commo en este libro	oyRb4Cj
1.2.3	eXOSPDj	et talia : <b> quoddam vero utile , </b> ut pecunia :	e de o tristales cosas ¶ <b> Ay otro bien prouechoso </b> asi commo son dineros o rriquezas .	qa2Voc0
1.2.3	k8IVJPW	ut Temperantia , <b> quae est in concupiscibili . Circa passiones vero ortas ex utili sumuntur duae virtutes . </b> Nam huiusmodi bonum , vel est mediocre , et commune ,	que es en el appetito desseador . <b> Cerca delas passiones | que nasçe del bien prouechoso se toman dos uirtudes . </b> Ca este bien prouechoso o es medianero e comunal	k8rBrpk, jTBU7Qe
1.2.3	pfKshXJ	Ex quo patet , <b> quod quia bona delectabilia non sic possunt habere rationem ardui sicut utilia , </b> et honesta ,	Et daqui paresçe <b> que por que los bienes delectables non pueden auer | assi manera de guaueza </b> commo han los bienes prouechosos e los honestos maguera que tan bien de los bienes prouechosos	r6PNfmc, ncEKCzu
1.2.3	hC6ssC1	et honesta , <b> licet tam ex bonis utilibus quam ex honestis sumantur duae virtutes , </b> quarum una est in concupiscibili ,	assi manera de guaueza <b> commo han los bienes prouechosos e los honestos maguera que tan bien de los bienes prouechosos </b> commo delos honestos sean tomadas dos uirtun des delas quales la vna es en el appetito cobdiçiador ¶ Et la otra en el enssannador .	nAQrQ95
1.2.3	upF5yYi	et Magnanimitas sunt circa bona ardua , aliter et aliter : <b> quia Magnificentia est circa magna bona utilia , </b> ut circa magnos sumptus :	Enpero de departidas maneras . <b> Ca la magnifiçençia es çerca de los bienes grandes e prouechosos </b> assi commo en fazer grandes espenssas .	f5I8zKm
1.2.3	vIh2vhh	nam quaedam sunt delectabilis , <b> circa quae est Temperantia ; quaedam utilia , </b> circa quae est Liberalitas :	Ca alguons bienes son delectables <b> e en estos ha de seer la tenprança ¶ | Otros bienes son prouechosos </b> e enestos ha de seer la franqueza .	g5nYBsY, jz3Haet
1.2.8	jwnyMya	bona gentis sibi commissae . <b> Verum quia nullus homo sufficit ad excogitandum omnia quae possunt esse utilia toti regno , </b> cum hoc quod Regem expedit esse solertem ex se ,	que conuiene a su pueblo e asu gente ¶ <b> Mas porque ningun omne non puede conplidamente penssar aquellas cosas | que son aprouechables a todo el regno . </b> Enpero con esto	vxyUfxH, mUxA7Eh
1.2.8	poyx4MY	cum hoc quod Regem expedit esse solertem ex se , <b> quae bona sunt regno utilia excogitando , </b> oportet ipsum esse docilem ,	que conuiene al Rey de ser sotil e agudo <b> de si penssando los bienes | que son aprouechables a su regno </b> ahun conuiene le de ser doctrinable resçebiendo e tomando coseio de bueons	pGR3EVW, r66GM6V
1.2.17	wDMyeQg	secundum se . Postea determinabimus de virtutibus respicientibus exteriora bona in ordine ad aliud . <b> Bona autem exteriora vel sunt utilia , </b> ut pecunia ,	en quanto son ordenados a otra cola . <b> Et deuedes laber que los bienes tenporales de fuera o son aprouechosos </b> assi conmo los dineros o las riquezas	x1Frqxs
1.2.17	s89Dmw4	ut honores . <b> Primo ergo dicemus de virtutibus respicientibus bona utilia : </b> et postea de respicientibus bona honesta .	assi commo son las honrras . <b> Et pues que assi es primeramente diremos delas uirtudes | que caran alos bienes aprouechosos </b> e despues diremos delas uirtudes	ngcZh4G, vgPC4Zi
1.2.17	g3VIQOx	Incipit enim nostra cognitio a sensu . <b> Cum ergo bona utilia sensibiliora sint honestis , </b> prius determinandum est	e en las cosas que sentimos . <b> Et por ende commo los bienes aprouechosos sintamos nos | mas que los bienes honestos . </b> primera mendiremos delas	d3ADuIl, jHGREzh
1.2.17	kcOWS37	prius determinandum est <b> de virtutibus respicientibus bona utilia . </b> Circa autem bona utilia	primera mendiremos delas <b> uirtudesque catan dos bienes prouechosos . </b> Mas assi commo dize el philosofo	dcoREmi
1.2.17	zdiK7Xz	de virtutibus respicientibus bona utilia . <b> Circa autem bona utilia </b> (	uirtudesque catan dos bienes prouechosos . <b> Mas assi commo dize el philosofo | en el quarto libro delas ethicas </b> çerca	oNTeUq8, gFRkSt2
1.2.17	nNCX5Il	et circa non accipere alienos , <b> est ex consequenti . Usurpans enim bona utilia , </b> et non accipiens ea	Ca aquel que vsurpa <b> e toma los bienes prouechosos agenos </b> malamente commo non deue .	cMW8iiQ
1.2.22	mnzPvGR	( ut supra dicebatur ) <b> quaedam sunt utilia , </b> ut pecuniae ,	assi commo es auer et dineros . <b> Et general mientre qual si quier cosa </b> que puede ser mesurada por dineros .	cJA4A7z
1.2.22	j2edyK6	cuiusmodi sunt honores . <b> Sicut igitur circa ipsa bona utilia est duplex virtus una respiciens magnos sumptus , </b> ut magnificentia ,	assy commo son las honrras . <b> Por enl de assi commo çerca los bienes aprouechosos son dos uirtudes . | La vna que cata alas grandes espenssas </b> assi commo es la magnificençia .	topDSlv, sjy5I7T
1.4.3	mIBLw5d	et pauca se facere sperant . Sexto senex sunt inuerecundi , <b> et inerubescitiui . Nam senes quia illiberales sunt , magis curant de utili quam de honesto . </b> Magis enim student ad utilitatem ,	Lo sexto los uieios son desuergonçados <b> e non toman uerguenca delas cosas . | Ca por que los vieios son escassos </b> mayor cuydado han del pro	t8lydKy, goSm4i9
1.4.3	mP8Tvbs	non competit senibus ; <b> quia magis curant de utili , </b> quam de honore . Tota enim causa ,	Ca por que la uerguença es temor de desonera non pertenesçe alos uieios <b> por que may orcuidado han del prouecho </b> que dela honrra Ca toda la razon	xiGzlQ5
1.4.3	dFIbsFj	ut quod non curent de honoris statu , <b> et quod magis studeant circa utilia , quam circa opera honore digna . </b> Non decet tamen eos verecundari :	assi que non ayan cuydado de estado de honrra <b> Et que mas estudien çerca el prouecho | que çerca las obras </b> que son dignas de honrra .	svDaQJA, wddRvta
2.1.4	jFCqTxB	quia contingit ciuitates habere guerras , <b> utile est uni ciuitati ad expugnandam ciuitatem </b> aliam confoederare se alteri ciuitati ;	Otrossi . por que contesçe que las çibdades han entressi guerras prouechosa cosa es a vna çibdat <b> para que pueda lidiar con otra çibdat | que aya conpanna </b> e amistança con otra çibdat	fv9YdO3, mfwnrj0
2.1.4	vLnKBop	aliam confoederare se alteri ciuitati ; <b> quare cum confoederatio ciuitatum utilis sit ad bellandum hostes , </b> et ad remouendum prohibentia corruptiua ,	que la pueda ayudar . <b> Por la qual consa el amistança delas çibdades es prouechosa | para vençer los enemigos </b> e para tirar e arredrar todas las cosas	dFCGqKp, woLVwHv
2.2.2	ggps28A	et dominantur in regno . <b> Utile est ergo toti regno habere bonos ciues , </b> sed utilius est habere bonos principantes ,	e son sennors en el regno ¶ <b> pues que assi es prouechosa cosa es a todo el regno | de auer bueon sçibdadanos . </b> Mas mas prouechosa cosa es de auer bueons prinçipes	eU5lFMW, dBei1EW
2.2.2	xcmsyhI	Utile est ergo toti regno habere bonos ciues , <b> sed utilius est habere bonos principantes , </b> eo quod principantis sit alios regere et gubernare :	de auer bueon sçibdadanos . <b> Mas mas prouechosa cosa es de auer bueons prinçipes </b> por que alos prinçipes parte nesçe de gouernar	lwed91k
2.2.4	wO1o55e	distinguendum est de ipso bono . <b> Nam si loqueris de bono utili , </b> ut de numismate	para el deuemos departir deste bien . <b> Ca si fablaremos del bien aprouechable </b> assi commo son las riquezas e los dineros e delas otras cosas	tEgHiGF
2.2.4	gdEbEy8	debent eis obedire et esse subiecti . <b> Patet igitur quod quantum ad bonum quod est utile , </b> patres magis diligunt filios ,	e ser subiectos a ellos . <b> Et puos que assi es paresçe | que quanto al bien que es apuechable </b> mas aman los padres alos fijos	jEMCLXs, rDG2ccA
2.2.5	s8Q1Rwq	et ea quae sunt fidei ratione comprehendi non possunt : <b> utile est ut in illa aetate proponantur ea quae sunt fidei , </b> in qua ratio non quaeritur dictorum ,	e aquellas cosas que son de fe non se pueden prouar <b> por razon prouechosa cosa es que en aquella hedat sean enssennadas las cosas | que son de fe </b> en la qual hedat non se demanda razon delos dichs	uIYNpLv, jvg6Rac
2.2.5	fWkIJJl	omnem perspicaciam humani generis superare . <b> Quare utilius auctoritati diuinae simpliciter creditur , </b> quam acquiescatur rationibus	e la su auctoridat sobrepiua toda sotileza de engennio humanal . por la qual cosa mas prouechosa cosa es de creer <b> sinplemente la auctoridat de dios </b> que alas razones de los omes .	tLYmr9r
2.2.6	jNzg9o9	Tanto tamen hoc magis decet Reges et Principes , <b> quanto bonitas filiorum est utilior ipsi regno , </b> et quanto ex eorum malitia potest in regno maius periculum imminere .	mas conuiene alos Reyes e alos prinçipes <b> quanto la bondat de sus fijos es mas prouechosa al regno . </b> Et quanto dela maliçia dellos vernie mayor periglo a todo el regno	lese72j
2.2.8	ffKrHG5	et Politica , <b> quae est de regimine ciuitatis et regni , valde sunt utiles </b> et necessariae filiis liberorum et nobilium . Immo	que es del gouernamiento dela casa e dela conparatid̃ . Et la politica <b> que es del gouernamiento de las çibdades | e del regno </b> mucho son aprouechables	sGdXS0s, jgvd1NW
2.2.13	iOim0uK	et honorem . Omne enim bonum vel est delectabile , <b> vel utile , </b> vel honestum siue honorabile .	por que todo el bien o es delectable <b> o es aprouechable o honesto e honrrable </b> por que el bien honesto puede ser dich̃o honrrable .	adOsQgq
2.2.13	byEf3uC	et mollia . <b> Si propter utile : </b> sic quaeruntur calida ad repellendum frigus tempore hyemali ,	por bien delectable deuemos las querer delicadas e muelles . <b> Et si las queremos </b> por el bien prouechoso deuemos las querertales	hamkH9m
2.2.13	mJDD0BP	et aetatum , diuersificanda sunt , <b> ut deseruiunt ad bonum utile . </b> Sed ut deseruiunt ad bonum honorabile , attendenda est consuetudo patriae ,	e delas hedades las vestiduras son de departir <b> en quanto siruen al bien aprouechable . </b> Mas en quanto siruen al bien de honrra es de catar la costunbre dela tierra	sMSUFiL
2.2.15	sTYoh0j	ait , <b> quod mox expedit pueris paruis consuescere ad frigora . Assuescere enim pueros ad frigora utile est ad duo . Primo ad sanitatem , </b> unde idem Philosophus ait ,	Onde el philosofo en el septimo libro delas politicas <b> dizeque luego conuiene alos mocos pequanos de acostunbrar los alos frios | por que es aprouechable a dos cosas ¶ </b> La primera a sanidat . Onde el pho dize	wixn8Zy, pnhbSiD
2.2.15	oTWDxlv	unde idem Philosophus ait , <b> quod exercitium ad frigora facit bonum habitudinem in pueris propter caliditatem existentem in ipsis . Secundo exercitium ad frigora paruis pueris utile est ad bellicas actiones . </b> Nam frigus membra consolidat	que el vso <b> que toman en el frio faze buena disposiconn en los moços | por la calentura que es en ellos </b> ¶La segunda	zeVlBMi, o0TIu63
2.2.16	p9frxrm	quod Philosophus 5 Polit’ ait , <b> quod pessimum est non instruere pueros ad virtutem , et ad obseruantiam legum utilium . Inquirit enim Philosophus 8 Polit’ </b> utrum prius curandum sit de pueris ,	que el philosofo enl vij̊ . <b> libro delas politicas dizeque muy mala cosa es de non enssennar | e de non enduzir los mocos a uirtudes </b> e aguardar las leyes bueans e aprouechosas .	rPxcrek, fHkvRSq
2.3.6	leUeO6J	Fuit opinio Socratis et Platonis , <b> ut recitat Philosophus 2 Polit’ quod esset utile </b> et expediens ciuitati quod ciues propriis possessionibus non gauderent ,	ne opinion de socrates e de platon <b> assi commo cuenta el philosofo enł segundo libro delas politicas | que cola aprouechosa </b> e conueniente serie ala çibdat	mva0xA3, nJydDX2
2.3.6	gIGoVRh	ut nunc , <b> utile est ciuitati ciues gaudere possessionibus propriis , </b> eo quod vita ciuilis	e reluze mas claramente enpero las cosas estando assi como agoraes tan cosa aprouechosa es ala çibdat <b> que los çibdadanos . ayan sus possessiones proprias </b> por que la uida dela çibdat es uida de los omes en comun	mqbTvTv
2.3.6	ivihJPj	sibi in vita sufficere ; <b> aliquid igitur non est utile simpliciter , </b> quod est utile in casu .	assi enla uida <b> e por ende en alguna cosa que non es aprouechosa </b> sinplemente es proprouechosa en algun caso .	tbKv9KY
2.3.6	npe7Ksm	aliquid igitur non est utile simpliciter , <b> quod est utile in casu . </b> In rebus ergo sic se habentibus ,	e por ende en alguna cosa que non es aprouechosa <b> sinplemente es proprouechosa en algun caso . </b> Et pues que assi es estando las cosas	xEGBLmF
2.3.6	gAajW9O	In rebus ergo sic se habentibus , <b> utile est ciuitati ciues habere possessiones proprias , </b> ne propter ignauiam circa communia , domus ciuium patiantur inopiam .	assi commo dicho es <b> pro prouechosa cosa es ala çibdat | que los çibdadanos ayan possessionspropreas </b> por que non auiendo cuy dado çerca las cosas comunes dela casa uernien los omes amengua	hPuJeBv, irfZeGO
2.3.6	rjuMilm	ut ergo tollatur confusio et inordinatio circa expedientia ciuitati , <b> utile est ciues gaudere possessionibus propriis , </b> ut magis solicite ,	e la desordenaçion çerca las cosas <b> que conuienen ala çibdat cosa aprouechosa es | que los çibdadanos ayan possessiones propreas </b> por que con mayor cuy dado e mas ordenadamente	pZFDb7W, vNAuVh1
