Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.3	bVfQyof	Media , sunt bona interiora , <b> quae possunt esse communia bonis , </b> et malis :	¶ Los bienes medianeros son ençerrados de dentro del alma <b> e ño paresçen los quales pueden ser comunales alos buenos e alos malos </b> Et estos son sotileza del entendemiento	llfT1VC
1.1.6	gzI2RzT	Secundo , quia eum contemptibilem reddunt . <b> Tertio , quia esse ipsum indignum principari faciunt . </b> Dicebatur enim supra ,	le fazen ser menospreçiado de los omes <b> ¶la terçera es que las plazenterias dela carne le fazen | que non sea digno de ser prinçipe¶ </b> Ca asi commo ya dixiemos de suso	fY17XWj, rnLaDoe
1.1.6	afgIYC8	Dictum est enim <b> quod decet Principem esse supra Hominem , </b> et totaliter diuinum .	Ca dicho n auemos ya desuso <b> que conuiene al Rei | e al prinçipe sier </b> mas que omne e ser del todo diuinal .	kawdtcq, pLcHhrV
1.1.6	ctccBFz	quod maxime expedit Principibus , <b> esse moderatos </b> in delectationibus corporibus .	dize <b> que mucho conuiene alos prinçipes ser mesurados </b> e tenprados en las delecta con nes corpora les .	iApEOjH
1.1.7	i6rh7hI	nunquam potest esse magnificus , <b> cuius est facere magnos sumptus : </b> nec etiam potest esse Magnanimus ,	nin granado <b> el qual magnifico ha de fazer grandes espensas para ser granado </b> nin ahun puede ser mager fico	xx3iJFG
1.1.7	e2QMBJ0	diuitiae sunt quid magnum , <b> impossibile est talem esse Magnanimum . </b> Si ergo Magnificentia ,	las riquezas son grant cosa e grant bien . <b> Et por ende non puede ser ninguon tal magnanimo | nin de alto coraçon . </b> pues que asi es ssy la magnifiçençia	vRvfxQs, ofkMrb5
1.1.7	fVtWuBw	et maxime decet regiam maiestatem <b> esse ornatam talibus virtutibus , </b> detestabile est ei	mucho conuiene al Rei <b> e ala Real magestad de ser conpuesta e ennobleçida de tales uirtudes </b> commo estas ¶	uzy822G
1.1.8	x4VqhP6	Si ergo maxime decet <b> Regem esse bonum existentem , </b> maxime indecens est	que estos son infintos e superfiçiales . <b> Et pues que assi es si mucho conuiene al Rey de ser bueno uerdaderamente </b> e non solamente de paresçer bueno .	cw5TWWi
1.1.9	aKcFn56	qua decet Reges , <b> et Principes esse magnificos , et magnanimos . </b> Magnanimi autem licet	por que conuiene alos Reys alos prinçipes <b> de ser manificos e grandes e magnanimos e de grandes coraçones . </b> Ca commo quier los de altos coraçones	qLcW0Tn
1.1.10	sDL3UyJ	( secundum eundem Vegetium ) <b> hoc esse debet principalissimum in intentione Principis , </b> quod abundet in ciuili potentia ,	e todas las gentes . <b> ¶ Por la qual cosa segunt este philosofo vegeçio esto deue ser la cosa mas prinçipal | en la entençion del prinçipe </b> que abonde en poderio ciuil que es poderio de çibdat e de regno	pkxmUt9, vhMdJAt
1.1.10	le9QZPt	aliquem putare <b> esse felicem , </b> si abiiciat bene viuere .	que cosa de escarnio es cuydar <b> que alguno puede seer bien </b> auentraado si despreçia el bien beuir .	wLloqKt
1.1.11	jM0gNUT	et exercere operationes virtutum : <b> decet enim Regem esse magnificum , </b> beneficiare personas dignas :	e fazer obras de uertudes . <b> E conuiene al Rey de seer magnifico e largo </b> por que pueda bien fazera las personas dignas	vGzHPry
1.1.13	oHN9Sip	cum semper amor sit ad similes , et conformes , <b> oportet esse similem , </b> et conformem Deo ,	Et commo el amor sienpre sean los semeiables e acordables con el . <b> Conuiene que aquel que es para de ser </b> gualardonado de dios	tLPp7hm
1.2.2	yt7E3oJ	quod impossibile est prudentem <b> esse non existentem bonum . </b> Dimissis ergo virtutibus huiusmodi intellectualibus ,	en el seyto libro delas ethicas . ca non puede ser el omne pradente e sabio <b> e non ser bueno . </b> Pues que assi es dexando aparte las uirtudes intellectuales	qyr8gYG
1.2.4	qgoKQVZ	ostendentes , <b> quomodo Reges et Principes debent habere uirtutes . </b> Determinabimus etiam de adminiculantibus uirtuti ,	de cada vna en su logar . Ca determinaremos delas uirtudes mostrando . <b> en qual manera los Reyes e los prinçipes . | han de auer uirtudes e seer uirtuosos . </b> Et ahun determinaremos delas otras	kiyuAAQ, yxvE5wh
1.2.4	fOp1gDJ	quomodo Reges et Principes oportet <b> talibus esse ornatos . </b> Sed primo de ipsis uirtutibus	que son sobre todas las otras uirtudes mostrando en qual manera los Reyes e las prinçipes <b> han de ser conpuestos e honrrados </b> de tales uertu des diuinales .	fib9oIM
1.2.5	hRLqhE5	in ratiocinando de agibilibus : <b> sic est dare virtutem , </b> per quam dirigimur in operanda ipsa agibilia .	¶Otrosi ahun por que nos <b> contesçe de ser passionados </b> e resçebidores de passiones	iGIJZs1
1.2.5	cHe9ASm	ostendentes quod decet Reges , <b> et Principes esse iustos . </b> Deinde determinabimus de Fortitudine , et Temperantia ,	mostrando que conuiene alos Reyes <b> e alos prinçipes de ser iustos e derechureros . </b> Et desi diremos dela fortaleza e dela tenprança	bU9YEHs
1.2.5	chX5hjG	declarantes quod contingit Reges <b> et Principes esse fortes et temperatos . </b> Consequenter vero tractabimus de Magnitudine , et Magnificentia ,	mostrando e declarando <b> que conuiene alos Reyes e alos prinçipes de seer fuertes e tenprados . </b> Mas enpos esto todo	aj2Wuwo
1.2.5	ndHXMNz	quomodo decet Reges <b> et Principes talibus uirtutibus esse perfectos . </b> Prudentia autem ,	e declarando en qual manera conuiene alos Reyes <b> e alos prinçipes de ser acabados e conplidos destas tales uirtudes . </b> la pradençia e la sabiduria de que primeramente auemos de fablaͬ	nFkULSF
1.2.7	b3Yb9em	Triplici ergo via inuestigare possumus , <b> quod decet Regem esse prudentem . Primo , quia sine prudentia non est </b> Rex	Et pues que assi es podemos prouar en tres maneras <b> que conuiene al rey de seer sabio ¶ | La primera es que sin la pradençia non puede seer Rey segunt </b> uerdatmas solamente lo serie segunt el nonbre	vT3vMbI, sdNC8gM
1.2.8	sGKMfPp	ad quae dirigit , <b> oportet Regem esse memorem , et prouidum : </b> propter modum	aque guiasa pradençia . <b> Conuiene al Rey de ser acordable e prouisor ¶ </b> Et por razon dela manera segunt laquel guia .	iAQ07fO
1.2.8	kda8SsR	secundum quem dirigit , <b> oportet ipsum esse intelligentem , </b> et rationabilem :	Et por razon dela manera segunt laquel guia . <b> Conuiene al Rey de ser entendido e razonable ¶ </b> por razon de la su propia persona	iYFa3bA
1.2.8	wNVW4mo	sic ratione modi per quem dirigit , <b> oportet ipsum esse intelligentem , et rationalem . </b> Sed ratione propriae personae	por la qual ha de guiar el pueblo <b> le conuiene de ser entendido e razonable . </b> Mas por razon dela su persona propia	hghZ3gA
1.2.8	yTsgGKp	cum hoc quod Regem expedit <b> esse solertem ex se , </b> quae bona sunt regno utilia excogitando ,	que son aprouechables a todo el regno . <b> Enpero con esto que conuiene al Rey de ser sotil e agudo de si penssando los bienes </b> que son aprouechables a su regno	pOAhnDp
1.2.8	chlAYna	quae bona sunt regno utilia excogitando , <b> oportet ipsum esse docilem , </b> aliorum consiliis acquiescendo .	que son aprouechables a su regno <b> ahun conuiene le de ser doctrinable resçebiendo e tomando coseio de bueons </b> quel han bien de conseiar .	myyApIG
1.2.8	qwQdiEJ	nec inniti semper solertiae propriae : <b> sed oportet ipsum esse docilem , </b> ut sit habilis ad capescendam doctrinam aliorum ,	nin atener se sienpre al su engennio propio . <b> Mas conuiene le de ser doctrinable | por que sea ido neo </b> para tomar doctrina de los otros tom̃ado conseio de buenos	sLsYDYR, nFHGpUn
1.2.8	ahFxrAs	quae est alios dirigens , <b> oportet Regem esse solertem , et docilem . </b> Sed ratione gentis quam dirigit ,	que es gouernandor de los otros . <b> Conuiene al rey de ser engennioso e doctrinable . </b> Mas por razon dela gente	gVYfS6z
1.2.9	dWvCAni	eliciendo ex eis debitas conclusiones agibilium . <b> Non enim sufficit esse intelligentem , </b> habendo cognitionem legum ,	para todas las cosas <b> que ha de fazer . | Ca non abasta seer entendido </b> sabiendo las leyes e las costunbres	bFnPFyk, k1kzRA5
1.2.10	jygvS58	determinat sibi specialem materiam , <b> et habet esse circa haec bona exteriora , </b> in quibus ciues communicant .	çibdadano viene danno a otro la iustiçia spanl determinasse a materia sp̃al . <b> Et a de ser cerca estos bienes de fuera </b> en los quales los çibdadanos partiçipa	gRIszJU
1.2.11	z5ncoMg	et prohibet omne malum : <b> implere legem , </b> est esse perfecte virtuosum .	que le saga todo bien <b> e uieda todo mal cunplir la les es seer omne uertuoso acabadamente . </b> Et por ende dize el philosofo en el primero cabło dela	hhFJk5L
1.2.11	bjnqzGZ	implere legem , <b> est esse perfecte virtuosum . </b> Ideo primo Magnorum moralium ,	que le saga todo bien <b> e uieda todo mal cunplir la les es seer omne uertuoso acabadamente . </b> Et por ende dize el philosofo en el primero cabło dela	hhFJk5L
1.2.11	r4e5QLm	in aliquo legalem Iustitiam , <b> est eos esse integre et perfecte malos . </b> Sed ( ut dicitur Ethic’ 4 cap’ de mansuetudine )	nin toma ninguna parte dela iustiçia legal . <b> esto es lo que los faze ser enteramente e coplidamente malos . </b> Mas assi como dize el philosofo enl de . x . qunto libro delas ethicas enl capitulo dela manssedunbre .	egsHR3V
1.2.12	mVytkEh	quod maxime decet Reges , <b> et Principes esse iustos . </b> Possumus autem hanc veritatem	e alos prinçipes <b> de ser iustos | et de guardar iustiçia . </b> Mas esta uerdat podemos prouar	q8v3Uqj, phhq9kq
1.2.12	s2srm7E	ut sint Reges . <b> Cum enim deceat regulam esse rectam et aequalem , </b> Rex quia est quaedam animata lex ,	enpero non son dignos de seer Reyes . <b> Ca commo conuenga ala regla de ser derecha </b> e egual e el Rey sea vna ley animada e vna regla .	kZAeVlV
1.2.12	ywB6Umt	quam ex aliis virtutibus moralibus . <b> Decet ergo Reges et Principes esse iustos , </b> tum quia debent esse regula agendorum ,	que a ninguno de los otros . <b> Et pues que assi es conuiene alos Reyes | e alos prinçipes de ser iustolo vno </b> por que deue ser regla de todas las cosas	ztdo8RX, obZ5atk
1.2.16	lMtQyXS	3 Ethic’ quatuor rationibus , <b> detestabilius esse intemperatum , </b> quam timidum .	por quatro razones <b> que mas de deno star es el omne | por non ser tenpra </b> et do que por ser temeroso	oCyTWmo, z6EeyE1
1.2.16	zK27YMU	quare exprobrabilius est <b> nos esse intemperatos , </b> quam non esse fortes .	por la qual cosa mas de denostar son los omes <b> por non ser tenprados </b> que por non ser fuertes .	rXxmysS
1.2.16	h0Mus3t	cuius est aliis dominari , <b> esse bestialem et seruilem : </b> indecens est ipsum esse intemperatum .	que ha de <b> enssennorear alos otros de ser bestial e sieruo </b> e non es cosa conuenible	fOAWgQp
1.2.16	rmWVyKi	Si ergo indecens est Regem <b> esse puerum moribus , </b> et non sequi rationem , sed passionem :	Et por ende si non es cosa conueniente <b> de ser el Rey moço en costunbres </b> e de non segnir razon	fqN6Gca
1.2.18	sypyu7E	quod indecens sit <b> eos esse auaros . </b> Nam si regnum alicuius debet	quanto son de denostar los Reyes <b> e los prinçipessi fueten auarientos | e que non les conuiene en ninguna manera delo ser . </b> Ca si el regno de cada vno dios Reyes deue ser natural	qBI205r, g8bk9h8
1.2.18	c4YAfh8	Nam si regnum alicuius debet <b> esse naturale , </b> proportionari debet his quae videmus in natura .	Ca si el regno de cada vno dios Reyes deue ser natural <b> e bien ordenado | deue ser proporçionado </b> e conparado a aquellas cosas	tZd47kx, iqyweqN
1.2.18	oQfx1Ib	quod si possent esse prodigi , <b> melius esset eos esse prodigos quam auaros . </b> Primo enim , quia melius est	que si pueden ser gastadores <b> meiores ser gastadores | que seer auarientos </b> ¶La primera razon por que es esta	xBSPvdK, pCJ7dfh
1.2.18	hpp5luR	et quod melius esset <b> ipsum esse prodigum , quam auarum . </b> Secundo hoc idem patet :	que meior les es <b> de ser gastadores que ser auarientos . </b> ¶ La segunda razon paresçeassi .	hRm6E58
1.2.18	sieI7j8	Viso quod quasi impossibile est <b> Reges esse prodigos , </b> et quod omnino detestabile est	Et por ende muy de depostar es el Rey si fuer auariento ¶ visto <b> que los Reyes non pueden ser gastadores </b> e que muchon son de denostar	i0868qA
1.2.18	w8Mfhr3	quod deceat <b> eos esse largos , liberales , et communicatiuos . </b> Haec enim virtus ,	que conuiene alos Reyes <b> de ser largos liberales e dadores . </b> Ca esta uirtud que es en las espenssas	s1enLDW
1.2.18	nLNEMJ7	Quare si indecens est Reges , <b> et Principes esse seruos , </b> conueniens est eos esse liberales .	por la qual razo si non conuiene alos Reyes <b> e alos prinçipes de ser sieruos </b> conuiene les de ser liberales e francos .	gp0uWcI
1.2.19	zeuJFrD	Dicebatur supra , <b> circa sumptus duplicem esse virtutem . </b> Unam , quae respicit moderatos sumptus ,	ssi commo es dichon de suso <b> çerca las espenssas han de ser dos uirudes </b> ¶La vna que cata alas espenssas mesuradas	gNINT2s
1.2.19	l5uBUYh	Dicebatur enim supra <b> non esse liberalitatem </b> in multitudine datorum .	Ca ya dixiemos de ssuso <b> que la liberalidat non ha de ser en muchedunbre de donadios ¶ </b> Pues que assi es el liberal	ijRRkJ7
1.2.20	rjnY2Nk	omnino detestabile est <b> Regem esse paruificum . </b> Quod autem deceat	en todas maneras es de denostar <b> que el Rey sea periufico mas que conuengaal Rey de ser magnifico </b> e de fazer grandes espenssas	uQJDdqm
1.2.21	m5TsAAz	quod magnificus est excellenter liberalis . <b> Idem est enim esse magnificum , </b> quod esse abundanter liberalem .	que el magnifico es conplidamente liberal <b> por que essa misma cosa es ser magnifico </b> que ser conplidamente libal e franço .	vQnhLVL
