Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.17	t8FCoOh	e en partiendo e en dando los sus bienes alos ctros . <b> visto que cosa es la franqueza . </b> Ca es uirtud	principaliter liberalitas consistit . <b> Viso quid est liberalitas , </b> quia est virtus reprimens auaritias ,	gvSidba
1.2.19	s8XD7w1	assi la magnificençia faze espenssas conuenibles alas grandes obras ¶ <b> visto que cosa es la magnificençia </b> fincanos de veer	sic magnificentia est faciens sumptus decentes magnis operibus . <b> Viso quid est magnificentia : </b> restat videre circa quae habet esse .	f2bWVDi
1.2.22	uNM6os7	que non pueden acabar . <b> ¶ Visto que cosa es la uirtud </b> que dizen magranimidat	et moderans praesumptiones . <b> Viso quid est magnanimitas , </b> de leui patet ,	hzipvl6
1.2.26	woiOmpi	entre la presup̃çion e la pusillanimidat . <b> ¶ Visto que cosa es la humisdat </b> ligeramente puede paresçer	sicut magnanimitas est media inter praesumptionem , et pusillanimitatem . <b> Viso quid est humilitas , </b> de leui videri potest	hcF6v1o
1.2.26	mEgNpKW	e non son uirtudes ¶ <b> Visto cerca quales cosas es lahcudildat </b> ca prinçipalmente es çerca la presup̃çion	est quid iactatiuum . <b> Viso circa quae est humilitas , </b> quia principaliter est	x59RQpR
1.2.27	mjcD5eS	que es nunca se enssannar ¶ <b> Visto que cosa es la mansedunbre ligeramente paresçe </b> çerca quales cosas ha de ser .	et moderat irascibilitates . <b> Viso quid est mansuetudo , | de leui patet </b> circa quae habet esse .	kivUQFu, uezXayi
1.2.28	n1YRTbD	por que ninguno non le deue en tanto mostrar conpanero alos otros <b> por que sea visto plazentero e falaguero . </b> Otrossi non se deue tirar en tanto dela conpana	tantum aliis ostendere socialem , <b> ut videatur placidus , </b> et blanditor : nec se debet tantum a societate subtrahere ,	eryfMp2
1.2.28	nGUOOMZ	Otrossi non se deue tirar en tanto dela conpana <b> por que sea visto desacordable e vara ador . </b> Et pues que assi es commo la uirtud sea medianera	et blanditor : nec se debet tantum a societate subtrahere , <b> ut uideatur discolus , et litigiosus . </b> Cum igitur uirtus sit	xL5XSAT
1.2.28	sGHOJWR	la qual cosa fazen los desacordabłs <b> e mouedores de pelea ¶ visto que cosa es la amistanca </b> segunt que della fablamos aqui .	quod faciunt litigiosi , et discoli . <b> Viso quid est amicabilitas , ut hic de ea loquimur , </b> quia est uirtus reprimens litigia ,	io3DkBP
1.2.29	qUWoc4N	por la sobrepuiança de carga . <b> ¶ Visto que cosa es la uerdat </b> dela qual aqui fablamos	propter onerosas esse superabundantias . <b> Ostenso quid est veritas </b> de qua loquimur ,	svwWSJ9
1.2.30	lG9uFao	que non para que fuyamos dellas . <b> ¶ Visto que cosa es la entropelia o alegria </b> e çerca quales cosas ha de seer .	quam ut fugiamus illas . <b> Viso quid est eutrapelia siue iocunditas , </b> et circa quae habet esse ,	qbMaVIM
1.3.2	sVvEQVj	que es tomada en razon de bien es primero que la tristeza <b> que es tomada en razon de mal Et pues que assi es por que visto es </b> ya de suso quantas son las passiones	prior est tristitia , <b> quae est respectu mali . | Quia ergo visum est , </b> quot sunt passiones ,	eu9qUYR, eV5QC4R
1.3.3	vWDUXOP	e dannaua las eglesias e las casas santas <b> ¶ visto en qual manera los Reyes </b> e los prinçipes se de una auer al amor	et depraedabat sacra . <b> Viso quomodo Reges et Principes se habere debeant ad amorem , </b> quia principaliter debent amare bonum diuinum et commune :	l5vvyyH
1.3.4	t74eiIo	¶ <b> Visto quales cosas deuen los Reyes dessear </b> e en qual manera	Viso , quae , <b> et quomodo Reges et Principes desiderare debent , </b> quia sicut debent amare primo	okUqwgM
1.3.5	u3ucVLT	tenesçen ala espança conuenible <b> ¶ visto conmolos Reyes </b> e los prinçipes se deuen bien auer	quae ad spem debitam requiruntur . <b> Viso , quomodo decet Reges </b> et Principes	hi1ObdT
1.3.6	n9vN5v9	e sin razon . <b> ¶ visto en qual manera los Reyes se deuen auer al temor </b> por que cosa mas guaue es de repremir el temor que tenprar la osadia	Regem immoderato timore timere . <b> Viso quomodo Reges se habere debeant ad timorem , </b> quia difficilius est reprimere timorem ,	pPWuzJT
1.3.8	zlj0mmF	e enbargan las obras uirtuosas <b> ¶ Visto en qual manera los Reyes </b> e los prinçipes se deuen auer alas delectaçiones	et operationes impediunt virtuosas . <b> Viso , quomodo Reges , </b> et Principes se habere debeant ad delectationes :	rQqnj0C
1.4.1	oNCNedb	nin honrra los mançebos de ligero toman uerguença <b> ¶ visto quales costunbres son de loar en los mançebos de ligero </b> puede paresçer en qual manera los Reyes	iuuenes de facili erubescunt . <b> Viso qui mores sunt laudabiles de iuuenibus , </b> de leui patere potest ,	y8NzfRN
1.4.2	ftb7Yaj	mas todas las cosas fazen con sobrepuiamiento ¶ <b> visto quales son las costunbres delos mançebos </b> que son de denostar de ligero pue de omne	sed omnia faciunt valde . <b> Viso qui sunt mores iuuenum vituperabiles ; </b> de facili videri potest ,	lKWAwC6
1.4.3	qn1dymu	por que la cosa fria non ha de querer logar alto mas baxo . <b> visto quales son las costunbres de los uieios </b> que son de denostar de ligero	appetere locum superiorem , sed inferiorem . <b> Viso qui sunt mores senum vituperabiles ; </b> de leui patere potest	uEhiMha
1.4.4	uSeOklr	por la mayor parte fazen todas las cosas tenpradamente ¶ <b> Visto quales son las costunbres de los mançebos </b> e de los uieios de ligero puede paresçer	ut plurimum agunt omnia moderate . <b> Viso , qui sunt mores iuuenum , </b> et senum :	ssbGQ1c
1.4.5	kFAKev4	Et en qual manera bien razonados e <b> corteses¶ Visto quales costunbres delos nobłs son de loar </b> finca de uer quales costunbres son de denostar .	et quomodo affabiles et sociales . <b> Viso qui mores nobilium sunt laudabiles : | videre restat </b> qui mores sunt vituperabiles .	upzF0mU, ah7zdrb
1.4.6	qWHPYg9	¶ <b> Visto quales son las malas costunbres de los ricos </b> e que conuiene alos Reyes e alos	et ad opera virtuosa . <b> Viso qui sunt mali mores diuitum , </b> et quod decet Reges ,	uZlZNpJ
1.4.7	yx7iWlW	Por la qual cosa non es vna cosa ser el omne rico e ser toderoso¶ <b> Visto quales son las costunbres delons nobłs </b> e de los ricos finça de	et esse non potentem . <b> Viso ergo | qui sunt mores nobilium , </b> et qui diuitum restat videre ,	xKsXguZ, w9vnpTu
2.1.1	f8tfcN9	faze su tela conuenible <b> avn que nunca aya visto otras arannas texer en essa misma manera </b> avn las golondrinas fazen su nido conueniblemente	debitam telam faceret , <b> si nunquam vidisset | araneas alias texuisse . </b> Sic etiam et hirundines debite facerent nidum ,	dv7Eqt7, vO2Y3qA
2.1.3	oul1Jkz	mas conplidamente en el terçero libro <b> Visto en qual manera la comunidat dela casa es primero en alguna manera que las otras comuni dades de ligero puede paresçer </b> en alguna manera esta comunidat dela cała es natural	ut in tertio libro plenius ostendetur . <b> Viso , quomodo communitas domus | aliquo modo est prior , </b> quam communitates aliae :	bsE0Y2O, nMcYlGW
2.1.5	zoew4hI	¶ <b> Visto en qual manera </b> alo menos estas dos comunidades	infra clarius ostendetur . <b> Viso , quomodo saltem hae duae communitates requiruntur ad domum , </b> quia secundum Philosophum ex eis constare	xsWXe6A
2.1.6	u7q9o8G	segunt que el sennor deue ser antepuesto alos sieruos <b> Visto commo en la casa acabada </b> ian de ser tres comuindades	secundum quod dominus praeest seruis . <b> Viso , in domo perfecta esse communitates tres , </b> et tria regimina :	cfHLoHG
2.1.12	oZ5CASt	¶ <b> Visto en qual manera los Reyes </b> e los prinçipes	quam ex tali coniugio acquiratur multitudo numismatis . <b> Viso quomodo Reges , </b> et Principes in suis coniugibus	aewTcQ9
2.1.13	liP5GQH	quales bienes de fuera son de demandar enla muger . <b> Esto uisto finca nos de dezir </b> en qual manera las mugers de los çibdadanos deuen ser honrradas	qualia bona exteriora sunt quaerenda in coniuge . <b> Reliquum est ut dicamus , </b> quomodo coniuges ipsorum virorum bonis	lDAMSj6
2.1.13	jz6hEpK	a E ordenado el casamiento . <b> ¶ Visto en qual manera </b> quanto alos bienes del cuerpo son	in coniuge magnitudo , et pulchritudo . <b> Restat videre quomodo quantum </b> ad bona animae	c0MTE3t
2.1.14	z8Zjhiu	Ca en ninguna manera los fijos non escogen assi su padre ¶ <b> Visto en qual manera se departe el </b> gouernamientoma termoianl del paternal	quia filii nullo modo eligunt sibi patrem . <b> Viso , quomodo differt regimen coniugale </b> a paternali ex modo regendi ,	wXf7Rjm
2.1.18	dRFfCEo	Enpero enlos otros es muchos de denostar ¶ <b> Visto quales cosas son de alabar en las muger </b> s finca de dezir que cosas son de denostar en ellas .	in malis vero est vituperabile . <b> Viso , quae sunt laudabilia in foeminis : </b> restat narrare quae sunt vituperabilia in eis .	gx3M0f9
2.1.19	hqOFbSM	por amonestamientos conueninbles a las uirtudes e bondades sobredich̃ͣs¶ <b> Visto en qual manera se deua gouernar la muger </b> por que ella sea tenprada	ad bonitates praehabitas . <b> Viso , coniugem sic regendam esse , </b> ut sit debite temperata :	qXZfhpp
2.1.20	nmNOXSF	mas avn amistança honesta . <b> ¶ Visto en qual manera conuiene alos uarons de vlar labiamente </b> e tenpradamente de sus muger sfinca de ver	non solum amicitia delectabilis , sed honesta . Viso , <b> quomodo decet viros suis uxoribus moderate uti et discrete : </b> restat videre ,	bARf3Bn
2.2.3	sPnKeMM	¶ <b> Visto que el gouernamiento del padre nasçe de amor paresçe </b> que el padre deue	nisi paternum regimen ex amore nasceretur . <b> Viso , quod paternum regimen ex amore nascitur , </b> patet quod filiis debet	qaVHUKE
2.2.4	bRMQ3FQ	commo los fijos de los padres . <b> ¶ Visto qual es el amor de los radres alos fijos . </b> Ca los padres son inclia a dos a amar los fijos	quam econuerso . <b> Viso , qualis est amor | inter patrem et filium , </b> quia parentes afficiuntur ad filios	dkYDF9j, w9nYdiD
2.2.10	v21lblO	para fablar palabras sin reprehenssion . <b> ¶ Visto en qual manera los ayos </b> e los maestros de los moços los deuen enssennar	ut proferant sermones irreprehensibiles . <b> Viso qualiter paedagogi et doctores </b> iuuenum debent eos instruere	d6upKKA
2.2.12	cxxWg9D	por que sean guardados e mesurados ¶ <b> Visto en qual manera los moços se deuen auer çerca el comer </b> e el beuer finca de ver	quod sint abstinentes et sobrii . <b> Viso , qualiter iuuenes debeant se habere | circa cibum et potum . </b> Restat videre ,	zfx7A5n, qzcAgZF
2.2.13	vKQW9e9	delas politicas ¶ <b> Visto en qual manera los moços se deuen auer çerca los trebeios finca de ver </b> en qual manera se deuen auer çerca los gestos ¶	ut vult Philosophus 7 Politicorum . <b> Viso qualiter iuuenes se habere debeant circa ludos . | Restat videre , </b> qualiter se habere debeant circa gestus .	hVD05WC, u2BOQd5
2.2.16	w5R3a89	por que non enbarguen la cresçençia delos mienbros ¶ <b> Visto que para que los moços sean bien despuestos e bien ordenados </b> quanto al cuerpo del vi̊ año fasta xuiij .	ne impediatur incrementum . <b> Viso , quod , ut iuuenes sint | bene dispositi quantum ad corpus , </b> a septimo usque ad quartumdecimum annum	wQZ5P4l, nlXbPsb
2.2.17	mhjh4Xn	e amouimientos conuenibles ¶ <b> Visto en qual manera del . xiiij . año adelante deuen los padres auer cuydado de los fijos </b> por que ayan el cuerpo bien ordenado	si ad debita exercitia assuescant . <b> Viso , quomodo a quartodecimo anno ultra solicitari debent patres erga filios , </b> ut habeant dispositum corpus .	tT6hvzk
2.3.2	hNuEZX5	¶ <b> Visto en qual manera se departe los estrumentos del gouernamiento dela casa finca de ver </b> en qual manera son conparados los vnos alos otros .	quia haec sunt animata , illa inanimata . <b> Viso , quomodo distinguuntur | organa gubernationis domus : </b> restat ostendere ,	sDbc7mk, hepHT8g
