Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.7	mYm12tI	e si robare el pueblo <b> e desfiziere la comunidat solamente </b> que el pueda allegar riquezas e dineros .	si opprimat viduas , et pupillos , <b> si depraedetur populum et Rem publicam , </b> dum tamen possit pecuniam congregare ,	cjPXjY0
1.2.10	zzh7TDu	e en los partires . <b> Ca alas vezes algunos trabaian mas por la comunidat </b> e resçiben menos ante esta iustiçia	Rursus contingit inaequalitas in distributionibus , <b> quia aliquando aliqui plus laborantes pro Republica , | minus accipiunt : </b> immo haec Iustitia quodammodo deprauata est ,	zvWUDBD, ovGcCwU
1.2.11	dypmoMz	La segunda manera para prouar esto mismo se toma de parte del regno . <b> Ca el regno e toda comunidat es vna orden e vn prinçipado . </b> ¶ pues que assi es como la orden	ex parte ipsius regni . <b> Regnum enim et omnis politia est quidam ordo , | et quidam principatus . </b> Cum igitur ordo ,	wRM1GRg, j4uHbGm
1.2.11	qxLXQBV	Et pues que assi es non se guardaria dende adelante <b> en ellos comunidat </b> ni seria dende adelante regno .	nec ad Principem . <b> Non ergo ulterius reseruaretur in eis politia , </b> nec esset ulterius regnum .	qBZXfRn
1.2.11	eV7xSdG	Ca cada vno de los regnos <b> e canda vna comunidat semeia avn cuerpo natural . </b> Ca assi commo veemos	Quodlibet enim regnum , <b> et quaelibet congregatio assimilatur cuidam corpori naturali . </b> Sicut enim videmus corpus animalis constare	akCRXRZ
1.2.11	uYlgsrs	assi cada vno dellos regnos <b> e cada vna delas comunidades es conpuesta de de pattidas personas ayuntadas e ordenadas a vna cosa . </b> Et por ende pues nos conuiene de fablar	sic quodlibet regnum , <b> et quaelibet congregatio constat | ex diuersis personis connexis , </b> et ordinatis ad unum aliquid .	oStLXP0, kyTlOrw
1.2.11	vvHVFyF	Bien assi cada vna mengua de iustiçia <b> non corronpe del todo el regno e la comunidat . </b> Enpero que por qual quier menguade iustiçia	sic non quaelibet Iniustitia <b> corrumpit totaliter regnum , et politiam , </b> tamen per quamlibet Iniustitiam regnum ,	eCbgWlj
1.2.11	kgGw03j	es enfermo el regno <b> e la comunidat apareiada acorruy conn¶ </b> pues que assi es paresçe	et politia infirmatur , <b> et disponitur ad corruptionem . </b> Patet igitur quod prout ciues habent ordinem ad se inuicem ,	mZ7flEo
1.2.27	fvMlo7Y	et por zelo de iustiçia <b> o por amor de la comunidat </b> por que sin ella la comunidat non podrie durar .	et zelum iustitiae , <b> vel propter amorem Reipublicae </b> quia sine ea Respublica durare non posset .	fP7FQXD
1.2.27	ykxKAUo	o por amor de la comunidat <b> por que sin ella la comunidat non podrie durar . </b> por la qual cosa si el Rey o el prinçipe	vel propter amorem Reipublicae <b> quia sine ea Respublica durare non posset . </b> Quare si quis in tantum esset mitis ,	uXIgAtP
1.2.27	bTmrZ5g	quanto mas pertenesçe a ellos de seer guardadores dela iustiçia <b> et mantenedores dela comunidat . </b> Por la qual cosa si alos Reyes non conuiene de seer sannudos	esse custodes iustitiae , <b> et conseruatores Reipublicae . </b> Quare si Reges non debent esse iracundi ,	njpZyKK
