Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.19	luZHEYV	si <b> ouiereconplidamente las riquezas fazer espenssas conuenibles en toda la comunidat </b> por que los bienes comunes lon en alguna manera diuinales	( si adsit facultas ) <b> facere decentes sumptus | circa totam communitatem . </b> Nam ipsa bona communia	uncY2gc, qrkqyp5
1.2.19	ovVam3h	resplandesçe mas fermosa . <b> mente en toda la comunidat </b> ¶	valde debiliter repraesentatur <b> in una persona singulari : sed in tota communitate pulchrius elucescit diuinum bonum . </b> Tertio magnificus se decenter habere debet	c1Qcg3N
1.2.20	aqqSmHL	Mas por el que es persona publica e comuna <b> la qual toda la comunidat dela gente </b> e todo el regno es ordenado	Quia vero est persona publica , <b> ad quam ordinatur tota communitas , </b> et totum regnum ,	y8k7rhR
1.3.5	fdPMMbh	en bien alto e grande e guaue de fazer De mas desto <b> quanto mayor es la comunidat </b> tantomas cosas le pueden auenir e contesçer .	sed etiam decet eos tendere in bonum arduum . <b> Amplius quanto maior est communitas , </b> tanto plura possunt ei contingere ,	fUX26AH
2.1.1	vUB3yDY	determinaremos del gouernamiento de la casa <b> mas commo la conpanna o la casa sea vna comunidat </b> e sea comunidat natraal	In hoc ergo secundo libro determinabitur de regimine domus . <b> Sed cum familia domus | sit communitas quaedam , </b> et sit communitas naturalis :	nNZJDvR, cX8rYcG
2.1.1	zmp4Nhq	mas commo la conpanna o la casa sea vna comunidat <b> e sea comunidat natraal </b> si queremos fablar dela casa	sit communitas quaedam , <b> et sit communitas naturalis : </b> si de domo determinare volumus ,	i3m8HM6
2.1.1	dj8z9In	Et pues que assi es neçessaria fue <b> e es la comunidat dela casa </b> e las otras comuindades .	ut sit animal sociale ; <b> necessaria ergo fuit communitas domus , </b> et communitates aliae ,	iBDXhI1
2.1.1	olxtaDr	e las otras comuindades . <b> assi commo son comunidades de varrio et de çibdat e de regno </b> para esto	et communitates aliae , <b> cuiusmodi sunt communitas ciuitatis , et regni , </b> ad hoc quod homines perfecte sibi in vita sufficiant .	hYjme1P
2.1.1	oAMaBIK	siguese que beuir en conpannia <b> e en comunidat es en alguna manera natural alos omes </b> ¶	Sed si haec sunt necessaria ad conseruandam hominis naturalem vitam , <b> viuere in communitate et in societate est quodammodo homini naturale . </b> Tertia via ad inuestigandum hoc idem ,	k8y1N5h
2.1.2	jrkOckL	que nos non sabiamos los terminos destas sçiençias <b> por que aquellas conpania o aquella comunidat </b> por la qual abastamos a nos en la uianda e en el uestido	dicens nos scientiarum limites ignorare : <b> quia societas , siue communitas illa , </b> per quam nobis sufficimus in victu et vestitu ,	kCuYpwg
2.1.2	y08jcLe	e en las otras cosas neçessarias ala uida non paresçe <b> que sea comunidat çiuil de casa mas paresce </b> que sea comunidat çiuil e de çibdat .	et in aliis necessariis ad vitam , <b> non videtur esse communitas domestica , </b> sed ciuilis :	sRMBKIU
2.1.2	ssomcm7	por la qual cosa sin <b> determinarde la comunidat de los çibdadanos </b> non parte nesçe a este libro	ut in tertio libro plenius ostendetur . <b> Quare si determinare de communitate ciuium </b> non spectat ad hunc librum ,	m9Lzfnk
2.1.2	c21lKbU	en el qual diremos del gouernamiento dela çibdat . paresçe que auemos trispassado los terminos desta arte determinando en el capitulo passado algunas cosas <b> que pertenesçen ala comunidat dela çibdat . </b> Mas si con estudio e con acuçia penssaremos	videmur transgressi fuisse limites huius artis , <b> determinando in praecedenti capitulo aliqua pertinentia ad communitatem ciuitatis . </b> Sed si diligenter aspicimus ,	bIAa5uR
2.1.2	ultDeBS	Mas si con estudio e con acuçia penssaremos <b> en qual manera la comunidat dela casa se ha a todas las </b> otrascomuidades	Sed si diligenter aspicimus , <b> quomodo communitas domestica se habet ad communitates alias : </b> cum quaelibet communitas	qa69HY2
2.1.2	nep9yRk	commo cada vna delas otras comundades <b> ençierre en ssi la comunidat dela casa </b> por que non puede ser çibdat nin varrio	cum quaelibet communitas <b> includat communitatem domesticam , </b> nec possit esse ciuitas ,	eWclb4g
2.1.2	vfgs5db	humanal siguese <b> que la comunidat dela casa es neçessaria a esta uida . </b> Et pues que assi es en el capitulo sobredicho auemos determinado dela conpannia humanal	si communitas aliqua est necessaria in humana vita : <b> sequitur communitatem domus | ad huiusmodi vitam necessariam esse . </b> In praecedenti ergo capitulo determinauimus de societate humana ,	etZOyrQ, pYv4S2C
2.1.2	hYJ4ZuM	por que por esta razon se muestra manifiestamente <b> que la comunidat dela casa es neçessaria </b> por que todas las comuni dades ençierran en ssi	quia per hoc manifeste ostenditur <b> necessariam esse communitatem domesticam : </b> cum omnis alia communitas communitatem illam praesupponat .	ehMDOMM
2.1.2	qyq2WKn	por que todas las comuni dades ençierran en ssi <b> e ante ponen esta comunidat dela casa ¶ Et </b> pues que assy es deuedes saber	necessariam esse communitatem domesticam : <b> cum omnis alia communitas communitatem illam praesupponat . </b> Aduertendum ergo quod	dZ3Rpcw
2.1.2	tt2RJ6u	que pueden fazer çibdat e regno . <b> Et por ende la comunidat dela casa </b> sea alas trͣs comunidades	ex consequenti constituere possunt ciuitatem , et regnum . <b> Hoc ergo modo communitas domus se habet </b> ad communitates alias :	mzOIl0i
2.1.2	bmlJbve	Et por ende la comunidat dela casa <b> sea alas trͣs comunidades </b> en tal manera que todas las otras comunidades ençierren	Hoc ergo modo communitas domus se habet <b> ad communitates alias : </b> quia omnes aliae ipsam praesupponunt :	amqfnMN
2.1.2	q8cFS2O	o el regno <b> sienpre la comunidat dela casa se ha alas otras comuindades </b> en esta manera	et qualitercunque constituatur vicus , ciuitas , siue regnum , <b> semper sic se domus habet | ad communitates alias , </b> quod est pars omnium aliarum ,	gOvvfbA, lhMPtFE
2.1.2	b7fp2du	e la ponen ante si¶ visto <b> en qual manera la comunidat dela casa se ha alas otras comuidades de ligero puede parescer </b> en qual manera esta comunidat	et aliquo modo eam omnes aliae praesupponunt . <b> Viso , quomodo communitas domus se habeat | ad communitates alias : </b> de leui patet ,	a4lRwij, i7sTY2i
2.1.2	xNmg3nn	en qual manera la comunidat dela casa se ha alas otras comuidades de ligero puede parescer <b> en qual manera esta comunidat </b> es neçessaria ala uida humanal .	de leui patet , <b> quomodo huiusmodi communitas sit necessaria in humana vita . </b> Nam si omnes communitates aliae domum praesupponunt :	i9MyzbI
2.1.2	r5mR3Ta	es neçessaria ala uida humanal . <b> Ca si todas las otras comunidades </b> antepo nen la comuidat dela	quomodo huiusmodi communitas sit necessaria in humana vita . <b> Nam si omnes communitates aliae domum praesupponunt : </b> si aliqua communitas est necessaria	h5B97mG
2.1.2	euM1PQj	e por si vale a conplimiento dela uida . <b> Conuiene que la comunidat dela casa sea mas neçessaria </b> Et pues que assi es los Reyes e los prinçipes	ad per se sufficientiam vitae , <b> oportet communitatem domus necessariam esse . </b> Reges ergo et Principes ,	juMZtcg
2.1.3	jPIAfj0	e dela fechura dela çibdat <b> en quanto estas cosas son ordenadas ala comunidat </b> e ala polliçia e ordenamiento de los çibdadanos .	et de fabrica ciuitatis , <b> ut ordinantur ad communitatem , </b> et ad politiam ciuium .	viXZih1
2.1.3	dAiSNp9	Et pues que assi es nos entendemos de determinar dela casa <b> que es comunidat delas perssonas dela casa </b> en qual manera ella es la comunidat primera .	Intendimus ergo ostendere de domo , <b> quae est communitas personarum domesticarum , </b> quomodo sit communitas prima .	xHwmFlO
2.1.3	uRghoJJ	que es comunidat delas perssonas dela casa <b> en qual manera ella es la comunidat primera . </b> Et por ende deuemos notar	quae est communitas personarum domesticarum , <b> quomodo sit communitas prima . </b> Notandum ergo ,	jluPEsj
2.1.3	t1zLM4V	Et pues que assi es departidas las cosas primeras en esta manera de ligero puede paresçer <b> en qual manera la comunidat dela casa se ha </b> ala comunindat dela çibdat	de leui patet , <b> quomodo communitas domus se habet </b> ad communitatem ciuitatis ,	fAWcUjS
2.1.3	eudrbkl	ala comunindat dela çibdat <b> e alas otras comunidades . </b> Ca en la obra dela execucion la casa es primero que el uarrio	ad communitatem ciuitatis , <b> et ad communitates alias . </b> Nam in executione et opere domus	iKroFM7
2.1.3	c8ilRyE	e en la entençion <b> laso trisco munindades son primero que la comunidat dela </b> casa¶Otrossi la comunidat dela casa es primero	sed in uoluntate <b> et in intentione communitates illae </b> praecedunt communitatem domesticam .	swWQMTa
2.1.3	t8OaEKQ	laso trisco munindades son primero que la comunidat dela <b> casa¶Otrossi la comunidat dela casa es primero </b> que las otras comunidades	et in intentione communitates illae <b> praecedunt communitatem domesticam . </b> Rursus uia generationis	npBvnNm
2.1.3	zhbLxi5	casa¶Otrossi la comunidat dela casa es primero <b> que las otras comunidades </b> en manera de generaçion	et in intentione communitates illae <b> praecedunt communitatem domesticam . </b> Rursus uia generationis	npBvnNm
2.1.3	evNXMze	mas las otras comunindades son primero <b> que la comunidat delan casa </b> en manera de perfectiuo	Rursus uia generationis <b> et temporis domestica communitas praecedit communitates alias : </b> sed in uia perfectionis	lZA9FkR
2.1.3	lT3ZnAH	ot de conplimiento <b> por que paresçe que la comunidat dela casa se ha en dos maneras </b> alas otras comunidades .	Videtur communitas domus <b> ad communitates alias dupliciter se habere . </b> Primo , quia huiusmodi communitas	znnBACi
2.1.3	nCACSSI	por que paresçe que la comunidat dela casa se ha en dos maneras <b> alas otras comunidades . </b> ¶ La primera es por que esta comunidat en conparaçion delas otras es mas menguada	Videtur communitas domus <b> ad communitates alias dupliciter se habere . </b> Primo , quia huiusmodi communitas	znnBACi
2.1.3	n3o8ID6	alas otras comunidades . <b> ¶ La primera es por que esta comunidat en conparaçion delas otras es mas menguada </b> e las otras son mas conplidas que ella	ad communitates alias dupliciter se habere . <b> Primo , quia huiusmodi communitas | respectu aliarum est imperfecta : </b> omnes uero aliae sunt perfectiores ipsa ;	cTWadQc, wq4r8g9
2.1.3	iUj0YWt	e las otras son mas conplidas que ella <b> por que todas las otras comunidades ençierran en ssi la comunidat dela casa </b> e ennaden alguna cosa sobre ella .	omnes uero aliae sunt perfectiores ipsa ; <b> cum enim omnis alia communitas | includat communitatem domus , </b> et addat aliquid supra ipsam ;	rPD82Xh, iM6XNKb
2.1.3	yHCB0i4	e ennaden alguna cosa sobre ella . <b> Et por ende todas las otras comunidades son mas conplidas que ella . </b> Et pueᷤ que assi es la comuidat dela casa se ha	et addat aliquid supra ipsam ; <b> omnes aliae communitates sunt perfectiores ea . </b> Habet ergo se communitas domus	loCs9BO
2.1.3	k9R8eaK	assi commo la parte al su todo ¶ <b> Otrossi la comunidat dela casa se ha alas otras comunidades </b> assi commo las çosas que son ordenadas	et sicut pars ad totum . <b> Rursus huiusmodi communitas | se habet ad alias , </b> sicut quod est ad finem se habet ad ipsum finem .	vsaiurY, pgLFiXP
2.1.3	vsQbfQz	e la çibdat para fazer el regno . <b> Et pues que assi es la comunidat del uarrio </b> es fin dela comunidat dela casa	ciuitas propter regnum . <b> Communitas ergo vici est finis communitatis domus , </b> communitas ciuitatis communitatis vici :	vEMWWMs
2.1.3	x9mWJhj	Et pues que assi es la comunidat del uarrio <b> es fin dela comunidat dela casa </b> e la comunidat dela çibdat	ciuitas propter regnum . <b> Communitas ergo vici est finis communitatis domus , </b> communitas ciuitatis communitatis vici :	vEMWWMs
2.1.3	t0PLVPz	es fin dela comunidat dela casa <b> e la comunidat dela çibdat </b> es fin dela comunidat del uarrio .	Communitas ergo vici est finis communitatis domus , <b> communitas ciuitatis communitatis vici : </b> sed communitas regni est finis omnium praedictorum .	qXwMTxd
2.1.3	ff52sfb	e la comunidat dela çibdat <b> es fin dela comunidat del uarrio . </b> Mas la comunidat del regno es fin de todas las otras comuindades sobredichas .	Communitas ergo vici est finis communitatis domus , <b> communitas ciuitatis communitatis vici : </b> sed communitas regni est finis omnium praedictorum .	qXwMTxd
2.1.3	bffyCsg	es fin dela comunidat del uarrio . <b> Mas la comunidat del regno es fin de todas las otras comuindades sobredichas . </b> Por la qual cosa conmola cosa non acabada sea primero	communitas ciuitatis communitatis vici : <b> sed communitas regni est finis omnium praedictorum . </b> Quare cum imperfectum	rNP6uom
2.1.3	b7ggsm7	e ala casa dize <b> quela comunidat dela çibdat es la primera . </b> Et esto non se deue entender que es primera por generaçion	ad vicum et domum , <b> ait , quod prima communitas est communitas ciuitatis ; </b> quod non est intelligendum	pWiiTHN
2.1.3	v4a60yu	por manera de perfecçion e de cunplimiento . <b> Otrossi commo la comunidat dela casa </b> non solamente se aya alas otras comuindades	et complementi . <b> Amplius cum communitas domus ad communitates alias </b> non solum se habeat	oiRTWpg
2.1.3	oul1Jkz	mas conplidamente en el terçero libro <b> Visto en qual manera la comunidat dela casa es primero en alguna manera que las otras comuni dades de ligero puede paresçer </b> en alguna manera esta comunidat dela cała es natural	ut in tertio libro plenius ostendetur . <b> Viso , quomodo communitas domus | aliquo modo est prior , </b> quam communitates aliae :	bsE0Y2O, nMcYlGW
2.1.3	xGfcgMw	Visto en qual manera la comunidat dela casa es primero en alguna manera que las otras comuni dades de ligero puede paresçer <b> en alguna manera esta comunidat dela cała es natural </b> Ca commo la natura non presupone	quam communitates aliae : <b> de leui videri potest , | quomodo sit huiusmodi communitas naturalis . </b> Nam cum natura non praesupponat artem ,	zXSvYV0, lv1uvSd
2.1.3	yOa0i0Y	ai al comiuncable e aconpanable <b> commo todas las comunidades presupongan </b> e ante pongan la comunidat dela casa	naturaliter animal communicatiuum et sociale , <b> cum omnis communitas </b> praesupponat communitatem domus ,	pYxB2Sx
2.1.3	jS4Ttxe	commo todas las comunidades presupongan <b> e ante pongan la comunidat dela casa </b> conuiene quala comunidat dela casa o la casa sea cosa natural .	cum omnis communitas <b> praesupponat communitatem domus , </b> oportet communitatem domesticam siue domum	iortn8O
2.1.3	zZq4DsX	e ante pongan la comunidat dela casa <b> conuiene quala comunidat dela casa o la casa sea cosa natural . </b> Et por ende conuiene alos Reyes e alos prinçipes	praesupponat communitatem domus , <b> oportet communitatem domesticam siue domum | quid naturale esse . </b> Reges ergo et Principes decet	vv9MfgE, vfS3ukp
2.1.3	ugBuhpc	e que conoscan que cosa <b> e qual es la comunidat dela casa </b> ca es comunidat en alguna manera natural	ut sciant domum propriam gubernare , <b> et ut cognoscant quae et qualis est communitas domus </b> ut se habet ad regnum et ciuitatem ,	h45a4bk
2.1.3	nGGSDOa	e qual es la comunidat dela casa <b> ca es comunidat en alguna manera natural </b> Et en algunan manera esta comunidat se ha al regno	ut sciant domum propriam gubernare , <b> et ut cognoscant quae et qualis est communitas domus </b> ut se habet ad regnum et ciuitatem ,	h45a4bk
2.1.4	hJzHAQ7	e ya es declarado en alguna manera en el capitulo <b> sobredicho qual es la comunidat dela casa . </b> Ca ya mostrado es	Est autem ex praecedenti capitulo aliqualiter declaratum , <b> qualis sit communitas domus : </b> cum ostensum sit	jpTM7Rg
2.1.4	udaBM4f	que el omne es naturalmente ainalia domestica e de casa <b> e quela comunidat dela casa es en alguna manera natural . </b> Empero por que esto non auemos	quod homo est naturaliter animal domesticum , <b> et quod communitas domus est quodammodo naturalis . </b> Attamen quia per hoc non sufficienter habetur	kgvSf5H
2.1.4	oTamQ10	conplidamente qual es esta comuidat dela <b> casapor ende entendemos de dezir algunas cosas dela comunidat dela casa . </b> Pues que assi es deuedes saber	qualis sit huiusmodi communitas , <b> ideo intendimus aliqua dicere de communitate domestica . </b> Sciendum ergo ,	g3WdCZU
2.1.4	iCATnI0	diziendo <b> que la casa es comunidat </b> segunt natura construyda e fecha para cada dia	Philosophum 1 Politicorum sic describere communitatem domus : <b> videlicet , quod domus est communitas secundum naturam , </b> constituta quidem in omnem diem .	tHz7iz8
2.1.4	wCOFdR6	sobredich̃o Et alguna cola finca adelante de declarar . <b> Ca que la casa sea comunidat </b> segunt natura e natural de suso es prouado gruesamente e figuaalmente	et aliquid restat ulterius declarandum . <b> Nam quod domus sic communitas secundum naturam , </b> superius grosse et figuraliter probabatur ,	aykrmRW
2.1.4	gsfu08S	Pues que assi es finça de declarar en la difiniçion sobredichͣ <b> en qual manera la casa sea comunidat establesçida para cada dia . </b> Et para auer esto deuedes saber	in descriptione praedicta , <b> quomodo domus sit communitas constituta in omnem diem . </b> Ad cuius euidentiam aduertendum ,	hyeuw5G
2.1.4	g5xrMmk	han mester cada dia conprar e vender . <b> pues que assi es la comunidat dela casa fue fecha para aquellas cosas </b> que auemos mester de cada dia .	vel venditione continue egeant . <b> Communitas ergo domus facta fuit propter ea , </b> quibus quotidie indigemus .	oy1AjZN
2.1.4	nYxGzgC	todas las cosas neçessarias para la uida <b> non cunplie la comunidat de vna casa </b> mas conuiene de dar comunidat de varrio .	Verum quia in una domo non reperiuntur omnia necessaria ad vitam , <b> non sufficiebat communitas domestica , </b> sed oportuit dare communitatem vici ,	vU1wvcO
2.1.4	l9i2zuK	non cunplie la comunidat de vna casa <b> mas conuiene de dar comunidat de varrio . </b> Por que commo el uarrio sea fech̃ de muchas casas	non sufficiebat communitas domestica , <b> sed oportuit dare communitatem vici , </b> ita quod cum vicus constet	msNfb3s
2.1.4	tiDbIJj	en el primero libro delas politicas <b> que assi commo la comunidat dela casa es establesçida </b> para las obras de cada dia	Propter quod Philosophus 1 Politicorum ait , <b> quod sicut communitas domus | constituta est </b> in omnem diem ,	jLE9FHZ, fJ2VCXk
2.1.4	y3LjE5x	todas las cosas neçessarias ala uida <b> conuiene de dar comunidat ala çibdat </b> sobre la comunidat deluarrio .	omnia necessaria ad vitam , <b> praeter communitatem vici | oportuit </b> dare communitatem ciuitatis .	aX0VO3u, cflSPyj
2.1.4	hrMABGP	conuiene de dar comunidat ala çibdat <b> sobre la comunidat deluarrio . </b> Et por ende	oportuit <b> dare communitatem ciuitatis . </b> Communitas ergo ciuitatis esse videtur	wQYxpu1
2.1.4	s8qLIid	ordende todas estas cosas <b> que la casa es comunidat </b> segunt natura establesçida para cada dia .	Erit ergo hic ordo , <b> quod domus est communitas </b> secundum naturam constituta in omnem diem .	mApiApo
2.1.4	xuSA71h	segunt natura establesçida para cada dia . <b> Mas el uatrio es comunidat estableçida </b> para las obras	secundum naturam constituta in omnem diem . <b> Vicus autem est communitas constituta </b> in opera non diurnalia .	twsiPX9
2.1.4	ppmsrpi	que non son mester de cada dia . <b> Et la çibdat es comunidat establesçida </b> para conplimiento delas cosas	in opera non diurnalia . <b> Ciuitas vero est communitas constituta </b> ad sufficientiam in vita tota .	fB25ZwC
2.1.4	nQvmB3W	que son menester para toda la uida <b> Mas el regno es comunidat establesçida </b> non solamente para conplir las menguas dela uida	ad sufficientiam in vita tota . <b> Sed regnum est communitas constituta </b> non solum ad supplendum indigentias vitae ,	wk2gdOX
2.1.4	d6hwpmh	e otros muchos castiellos <b> Et por ende paresçe qual es la comunidat dela casa . </b> Ca es comunidat natural	adiunctae aliae plurimae ciuitates et castra . <b> Patet ergo qualis sit communitas domus , </b> quia est communitas naturalis constituita	mtCihft
2.1.4	rTedbWS	Et por ende paresçe qual es la comunidat dela casa . <b> Ca es comunidat natural </b> e establesçida para las obras cotidianas	Patet ergo qualis sit communitas domus , <b> quia est communitas naturalis constituita </b> propter opera diurnalia et quotidiana .	ovXZJgt
2.1.4	x7YZw2o	Ca assi commo paresçe por las cosas <b> sobredichͣs la casa es vna comunidat </b> e vna conpannia de muchͣs ꝑssonas .	( ut patet ex habitis ) <b> sit communitas quaedam et societas personarum : </b> cum non sit proprie communitas nec societas ad seipsum ,	zdVsvOZ
