Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.5	nsSIcYm	mas es por auentra <b> a¶ Onde el philosofo quariendo mostrar en el primero libro delas ethicas </b> que es neçesario de connosçer ante la fin	sed à fortuna . <b> Unde Philosophus 1 Ethicor’ | volens ostendere </b> necessariam esse praecognitionem finis , ait ,	qcCkYDU, nGGzc9q
1.1.6	zFWdyEY	en el primero libro delas ethicas <b> quariendo mostrar </b> que cosa es la fe liçidat	Unde Philosophus 1 Ethicorum <b> describens felicitatem , </b> ait ,	s2lFHO6
1.2.14	iTpKUkN	quando alguno temiendo uerguença <b> e quariendo ganar honrra </b> acomete alguna cosa fuerte e espantable .	quando aliquis timens verecundiam , <b> et volens honorem adipisci , </b> aggreditur aliquod terribile ,	qlwUDAo
1.2.26	eEBGnDH	e al menospreçiamiento <b> Ca en quariendo omne obrar obras </b> que son dignas de grant honrra	ex consequenti vero contrariatur deiectioni . <b> Inquirendo enim opera honore digna , </b> non solum contingit peccare per superbiam ,	xxWty07
1.2.26	iXukAzm	Ca el sobra uio demandado <b> e quariendo su excellençia e sobrepuiamiento </b> mas que deue	Secundo decet eos esse humiles ratione operum fiendorum . <b> Nam superbus quaerens suam excellentiam ultra quam debeat , </b> ut plurimum tendit	ioWV1Bq
1.2.32	yoCUir1	delas ethicas el delicamiento es vna molleza . <b> Et por ende estos tales non quariendo sofrir ninguna cosa guaue </b> luego que padelçen o son passionados por alguna passion	delicia quaedam mollicies est . <b> Tales ergo nihil difficile sustinere volentes , </b> statim cum passionantur ,	w51ewmj
2.1.3	dIQT8JH	que son ordenadas ala fin entendiendo <b> e quariendo la fin . </b> Assi que la fin es primero quarida e entendida .	ea quae sunt ad finem , <b> intendendo et volendo finem , </b> ita quod finis est primo volitus et intentus :	ip7Yewa
2.1.7	bDNLAzf	Et pues que assi es que el philosofo en el octauo delas ethicas <b> quariendo mostrar </b> qual es el amistança del uaron	Sciendum ergo quod Philosophus 8 Ethic’ volens <b> ostendere </b> qualis amicitia sit viri ad uxorem ,	kRuWjWP
2.2.5	wDP2Npj	Onde el philosofo en el segundo libro dela <b> methafisica quariendo prouar </b> que la costunbre es de grand fuerça dize assi .	Unde et Philosophus 2 Meta’ <b> volens probare </b> consuetudinem esse magnae efficaciae ,	cmSGWVs
3.1.10	aq4HA9U	e los padres con sus fijas . <b> Empero socrates quariendo escusar este mal dix̉o </b> que al prinçipe dela çibdat pertenesçia de auer cuydado e acuçia	et patres filias . <b> Socrates volens hoc inconueniens vitare , | dixit , </b> quod spectabat ad Principem ciuitatis	rSEZmCr, rlGdnF0
3.1.15	s0vRymq	quando los çibdadanos amandose <b> e quariendose muy bien fuessen </b> much ayuntados en amor .	ut quod tunc esset ciuitas optima , <b> quando ciues se amando et diligendo maxime unirentur . </b> Sic ergo exposita mente Socratis	tgO40jm
3.1.15	vnDxEWH	en menestrales e en labradores <b> e en batalladores quariendo </b> que alo menos la çibdat ouiesse mil ł batalladores	Quod autem ciuitatem diuidebat <b> in agricolas , artifices , et bellatores , </b> volens ciuitatem	ro9UHoF
3.2.10	noWXeQn	̃en el su regno <b> non quariendo sofrir sus males leuna tanse contra el . </b> Et el tirano de que conosçe	excellentes et nobiles existentes <b> in regno non valentes hoc pati , | insurgunt contra ipsum : </b> tyrannus autem ex quo talem se esse cognoscit ,	odmLUF1, yBShgvc
3.2.12	rwYYWES	que nunca mostraua la cara alegte <b> e aquel tirano quariendo dar razon desto fizo despoiar a su hͣmano </b> e fizola tar	et quare nunquam hylarem vultum ostenderet . <b> Tyrannus ille volens reddere causam quaesiti , | eum expoliari fecit , </b> et ligari :	lSfklWi, eAQ5qzp
3.2.13	saTFn97	que han del <b> algunas vezes la acometen quariendo vengar aquellos tuertos </b> e aquellas miurias que rresçibieron ¶	et propter vehementem iram aliquando inuadunt <b> ipsum volentes latas iniurias vindicare . </b> Tertio insidiantur aliqui tyranno ,	oEcacew
3.2.13	vz9MMAI	njn quiere el bien comun <b> quariendo algunos alcançar la gloriar la honrra </b> que veen enel tirano acometen ler matanle ,	et non quaerere commune bonum , <b> volentes adipisci honorem </b> et gloriam quam conspiciunt in tyranno ,	pMB0s3p
3.2.23	hxwGUGw	por ende el pho en el primero libro de la <b> rectorica quariendo enduzir los iuezes a misericordia </b> contra los que yerran contra ellos dize	Ideo Philos’ 1 Rhet’ <b> volens iudicantes | ad misericordiam adducere </b> erga delinquentes in ipsos ;	b5ohEmS, bAFJwcD
3.2.32	oae9btx	Et cuenta el philosofo enel terçero libro delas politicas <b> quariendo de el arar </b> que cosa es la çibdat seys bienes	quod bonorum illorum sit potius . <b> Narrat quidem Philosophus 3 Politic’ volens diffinire </b> quid sit ciuitas ,	x58vneQ
