Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.2	g882uXD	sirue lascin a quell manyconomica <b> que quiere dezjr gouernamjento de conpanans de casa ¶ al terçero libro sirue la politica </b> que es sçiençia de gouernamjento delas çibdades e del rreyno	ø	ø
1.1.4	z1yAqI4	Enpero del an vida politica e ordenada la qual los theologos llaman vida actiua <b> que quiere dezir vida de bien obrar </b> Et dela vida contenplatian e intellectual	quam Theologi vocant vitam actiuam , <b> et de vita contemplatiua </b> non usquequaque vera senserunt :	ze87Ged
1.1.5	tjQiZr9	que en olimpiedes <b> que quiere dezer en aquellas faziendas </b> o es aquellas batallas	quod in Olimpidiadibus , <b> idest in illis bellis </b> et agonibus	hp1s2tG
1.1.7	nN3lXqE	en el capitulo dela maganimidat <b> que quiere dezir grandeza de coraçon </b> Ca en la opinion del auariento	4 Ethicorum cap’ de Magnanimitate ) <b> quia in opinione auari , </b> et in opinione ponentis	yTRyNgQ
1.1.7	p5yxLHd	Ca aquel que bien entiende <b> que quiere dezir e quanto lieua este nonbre fin </b> e bien andança non se le puede esconder	qui enim bene intelligit , <b> quid importatur nomine finis , </b> non potest eum latere quemlibet ,	fQLotoS
1.1.10	rwgCkcw	que ensennorear despotice <b> que quiere dezir enssennorear . </b> seruilmente e sobre los sieruos ¶	quam principari despotice , <b> idest dominaliter . </b> Quarto non est ponenda felicitas	hd69EMV
1.2.3	xseIG9U	La otra es eutropolia <b> que quiere dezir buena conuerssaçion o buena manera de beuir . </b> Mas la uerdat assi conma aqui fablamos de uerdat	videlicet , Veritas , Affabilitas , et Eutrapelia , <b> quae potest dici bona versio . </b> Est autem Veritas	lHT6ZVK
1.2.3	bkV9eTu	mas es bien fablante e curial¶ <b> Mas entropolia que quiere dezir buena conpanma </b> o buena manera de beuir en conpanna es	sed est affabilis , et curialis . <b> Eutrapelia vero siue bona versio , </b> est , quando aliquis sic se habet in ludis ,	jSbZ3PH
1.2.6	mqzCYVq	en el sexto libro delas ethicas . <b> Eubullia que quiere dezer uirtud para bien coseiar . </b> la otra es por la qual	quam Philosophus Ethic’ 6 appellat eubuliam , <b> idest bene consiliatiua . </b> Alia vero per quam bene iudicamus de inuentis ,	aTtz1pX
1.2.6	bNOcvaU	la qual llama el philosofo sinesis . <b> que quiere dezir uirtud de bien iudgar </b> ¶ la terçera es uirtud	quam Philosophus appellat synesin , <b> idest bene iudicatiuam . </b> Tertia , per quam praecipiamus	dImxkeT
1.2.8	lTAXpnF	Et enssennable ¶ Espierto ¶ <b> Et prouado ¶ Cauto que quiere dezir conosçedor </b> e escogendor delo meior .	ø	ø
