Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.1	qzTOKLr	Hanc autem rationem videtur <b> tangere Philosophus 1 Ethicorum , </b> cum ait ,	E esta rrazon tañe el philosopho en <b> eL segundo libro delas ethicas quando </b> dizeque conplidamente se dize dela	v1vfjSM
1.1.4	wyGQigv	Quod falsum est . <b> Nam ( ut supra tangebatur ) </b> omnibus volentibus viuere recte ,	la qual cosa magnifiestamente es falsa . <b> Ca asy commo ya dixiemos a todos </b> los que quirien bien beuir derechamente	iUSWKXM
1.1.7	dVEinxC	impetrauit a Deo , <b> ut quicquid tangeret , </b> fieret aurum .	E asi commo dla fabliella gano de dios <b> que quanto el tanxiesse que todo se le tornasse oro </b> asi que quanto el tannia todo se le tornaua oro	wV0Xg1Z
1.1.7	t2zL1b9	in singulis partibus corporis , <b> etiam ore nihil tangere poterat , </b> quin conuertetur in aurum .	Et por que el seso del tanner es en todas las partes del cuerpo <b> e ahun en la boca non podia tanner ninguna cosa | que tonda non se le </b> tornauaoro	xYgUeNj, yJHdA10
1.2.3	jLOA8ab	quas enumerauimus , <b> quas tangit Philosophos </b> circa finem 2 Ethicor’ .	que ya contamos de suso . <b> las quales pone el philosofo </b> en el segundo libro de las ethicas .	hefpwvf
1.2.12	rSrFiET	quadruplici via venari , <b> secundum quatuor quae tanguntur de Iustitia in 5 Ethicorum . </b> Prima via sumitur	en quatro maneras <b> segunt quatro cosas | que tanne el philosofo dela iustiçia en el quimo libro delas ethicas ¶ </b> La primera manera se toma de parte dela persona del Rey ¶	irACQbC, bg83fZb
1.2.13	bRctLUT	sicut pericula bellica ; <b> nec ex tactu aquae sic sentimus </b> et imaginamur laesionem ,	que los otros lo vno <b> por que son mas manifiestos . | Et lo otro por que lo sentimos mucho mas . </b> Et lo otro por que ymaginamos	wPw9xrw, qC4eLCS
1.2.13	y81Rkyh	et imaginamur laesionem , <b> sicut ex tactu gladii . </b> Pericula ergo bellica	Et lo otro por que lo sentimos mucho mas . <b> Et lo otro por que ymaginamos </b> que tales periglos fazen grant dolor	bVbZ75o
1.2.15	j6lF11i	sed non possumus gustare , <b> et tangere , </b> nisi nobis coniuncta .	mas non podemos gostar nin tanner <b> si non las cosas que son ayuntadas anos . </b> Por ende en estos dos sesos	pnavHmM
1.2.15	nxl6s0y	Reliqua autem animalia in gustu , <b> et tactu delectantur per se : </b> in aliis vero sensibus	Mas laso trisa inalias se delectan engostar <b> e en el taner por si . </b> Et en los otros sesos se delectan	s6oaMwX
1.2.15	fOWgrda	Immo in ipsis delectationibus nutrimentalibus <b> magis delectamur in tactu , </b> quam in gustu .	delectaconnes delas viandas mas nos <b> delectamostanniendo que gostando . </b> Ca comiendo e beuiendo	yGVHUJy
1.2.16	lYlUxnH	et Principes temperatos esse . Est enim intemperantia <b> ( ut ibidem tangitur ) </b> vitium maxime bestiale , puerile ,	et alos prinçipes de ser tenprados . <b> por que la destenpranca assi commo </b> y dize el philosofo es pecado muy bestial e de bestia	cYOHeyb
1.2.21	aGmdLhc	Philosophus 4 Ethicorum capitulo De magnificentia , <b> tangit sex proprietates magnifici , </b> quas habere decet Reges et Principes .	euedes saber que el philosofo enl quarto libro delas ethicas capitulo dela magnificençia pone seys <b> propiedadesdel magnifico las quales conuiene alos Reyes e alos prinçipes auer ¶ </b> La primera es que el magnifico es semeiante al sabio	j43tsqf
1.2.29	egrndqG	quam sint . <b> Hanc autem rationem tangit Philosophus </b> in cap’ praetacto ,	por que somos inclinados alos nuestros bienes propreos paresçen nos mayores de quanto son . <b> Et esta razon tanne el philosofo en la auctoridat </b> que dicha es	lp4INbz
1.2.29	dfGK3C2	ne homines sint aliis onerosi . <b> Hanc autem rationem tangit Philosophus in eodem 4 Ethicorum dicens , </b> declinandum esse in minus	por que los omes non sean alos otros pesados e guaues . <b> Et esta razon misma tanne el philosofo en esse mismo quarto libro delas ethicas </b> o dize que deuemos	zZK8gPX
1.3.4	tyhP8Q5	de bono respectu amoris , desiderii , et delectationis , <b> ut supra tangebatur , </b> intelligendum est de malo respectu odii , abominationis , et tristitiae .	en conparaçion del amor e del desseo e dela delectaçion <b> assi commo dessuso dixiemos . </b> assi de uemos entender del mal	i8QEddT
1.3.8	wlH4iGL	per quae huiusmodi tristitia vitari possit . <b> Videtur autem Philosophus tria remedia tangere , </b> per quae tristitia vitatur ;	por los quales podamos escusar esta tal tristeza e esquiuar la . <b> Et paresçe que el philosofo tanne tres remedios </b> por los quales la tristeza se puede esquiuar .	mELu1sY
1.3.8	w5WK6T7	Haec enim ratio licet <b> tangatur 9 Ethicor’ </b> dicitur tamen fuisse Platonis ,	Mas esta razon commo quier que fuesse tannida <b> enel nono delas ethicas . </b> Empero dize	cEm8Lml
1.4.1	pvO9rft	quidam vituperabiles . <b> Inter alia quidem quae tangit Philosophus </b> de iuuenibus 2 Rhetoricorum ,	e algunas de denostar . <b> Mas entre las otras cosas | que tanne el philosofo de los mançebos </b> en el segundo de la rectorica tanne seys costunbres de loar	wAHyAf5, bk7EcH1
1.4.1	nYtkbP3	de iuuenibus 2 Rhetoricorum , <b> tangit sex mores laudabiles , </b> et sex vituperabiles .	que tanne el philosofo de los mançebos <b> en el segundo de la rectorica tanne seys costunbres de loar </b> e seys de denostar ¶	dwGPvcn
1.4.1	rP2QfGu	quare de facili erubescunt , <b> Philosophus tamen secundo Rhetoricorum aliam causam videtur tangere , </b> quare iuuenes sunt naturaliter verecundi .	uerguenna <b> empero el philosofo tanne otra razon en el segundo libro dela rectorica </b> por que los mançebos son natraalmente uergoñosos .	h26mO3u
1.4.1	jpTItsH	non multiplicarent in debitos et pios usus , <b> ut supra in tractatu de liberalitate sufficienter tetigimus . </b> Decet etiam eos	e por las quales los preçian en las non espender en vsos o en obras conuenibles e piadosas <b> assi commo dessuso dixiemos | e tractamos suficientemente en el terctado dela liberalidat </b> ¶avn conuiene alos Reyes en	az9FqnX, f1KOkTG
1.4.2	qkdb5s4	sic enumerare possumus sex vituperabiles : <b> quas etiam tangit Philosophus 2 Rhetoricorum . </b> Primo enim iuuenes sunt passionum insecutiui .	que son de denostar <b> las quales pone el philosofo | en el segundo libro de la rectorica¶ </b> Lo primero son los mançebos	uUI6NWO, bNWgGBM
1.4.3	fbmT63F	Philosophus autem 2 Rhetoricorum , <b> inter alios mores quos tangit de senibus , </b> enumerat sex uituperabiles mores .	Ca el philosofo en el segundo libro de la rectorica <b> entre las otras costunbres | que tanne de los uieios cuenta seys costunbres </b> que son de denostar	c2AvxvP, won89NF
1.4.3	na0FOoS	Posset autem una causa assignari , <b> quae quasi communis est ad omnia tacta . </b> Dictum est enim senes esse frigidos .	Et por esta razon aceesçe alos uieios de ser desuergoncados <b> Mas puede aqui ser fallada vna razon que es a comun a todas estas cosas de suso dichͣs . </b> Ca dicho es de suso	whrBjvb
1.4.4	cP4SdUD	Videtur autem Philosophus 2 Rhetoricorum , <b> circa senes tangere quatuor mores , </b> qui possunt esse laudabiles .	fincanos de poner las costunbres dellos qson de loar <b> Mas paresçe que el philosofo en el segundo libro dela rectorica pone quatro costunbres de los uieios </b> que pueden ser de loar ¶	zstUv2S
2.1.1	vGjAOBs	inter alias rationes , <b> quas tangit , </b> probantes hominem naturaliter	en el primero libro delas politicas entre las otras razones <b> que tanne </b> por las quales praeua el omne es naturalmente aial aconpannable	hqpNilz
2.1.1	nNr3iLi	et nolentes ciuiliter viuere , <b> ut supra in primo libro tetigimus , </b> et ut infra tangentur ,	assy commo çibdadanos non biuen commo omes <b> assi conmodixiemos de sulo en el primero libro </b> e avn diremos adelante .	k9RpRME
2.1.1	uxWcnBu	ut supra in primo libro tetigimus , <b> et ut infra tangentur , </b> quasi non viuunt ut homines ;	assi conmodixiemos de sulo en el primero libro <b> e avn diremos adelante . </b> Et pues que assi es esto contesçe alos omes	euY2OlZ
2.1.2	h1QJ04j	et puerorum , siue filiorum . <b> Nam , ut tangebatur , </b> crescentibus collectaneis	las quales se fizieron <b> de muchedunbre de mietos e de fijos . </b> Ca assi commo dicho es de suso cresçiendo los nietos e los fijos de los fijos	tpdTj1B
2.1.4	wdIipRj	Ad praesens autem sufficiat <b> in tantum tangere de regno et ciuitate , </b> in quantum eorum notitia	Mas quantoalo presente abasta de dezir en <b> tantodel regno e dela çibdat </b> en quanto el conosçimiento dellos	gVfXFxT
2.1.4	spQEaBQ	et ad sciendum qualiter sit regenda . <b> Nam ( ut superius tangebatur ) </b> in hoc secundo libro intenditur principaliter regimen domus ,	Et para saber en qual manera se ha de gouernar la <b> casaca assi commo es dicho de suso </b> en este segundo libro	asFxscX
2.1.7	rahsmrK	Communitas autem in vita humana <b> ( ut supra tangebatur ) </b> ad quadruplex genus reducitur :	Mas la comunidat en la uida humanal <b> assi commo dicho es dessuso </b> aduze se aquetro linages o a quatro maneras ¶	sUff7Hz
2.1.7	nzazzwW	est prior vico , regno , et ciuitate . <b> Hanc autem rationem tangit Philosophus </b> 8 Ethic’ dicens :	nin dela çibdat nin del regno . <b> Et esta razon tanne el philosofo </b> en el octauo libro delas ethas	p3Vgu2V
2.1.7	aW6gMQP	homo naturaliter est animal coniugale . <b> Hanc autem rationem tangit Philosophus 1 Politicorum , et 8 Ethicorum , </b> ubi probat coniugium competere homini secundum naturam ,	aianl conuuigable e ayuntable por casamiento . <b> Et esta razon tanne el philosofo en el primero libro delas politicas | e en el octauo delas ethicas do prueua </b> que el casamiento conuiene alos omes segunt natura	oUdDyzx, e8Xh8Oc
2.1.8	uCitOkx	Ad quod ostendendum adducere possumus duas vias , <b> quas philosophi tetigerunt . </b> Prima via sumitur ex parte fidei ,	Et para esto mostrar podemos dezir dos razones <b> las quales posieron los philosofos </b> ¶ La primera razon se toma de parte dela fe	jJMSV0X
2.1.8	lQzLnEv	Hanc autem rationem videtur <b> tangere Valerius Maximus in libro de factis memorabilibus , </b> capitulo de institutis antiquis ,	Et esta razon tanne vałio el grande <b> en el segundo libro de los fechos rememorables </b> en el capitulo delas constituçiones antiguas	b9QKVW4
2.1.8	oMb68c3	est quod diuidat et distinguat . <b> Hanc autem rationem tangit Philosophus 8 Ethic’ dicens , </b> quod quia commune continet	assi commo dela razon del bien propreo es que ayunte e desayunte el vno del otro . <b> Et esta razon pone el philosofo en el viii̊ libro delas ethicas </b> do dize que por que el bien comunal contiene	hCgaC1w
2.1.21	hcOB9O0	ibi triplicem virtutem concurrere , <b> quam tangit Andromicus Peripateticus in libello </b> quem fecit de virtute .	conuiene de ser tres uirtudes <b> las quales tanne andronico peri patetico </b> en el libro que fizo delas uirtudes .	lpxoKCD
2.1.21	yRSCxIn	Hoc ergo modo regendae sunt coniuges quantum ad ornatum corporis , <b> ut circa illa sex quae tetigimus , </b> diligenter instruantur et moueantur .	quanto al conponimiento del cuerpo <b> assi que en aquellas seys cosas | que dixiemos sean las mugers enssennadas </b> ᷤ	nsBElQZ, rgkTlm4
2.2.3	iSQizDF	quia uxori <b> ( ut in praehabitis tangebatur ) </b> non quis debet	por que ala muger <b> assi conmo dicho es de </b> suso non deue ninguno ensennorear sinplemente	mttqJLR
2.2.8	yirLbn2	addiscere musicam . <b> Sed de his forte infra tangetur . </b> Quinta scientia liberalis	de aprender la musica <b> mas destas razones | por auentura fablaremos adelante ¶ </b> La quinta sçiençia libal es dicha arismetica	iT5eHxd, c3ajSo5
2.2.9	sDT5u3L	licet enumerare possemus omnia illa octo <b> quae in primo libro de prudentia tetigimus , </b> sufficiat tamen ad praesens quatuor de illis enumerare .	entre aquellas ocho cosas <b> que dixiemos enel primero libro dela sabiduria . </b> Enpero cunple nos de contar las quatro cosas de aquellas ocho .	ganpsxB
2.2.9	pum1pTy	ipsum esse cautum , <b> quia ut in primo libro tetigimus , </b> sicut in cognoscendo et speculando	que sea sabio <b> en departir el manl del bien . | Ca assi commo dixiemos en el primer libro </b> assi commo en conosçiendo	uhrQ8QL, gzTH55f
2.2.19	e60jt2r	si assuescant conuersationibus hominum , domesticantur , <b> et permittunt se tangi et palpari : </b> si vero a conuersationibus hominum sint remotae ,	fazen se mansas <b> en tal manera | que se dexan tanner e palpar </b> mas si fueren alongadas de vsar con los omes	dTU0A2R, qAjmxgb
2.3.3	qw1KSsu	sumitur ex parte ipsius populi : <b> et hanc tangit Philosophus 6 Politicorum , </b> ubi ait ,	¶La segunda razon para prouar esto mismo se toma de parte del pueblo <b> e esta razon tanne el philosofo | enł vi̊ libro delas politicas </b> do dize que alos Reyes	gJXYQFE, kzVUegi
2.3.12	ozT98E5	et Principes <b> inter vias tactas solae </b> duae viae videntur esse utiles :	Mas alos Reyes e alos prinçipes <b> entre las otras maneras | dichͣs </b> paresçen dos maneras tan solamente conueinbles para auer dineros .	mImwR2v, tEo9y8p
3.1.5	rMgyoxv	Intentio enim legislatoris <b> ( ut supra tangebatur ) </b> non solum esse debet ,	que faze la ley <b> assi commo dicho es de suso </b> non solamente deue ser por que los çibdadanos ayan aquellas cosas	dZ22eul
3.1.7	i8w7zNH	Determinando autem Socrates et Plato de moralibus , <b> quinque tetigisse videntur </b> circa ciuitatem	Mas determinado socrates e platon delas cosas morales paresçe <b> que pusieron e dixieron cerca çinco cosas ser la çibdat </b> e el gouernamiento çiuil .	iWSEcKU
3.1.8	eglN1id	indiget operibus , <b> ut ambulatione , tactu , visione , </b> et auditus ideo oportet	ca assi commo vn cuerpo ha mester departidas obras <b> assi commo de andar e de tanner e de oyr e deuer . </b> por ende conuiene de dar .	yUV3NrI
3.1.9	ua4VBkr	potius esset causa litigii quam pacis . <b> Nam ( ut supra in secundo libro tetigimus ) </b> haec est uita perfectorum :	que de paz <b> ca assi commo dixiemos de suso </b> en el segundo libro esta es uida de o ensacabados non auer prỏo	tZ2GfFt
3.1.10	sc2T6Iu	enumerare possumus quinque mala , <b> quae Philosophus tangit ibidem sequentia ex tali communitate . </b> Primum est , iniuria consanguineorum .	e quanto parte nesçe a lo presente podemos contar c̃co males <b> que se sigune de tal comuidat | los quales el pho pone en esse mismo logar . </b> El primero esiuria	axyJH1K, zvr38nO
3.1.11	elUB6X0	Volebat enim <b> ut superius tangebatur , </b> quod si nihil esset proprium in ciuitate nec possessiones nec fructus ne filii nec uxores ,	assi commo ordenos ocͣtesca quarie socrates <b> assi commo diches de suso </b> que ninguna cosa non fuesse prop̃a en la çibdat	mBaaQgL
3.1.13	egPIg43	Hanc autem tertiam rationem improbantem ordinationem Socraticam <b> tangit Philosophus 2 Poli’ </b> cum ait .	Et esta razon que repraeua e denuesta el ordenamiento de socrates <b> pone el pho | en el segundo libro delas politicas </b> quando	fLQpbCA, ztYvYzy
3.1.14	a7gmXhm	Dicebat enim Socrates , <b> ut supra tangebam , </b> ciuitatem quinque in se debere habere ,	Ca dizia socrates <b> assi commo es dicho desuso </b> que toda çibdat deue auer	b0mX6rF
3.1.19	jeLAKfs	Sexto et ultimo statuit <b> quasdam leges tangentes </b> diuersa genera personarum .	Lo sesto <b> e lo postrimo establesçio algunas leyes </b> que tannian alguons linages de personas dezimos	ucyvlAH
3.1.19	cT3E7XR	Sexto statuit quasdam leges , <b> tangentes diuersa personarum genera . </b> Statuit autem quatuor ,	Lo sesto establesçio el dicho philosofo algunas leyes <b> que tannian a algunos linages de personas </b> e destas tales leyes establesçio quatro .	dQqphnV
3.1.19	unbKvWZ	Statuit autem quatuor , <b> quarum prima tangebat sapientes , </b> secunda bellatores ,	e destas tales leyes establesçio quatro . <b> Lapmera tannia alos sabios¶ </b> La segunda alos lidiaderes .	zlDy1Cd
3.1.20	cdBI0WH	quem statuit , <b> tangentes diuersa genera personatum . </b> Primo enim dictus Phil’ deferre fecit statuendo impossibilia .	que el establesçio <b> tanniendo departidos linages de perssonas . </b> Ca lo primero el dicho philosofo fallesçio	dwsLCrG
3.1.20	xh9UmkC	quantum ad leges quas statuit , <b> tangentes diuersa personarum genera , </b> et specialiter quantum ad legem quam statuit erga sapientes .	que establesçio <b> que tannian departidos estados de omes | espeçialmente fallesçio </b> quanto ala ley	eSnwNhu, jh4cc2H
3.1.20	f49sVI4	infra diffusius tractabuntur : <b> ad praesens tamen sufficiat hoc tetigisse de opinionibus Philosophorum . </b> Et in hoc terminetur prima pars huius tertii libri ,	e las otras cosas <b> que en esta materia son de dezer adelante lo tractaremos mas conplidamente . </b> Enpero quanto alo presente c̃ple de auer tranniendo esto	kju0jhH
3.2.1	c9fmerg	in tali regimine . <b> Videtur autem Philos’ 3 Polit’ tangere , </b> quatuor quae consideranda sunt	en el gouernamiento del regno e dela çibdat <b> Mas el philosofo en el terçero libro delas politicas </b> tanne quatro cosas	vT5eMb7
3.2.4	iw8zVxD	Philosophus 3 Politicorum videtur <b> tangere tres rationes , </b> per quas probari videtur ,	e han cunplimiento delas cosas <b> lpho en el terçero libro delas politicas tanne tres razons </b> por las quales paresçe que se puede prouar	pFEDzcP
3.2.4	ppPI8KB	quod melius sit dominari multitudinem : <b> postea in eodem 3 tangit quaedam , </b> per quae obiectiones huiusmodi solui possunt .	senssennore en que vno . <b> Despues en esse mismo terçero tanne algunas cosas </b> por las quales se pueden solcar aquellas razones	lTQBwO3
3.2.5	gypqKtH	ut in pluribus continent veritatem . <b> Quod vero superius tangebatur , </b> videlicet quod ire per haereditatem , dignitatem regiam ,	e sean uerdaderas . <b> Mas aqual lo que dessuso fue dich </b> conuiene saber	sHeqnwW
3.2.7	tR4ZYu8	ab intentione communis boni . <b> Hanc autem rationem tangit Philosophus </b> circa principium 4 Politicorum ubi ait ,	quanto por ella mas se arriedra el tirano dela entençion del bien comun . <b> Et esta razon tanne el philosofo çerca el comienço del quarto libro delas politicas . </b> do dize que assi conmo el regno es muy buena et muy digna poliçia .	hhtTykT
3.2.7	ml8GOr3	et maxime contra naturam , eo quod sit maxime subditorum afflictiua . <b> Hanc autem rationem tangit Philosophus </b> in eodem 4 Politicorum ubi ait ,	por que es mucho atormentadora de los subdictos . <b> Et esta razon tanne avn el philosofo </b> en el quarto libro delas politicas	mnzlqqa
3.2.7	qtsvEwm	multa mala efficere . <b> Hanc autem rationem tangit Philosophus quinto Politicorum ubi ait , </b> tyrannidem esse oligarchiam	que es ayuntado en vno puede fazer muchs males <b> e esta razon tanne el philosofo | en el quinto libro delas politicas </b> do dize que la tirnia es la postrimera obligarçia	juhYVk8, degBWmm
3.2.7	emY3jiz	tyrannidem esse pessimum principatum <b> propter rationes tactas . </b> Quod autem reges summo opere cauere debeant ,	que la tirania es muy mal prinçipado <b> por las razones sobredichͣs . </b> Mas en commo los Reyes en toda manera de una esquiuar de non enssennorear con sennorio de tirania	nGO5nuX
