Localisation	Id. source	Segment source	Segment cible	Id. cible
3.1.8	tUSO1YD	a algun prinçipe o algun sennor e commo en la çibdat conuenga de dar alguons ofiçioso alguons maestradgos o algunas alcaldias la qual cosa non seria	ut cum in ciuitate oporteat dare aliquos magistratus , et aliquas praeposituras , | dare aliquos magistratus , et aliquas praeposituras , quod non esset ,	fYfdX32, j1rqOEX
3.1.19	wbRrwmp	Lo quarto se entremetio el dicho philosofo del departimiento de aquellos que iudgan ca dize que dos deuian ser los linages de los iudgadores e delos alcalłs e dias audiençias . La vna ordinaria	Dicebat enim debere esse duo genera iudicantium , et duplex praetorium : unum ordinarium ,	emNgKm0
3.2.1	glEbIAX	e estas son ¶ El prinçipe Et el conseio . Et el alcalłia ¶ Et el pueblo . Enpero podemos de aquellas cosas	quatuor quae consideranda sunt in regimine ciuitatis . Haec autem sunt princeps , consilium , praetorium ,	hNBvC50
3.2.1	akJsXu7	e guardadas por el prinçipe esto parte nesçe al alcaldia o alos uezes por que ellos son aqual los que segunt tales leyes deuen iudgar los fechs de los çibdadanos . Mas bien guardar las leyes puestas	et custoditas per principem , spectat ad praetorium siue ad iudices : ipsi enim sunt	uVfYumh
3.2.1	jCenpKi	Pues que assi es de todas estas quatro cosas que dichas son conuiene desaƀ del prinçipado del conseio del alcalłia del pueble . diremos breuemente	et laudabile et fugiat vituperabile et turpe . De omnibus ergo his quatuor , videlicet de principatu , consilio , praetorio , et populo ,	yXKJe91
3.2.16	ttd9NjX	Et el conseio . Et el alcalłia Et el pueblo . Et pues que assi es despues	videlicet Principem , consilium , praetorium , et populum . Postquam ergo auxiliante deo determinauimus de Principe ,	g5iaK1O
3.2.20	kVubO3t	segunt la orden sobredichͣ que digamos del alcalłia o del iuyzio mostrando	secundum ordinem praetaxatum ut exequamur de praetorio , siue de iudicio , | ut exequamur de praetorio , siue de iudicio , inuestigando qualiter iudicandum sit ,	pqeKj6J, wXytret
3.2.20	l6Bn1h8	ca en cada vna çibdat conuiene que aya vna alcalłia otdinaria ala qual deuen venir todos los pleitos	secundum leges iam conditas . Nam in qualibet ciuitate oporteret esse aliquod praetorium ordinarium ad quod causae reducantur et litigia exorta in ciuitate illa :	h6r3B0u
3.2.20	dqmmZXi	et de las cosas generales Mas el alcalłe o el iues iudga delas cosas presentes e delas perssonas señaladas .	et in uniuersali : sed praefectus aut iudex iudicat de praesentibus et determinatis , ad quos est amare ,	z1VyqgX
3.2.20	ovoFIfW	alas quales puede auer amor o abortençia . Alos quales alcalłs muchos vezes se ayunta algun pro para si mesmos	ad quos est amare , et odire , et quibus proprium commodum annexum est saepe . Quarta via ad ostendendum hoc idem ,	dv7tre6
3.2.21	nnb9xjh	e de deue dar ante los alcalłs rodemos lo prouar por tres razones ¶ La primera seqma		
