Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.2	ld2MzNY	et fugiunt de bello : sperantes autem se vincere , inuadunt bellantes ,	e fuyen dela batalla | mas los que han esperanço de vençer acometen los enemjgos	hLHGtyl, bsBic9a
1.1.5	n20nWNF	idest in illis bellis et agonibus non coronantur fortissimi ,	que quiere dezer en aquellas faziendas | o es aquellas batallas non son coronados los muy fuertes	kOLshyx, ug4if8D
1.1.10	zYS0pZk	super omnia commendare videtur bellorum industriam .	que sobre todas las cosas es de alabar la maestria e la sabiduria delas batallas .	iGHCi5O
1.1.10	tDmq16w	forte bene se habebit tempore belli :	Por auentra a auer se ha muy bien | e fara sus cosas bien en tienpo delas batallas .	nBzeBbr, vy5Dhah
1.2.13	zZVnwP8	quaedam autem ex aliis causis . Exponimur autem periculis non solum in bellis ,	e de otros negoçios . | Ca nos ponemosnos aperiglos non solamente en las batallas e en las faziendas	ohNd5tI, mw4yXnD
1.2.13	gVL6Mwo	Rursus in periculis bellorum homines diuersimode se habent .	Otrosi en los periglos delas faziendas los omes sean en departidas maneras . | Ca al guas temen	mnTHvsU, h65rnlN
1.2.13	gsnRezN	Nam quidam de leui aggrediuntur bellorum pericula : sed ,	Ca alguonsligeramente acomneten los periglos delas faziendas | e delas batallas .	bIL5WPa, nH5Rjxh
1.2.13	mpRP32L	sed fugam arripiunt . Quidam autem non de leui aggrediuntur bellum ,	mas fuyen mucho ayna . | Et otrosi hay otros que non deligero acometen la fazienda e la batalla .	aovoJwh, hpzDZH9
1.2.13	uDKYQu8	sustinent , et tolerant pericula bellorum .	e susten los periglos dela batalla e dela fazienda .	i1f6ovR
1.2.13	kpLG7dw	sicut pericula belli .	assi escusar | commo los periglos delas batallas .	mvvpyjJ, fdt4ENv
1.2.13	iZ8jsCp	secundum bellum .	que es enlas batallas .	fOGsBaV
1.2.13	q0viEzp	sed sustinere requirit diuturnitatem , et tempus . Difficilius est autem habere se fortiter , et constanter in sustinendo bella ,	mas sofrir requiere mas luengotron . | Et por ende mas guaue cosa es auerse ome fuertemente	jREVOvA, iavIGvG
1.2.14	nu167W1	quod si quis Troianorum sine bello fugeret ,	que si algunos de los troyanos fuesen delaaz o delan batalla	l4AKN7m
1.2.14	jTBEW26	quam habent de bellis ,	por la praeua | que han dellas batallas	v1oxDrC, cUTvbqQ
1.2.14	o8h9Quw	quae sunt periculosa in bellis ,	nin conosçer quales son los periglos delas batallas	kCHWI9I
1.2.14	mVkNztX	Milites vero bellorum experti , confidentes de sua experientia ,	que son vsados delas batallas | fiando de su praeua	wVqY84z, ptoJrF7
1.2.14	hSiPp5N	et cognoscentes bellorum pericula ,	e delo que han prouado | e conosçiendo los periglos delas batallas acometen	uzgw2pV, uR74Sqp
