Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.10	jfS9h7l	que fizo dela caualleria	Vegetius in libro De re militari ,	jEN4UqH
1.2.14	b7aAaXS	en el libro del fecho dela caualleria	Nam ( ut dicit Vegetius in libro De re militari ) ,	hzlwN0w
1.2.19	zE8Jshl	las sus bodas e las sus cauallerias	et militias ,	wFQCBaI
2.1.14	a4PM9xs	Ca los fijos son de enssennar alas obras de caualleria	ad alia opera , quam uxorem . Nam filii instruendi sunt ad opera militaria ,	nV9kgua
3.1.12	oPfLiZr	segunt dizeuegeçio en el libro del negoçio dela caualleria	quia secundum Vegetium in De re militari ,	d4d78t7
3.3.1	uklfwAf	en lo que se sigue es contienda so la caualleria .	( ut patebit in sequendo ) continetur sub militari :	chfzM4M
3.3.1	uK2SBMS	que cosa es la caualleria	quid sit militia , et ad quid sit instituta .	bdCzJpi
3.3.1	lawdgST	que la caualleria es vna prudençia o vna manera de sabiduria . .	Sciendum igitur militiam esse quandam prudentiam ,	dZPGnZs
3.3.1	fU6Vi03	para gouernar la caualleria .	quando seipsum	n2oAls6
3.3.1	fvRxLsG	lo que dize Uegeçio en el primer libro del Fecho de la caualleria	quod ait Vegetius | in primo libro de re militari ,	prnXzGF, v2LjFg6
3.3.1	uCmxKlS	Et la otra sabiduria de caualleria	et militari :	nSAWmAt
3.3.1	zXPMjpU	Et por la sabiduria de caualleria	et fugiat nociua : per militarem vero	wI5FCRf
3.3.1	hBcSDDM	Et pues que assi es la sabiduria de la caualleria	Militaris ergo est quaedam species prudentiae ,	lyragEE
3.3.1	fEMp2Gy	para que fue establesçida e ordenada la caualleria .	ad quid sit militia instituta .	jwTQT3V
3.3.1	si209Fm	assy la caualleria prinçipalmente es establesçida	sic et militia principaliter instituta est ad defensionem communis boni ,	fGfS2jE
3.3.1	j6qt6nk	Et esta sabiduria de caualleria		
3.3.1	pYcPjom	que son de tomar para caualleria .	quales sint ad militiam admittendi .	lu19p5q
3.3.1	qAqbRDk	Ca la caualleria paresçe ser alguna sabiduria de la obra de la batalla ordenada a bien comun	Nam militia videtur esse quaedam prudentia operis bellici ,	cUSyj3S
3.3.1	bgIq6Uw	para dignidat de caualleria	sic nullus assumendus est ad dignitatem militarem ,	tTu2O2G
3.3.1	tZJzr6s	so la arte de la caualleria	Ex hoc etiam patere potest omnem bellicam operationem contineri sub militari .	pQFBn2a
3.3.1	wEiV3Tm	so el arte de la caualleria .	debent tamen milites esse magistri bellorum ,	oPZlstz
3.3.1	bvLGNRo	Enpero la caualleria es contenida so la sabiduria .		
3.3.2	t8KS4uo	la razon desto muestra vegeçio en el primer libro del Fecho de la caualleria	ut ait Philosophus 7 Polit’ . Ratio autem huius assignatur a Vegetio primo libro De re militari capitulo secundo ,	xJs9T3B
3.3.3	zW4yUBQ	assi conmo a los trabaios de la caualleria	ut ad labores militares et bellicosos .	yj3UV94
3.3.3	a3EzKlD	el qual dicho concuerda con vegeçio del Fecho de la caualleria	Quod concordat cum Vegetio de re militari dicente ,	n1TmJpW
3.3.3	yT4eiib	a los trabaios de la caualleria	quod a tempore pubertatis assuescendi sunt iuuenes ad militares labores .	apni0hk
3.3.3	kkoBh3w	por que tan bien en la batalla de la caualleria	Tam enim in pedestri quam etiam in equestri pugna ,	oWrvHtl
3.3.4	gX4Y7dr	la fin de la caualleria es victoria e vençer .	est victoria .	iAmH5C4
3.3.4	dhl73bE	so la caualleria	Sed cum omnis bellica operatio contineatur sub militari ,	yf0J1lf
3.3.6	mN5lCub	c Uegecio en el libro del Fecho de la caualleria	Recitat Vegetius in libro De re militari ,	jx1XmjV
3.3.10	y3nsU6T	que el que es antepuesto es cabdiello de la caualleria en la batalla	Oportet igitur praepositum et ducem militaris belli esse habilem corpore ,	wbkZPFm
