Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.3	lDpRa7l	muchos son ordenados a vn caudiello	et in regno plures ordinantur ad unum ducem ,	cWz4bt7
1.1.3	ar48WJY	njn el caudiello non puede auer la çibdat	nec dux dicitur habere ciuitatem ,	pjYjqSJ
1.1.3	vaV3JQX	o sy los moradores dela çibdat o del rregno non obedesçieren al rrey o al cabdiello	qui non obediant regi , vel duci :	jgfGkdt
1.1.6	d1dsnW0	que niguno non escoge alos mancebos por caudiellos	quod nemo eligat Iuuenes in Duces ,	dt3aHQr
1.2.11	fv3nQ9R	assi commo asu Rey o a su cabdiello	ut ad Regem , | vel ad ducem ,	hIP0Z1E, q2VJlLF
1.2.14	aXfWTkW	que era cabdiello dela caualłia eran fuertes .	vel aliqua necessitate ductus aggreditur pugnam . Hoc modo multi Troianorum timentes Hectorem fortes erant .	fEC77Yz
1.2.14	s1jOkvf	Et a esta manera de fortaleza enduzen los pueblos los caudiellos dela hueste	Ad hanc Fortitudinem inducunt populum Duces exercitus , statuentes poenam fugientibus ,	rtalKTo
1.2.14	lQT1skg	Et en esta manera vn caudiello dizen	Hoc autem modo quidam Dux dicitur exercitum suum coegisse ad Fortitudinem . Nam ,	doqWJWx
3.2.15	loBBTjR	que en el caudiello dela fazienda	quam in duce exercitus .	mcIYqzY
3.2.15	hBhjlW7	Ca en el caudiello dela fazienda es mucho menester espiençia e prueua .	Nam in duce exercitus requiritur potissime experientia ,	lm05Df3
3.3.6	x5DqROt	Et quando vieren los caudiellos maestros de las batallas	Et cum viderit magister bellorum	lhp1y07
3.3.9	hBvy7G4	Et pues que assi es en general el rey o el prinçipe o el cabdiello de la hueste	aut Princeps , | aut Dux exercitus	hNonS93, nB7tKxO
3.3.9	amazZ4t	Lo sexto quales son mas osados e mas fuertes de coracon . Estonçe el cabdiello de la hueste mesurado	et sagaciores mente . Sexto , | qui sunt audaciores , et viriliores corde .	nctoBY9, adG52R2
3.3.9	e7soMsT	Et por ende el cabdiello deue penssar todas estas cosasLo .	Debet igitur dux exercitus considerare primo ex qua parte sunt plures equi	t8kYhFq
3.3.9	yirJkLd	primero deue penssar el cabdiello de la hueste	Debet igitur dux exercitus considerare primo ex qua parte sunt plures equi	t8kYhFq
3.3.10	sDdWqlc	que en la hueste establesçiessen cabdiellos e çenturiones	Rursus constituere expediebat duces ,	gH6nl3D
3.3.10	kSDtl8r	sinon ouieren cabdiellos e mayorales	et duce ,	hryd4MZ
3.3.10	zwZ0vlf	establesçian algun cabdiello	ne accideret confusio in bello , constituebatur , dux aliquis	iw7PQ0O
