Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.2	c5sxFhY	quomodo praeesse debeat ciuitati ,	Commo deue el rrey enseñorear gouernar la çibdad	vGzKfNg
1.1.2	oigRyxZ	quanta in gubernatione ciuitatis et regni : ordine naturali decet regiam maiestatem	qunata para gouerna mj̊ de çibdado den rregno Conuiene | Segund orden natural ala rreal magestad primeramente	d7lQ9H3, rOInL6N
1.1.2	mhLPttY	et ciuitatem . In primo autem libro in quo agetur de regimine sui ,	que sepa gouernả su rregno e sus çibdades ¶ pues que asy es en el primo libro | en el qual tractaremos del gouerna mjeto del omne .	r2jq9xN, cqukRgA
1.1.3	ty80QRd	quia sicut in ciuitate ,	que asy conmo es la çibdat	cZhyowB
1.1.3	pjYjqSJ	nec dux dicitur habere ciuitatem ,	njn el caudiello non puede auer la çibdat	ar48WJY
1.1.3	mzQF3R4	si in regno vel ciuitate sunt aliqui ,	sy en el rregno o en la çibdat ouiere discordia	pp5rGLB
1.1.13	z2gTc6b	et quam ad regendum ciuitatem :	Et menorꝑan gouernar a su conpanna | que para gouernar vna çibdat o vn regno ¶	oHDgTXL, aICqsIS
1.2.10	lM0IDQq	res enim publica , et tota ciuitas melior est ,	Ca el bien comun | e toda la çibdat es meior	lOY5S78, nkhLTp9
1.2.10	zb9boS3	semper ciuitas melior est quae ex melioribus ciuibus constat :	sienpre la çibdat es meior | que es de meiores conpannas .	isgIYTB, e0plljE
1.2.10	frRBs51	tanto magis est bona Ciuitas .	en tanto es meior la çibdat	tp5v1lp
1.2.10	hT52T31	et sunt traditae ipsis ciuitatibus	e son dadas alas çibdades subiec tasal mandamiento del prinçipe	lx3R1UZ
1.2.10	rqS3eRZ	vel in ordine ad totam Ciuitatem ,	o en orden atonda la çibdat	vcohFBl
1.2.10	f6JMljY	vel ordine ad Ciuitatem :	assi commo en orden al prinçipe o en orden ala çibdat .	apmSfql
1.2.10	qDecdSt	et sit inde melior ciuitas ,	e por ende sea la çibdat meior	ctW2RWD
1.2.10	sgpVxED	inde peior ciuitas :	et en qual quier manera que el çibdadano sea malo	lVEQcnF
1.2.11	wgOiFPx	importabile fit . Importabilia igitur esset illud regnum , et durare non posset illa ciuitas ,	non se puede sos rir ¶ | pues que assi es .	peSGBvM, rvCI03P
1.2.11	im3vov6	ciuitas durare non posset .	de que ha mengua la çibdat non podria estar ni dirrar ¶ | Pues que assi es	mQ6iVDB, hmJcZaM
1.2.11	v7PEZK9	sic prout ciues eiusdem ciuitatis ,	Dien assi en quanto los çibdadanos de vna çibdat o de vn regno han ordenamiento entre si mismos	rENk2m6
1.2.11	q2ljhxr	sine qua ciuitas ,	sin la qual la çibdat o el regno non podria estar ¶	tN7TmUA
1.2.11	c0acYiJ	sic regnum vel ciuitas non potest subsistere ,	vien assi el regno o la çibdat ne puede estar	pcr0YG9
1.2.11	olHV3lR	sine ea ciuitas vel regnum durare non potest .	si ella non puede durar el regno | nin la çibdat ¶	gmE5sxD, k52Ut9G
