Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.7	ov3nFkx	e desfiziere la comunidat	si depraedetur populum et Rem publicam ,	w6hVJx8
1.2.10	zVz8Y0t	mas por la comunidat	quia aliquando aliqui plus laborantes pro Republica ,	fV8CUWh
1.2.11	oiuSfRo	e toda comunidat es vna orden	et omnis politia est quidam ordo ,	dNtwGOn
1.2.11	pwicIeL	Et pues que assi es non se guardaria dende adelante en ellos comunidat	Non ergo ulterius reseruaretur | in eis politia ,	ykhJ3Xa, m7Rdbvm
1.2.11	mOXyBH0	e canda vna comunidat semeia avn cuerpo natural .	et quaelibet congregatio assimilatur cuidam corpori naturali . Sicut enim videmus corpus animalis constare ex diuersis membris connexis ,	n43AKDN
1.2.11	vJVxPKq	e cada vna delas comunidades es conpuesta de de pattidas personas ayuntadas e ordenadas a vna cosa .	et quaelibet congregatio constat ex diuersis personis connexis , | et ordinatis ad unum aliquid .	kcGYhGj, vppwMB8
1.2.11	v7NJE9A	Bien assi cada vna mengua de iustiçia non corronpe del todo el regno e la comunidat .	et infirmat ipsum : sic non quaelibet Iniustitia corrumpit totaliter regnum ,	yMaC4is
1.2.11	uz6UvK3	e la comunidat apareiada acorruy conn¶	et politia infirmatur ,	crqFXgO
1.2.19	gOwnkYL	si ouiereconplidamente las riquezas fazer espenssas conuenibles en toda la comunidat	( si adsit facultas ) | facere decentes sumptus circa totam communitatem .	srGEbyE, bw7eJO9
1.2.19	nGeYVd1	mente en toda la comunidat ¶		
1.2.20	x45dG0W	la qual toda la comunidat dela gente	ad quam ordinatur tota communitas ,	m0fR7LX
1.2.27	fdjU67K	o por amor de la comunidat	vel propter amorem Reipublicae	rYc93ae
1.2.27	fMou73g	por que sin ella la comunidat non podrie durar .	quia sine ea Respublica durare non posset .	v6EEJ1A
1.2.27	tPZ7Z0v	et mantenedores dela comunidat .	et conseruatores Reipublicae .	xOsyLlK
1.3.3	cTzARFo	e dela comunidat al bien propio e personal de cada vno .	et quia in communi bono includitur	p8Ct6VZ
