Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.5	byniLZs	¶Lo segundo que faga bien por eleçion e por uoluntad ¶	quod agat bene . Secundo ,	nGOlV1c
1.1.5	hlGTHt4	bien por eleçion e por uoluntad	quod ex electione agamus .	vT7KUVa
2.1.14	dBGdbZU	e por election .	Nam praeesse regaliter est praeesse totaliter et secundum arbitrium :	fBJV8uE
2.1.14	fiprtx0	assin atraal commo el realante aquel gouernamiento es en alguna manera por election .	Immo illud regimen est quodammodo ex electione ,	fuWGQE4
2.1.14	pjev1ju	e por elecçion	hoc est secundum placitum et ex electione .	xgZV9cQ
2.1.15	j5aZq3F	Mas el otro es en alguna manera por election .	secundum naturam , illud vero est quodammodo ex electione :	eVuj87B
3.1.19	mBUbmAN	todos se ayuntassen ala elecçion del prinçipe caquarie	ad electionem principis : | nolebant enim	rzRlIa2, dUKm1Bk
3.1.19	gATd9KG	mas por el ectiuo la qual elecçion daua a todo el pueblo ¶	sed per electionem , | quam electionem toti populo attribuebat .	uxIWNJh, fCbChN1
3.1.20	cw5eUX4	con el establesçimiento dela elecçion oł prinçipe	cum statuto de electione principis .	pRrcD1h
3.1.20	gUKYNQp	que los menestrales e los labradores non los dexanien auer parte en la elecçion del prinçipe .	et agricolae non haberent partem in politia ; et bellatores | non permitterent eos participare in electione principis .	sRX0o07, tgvleRU
3.1.20	qpcWgMG	e si los prinçipes deuen yr por elecçion o por suçession de heredamiento .	et utrum principatus debeat ire per electionem | vel per haereditatem ,	ahDPQwa, cfusvrQ
3.2.5	hXHbTSb	por elecçion	An melius sit regiam dignitatem ire per electionem ,	aT61mwU
3.2.5	zxLgHwf	ca si por elecçion alguno fuere puesto por Reyraresçe	Nam si per electionem praeficiatur aliquis in Regem ,	nj4c5MZ
3.2.5	qMt554T	que el prinçipe sea establesçido por elecçion	melius est Principem praestituendum esse per electionem ,	vh5XmK0
3.2.5	hqLtwrE	por que en la mayor parte los omes en la elecçion han corrupta la uoluntad Et lo al	Tamen quia ut plurimum homines habent corruptum appetitum ,	bw4e0yI
3.2.5	oEsDAtC	que por eleccion	quam per electionem . Possumus autem triplici via ostendere ,	oPE56aa
3.2.5	zVcP7Ez	e non por eleccion .	quod expediat regale regimen in filios per haereditatem succedere . Secunda via ad inuestigandum hoc idem , sumitur ex parte filii ,	bDeBgdU
