Localisation	Id. source	Segment source	Segment cible	Id. cible
3.3.1	bN6Oxua	vel etiam equestres non existentes milites :	que non son . | Enpero los caualleros deuen ser maestros de las batallas	p2xnBX0, i3hSH13
3.3.3	hKu5YLa	Nam siue equitem siue peditem oportet esse bellantem ,	Ca si quier sea cauallero si quier peon el que ha de lidiar paresçe	y2loclA
3.3.3	oWrvHtl	Tam enim in pedestri quam etiam in equestri pugna ,	por que tan bien en la batalla de la caualleria	kkoBh3w
3.3.5	j6hR43z	et equestris .	o de omnes de cauallo .	a8PMHCV
3.3.5	nem8Yq2	et tolerantiam laborum . In equestri vero magis eligendi sunt ipsi nobiles :	Mas en la batalla de los de cauallo | mas son de escoger los nobles .	sbh3hgO, pvBhn29
3.3.6	qGJS9lH	Tam ergo pedites quam equites bellatores	assi es los lidiadores tan bien peones	jQe2GcT
3.3.6	sEcqGiX	tam pedites quam equites ad cursum ,	tan bien los peones | commo los caualleros a correr	wowDdNv, lJpNFwR
3.3.6	xW7pU0N	ut equites sic sint docti ,	Por que los caualleros | si fueren assi ensseñados	wO1DE99, kRi9UOk
3.3.7	pKw26Qs	sed equites ,	e avn los caualleros usauan a nadar | Enpero conuiene de tener mientes	r249idN, oGn4Koj
3.3.7	y96UrF9	et etiam ipsos equos ad natandum exercebant . Aduertendum autem quod praedictorum exercitiorum quaedam sunt magis propria equitibus , quaedam peditibus , quaedam utrisque .	que algunos destos usos sobredichos pertenesçen | mas propriamente a los caualleros	tdRZi19, d3PkVui
3.3.7	sTZnWTn	est proprium equitibus :	Ca sobir en los cauallos pertenesçe a los caualleros .	zbEYtNZ
3.3.8	xzreeWl	ita quod omnes equites ,	assi que todos los caualleros	u4ZPK5p
3.3.10	lB8sa4R	vel alio tam in aciebus equitum ,	o avn en otra | tan bien en la az de los caualleros	pHV7xPu, fAVxESs
3.3.10	m9MHwRV	et equitibus praeponendus .	tan bien a los peones commo a los caualleros . | ca assi conmo la cabeça es meior	ai0aN8y, w1pqy57
3.3.10	p9aY54v	qui est equitibus praeponendus :	aquel que deue ser ante puesto a los caualleros .	ckhYIy7
3.3.10	as3AcqB	quia in bello equestri maior conflictus efficitur ,	Por que en la batalla de los caualleros se faze mayor pelea que en la batalla de los peones .	aOlTeid
3.3.11	qm2AKCI	et in qualibet acie habere aliquos equites fidelissimos	e en cada vna az auer vnos caualleros muy fieles e muy estremados	jJ96lER
3.3.11	p6XNQd7	per velocissimos equites sunt detegendae insidiae ,	por caualleros muy ligeros son de descobrir las çeladas	aVs6zE4
3.3.11	xjWUryt	utrum magis abundet peditibus , vel equitibus .	de quales ha mayor conplimiento la hueste de peones o de caualleros .	cI8KVdO
3.3.11	cuZqr1b	Nam equites melius se defendunt in campis .	ca los caualleros meior se defienden en los canpos .	y1bTXSP
3.3.11	gkZ3gts	Itaque prout viderit dux belli se abundare in equitibus ,	Et por ende | assi commo viere el senor de la hueste	ugnvEnO, yInD7QL
3.3.12	rEPve2Y	ut equites	e que los caualleros e los peones guarden su az	cx526RR
3.3.12	pL4Y9SU	ut frequenter tam equites quam pedites ducantur ad campos .	es que muchas vezes tan bien los caualleros | commo los peones sean aduchos a los canpos	d46KrDu, ovxI0ZB
3.3.12	skhiCPX	et qui debet equitibus	Et aquel que deue ser ante puesto a los caualleros .	dOhOBlM
3.3.12	yxPqMXk	primo debet equites	va a los peones primeramente deuen los caualleros	t9Cf1RQ
3.3.12	fADdHSI	secundum distantiam quam requirit acies equestris vel pedestris . Postea praecipere debet	que demanda el az de los caualleros o de los peones . | Et despues desto deue mandar	p85gWnq, cKdXeLg
3.3.12	lgxPeuH	ductis pugnatoribus ad campos siue equitibus siue peditibus imperare debet dux belli ,	que despues que los lidiadores fueren traydos al canpo | si quier sean caualleros	aBWsWlR, bwlfMST
3.3.15	mzD0QGb	qua recedente , equites postea melius possunt vitare hostium percussiones .	Et ellos ydos los caualleros pueden meior despues escusar los colpes de los enemigos .	uzpHw33
