Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.2	h0jcv04	en que deue la Real magestado el rrey	Nam Primo ostendetur in quo regia maiestas debeat suum finem ,	nERtARl
1.1.9	k8XphEm	assi commo demanda el su estado ¶	ut exigit status suus .	svV1mqR
1.1.11	daPzj3F	segunt su estado	tunc ( ut exigit suus status )	xYLjeFF
1.1.11	dBJPH9g	Et dezimos segunt que requiere su estado	tunc ( ut exigit suus status )	xYLjeFF
1.1.13	rtJiniX	Mas el estado del Rey demanda que sea mas acordable et mas acordable	Principis autem status requirit ,	kWx2njH
1.1.13	c3Ink9Z	Ca muchos esta non tal estado	multi enim non existentes in statu quo possint mala facere ,	eP8iu9Y
1.1.13	ko9JHV2	Enpero si a mayor estado fuese leunata dos aurian razon	quod si tamen ad statum dignitatis assumerentur ,	igeo4we
1.1.13	oSnTV9V	que el prinçipado e el estado muestraqles el omne	quod principatus virum ostendit . Tunc enim apparet qualis homo sit , cum in principatu existens , in quo potest bene et male facere ,	fgs4ZCd
1.2.1	gh40GDW	e qual parte nesçe a su estado	nam tunc Reges habent felicitatem suo statui debitam ,	ggjQ3w0
1.2.1	qnJLXCt	e el su estado	et ex cognitione et dilectione eius studium suum ,	gz1oer9
1.2.3	x0Fti8N	assi commo estado de honrra¶	est enim honestum quasi honoris status .	iRpE5Kg
1.2.11	qhbP9RD	Mas para que los regnos esten en su estado	Ad hoc autem ut regna subsistant	guR3ZPM
1.2.14	rULWSrL	e guardase de ser deno stado	et notos quis maxime fugit	nAToYng
1.2.19	jd8RwFr	por que en qual quier estado	quod quia in quocunque statu homo sit ,	wdjSJPq
1.2.22	sylnmkx	que conueniblemente se deue auer en qual si quier estado .	In quolibet enim statu nouit magnanimus se decenter habere .	apj18G9
1.2.22	sUl3Jfr	Ca assi commo dicho es de suso el magnanimo sabe sosrir buenas venturas e sabe conueniblemente se auer en todo estado	et in quolibet statu scit se decenter habere . Causa autem ,	yQhxaQA
1.2.26	n6d30j2	mas que su estado demanda sin razon	si quis ultra quam suus status requirat ,	m4OWhvN
1.2.26	ajrlaQf	e que non conosçiesse si estado	et notabiliter se deiiceret :	zZvn98v
1.2.26	dbqkRnr	mas que el su estado demandaua creyendo	vilius induebantur :	rTiKCcv
1.2.26	q7icCBn	mas assi comma conuiene al su estado dellos .	sed ut decet eorum statum ,	atlN8UK
1.3.3	qzNeC6N	por que el ma estro es en estado	quia magister est in statu in quo ipso debet scientiam aliis tradere :	mcHCYuc
1.3.3	jsn7cZg	por que el estado del Rey demanda	quia status regius requirit	xECI0DQ
1.3.4	dMoK9tP	Conuiene que los Reyes e los prinçipes desse en prinçipalmente el buen estado del regno	principaliter Reges et Principes debent desiderare bonum statum regni :	mhBHDip
1.3.4	icU9LRN	e por si et essençialmente nasçe el buen estado del regno .	a quibus per se et essentialiter dependet bonus status regni .	m8DO0Ip
1.3.4	fR0Wcim	Mas quales cosas son aquellas que guardan el regno en buen estado	Quae sunt autem illa quae regnum conseruant in bono statu ,	sEmiOwb
1.3.6	iRgCnCu	que pueda dannar e menguar el estado del regno .	quod eius bonum statum deprauare possit . | Possumus autem	wNvlG0L, dErtbAL
1.4.1	hUOJuyO	Ca o tris costunbres han aquellos que estan en estado de buena uentura .	alios senes ,	ecJrA2U
1.4.1	q9NMAxs	al si non estado de honira .	iuuenes multum affectant ea quae importare uidentur honoris statum ,	ywHgFSu
1.4.1	onhbef7	que traen a estado de honrra . Et por el contrario muchon temen aquellas cosas	et per locum ab oppositis , | multum timent quae important ignominiam et inhonorationem :	wfbBKUb, fHU49ug
1.4.1	lYVDmaG	Et pues que assi es non son ellos en estado	Non ergo sunt in statu quod debeant uerecundari .	kcsLJBL
1.4.3	r8j8C8P	que a auer honrra o estado honrado .	quam ad ea quae requirit honoris status ,	u6HaGGd
1.4.3	m02fMyT	assi que non ayan cuydado de estado de honrra	ut quod non curent de honoris statu ,	kO1uhFd
1.4.4	gUR0l3A	que son en el estado me dianero .	qui sunt in statu .	wkXoIIH
1.4.4	xoKS44j	Ca aquellos que ya son en lu estado son mediannos entre los uieios et los mançebos	Nam illi	kgPcp55
1.4.4	rdJV9Q9	Ca por que estos son en estado medianero	ut vult Philosophus secundo Rhetoricorum , habent quicquid laudabilitatis est in senibus ,	knoBe5v
1.4.4	b2OWa3f	que los que son en el estado medianero	sed habent se medio modo . Ideo dicitur 2 Rhetoricorum , quod qui sunt in statu , nec sunt omnibus credentes ,	fBEvNfw
1.4.4	yLi4fuC	en los que son en el estado medianero .	totum reperitur in iis qui sunt in statu .	rZDN0he
1.4.4	hBLioxW	en los que son en el estado medianero	in iis qui sunt in statu :	cCx9Og1
1.4.4	oHZrkCl	e en los uieios es alongado de aquellos que son en estado medianero .	totum reperiri debet in iis qui sunt in statu .	nDOaVTZ
1.4.4	tXH3j5a	e tirar de aquellos que son en estado medianero .	qui sunt in statu : quicquid vituperabilitatis est in illis , | remouetur	p8gTRe5, fVjylHZ
1.4.4	qOA0FxM	e aquellos que son en estado medianero han alguna inclinacion natural alas costunbres	et illi qui sunt in statu , | quandam pronitatem , et inclinationem habent	o4bvAwj, jAdurCD
1.4.4	rQbGixo	que son en estado medianero	qui sunt in statu ,	t21xydg
1.4.4	ovcCcf6	Vien assi ahun aquellos que son en estado medianero maguera	qui sunt in statu ,	eHG43IH
1.4.7	nYYTpx6	e los que estan en estado medianero	et illi qui sunt in statu , potentes ,	kBGR1LA
1.4.7	gPgY4uj	segunt departidos estados e departidas edades .	secundum diuersas aetates , | et secundum diuersos status :	uapb01o, qzQ1Ej4
2.1.11	zqclm5A	Ca quanto son en mayor estado	quia quanto sunt in maiori statu et in altiori gradu ,	wLYP90Y
2.1.11	jbh19zt	quanto estan en mas alto estado	quanto in altiori gradu existunt ,	mZSGGMU
2.1.12	iLkyfvM	quanto el estado dellos es ma salto	quanto eorum status ,	k1qjbqr
2.1.20	eP0zkp8	segunt su estado de tractar muy honrradamente a su muger .	secundum suum statum uxorem propriam honorifice pertractare . Ostenso ,	dlL7ibM
2.1.20	eMJle1e	si non fuere catado con grand acuçia el departimiento delos estados .	nisi inspecta diuersitate statuum ,	t5PptJg
2.1.20	eFPHl6o	penssando el su estado propreo	Decet ergo quoslibet viros , considerato proprio statu ,	zdUvkKS
2.1.21	z35X8qS	pensando el estado propio e las condiconnes delas perssonas son conueinbles e honestas	quae si considerato proprio statu et conditionibus personarum debite et ordinate fiant , sunt licita	v4XToNN
2.1.21	if4oRHN	Ca conuiene alos maridos de proueer conueniblemente a sus mugerssegunt sus estados	et honesta . Decet enim viros	zWWjMtX
2.1.21	gt6nsm5	quando catado el su estado non quieren	quando considerato suo statu non superflua vestimenta quaerunt .	rZdXKkA
2.1.21	gSijU7w	mas que demanda el su estado .	et ultra quam suus status requireret , appeteret ornamenta .	h0Y4b55
2.1.21	j5OAd2W	mas de quanto demanda su estado .	nec ultra suum statum ornamenta appeteret :	oBzZ3F2
2.1.21	o4rBLlc	que el su estado demandaua .	qui infra suum statum vestimenta quaerentes	jJJuKvO
2.1.21	w9Awabe	que el su estado demanda¶	ne ultra eorum statum vestimenta requirant . Quarto ,	yoEOemG
2.1.21	j2JgqtZ	por ꝑeza notablemente en su estado dellas	ne totaliter infra eorum statum propter pigritiam	woSGVjI
2.2.2	zbilEGM	segunt que algunos son en mayorestado e en mas alta dignidat	secundum quod aliqui sunt in maiori statu et in altiori dignitate ,	bBwT9c0
2.2.11	whmWoJ8	maque demanda el su estado .	si quaerantur cibaria nimis lauta et delicata ultra quam eius status requirat . Delicatio enim ciborum accipienda est	oOtIQyj
2.2.11	z9oTMET	e seg̃t el estado dela nobleza del omne . Et pues que assi es aquel que quiere	et secundum statum nobilitatis eius . | Qui ergo ,	y1tJ4jn, oSpgk1D
2.2.11	itf3qUy	e mas que conuiene al su estado demanda viandas delicadas peca enllo .	et ultra quam eius status requirat , | delicata cibaria quaerat , delinquit :	cFaTAVw, iRcNKvO
2.2.13	tGmj9Pq	que estado de honrra .	quod honoris status .	oSOxdG3
2.3.3	tv5dNXG	segunt que pertenesçe a cada vno en su estado	ut competit propriae facultati .	ydTtS8h
2.3.3	jT9QULB	assi commo el su estado demanda	prout requirit decentia status ,	pl4UF5c
2.3.8	b5PBsGM	qual abastan segunt el mester de su estado deue ser pagado dellas	secundum exigentiam sui status bene sufficiant ad gubernationem domus ,	yUOP6Ke
2.3.8	j3jlV02	quantas demanda el menester de su estado	quantas requirit exigentia sui status .	zMAaoKO
2.3.12	eudRlxr	e demanda el su estado de cada vno .	habere curam de acquisitione pecuniae , | secundum quod exigit suus status :	m3jBPXP, kWrCccL
2.3.17	jyC9ew5	mayormente parte nesçe a estado de onrra	et quia debita prouisio maxime videtur facere ad honoris statum ,	c67Reb2
2.3.17	f72E2PQ	Enpero por que los Reyes e los prinçipes sean guardados en su estado granado	tamen ut Reges et Principes conseruent se in statu suo magnifico ,	lju3t7L
2.3.17	tJ3dg66	segunt el su estado	secundum suum statum cuilibet sunt talia tribuenda ,	dX7ELaL
2.3.18	k56EZ1s	segunt linageson en tal estado	secundum genus sunt in statu ,	jCp54Ok
2.3.18	tBnBTow	Et segunt el su estado conuienel es de ser meiores	et secundum quem decet eos	h7rQMYF
2.3.19	sT5JkcM	por que guarden el estado e la honrra dela corte conueiblemente	ut seruent decentiam curiae | et honoris statum curiales esse	s6HlWMO, zIoE4G4
2.3.19	nrXK9RZ	e los que de nueno suben en alto estado	et de nouo ascendentium ad altum statum ,	nuGnf3J
