Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.2	wdhsDrn	mjente se han en la fazienda	turpiter agunt , et dimittunt aciem ,	plcifaQ
1.1.2	mksuzCz	por que alas vegadas dexan la fazienda	turpiter agunt , et dimittunt aciem ,	plcifaQ
1.1.5	kOLshyx	que quiere dezer en aquellas faziendas	idest in illis bellis et agonibus non coronantur fortissimi ,	n20nWNF
1.1.10	lcL37HF	e delas faziendas ¶	et summo opere studuerunt ,	eMzB2ZX
1.2.10	dIqd1vn	non del enparar elaz en la fazienda	quod lex praecipit non derelinquere aciem ,	qedBzUa
1.2.10	fhiRfiV	nin foyr dela fazienda	neque fugere ,	wOsBfb5
1.2.13	lQRDChL	Los vnos son periglos de batallas e de faziendas .	et periculosum . Periculorum autem quaedam sunt bellica ,	aY82iuq
1.2.13	mw4yXnD	Ca nos ponemosnos aperiglos non solamente en las batallas e en las faziendas	quaedam autem ex aliis causis . Exponimur autem periculis non solum in bellis ,	zZVnwP8
1.2.13	mnTHvsU	Otrosi en los periglos delas faziendas los omes sean en departidas maneras .	Rursus in periculis bellorum homines diuersimode se habent .	gVL6Mwo
1.2.13	bIL5WPa	Ca alguonsligeramente acomneten los periglos delas faziendas	Nam quidam de leui aggrediuntur bellorum pericula : sed ,	gsnRezN
1.2.13	hpzDZH9	Et otrosi hay otros que non deligero acometen la fazienda e la batalla .	sed fugam arripiunt . Quidam autem non de leui aggrediuntur bellum ,	mpRP32L
1.2.13	i1f6ovR	e susten los periglos dela batalla e dela fazienda .	sustinent , et tolerant pericula bellorum .	uDKYQu8
1.2.13	oY74uYj	que acaesçen en los periglos delas faziendas		
1.2.14	xvmgwq5	e estaua fuerte enla fazienda	aggrediebatur terribilia .	edrcxsX
1.2.14	cItUXGl	por alguna neçesidat acomete la fazienda .		
1.2.14	pH4tN2y	e delas faziendas acometen muchas cosas	multa aggrediuntur ,	gesrkCu
1.2.17	xNJCG3h	mas deue auer cuydado de su fazienda	habere debitam curam de propriis ,	tkXw6DP
1.2.19	kQ8p00A	que quiere dezer omes de poca fazienda		
1.2.21	omd7C62	que quiere dezir de pequena fazienda .	sed paruificus .	tZkuZYe
1.2.21	gGb6zYs	que la grant auariçia de tomar cuenta faze al omne de poca fazienda ¶	quod diligentia ratiocinii est paruifica . Quarta ,	suOoShk
1.2.21	uxOXRT7	que otro ninguno . Nas los paruficos e de pequana fazienda	est aequali sumptu facere opus magis magnificum . Paruifici enim ,	aE2pMpi
1.4.5	xJCAGhU	e de grand fazienda .	et magni cordis ,	cWpudf8
1.4.5	aB1PFaI	por que sean de grand coraçon e de grand fazienda	ut sint magnanimi et magnifici ,	toYO2ZU
2.1.21	zgJzMq4	e desauentraados en la meytad de su fazienda	secundum dimidium ,	oKEZ5HG
2.1.21	kJ6BKmr	en la meytad de su fazienda	secundum medium sit infelix ,	t6pFBOT
2.2.10	h3dV1qe	e de poca fazienda e de poco seso	et paruifici , et pusillanimes :	ntIIwXW
2.2.21	bivGkmd	por que parezca mas honrradas e mas apuestas en sus faziendas	ut magis appareant ornatae et decentes ,	pUpEEQF
2.3.14	jQWvo6I	que los uençidos en la fazienda deuen seruir alos uençedores .	ut recitat Philosophus 1 Politicorum superatos in bello seruire superantibus .	cBcz0xY
2.3.14	iXIyGUk	que los bençedores en la fazienda enssenoreassen conueinblemente	ut lex daret iudicium de aliquo certo , visum fuit legum latoribus , ut superantes in bello congrue dominarentur aliis superatis ,	oer4u9I
2.3.14	d3ccYHW	que los que vençiessen en la fazienda enssenuoreassen	ut superantes in bello dominentur superatis . Propter quod decet virtuosos et sapientes	fBfKcgK
3.1.12	mwQLirO	e dela fazienda alos de flaco coraçon		
3.2.15	loBBTjR	que en el caudiello dela fazienda	quam in duce exercitus .	mcIYqzY
3.2.15	hBhjlW7	Ca en el caudiello dela fazienda es mucho menester espiençia e prueua .	Nam in duce exercitus requiritur potissime experientia ,	lm05Df3
3.3.6	hbNJj47	por non auer vso de las armas non son sabidores en las faziendas .	quod prudentes in rebus aliis propter inexercitium armorum non sunt industres in bellis . Exercitium enim in quolibet negocio praebet audaciam ,	eraFJJh
3.3.6	zBBkICV	quando venieren a la fazienda .	ut sint habiles in praecurrendo .	dMUBl85
3.3.6	lH0kbvv	ca buena cosa es en la fazienda auer algunos mas ligeros que los otros	Nam bonum est in exercitu aliquos exiliores praecurrere ,	wfn2T5z
3.3.22	nrO4yWG	Enpero deuen tener mientes acuciosamente en su fazienda .	Est tamen diligenter aduertendum ,	oHpGucd
