Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.15	tbj70b4	quia unusquisque magis solicitus est de bono proprio ,	por que cada vno de nos es mas cuydados o del su bien propreo	l76u24Q
1.2.15	fd2T4I4	quam aliquas illicitas insequi . Declarata igitur sunt illa quatuor ,	que sean desagnisadas | Et por ende declaradas son aquellas quatro cosas que propusiemos en el comienço de este capitulo	ySynODm, lHmYZz0
2.1.7	ly8JqT9	et uniuersaliter omnem venereorum usum illicitum ,	e general mente todo vso de luxuria non conueinble tanto	wfVE8NG
2.1.9	ofGTN2v	et magis esse soliciti circa opera ciuilia ,	e ser mas acuçiosos cerca las obras çiuiles	lgIa68h
2.1.16	gdf1WCU	quanto ipsi plus debent esse soliciti ,	quanto ellos deuen ser mas cuydadosos	wOR0kt5
2.1.19	vwjRXfa	et cauere sibi ab operibus illicitis :	que las muger ssean castas | e se guarden de malas obras .	eLFwEyN, qEb891s
2.1.21	wFFXNvn	et quae illicita .	e que desconueibls¶	dYiwUjI
2.1.21	mmUJy5p	et quis illicitus . Nam nunquam uxores virtuosae existunt , nisi appetant illicita fugere .	ca las casadas nunca son uirtuosas | nin dessean cosas conuenibles .	aC5kFQG, bWTq27q
2.1.21	qjpMqn0	nec appetentibus licita sed illicita ,	que non son uirtuosas | nin dessean cosas conuenibles	tx6cLjp, bL32osx
2.1.21	cPi5McK	eo quod uxoribus suis illicita permittebant .	por que consienten a sus mugieres cosas desconuenibles ¶ Et pues que assi es	g8LgQAh
2.1.21	wML9D3j	Talia autem quae sunt fictitia et sophistica sunt illicita	Et por que estas cosas son infintas | e engannosas son desconueinbles	kxcueM2, lYFzU2o
2.2.1	yz1ZIei	omnes patres circa proprios filios esse solicitos .	que conuiene a todos los padres de ser muy cuydadosos de los fiios .	iBz2QiY
2.2.1	gLuM55r	debent circa eorum regimen esse soliciti .	deuen sor muy cuydadosos çerca el gouernamiento dellos ¶	jfXK3tl
2.2.2	oBz5Byv	si patres circa eos sint soliciti ,	si los padres ouieron cuydado dellos	vTJkznz
2.2.4	u98DV1T	quia quilibet solicitus esse debet circa ea quae vehementi amore diligit .	Ca cada vno deue ser cuy dados | o de aquellas cosas que ama con grant amor .	w6vyNSD, lHzDha3
2.2.5	sL42mIG	statim sunt soliciti erudire proprios filios in iis quae sunt fidei suae ,	en aquellas cosas | que son de su fe	sQLHIbQ, ubJG9H8
2.2.6	ooehQrU	et ad delectationes illicitas ,	e guardar nos delas delecta connes non conueninbles	y41AgNr
2.2.6	jcJW2Zu	debemus per multum tempus ab illicitis delectationibus abstinere ,	por que podamos escusar e foyr desta inclinaçion .	xegpANm
2.2.6	kK1thG3	etiam licitas cauere , ut faciliter ab illicitis abstinere possimus .	por que nos podamos guardar mas ligeramente delas delecta con nes non conueinbles .	mzQekL3
2.2.7	qpW8iK5	magis possent illicita praecauere :	e pueda mas las cosas desconueinbles .	mPQ3wR0
2.2.9	xanBaHS	si tamen opere contraria faceret , iuuenes illi exemplo inducti de facili ad illicita declinarent .	lo que han de fazer . | Enpero si fiziere por obra el contrario delo	peFBMkQ, mprDbut
2.2.9	oEbDAK6	valde deberent esse soliciti ,	por cuydadolos e tener mientes con grand acuçia	beFSRvf
2.2.10	xx3ZgID	ipsa enim locutio turpem facit in nobis memoriam delectabilium illicitorum :	Ca la fabla de las cosas torpes faze en nos memoria delas cosas delectables | e non conuenibles .	mleHmNE, zHJiGWO
2.2.13	gMLiNIZ	ex vitatione illicitae solicitudinis . Secundo ,	por dos razones . | ¶ Lo pripreo por escusar cuydado desconneible ¶ Lo segundo por alcançar fin conuenible ¶	sU3by27, frOFpSL
2.2.13	xwdC1Kf	statim incipit vagari cogitando de illicitis :	luego comiença a andar vagando cuydando enlas cosas desconueibles .	imtGwXE
2.2.13	fKQjrBC	Quare ne solicitemur circa aliqua illicita ,	por que nos non seamos muy cuydado | sos çerca algunas cosas desconuenibles	hYDaR1T, e9xoo7n
2.2.13	fZbqdcB	et vitemus delectationes illicitas ,	e por que escusemos las delectaçiones | que nos non conuienen .	rz3qX2p, g8IX17X
2.2.13	l9JgENr	ut non nimis soliciti sint circa molliciem vestium ,	que non sean muy cuydado | sos cerca el delicamiento	trNwdiN, y1TfcTU
2.2.14	eu6GBFp	Delectationes enim sensibiles illicitae licet simpliciter sint prauae	por que las delecta con nes̃ senssibles e desconuenibles	oUR7h0s
2.2.17	aEj8psz	quia iam incipiunt habere concupiscentias aliquas illicitas ,	por que ya comiencan a auer algunas cobdiçias desordenadas .	qKzzVBr
2.2.17	nlLOIW2	ne venerea illicita prosequantur . Iuuenes a decimoquarto anno ultra non solum inducendi sunt ,	Ca los mançebos de los xiiij̊ anos adelante | non solamente son de enduzir	sGsNp31, gfbek1K
2.2.18	oD4wUOj	et ut vitent solicitudinem illicitam , exercitari aliquibus laboribus corporalibus licitis . Expedit enim volentibus politice viuere tam ciuibus quam nobilibus ,	que sean conuenibles . | Ca conuiene a todos los que quieren beuir çibdadanamente	pe3x3ry, kfVnahS
2.2.18	a1GVwTF	et solicitudinem illicitam ,	e el cuydado desconueinble	jyh4Mtw
2.2.19	zbWCUNF	ne prosequatur illicita maximum fraenum foeminarum ,	que non sigua las cosas desconuenibles . | Et pues que assi es muy grant freno delas fenbras	pWhaPQH, fot7Pil
2.2.20	mdzkGB8	Secunda ex illicita solicitudine ,	¶La segunda por cuydado desconuenible	qzPkXwK
2.2.20	rAHpFjS	sumitur ex vitatione solicitudinis illicitae .		
2.2.20	hyBNyST	statim cum quis non dat se licitis exercitiis , vagatur eius mens circa illicitas occupationes ,	luego commo alguno non se da a vsos conueinbł | stanto la su uoluntad andauagando aquende	kE67PzM, frE0bJc
2.2.20	cmHnxN6	et quanto cogitando illicita facilius trahuntur ,	e quanto pensando las cosas | que les non conuienen	tpj6wek, kJZTLXX
2.3.6	dY1Ut6i	quod semper magis solicitus est de bono proprio quam de alio .	que sienpre ha mayor cuydado del su bien propreo | que del bien ageno caueemos	pVCO4fi, wwLLhjP
2.3.6	v1apHRF	quia ciues non sic essent soliciti ad colendas possessiones communes ,	por que los çibdadanos non aurien cuydado de labrar las possessiones comunes	njkSdEn
2.3.6	qI8z5lX	sicut sunt soliciti ad proprias ,	assi commo han cuydado de labrar las propreas	a6zitA9
2.3.7	bMRomja	Horum autem modorum modus viuendi furtiuus omnino illicitus est ,	Mas de todas estas maneras la manera de beuir de furto es en toda manera desconuenible	mGEx95C
2.3.7	ep2Aes7	de se non sunt illicita ;	e de pescar des si non son desconueibles	iMspfNX
2.3.7	yMcwAxA	ea in usum proprium . Furtiua autem vita per se loquendo est illicita ,	e ordenar las asu uso propreo | Mas la uida de furtar fablado sinplemente de ssi es desconueible	bFcnNZW, dLx02ht
2.3.7	yWwG06y	uel praedatiua debet illicita iudicari :	e de furtar deuen ser iudgadas desconuenbles	fEho1M5
2.3.7	bPGRrCW	et qui illiciti :	e quales desconuenibles	sDnaOMK
3.1.15	sr0hbsT	et sit solicitus	e sea cuydados	psXA3Lv
3.2.8	c3kw7Ot	et Principes valde esse solicitos de studio litterarum .	por ende pertenesçe alos Reyes | e alos prinçipes de ser muy acuçiosos del estudio delas letris e delas sçiençias .	pSB69j7, quXpRau
