Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.9	fZlrXeL	Et son tales que meresçen honrra por scian o por linage ¶	primi consessus ,	wiFiGZi
1.1.11	lHDC0VM	e por guarda del su linage	siue propter procreationem prolis :	mu2E27C
1.2.7	bTKmmUR	por que el linage delos . omes ha sabiduria	quia hominum genus viget prudentia :	p0KgjmJ
1.2.15	trrN6vz	e a continuaçion del humanal linage .	ut matrimonia ,	fotoFLk
1.2.15	ykdrQ2f	e por que fuesse saluado el humanal linage .	et tactus ,	qBqzmox
1.2.32	hcbP9Qt	finca de dezir delos quatro linages de los buenos	restat dicere de quatuor generibus bonorum .	xECeLf1
1.2.33	xEqs3th	assi conuiene de dar den parti dos linages de uirtudes .	ita quod	fF4hg65
1.2.33	a2xWXZG	Et pues que assi es assi conmo el philosofo pone quatro linages de buenos commo paresçe	Sicut ergo Philosophus innuit quatuor genera bonorum ,	yWSQlnM
1.2.33	xqjGKcO	assi que a cada vn linage de los bueons demos su orden de uirtudes .	aliquos vero diuinos ,	wj1kDka
1.2.33	cN0zYHP	Et que estos linages destas uirtudesse	et purgatoriae politicas .	gaE7g9U
1.2.33	b1u69I0	alos dichos linages de los buenos esto paresçe	Quod autem haec genera virtutum adaptari debeant praedictis generibus bonorum ,	uOt9UVy
1.2.33	bDJVMx3	mas baroguado en el linage de los buenos .	ut de ea Philosophus loquitur ) tenent infimum gradum in genere bonorum .	oHoOuN9
1.2.34	pA9dVdc	conuiene aellos de conosçer estos linages	decet eos haec genera dispositionum cognoscere .	tjaCica
1.3.2	xZxCUdS	Por ende en el linage delas passiones	ideo in genere passionum ira mansuetudinem praecedit .	fzwtFKd
1.3.5	qOTgHNb	Mas los Reyes e los prinçipes alos quales sirue la nobleza de linage	videntur mereri indulgentiam ,	n2yUAOC
1.3.8	icO2Bjh	si la delectaçion non fuesse sinplemente del linage de los bienes ¶	nisi delectatio simpliciter esset de genere bonorum .	kG6WMpg
1.3.11	hC3t60M	e por que son en linage de los bienes	quae minima sunt in genere bonorum ,	cX3CdLR
1.4.5	jHSabdw	que honrra de linage .	Ex hoc enim aliqui dicuntur esse nobiles ,	riXbddn
1.4.5	xAC2QC4	por que desçenden de linage honrrado .	quia processerunt ex genere honorabili . Genus autem honorabile dicitur	oyyOL98
1.4.5	pSS0jSJ	Mas el linage es dicho honrrado	quia processerunt ex genere honorabili . Genus autem honorabile dicitur	oyyOL98
1.4.5	qRn2opF	si antigua miente desçendieron de aquel linage muchos granados omes et muchos nobles .	si ab antiquo ex illo genere processerunt multi praesides ,	oYUgFCl
1.4.5	fjFYtQ2	Et pues que assi es la uirtud del linage	et multi insignes . Virtus ergo generis ,	dG38ma2
1.4.5	yPJ1Ddr	si non ser de algunt linage alto		
1.4.5	hQhukYT	e en su linage fueres mucho nobles e ricos leunatase el coraçon de los nobles	quia ergo nobiles ex antiquo fuerunt praesides , et in suo genere fuerunt multi insignes et diuites ,	t1ym2Bu
1.4.5	vyXhNd3	que en el su linage fueron muchos nobles	quod in eorum genere fuerunt multi insignes ,	gjVVxfp
1.4.5	fg14u09	o non es al si non uirtud e honrra del linage .	vel quod virtus	qiKdD7s
1.4.5	siTDGmB	Mas el linage de algunos prinçipalmente es tenido por hanrrado	et honorabilitas generis . Genus autem alicuius maxime reputatur honorabile ,	qPNcJuc
1.4.5	yZKHA9O	por el su linage	quia ex suo genere videntur esse honorabiles , ideo volunt accumulare	oFpFgmG
1.4.7	oWDxu2L	por que desçendende linage honrrado .	quia processerunt ex aliquo nobili genere ,	vEYMR6A
1.4.7	eCNZHw8	por que non desçenden de linage honrrado	quia non processerunt ex honorabili genere ,	v5fScEs
1.4.7	oNS5uno	e non desçendiere de linage antigo e honrrado	si non sit nobilis , et non processerit ex quodam genere antiquo	dUGpxdw
2.1.2	qGCQXHZ	Et assi yendo actesçentandose el linage dellos	Sic procedente generatione ipsorum ,	jLxOttD
2.1.5	c3MhBEe	alo menos son menester y . tres linages de perssonas .	quomodo ad constitutionem huius domus saltem requiruntur ibi tria genera personarum .	dWB3biF
2.1.5	udbmU8F	e cada vna delas comunidades aya menester dos perssonas o dos linages de perssonas	et quaelibet communitas requirat duas personas | uel duo genera personarum ,	sISieWo, wh8Kgap
2.1.5	zrY0LoB	por razon destas dos comini dades ha menester quatro linages de ꝑssonas .	quod domus prima ratione duarum communitatum requirat quatuor genera personarum ,	d1TvnCZ
2.1.5	u3ei7Nz	Pues que assi es tres linages de perssonas	Tria ergo genera personarum ,	mZcxsfh
2.1.5	ffcBmT6	quantos son los linages delas perssonas	et scire quot genera personarum ,	sKXPcKi
2.1.6	t5zyu3M	que conuiene que sean y . quatro linages de perssonas	quod ibi oportet esse quatuor genera personarum . Videretur	uLOYBB2
2.1.6	aPCdvu9	Empero podrie paresçer a alguno por auentura que deuen y ser seys linages de perssonas alssi que la primera perssona deue ser ꝑ el uaron¶ La segunda dela muger ¶	tamen forte alicui ibi debere esse sex genera personarum , | ita quod prima persona sit ibi vir , secunda uxor ,	bFGW0LB, ikKoHhy
2.1.6	vkzndXG	e quantos los gouernamientos et quantos los linages delas perssonas .	et quot genera personarum .	kmVEKru
2.1.7	fcUbTS5	aduze se aquetro linages o a quatro maneras ¶	ad quadruplex genus reducitur :	hQ242EI
2.1.7	dWI2Vzs	que conuiene mucho al mantene miento del humanal linage	quae maxime expedit conseruationi speciei ,	iwJQ8Sj
2.1.7	tcMUQhg	e al mantenemiento del humanal linage	et regnum non sic immediate ordinantur ad nutritionem propter bonum personae propriae , et ad generationem propter conseruationem speciei ,	povJpcv
2.1.9	pBdrbnD	e en otros muchos linages de aues	et in aliis pluribus generibus auium , quae alternatim oua fouent )	lDhp3dK
2.1.11	mOMWn3A	de qual se quier linage	cuiuscunque generis ,	fejCoHQ
2.1.11	aVtsfan	por su linage a algun uaron non es de tomar	quod nimis propinqua ex suo genere non est per coniugium socianda ,	ejULsjn
2.1.12	eDk6OpO	e en tres linages .	quae ( quantum ad praesens spectat ) in triplici genere habent esse .	aKUHfHh
2.1.12	rmGmigc	Ca la honrra del linage	Nam honorabilitas generis ,	tftavPv
2.1.12	b7oDmgd	ala nobleza del linage	Sed ad nobilitatem generis ,	yC0b5i8
2.1.12	vAwNdQQ	e por si deuen entender a la nobleza del linage	inter exteriora bona debent intendere	wBZK5zC
2.1.12	s2N8jGp	que sea noble por linage	quae sit nobilis genere ,	iGO3XPa
2.1.12	hfakY60	ala nobleza del linage	ad debitam societatem , | ad pacificum esse ,	iVRZtxV, yZ26EoE
2.1.12	jCaaAPF	que son nobles por linage	quos constat esse nobiles genere ,	rJslYBc
2.1.12	pKtoOSZ	e de los nobles es de demandar nobleza de linage .	et nobilium quaerenda est nobilitas generis ,	cup8Ed8
2.1.12	mM7CLnJ	que ellas sean nobles de linage	quod sint nobiles genere ,	i3Ro3DM
2.1.12	rNNVWrL	Conuiene a saberhonrra de linage .	videlicet , honorabilitas generis , multitudo amicorum ,	v45HP8E
2.1.13	do83TfW	assi commo enlas o trisaian lias en la mayor parte de grand linage sallen grandes animalias	ut plurimum ex magno genere magna procedunt :	kYH3Tdu
2.1.13	vG12WTV	Et en qual manera son nobles por linage .	ut quomodo sint nobiles genere ,	ljY8wOE
2.2.5	hfnezvY	e que el humanal linage fue ensuziado	et spiritus sanctus . Quod Adam primo parente nostro peccante , et humano genere per peccatum eius infecto ,	kXziOD8
2.3.9	nA2jDMX	todas las muda connes son aduchos a tres linages	omnes commutationes | quasi ad tria genera reducuntur .	bDAiE2f, eZdDlcA
2.3.13	wBHin1u	La terçera de departidos linages de ainalias ¶	Tertia ex diuersis speciebus animalium . Quarta ex diuersitate sexuum in specie humana . Prima via sic patet .	hQcWJ9L
2.3.13	zjIYBs3	La quarta del departimiento dela mena la muger en el humanal linage	Tertia ex diuersis speciebus animalium . Quarta ex diuersitate sexuum in specie humana . Prima via sic patet .	hQcWJ9L
2.3.13	zl7QHg3	por departimiento de los linages masculino e femenino	Videmus enim virum ,	fb6WATE
2.3.15	vtVbYQz	que mucho son nasçidos de noble linage	quia contingit	c8y2Oyx
2.3.18	ks2EPDW	assi conmola nobleza del linage ¶ Et otra segunt uerdat	ut nobilitatem generis : | et aliam	jkDtOI7, wdO3fPb
2.3.18	rw65mqs	assi commo son dos linages de grandes bienes .	nisi in aliquo excederent illum . Sicut ergo sunt duo genera bonorum magnorum ,	llyLHyf
2.3.18	u360XPZ	assi commo son honrra de linage riquezas e poderio çiuil	huiusmodi sunt honorabilitas generis , diuitiae , | et ciuilis potentia .	tAsCFzV, aGCdukR
2.3.18	jXHQzXN	e por ende el que viene de honrrado linage	Qui ergo processit ex genere horabili , ut ex diuitibus , vel ex potentibus ,	iow9ncl
2.3.18	g610fzp	e estos tales son dichos auer nobleza de linage	dicitur habere nobilitates generis ,	nKawaYj
2.3.18	rIWdRou	por que vemos enla mayor parte que los nobles de linage son de meiors costunbres	huiusmodi vulgaris opinio alicui probabilitati innititur . Videmus enim ut plurimum quod nobiles genere sunt nobiliorum morum quam alii :	rGZq7kf
2.3.18	cnhhhd7	por que alguons nobles de linage de su naian se	Quidam enim nobiles genere degenerant a naturae nobilitate ,	cb7KFEv
2.3.18	sA5wsWI	si la nobleza del linage es nobleza	Si ergo nobilitas generis est nobilitas magis	kyQYdVO
