Localisation	Id. source	Segment source	Segment cible	Id. cible
1.3.5	te5fmFh	et nobilitas non adminiculantur eis ,	si non creyeren	lgxisfk
1.3.5	bWVyR8F	quibus consequitur nobilitas generis ,	de una entender alos bienes altos e grandes	n8CgGLN
1.4.1	kz1BdzP	ut nobilitas , potentia , et diuitiae , non modicum mores diuersificant .	assi commo la nobleza et el poderio | e las riquezas fazen las costunbres muy departidas .	j3TN2md, xJvY26H
1.4.5	oc1oN3Q	Nam nobilitas ( ut dicitur 2 Rhetoricorum )	por que la nobleza | assi commo dize el philosofo en el primero e en el segundo libͤdelan	cO4Pci7, tDbS4xX
1.4.5	dnTBu1r	quam dicit Philosophus nobilitatem esse , nihil est aliud quam esse ex aliquo genere ,	la qual el philosofo llama nobleza | non es otra cosa	pNU7WiM, d9u33UQ
1.4.5	erBp2X8	sic ergo sentiendum est de nobilitate .		
1.4.5	gOD1spc	quia ergo sic est , nobilitas	Et pues que assi es | por que la nobleza es assi iudgada	aBnZiGP, xFmraeA
1.4.5	bivtBb7	nobilitas idem est	Ca assi commo dich̃es la nobleza	ge52QxN
1.4.5	wnsNhzH	ideo semper augmentatur nobilitas , et semper sunt	Et por ende sienpre cresçe la nobleza	mIQTbv0
1.4.5	fgr1Zuj	quare cum nobilitas semper inclinet animum nobilium ut faciant magna ,	commo la nobleza sienpre incline el coraçon de los nobles | para fazer grandes cosas	o5Ahmvy, cqD7o3i
1.4.5	hY4Bnz9	quod nobiles ex sua nobilitate incitantur ,	por que dize alli el philosofo | que los nobles	uaoN3dJ, pyXX9R3
1.4.5	shy9qVg	quia semper nobilitas longe facta est maior ,	por sienpre la nobleza | quanto mas de luenne viene es mayor	tHn3Myb, iwXWcWm
1.4.7	myIjHfz	Nobilitas , diuitiae ,	ra nobleza e la riqueza e el poderio çiuil son bienes contados entre los bienes de fuera	zpSMLUR
1.4.7	waDY7Qg	si eas non concomitentur potentatus et nobilitas ,	si non fueren a ellas ayuntado el poderio | e la nobleza en la mayor parte	dqjjt8g, u9gD0mt
1.4.7	mD3ohMn	Nobilitas ergo bene associatur diuitiis :	Et pues que assi es la nobleza bien se aconpanna alas riquezas	x0uHQMo
1.4.7	gOlzERk	expedit ut diuitias concomitetur nobilitas . Diues enim nobilis et ab antiquo , in omnibus scit melius se habere , quam rusticus ex nouo ditatus . Bene ergo dictum est ,	a conuiene	dYPXTqW
1.4.7	ks200IC	videlicet , diuitiis , nobilitate , potentia :	que son rriquezas nobleza e poderio .	yDd2hS3
1.4.7	umUQxAv	Nam per nobilitatem eo quod ab antiquo abundauerunt diuitiis ,	ca por la nobleza | e por que de antigo tienpo abondaron	vRRG6k7, vtQW1W3
2.1.12	yC0b5i8	Sed ad nobilitatem generis ,	mas deuen entenderentre los bienes de fuera | ala nobleza del linage	nBSjC5h, b7oDmgd
2.1.12	uvsXTrU	coniugibus quaerenda est nobilitas generis :	¶ Pues que assi es segunt	ju0ftBu
2.1.12	cup8Ed8	et nobilium quaerenda est nobilitas generis ,	e de los nobles es de demandar nobleza de linage .	pKtoOSZ
2.1.12	o89UXy9	secundum nobilitatem ,	si quier sea segunt desnobleza	eEHiq7L
2.1.19	i2Zgk2Z	secundum diuersitatem nobilitatis diuitiarum ipsorum virorum .	e dela riqueza de sus maridos .	hle4NZ8
2.1.19	qJDF0On	Nam ciues in nobilitate et diuitiis deficientes ,	Ca los çibdadanos que fallesçen en nobleza e en riqueza deuen enssennar a sus mugers	r8ifGIg
2.1.19	su4n6m0	ut polleant bonitatibus supradictis . Abundantes vero nobilitate ,	por que puedan resplandesçer en las bondades sobredichͣ̃s .	bvrymyu
2.2.11	y1tJ4jn	et secundum statum nobilitatis eius .	e seg̃t el estado dela nobleza del omne . Et pues que assi es aquel que quiere	z9oTMET
2.3.18	h5kJvxU	Videtur autem curialitas se habere ad nobilitatem morum ,	paresçe que la curialidat e la cortesia se ha ala nobleza delas costunbres	nNzqy1Z
2.3.18	satYy4v	quia nobilitatem morum	assi la cortesia es en alguna manera toda uirtud	q9ORpyr
2.3.18	jg7TKyb	quasi omnis virtus concomitari debet . Possumus enim distinguere duplicem nobilitatem :	por que toda uirtud deue en algua manera ser aconpannada ala nobleza delas costunbres . | Et nos podemos departir en dos maneras la nobleza ¶	oSXPM4P, ck2wOQX
2.3.18	jkDtOI7	ut nobilitatem generis :	assi conmola nobleza del linage ¶ Et otra segunt uerdat	ks2EPDW
2.3.18	mpkONRq	ut nobilitatem morum . Nobilitas autem , in excessu alicuius boni fundari videtur :	Ca la nobleza deue ser raygada en sobrepinança | eten auna taia de algun bien	zmEcy9l, lVEKdAv
2.3.18	e4L9roF	sic duplex nobilitas habet esse ,	assi han de ser dos noblezas .	gAFiszJ
2.3.18	nKawaYj	dicitur habere nobilitates generis ,	e estos tales son dichos auer nobleza de linage	g610fzp
