Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.6	ckEUeyU	e partiçipaçon con las bestias . Et los que asy dessean de beuir en delectes e en plazenterias	et desiderantes sic viuere sunt vitam pecudum eligentes :	t7lV2QP
1.1.10	dxtYCQa	Enpero non sabra beuir bien entp̃o de paz .	tempore tamen pacis nesciet bene viuere . Nam ,	kLuKOEw
1.1.10	muRYVZF	e non aiustiçia nin atenperança . En el tp̃o dela paz	non ad iustitiam , et temperantiam , | tempore pacis ,	l17BZV3, xu95UtI
1.1.10	j6bsgWb	Et despues quando fueremos en paz	cum vero vacamus | et sumus in pace ,	oPN0dau, sLzfPEc
1.2.2	aZ0fN3I	Mas el appetito es razonable por partiçipaçon e por conueniençia Ca el appetito maguer non sea el entendimiento	Appetitus vero per participationem . | Nam appetitus licet non sit ipse intellectus ,	r85GPMO, o69GVuo
1.2.9	oayQMZt	e mas en paz fue gouernado .	et melius regebatur .	prejnTO
1.2.10	mAlh3kV	Pas faze lo acabado en quanto ha orden alos leyes .	sed perficit ipsum , | ut habet ordinem ad leges .	rTc5CAK, m95SNe3
1.2.11	m8yPHwx	e finann en paz anbas estas iustiçias son neçessarias	utraque Iustitia est necessaria .	f0zjYdB
1.3.4	fbzDpHt	e que sea entre ellos paz e assesiego	quod sint in eis pax tranquillitas ,	o4N57bd
1.3.8	lEMbXSU	Por la qual cosa commo ellos non ayan paz	Quare cum in seipsis pacem non habeant ,	e4IQ7QZ
2.1.10	gVBOwBh	Lo segundo por el casamiento se leunata paz e amistança .	ex coniugio consurgit pax	dkAEhCO
2.1.10	h3sCesr	e por esto se tolleria la concordia e la paz e nasçria dende discordia e enemistança	non resultabit inde pax et concordia , | sed magis dissensio et inimicitia ;	w4RFHqU, jMLB9vq
2.1.10	nzw3Oed	por la paz e la concordia	Secundo hoc idem inuestigari potest ex ipsa pace et concordia ,	sHe7tX7
2.1.10	y3mz6jZ	que es ordenado a paz e amistança nasçria contienda e discordia .	quod ordinatur ad pacem | et ad amicitiam ,	w74uWzV, e9m0kVK
2.1.11	rrk31Xz	que del casamiento se leunata paz e concordia entre los omes	quod ex contractione coniugii | inter ipsos contrahentes oritur pax , et concordia .	cH4fMUC, wwrA97o
2.1.12	j5spBz3	e abien de paz e abastamiento dela uida .	apud Reges , et Principes in sui ,	pTl7pX6
2.1.12	aXh9OtM	mas en quanto el matermoino es ordenado abien de paz deuen querer en el muchedunbre de amigos	prout vero ordinatur	d9YDVSj
2.1.12	xm2HonT	por el bien dela paz es de querer en el mater moino la muchedunbe de los amigos .	sibi uxores quaerere quae sint ex nobili genere . Secundo propter esse pacificum quaerenda est amicorum multitudo .	b0NKbTI
2.1.12	zc0LN4c	Ca la paz se ha entre los omes	Nam pax | inter homines se habet	o3bWd9K, ooOHkCE
2.1.12	eLmMB0W	para el bien de paz conuiene	sic ad esse pacificum requiritur abundantia ciuilis potentiae	pmyHyKd
2.1.12	e30fNYl	e non le dexan beuir en paz .	et non sinitur viuere in esse pacifico . Coniugium igitur prout ordinatur ad esse pacificum ,	qu3YxIE
2.1.12	dNmAopo	Et pues que assy es el casamiento en quanto es ordenado a bien de paz	et non sinitur viuere in esse pacifico . Coniugium igitur prout ordinatur ad esse pacificum ,	qu3YxIE
2.1.12	es46Wrh	por que entre ellos sea paz e conpannia digna	ut inter eos sit pax	rsdg5aY
2.1.13	uLmBB4s	e abien de paz e aconplimiento deuida .	et ad sufficientiam vitae :	cYacc9O
2.3.4	oDdlBoS	assi commo pax ̉esçe eñł agua e passa por la piedra sutre		
3.1.5	spBm4vX	e en los que turban la paz e el bue estado de los otros çibdadanos	et turbantes pacem et bonum statum aliorum ciuium .	a99bbaq
