Localisation	Id. source	Segment source	Segment cible	Id. cible
3.3.1	wPt4CCC	ca commo quier que contezca de lidiar los peones	Nam licet bellare contingat homines pedites ,	bbTW8w5
3.3.3	y2loclA	Ca si quier sea cauallero si quier peon el que ha de lidiar paresçe	Nam siue equitem siue peditem oportet esse bellantem ,	hKu5YLa
3.3.3	rFJdwOK	commo de los peones son de catar muchas cautelas	sunt multae adhibendae cautelae . Fatuum est quidem non prius ,	gprOnOq
3.3.5	zH5uT2z	Et por ende en la batalla de los peones	itaque certamine magis eligendi sunt rurales , quam nobiles :	ldNibGs
3.3.6	qhh9nIj	Ca lo primero los caualleros e los peones	Primo enim milites | et ipsi pedites ,	uKPrUxb, rv4QBRT
3.3.6	lafuLDr	Ca si el az si quier de peones	Nam	pByshVI
3.3.6	jQe2GcT	assi es los lidiadores tan bien peones	Tam ergo pedites quam equites bellatores	qGJS9lH
3.3.6	wowDdNv	tan bien los peones	tam pedites quam equites ad cursum ,	sEcqGiX
3.3.6	pjluRFu	e passen allende de todos los otros enbargos Et los peones	et alia impedimenta pertranseant : | et pedites ,	d7uvNLf, dQ7ikz9
3.3.7	xntPVQE	e non solamente los peones . mas avn los caualleros	ut artem natandi addiscerent . Immo non solum pedites ,	r1kzyeK
3.3.7	a1gNi2s	e algunos a los peones	Quod quomodo sit ,	csIH4JY
3.3.7	bYmsmDQ	Et lançar piedas con fondas pertenesçe a los peones .	proiicere lapides cum funda ,	gNYLYRg
3.3.8	o4HSVzB	e alguna partida de peones deuen ser ordenados en vna az	et una pars peditum	cOoFOja
3.3.10	ygzZLMw	commo de los peones son de establesçer cabdiellos e mayorales e alferezes	quam etiam peditum constituendi sunt duces et praepositi ,	aDbZE8Z
3.3.10	ai0aN8y	tan bien a los peones commo a los caualleros .	et equitibus praeponendus .	m9MHwRV
3.3.10	sBpOeOc	por la qual cosa commo los peones	Quare cum pedites ,	kDKstfY
3.3.10	msNxu0c	o en aquel que deue ser antel puesto a los peones lidiadores .	qui est supra pugnatores pedites praeponendus .	xPCQwjQ
3.3.10	ixsGkKS	que al que deue ser ante puesto a los peones en la batalla	qui in pugna pedicibus praeponitur	uB9mt2k
3.3.10	werS4nY	el que es ante puesto a los peones lidiadores	qui praeponitur peditibus bellatoribus :	ytYyXRy
3.3.10	aOlTeid	Por que en la batalla de los caualleros se faze mayor pelea que en la batalla de los peones .	quia in bello equestri maior conflictus efficitur , | quam in pedestri pugna .	as3AcqB, vfuiswq
3.3.11	q2IhFC4	e los meiores peones	et magis bellicosi pedites apponantur ,	fAF4tl8
3.3.11	y9oPhCF	sienpre amonestar sus caualleros e sus peones	qui operibus bellicis praeponuntur , semper monere milites pedites , ut sint parati ad arma ;	wkNKMd5
3.3.11	cI8KVdO	de quales ha mayor conplimiento la hueste de peones o de caualleros .	considerare exercitum in quibus sit copiosior , | utrum magis abundet peditibus , vel equitibus .	dE3Jprs, xjWUryt
3.3.11	lyQKvHw	mas los peones meior en los riscos e en los montes .	Pedites vero in locis syluestribus et montuosis .	v4O6QQZ
3.3.11	k8SIhZF	que ha conplimiento de caualleros o de peones	vel in peditibus ,	o4Z3zih
3.3.12	cx526RR	e que los caualleros e los peones guarden su az	ut equites | et pedites suam aciem seruent ,	rEPve2Y, iCoWqsG
3.3.12	ovxI0ZB	commo los peones sean aduchos a los canpos	ut frequenter tam equites quam pedites ducantur ad campos .	pL4Y9SU
3.3.12	t9Cf1RQ	va a los peones primeramente deuen los caualleros	vel peditibus esse praepositus , | primo debet equites	siE0ovu, yxPqMXk
3.3.12	ynu5b8P	e los peones ordenar en linea derecha	et pedites linealiter disponere ita	zr87zgE
3.3.12	p85gWnq	que demanda el az de los caualleros o de los peones .	secundum distantiam quam requirit acies equestris vel pedestris . Postea praecipere debet	fADdHSI
3.3.12	u5K3ic4	si quier peones .	quod pugnatores ordinent	nsLzw4H
3.3.15	eZLt5k7	en el qual mostramos a los caualleros e a los peones acometer la batalla .	in quo docuimus milites , | et etiam pedites .	lib2qcp, wW3OPUu
3.3.15	uPQm34W	Mas en este capitulo queremos dar espeçial enssenança a los peones	In hoc autem capitulo specialem doctrinam volumus dare peditibus ,	fgLbw4p
3.3.15	mU5y8jS	en qual manera deuen estar los peones lidiadores	Ostenso itaque qualiter debeant stare pugnantes ,	hFVVgvo
3.3.15	lSWSCVF	contra los enemigos pusiessen se ante los peones	quod milites stantes in acie ex opposito hostium ,	zGht6yN
3.3.15	uo3S1GJ	Por la qual cosa la batalla de los peones	propter quod pedestris pugna latenter recedit ,	xWKw4wT
3.3.15	z9Sn7Nw	encubiertamente se escusa yendo se los peones .	propter quod pedestris pugna latenter recedit ,	xWKw4wT
