Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.3	qtnnEzw	e los poderios del alma	huiusmodi sunt industria mentis , ingenium naturale , potentiae animae :	e6clKAM
1.1.3	vrnqtuy	e por poderio çiuił toda uja es	dato quod per ciuilem potentiam principetur ,	pngHD5g
1.1.3	lWp2a8u	Ca el gouernamjento de cada vno de los omes es por tanto que los poderios del alma son gouernados por rrazon e por entendemjento Et pues que asy es	est ex eo quod potentiae animae reguntur per rationem , | et intellectum .	iagBy1F, b5yxfVt
1.1.10	cYC1JKl	que abonde en poderio ciuil que es poderio de çibdat e de regno	quod abundet in ciuili potentia ,	ydu4003
1.1.10	tawMFMT	e de los prinçipes deuia seer en el poderio çiuil et mundanal	Quod si in hoc esset , felicitas regia videretur ponenda in ciuili potentia ,	c7qKddy
1.1.10	fVMUpPD	en el poderio çiuil¶ La primera razon se tomadaquello	Prima via sumitur ,	kpi7lTD
1.1.10	cA5gLiG	por poderio çiuil esto esquerer enssen onrear por fuerça e non pornatraa	hoc est ,	qb1UP0q
1.1.10	nyLhINQ	por fuerca e por poderio çiuil .	si per violentiam , et per ciuilem potentiam dominetur :	nKOgxmR
1.1.10	qIvEIdT	assi que la feliçidat e la bien andança non es de poner en poderio çiuilca tal poderio puede ser en alguonssin bondat de uida .	quia hoc potest inesse alicui absque bonitate vitae , felicitas enim ,	r6ahXzf
1.1.10	l9YJlP6	Mas que el poderio çiuil pueda seer en alguno sin bondat deuida paresçe	Quod autem ciuilis potentia possit inesse alicui absque bonitate vitae , patet ex iis quae temporibus retroactis facta conspeximus . Videmus multos Tyrannos pessimos maxime abundasse in ciuili potentia .	sJ7KPLB
1.1.10	zN3gJxr	que muchos muy malos tiranos ouieron muy grant poderio çiuil	siue Sicilianus ,	j9EG45D
1.1.10	u7DbMY3	que dionisio siracusano o dionisios çiçiliano ouo muy grant poderio çiuil empero fue muy mal tirano ¶ Masnero e cesar	maxime abundauit in ciuili potentia , | et tamen pessimus Tyrannus erat . Nero autem ,	y2Y7r0j, tzK35PH
1.1.10	w0s9JAb	e abondaron mucho en poderio çiuil .	maxime abundauerunt in ciuili potentia ;	zojv1Zn
1.1.10	nk6fsMe	e la bien andança en poderio çiuil	si abiiciat bene viuere . Non ergo in ciuili potentia est ponenda felicitas ,	r2nNQQo
1.1.10	tO8BJYU	que la feliçidat et la bien andança non es de poner en este poderio çiuil .	Tertio in huiusmodi potentia non est ponenda felicitas ,	adMZwaK
1.1.10	hCCP6OY	por poderio çiuiles ensseñorear alos sieruos	ponenda est in Principatu optimo , et digno . Principari autem per ciuilem potentiam , est principari seruis ,	p4SAvjq
1.1.10	vBbc4GU	Et por que el señorio por fuerça e por poderio çiuil commo non sea delons libres	Principatus ergo per coactionem , et ciuilem potentiam , | cum non sit liberorum ,	ivzHATd, nosG2Ka
1.1.10	uhHXaT8	que la feliçidat e la bien andança non se deue poner en poderio çiuil .	Quarto non est ponenda felicitas in ciuili potentia :	i45bkK0
1.1.10	cgOioP7	por que abonda en poderio çiuil non ordenara los çibdadanos	si abundet in ciuili potentia , non ordinabit ciues , nisi ad exercitum armorum ,	t8onFKB
1.1.10	tVlxgUG	Non conuiene alos prinçipes poner su bien andança en el poderio çiuil¶	non decet principem | suam felicitatem ponere in ciuili potentia .	s9rrure, lQYLYfO
1.1.10	w9y1m8o	por que non conuiene al prinçipe poner la su bien andança en el poderio çiuiles	Quinto hoc non decet ipsum ,	aqy0mEw
1.1.10	k4JrOUw	e su bien andança en poderio çiuil	ponens ergo suam felicitatem in ciuili potentia ,	wEvzGM7
1.1.10	qNUswdd	por que ponian la su bien andança en el poderio çiuil .	ponentes felicitatem in ciuili potentia ,	muxg4mn
1.1.10	n5rGEeh	que el prinçipe ponga su bien andança en poderio çiuil .	etiam Principem | ponere suam felicitatem in ciuili potentia ,	pdFNTpX, zhSyURv
1.1.11	h6feWAo	e los poderios del alma egualados	Sed si habeat aequatas potentias ,	a9owZNa
1.1.11	xpjIZgk	nin en el poderio çiuil	nec in ciuili potentia ,	eQUVG4T
