Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.2	bgAwmf2	tanta prudentia in regimine familiae ,	njn sea menester tanta sabiduria | para gouernamj̊ de su conpaña	uq7FTok, evDfVhT
1.1.3	sQNshu7	Nam vigens prudentia ,	Ca el que ha sabiduria	bzw5vtK
1.1.4	s8QWqxy	habendo in se prudentiam ,	asy commo omne aujendo ensy pradençia e sabiduria	xLnotH6
1.1.4	oNSav3c	et politicum , sequitur quod regatur secundum prudentiam , et viuat vita politica .	segunt sabiduria e rrazon derecha | Et de beuir vida politica e ordenada	kK6oJFa, whYEWMf
1.1.4	aqCQq5y	et prudentia ,	njn por sabiduria mas gouiernase por pasion	i4iHN4C
1.1.6	oouvHWj	quare si constat eos habere mores seniles , et vigere Prudentia ,	qualos mançebos han costunbres de me nos | e han sabiduria e entendimiento	iXmCHGO, jk788cW
1.1.12	spzFmmp	secundum Philosophum in vita politica sit Prudentia .	segunt que dize el philosofo en el primero libro delas ethicas | la feliçidat	sIPpJ0z, nnC6ftH
1.1.12	tRRQJg5	secundum Prudentiam ,	segunt pradençia	bWK2Qfy
1.1.12	xwmLnh8	suam felicitatem in actu prudentiae ,	de poner la primera feliçidat en las obras de pradençia . ¶ Et la segunda commo le conuiene de poner er la su bien andança solamente en dios .	o8CDqOs
1.1.12	i1bImq1	ut per prudentiam ,	que los Reyes e los prinçipes gouiernen sus pueblos iustamente e santamente	t5JLiT0
1.1.12	ovFDnni	et Principibus ponenda est felicitas in actu prudentiae ,	et los prinçipes deuen poner la su feliçidat | e la su bien andança	zeOofIr, emMKLbq
1.1.12	m8F68EK	quam in actu prudentiae :	mas que en las obras dela pradençia	iu42urb
1.1.13	r0FFBjZ	si per prudentiam ,	que han de auer	fZisIER
1.2.1	tZ8TOVw	Suam autem felicitatem ponere debent in actu prudentiae ,	e los prinçipes la su feliçidait | e la su feliçidat bien andança	kWgM0am, ekLIuC7
1.2.1	hDcb6r4	secundum prudentiam regitiuam , gentem sibi commissam	segund la sabiduria del gouernamiento gouernan las sus gentes e los sus pueblos | que les son acomendados scanmente e derechureramente	tI37PFe, d41RnDD
1.2.2	wjNLGui	sunt virtutes existentes in intellectu practico , ut Prudentia ,	que estan en el entendimiento pratico e obrador | assi commo es la pradençia	jGHaElf, hhKsqpe
1.2.2	tRflzC1	et aliae virtutes sibi annexae . Prudentia autem ,	para bien obrar . | Et las otras uirtudes que se ayuntan a esta .	b5C7u4Q, rEtKKGT
1.2.2	rcg2NIh	nam Prudentia non est nisi in hominibus bonis ,	por que la pradençia non es sinon en los buenos omes .	hKWx7Ca
1.2.2	shEQpr2	de prudentia ,	Aqui solamente auemos de fablar dela pradençia | e de las uirtudes morales	nMg6bIV, wf5q1R5
1.2.2	hpBgkWV	sine prudentia et virtutibus moralibus , nobis in esse non potest . Has autem virtutes ,	sin la predençia e sin la sotras uirtudes morales . | Mas estas uertudes assi conuiene	rSUYJ6y, crQcAeG
1.2.2	iMzryyD	prout ipsa prudentia dicitur quaedam virtus moralis ,	en quanto la pradençia es dicha vna uirtud moral	qTLLFDD
1.2.2	nhoRW1C	videlicet , Prudentia , Iustitia ,	La vna es la pradençia e la otra la iustiçia	dV8vlzo
1.2.2	sLFkycL	Fortitudo , et Temperantia . Nam Prudentia est in intellectu ,	et la otra la fortaleza e la otra la tenprança | Ca la pradençia es en el entendimiento .	dnDNmKZ, gAuC2co
1.2.3	nY4eAIB	Philosophus circa finem V Ethicorum praeter Prudentiam ,	lphilosofo cerca la fin del segundo libro delas ethicas sin la pradençia	wFIE9zJ
1.2.3	udrAXxs	vel societatem appellare possumus . Igitur computata Iustitia , et Prudentia duodecim sunt virtutes morales ;	pues que assi es contando la iustiçia e la pradençia con estas dichas diez son | doze las uirtudes morales	gLuj8LN, sW6A8s8
1.2.3	qt0Xgcg	ut Prudentia :	assi commo la pradençia o enla uoluntad	ukWT1mp
1.2.3	vRmEHZt	quod habemus rationes rectas sumitur Prudentia ,	que nos auemos las razones derechas | assi se toma en nos la pradençia e la sabiduria .	flfGN8U, sW3h8Sa
1.2.3	jbfDRv1	vel quia ipsum custodit , et conseruat . Prudentia autem tendit in bonum rationis ,	Ca la pradençia es en el entedimiento | assi commo es la perfectiuo	xm8ntYD, fHTROzF
1.2.3	noZSI23	quia ipsam rationem perficit enim Prudentia in ipso intellectu , tanquam perfectio in ipso perfectibili . Iustitia vero tendit in bonum rationis ,	en aquello que acaba o la forma en el su subiecto o en su materia | Mas la iustiçia va a bien de razon	asYlUIm, bjdXHBp
1.2.3	ya4Dup3	et est rationis perfectiua : et sic est prudentia .	e es acabamiento de razon	bUEsQbC
1.2.3	t4EdR1i	In intellectu est prudentia . In voluntate iustitia .	Et en la uoluntad es la iustiçia | para dar a cada vno lo suyo .	w9qTEQM, g2dikjo
1.2.4	jwbYY44	quarum una est in intellectu , ut Prudentia :	La vna es en el entendimiento | assi commo la pradençia e la sabiduria ¶	nevVUTp, iTN6PgI
1.2.4	izsdVXU	ancillantur Prudentiae :	e bien iudgar delo consseiado siruen ala pradençia e ala sabiduria ¶	aOoluUA
1.2.4	alMnQBH	cuiusmodi sunt Prudentia ,	asi commo son la pradençia e la iustiçia	vPzpUEW
1.2.5	cNgaJb1	videlicet , Prudentia ,	La primera es¶pradençia	zxmpjsb
1.2.5	bZ6Ahi5	Et quia Prudentia principaliter rectificat rationes ,	Et por que la pradençia prinçipalmente yguala las obras ¶	sZOFjhC
1.2.5	h3K1aQW	cum ergo in intellectu practico principalior virtus sit prudentia ,	Et pues que assi es commo en el entendimiento pratico | la mas prinçipal uirtud son la pradençia .	i7rEhTL, gGihDOt
1.2.5	ceeIOxL	et in concupiscibili Temperantia : ideo haec quatuor virtutes , scilicet Prudentia , Iustitia , Fortitudo , et Temperantia , principales et cardinales esse dicuntur .	por ende estas quatro uirtudesconuiene a saber . Orundençia . ustiçia¶ fortaleza . | Et t̃ pranço son dichas prinçipales e cardinales en conparacion delas otros ¶	oFwOWkZ, mXsyM7Y
1.2.5	h7yfD4F	quia prudentia est principalior omnibus aliis ,	¶Otrosi por que la prudençia es mas prinçipal	jC052yN
1.2.5	k2KwRUJ	Primo dicemus quid est prudentia ,	Ca primeramente diremos | que cosa es la pradença .	idNEPw2, gJwacSd
1.2.6	aXkcKIu	Prudentia autem ,	la pradençia e la sabiduria	n6xT4ab
1.2.6	zbqCjnV	prudentiam ad quinque comparari possumus ;	la pradençia e la sabiduria a çinco cosas se puede conparar	r5v4RLg
1.2.6	kRa5T6p	a quibus distinguitur . Est enim prudentia virtutum moralium directiua :	que la prerudençia es uirtud | que endereça	nPbiuRp, gtq9pfP
1.2.6	wuj7XlI	quod fit per prudentiam . Per virtutes ergo morales praestituimus nobis debitos fines :	por la pradençia ¶ Et pues que assi es por las uirtudes morales | somos ordenados	u9ZESYv, oZy4kvm
