Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.1	c0qohBq	enpero todo el pueblo se ha de enseñar por este libro	totus tamen populus erudiendus est per ipsum .	x2dFFGH
1.1.1	beUwRog	¶ E pues que asi es todo el pueblo deue seer Oydor	totus ergo populus auditor quodammodo est huius artis ,	ssFHyaq
1.1.1	qYczqX9	que quanto mayor es el pueblo tendo menores	propter quod dicitur 3 Rhetoricorum ,	u84cB9K
1.1.1	eBgRgWT	E pues que asi es commo todo el pueblo pueda entender las cosas sotiles deuemosyr en este libro	Cum igitur totus populus subtilia comprehendere non possit ,	bGA1BwI
1.1.1	z8R8Zbi	e esta sçiençia estender la fasta el pueblo	oportet doctrinam hanc extendere usque ad populum ,	jybTKNE
1.1.5	i6bzw6N	e la su finque non al pueblo .	et finem cognoscere quam populum ,	sq9vNBb
1.1.5	neNcR0o	Por que el es ginador del pueblo	eo quod fit populi directiua .	fGWymNF
1.1.5	kP7uu2l	e el pueblo non del .	eo quod fit populi directiua .	fGWymNF
1.1.6	hp8TVIW	a el pueblo comunalmente non siente	Vulgus communiter non percipit ,	kKmGsG7
1.1.6	jBOJjWX	por que non sea menospreçiado de su pueblo¶	sed qui dormiens , decet Regiam maiestatem tales delectationes immoderatas fugere ,	rdIJynt
1.1.7	m9drncG	apremiador del pueblo	quia amittit maxima bona . Secundo ,	sz4fauS
1.1.7	sLbIOd7	que es Robador e despoblador del pueblo .	quia efficitur populi depiaedator . Diligens enim pecuniam	hATxzCN
1.1.7	ciVAPgB	que ha de ser robador e despoblador del pueblo	quod Rex sit Populi depraedator .	sciG3Du
1.1.7	q3gTeBi	e si robare el pueblo	si depraedetur populum et Rem publicam ,	w6hVJx8
1.1.7	aWTjKVx	que non procure el bien del pueblo	quod tamen bonum Reipublicae non procuret :	hzyNKUw
1.1.7	kDIHGEf	mas es robador del pueblo	sed tunc est depraedator ,	dKewVKX
1.1.7	mNurBw5	que sea robador del pueblo	Regem admittere maxima bona ,	nLmq8yc
1.1.8	aTuTsZF	e pornia los pueblos en peligro¶	ponere suam felicitatem in honoribus , quia ex hoc efficietur periclitator Populi , et praesumptuosus :	yPWb7g2
1.1.8	weg3wRA	por que pueda delo que feziere honrra alcançar presumira de poner los pueblos a todo peligro	ut possit honorem consequi , | praesumet suam gentem exponere omni periculo . Exemplum huiusmodi habemus	nEP1QUx, sqqSAZm
1.1.8	iGvTYIq	Et sera malo al pueblo	erit malus in suis rebus ,	jRmOZZ6
1.1.8	uWaWgYT	Ca non fara fuerça de poner el pueblo a grandes peligros presuptuosamente e arrebatadamente .	secundum personarum dignitatem .	qbIeVoY
1.1.9	nIPCdXI	o si es głioso en los pueblos ¶	vel si sit in populis gloriosus .	okWhX9H
1.1.9	gCTqu0J	Ca segunt que dize boeçio la fama del pueblo romano	Dici potest ,	tvVTxaO
1.1.9	dRggShH	Et por ende serie dicho Robador del pueblo .	nam ex hoc efficerentur populi praedatores . | Quod non decet regiam maiestatem suam	nuF2eY5, bCUD1nD
1.1.10	tWjDDxb	si el pueblo liberalmente	si populus libere ,	u1MYcQg
1.1.10	k15yI6r	si enseñorea sobre el pueblo	si per violentiam , et per ciuilem potentiam dominetur :	nKOgxmR
1.1.10	ts51gTx	assi las naçiones e los pueblos .	et ad ea , per quae sibi possit subiicere nationes .	r1jEEFE
1.1.10	lQ1auMF	e en subiugar las naçions e las gentes e los pueblos .	et in subiiciendo sibi nationes ,	qNKYP5o
