Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.5	kOLshyx	que en olimpiedes que quiere dezer en aquellas faziendas o es aquellas batallas non son coronados los muy fuertes	quod in Olimpidiadibus , idest in illis bellis et agonibus non coronantur fortissimi , sed agonizantes :	n20nWNF
1.2.6	nTSBSvB	en el sexto libro delas ethicas . Eubullia que quiere dezer uirtud para bien coseiar . la otra es	quam Philosophus Ethic’ 6 appellat eubuliam , idest bene consiliatiua . Alia vero per quam bene iudicamus de inuentis ,	iwVjWSS
1.2.19	kQ8p00A	Et estos son llamados pariuficos que quiere dezer omes de poca fazienda e que espienden poco .		
1.3.11	joSv48M	e los prinçipes en tanto deuen ser nemessicos que quiere dezer desdennosos . Et en tanto deuen ser manssos		
2.2.16	kxQJyFf	que fasta la hedat dela pubeçençia que quiere dezer fasta la hedat de los xiuf ͤ años deuen vsar de los vsos et mouimientos mas ligeros	quod usque ad pubescentiam , idest usque ad decimumquartum annum , leuiora quaedam exercitia sunt assumenda ,	utp8Lo9
2.3.10	oGgfo8g	Obolostica que quiere dezer maunera de tornar los dineros en pasta .	obolostaticam , et tacos siue usuram : his enim quatuor modis possideri consueuit multitudo pecuniae .	nt09STW
2.3.10	zLXdb3Y	¶La terçera manera del arte pecuniatiua de dineros es obolostica que quiere dezer arte de peso sobrepuiante que por auentura fue fallada assi . Ca assi commo la massa del metal es partida en los dineros	obolostatica , vel ponderis excessiua : quae forte sic inuenta fuit . | vel ponderis excessiua : quae forte sic inuenta fuit . Nam sicut massa metalli in denarios diuiditur , et imprimitur ibi signum publicum ;	gZ6yygK, l0aYKNq
2.3.12	fyt9NQM	por que segunt el philosofo entre todas las cosas que acresçientan las riquezas es fazer monopolia que quiere dezer vendiconn de vno solo . Ca quando vno solo uende taxa el preçio	( secundum Philos’ ) est facere monopoliam , idest facere vendationem unius : nam	qtxqJXu
3.2.2	tHO7Vxt	ca el regno e la aristo carçia que quiere dezer sennorio de buenos e la poliçia que quiere dezer pueblo bien enssenoreante son bueons prinçipados .	Nam regnum aristocratia , et politia sunt principatus boni : tyrannides ,	aVXy1DD
3.2.2	ju1NwY0	que quiere dezer sennorio de buenos e la poliçia que quiere dezer pueblo bien enssenoreante son bueons prinçipados . La thirama que quiere dezer sennorio malo	Nam regnum aristocratia , et politia sunt principatus boni : tyrannides ,	aVXy1DD
3.2.2	w1flb47	e la poliçia que quiere dezer pueblo bien enssenoreante son bueons prinçipados . La thirama que quiere dezer sennorio malo e la obligaçia que quiere dezer sennorio duro .	et politia sunt principatus boni : tyrannides , oligarchia ,	nRGZrLM
3.2.2	eHUbP00	La thirama que quiere dezer sennorio malo e la obligaçia que quiere dezer sennorio duro . Et la democraçia que quiere dez maldat del pueblo	tyrannides , oligarchia , et democratia sunt mali .	w8D5T3D
3.2.2	uEtxrnm	e tal prinçipado es dicħa ristrocaçia que quiere dezer prinçipado de buenos omes e uir̉tuosos e dende vienen	et tunc talis principatus dicitur Aristocratia , quod idem est quod principatus bonorum et virtuosorum . Inde autem venit ut maiores in populo ,	iFs3P1G
3.2.7	d4DDHU7	que la tirnia es la postrimera obligarçia que quiere dezer muy mala obligacion por que es muy enpesçedera alos subditos ¶	ubi ait , tyrannidem esse oligarchiam extremam idest pessimam : quia est maxime nociua subditis .	oS4thRK
3.2.12	flxIVaH	e es llamado anstrocraçia que quiere dezer señorio de buenos . Mas si enssennorear en pocos	quia boni et virtuosi , est rectus principatus , et vocatur aristocratia siue principatus bonorum . Si vero dominentur non quia boni ,	iCOItpG
3.2.12	uboN2bw	mas por que son ricos es llamado obligarçia que quiere dezer señorio tuerto . Mas quando enssennore a todo el pueblo	et vocatur aristocratia siue principatus bonorum . Si vero dominentur non quia boni , sed quia diuites , est peruersus et vocatur oligarchia . Sed si dominatur totus populus et intendat bonum omnium tam insignium quam aliorum , est principatus rectus , et vocatur regimen populi .	tJAWwFi
3.2.23	eSg9pL9	que el iese pieques que quiere dezer mas que iusto deue perdonar a las cosas humanales	Ideo dicitur 1 Rhet’ quod Iudex epiikis idest superiustus debet indulgere humanis , si viderit delinquentem magis velle ire ad arbitrium ,	pATBXcy
3.2.27	sjbNhcE	Lo segundo que sean bien guardadas que quiere dezer tanto commo que atales leyes assi establesçidas obedes tan bien los omes	ut bene custodiantur , vel ( quod idem est ) ut legibus sic institutis bene obediatur .	yv0i3jC
3.2.36	r7EXpvb	por la salur que quiere dezer que amamos a aquellos que nos pueden fazer bien saluandonos e librado nos .	quod quia diligimus beneficos in salutem , id est eos qui possunt nobis benefacere nos saluando et liberando , ideo diligimus fortes	mmBBb6l
