Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.4	sQtRl6T	la qual los theologos llaman vida actiua que quiere dezir vida de bien obrar Et dela vida contenplatian e intellectual non sintieron la uerdat conplidamente	de vita tamen politica , quam Theologi vocant vitam actiuam , et de vita contemplatiua non usquequaque vera senserunt :	nuSTf7L
1.1.7	vLI4mDd	en el capitulo dela maganimidat que quiere dezir grandeza de coraçon Ca en la opinion del auariento	ut vult Philosophus 4 Ethicorum cap’ de Magnanimitate ) quia in opinione auari ,	chAYB11
1.1.7	toRock6	Ca aquel que bien entiende que quiere dezir e quanto lieua este nonbre fin	qui enim bene intelligit , quid importatur nomine finis , non potest eum latere quemlibet , omni via qua potest ,	hA5K0gQ
1.1.10	jzD8F1f	que ensennorear despotice que quiere dezir enssennorear . seruilmente e sobre los sieruos ¶ La quarta razon es	quam principari despotice , idest dominaliter . Quarto non est ponenda felicitas in ciuili potentia :	mRI3fvi
1.2.3	vD9zcyB	La otra es eutropolia que quiere dezir buena conuerssaçion o buena manera de beuir .	opera autem , et verba , ut communicamus cum aliis deseruiunt nobis ad veritatem , vitam , et ludum .	bIESX3Q
1.2.3	ibGxWfv	Mas entropolia que quiere dezir buena conpanma o buena manera de beuir en conpanna es	non est discolus , sed est affabilis , et curialis . Eutrapelia vero siue bona versio , est , quando aliquis sic se habet in ludis ,	zxoMAQq
1.2.6	qRefLzQ	la qual llama el philosofo sinesis . que quiere dezir uirtud de bien iudgar ¶ la terçera es uirtud	quam Philosophus appellat synesin , idest bene iudicatiuam . Tertia , per quam praecipiamus	wvogIqu
1.2.8	uKDXUXr	Et enssennable ¶ Espierto ¶ Et prouado ¶ Cauto que quiere dezir conosçedor e escogendor delo meior . ¶		
1.2.12	rnpSlFQ	por nonbre comunal que quiere dezir cosa clara e cosa apuesta . Et esta estrella algunas vezes nasçe ante del sol		
1.2.17	bTNpQbB	llama a estos tales non liberales que quiere dezir non francos assi commo son los logreros e los garçons	sicut debet , nimis videtur auidus pecuniae . Propter quod Philosophus 4 Ethic’ usurarios , lenones , idest viuentes de meretricio ,	qMS1suQ
1.2.19	kL4yrbI	la qual laman magnifiçençia que quiere dezir grandeza en despender . Mas commo en cada cosa mas e menos non fagan departimiento en la naturaleza	quae respicit sumptus magnos , quam magnificentiam nominant . Sed cum magis ,	xND49SP
